#RPT_NAME,LONG_SCHOOL_YEAR,DETAIL_LVL_DESC,SCHOOL_DSTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,GRADES_SERVED_DESC,ENROLL_PCT_ASIAN,ENROLL_PCT_NATIVE,ENROLL_PCT_BLACK,ENROLL_PCT_HISPANIC,ENROLL_PCT_MULTIRACIAL,ENROLL_PCT_WHITE,ENROLL_PCT_MIGRANT,ENROLL_PCT_ED,ENROLL_PCT_SWD,ENROLL_PCT_LEP,ENROLL_COUNT_REMEDIAL_GR_6_8,ENROLL_PCT_REMEDIAL_GR_6_8,ENROLL_COUNT_EIP_K_5,ENROLL_PERCENT_EIP_K_5,ENROLL_COUNT_REMEDIAL_GR_9_12,ENROLL_PCT_REMEDIAL_GR_9_12,ENROLL_COUNT_SPECIAL_ED_K12,ENROLL_PCT_SPECIAL_ED_K12,ENROLL_COUNT_ESOL,ENROLL_PCT_ESOL,ENROLL_COUNT_SPECIAL_ED_PK,ENROLL_PCT_SPECIAL_ED_PK,ENROLL_COUNT_VOCATION_9_12,ENROLL_PCT_VOCATION_9_12,ENROLL_COUNT_ALT_PROGRAMS,ENROLL_PCT_ALT_PROGRAMS,ENROLL_COUNT_GIFTED,ENROLL_PCT_GIFTED,ENROLL_PCT_MALE,ENROLL_PCT_FEMALE
"Enrollment_by_Subgroup_Metrics","2022-23","District","601","Appling County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","TFS","TFS","21","19","4","55","7","80","15.4","12","33","33","320","21.7","46","4.3","500","15.4","232","7.1","43","20.1","633","59.6","88","2.9","196","6","50","50"
"Enrollment_by_Subgroup_Metrics","2022-23","District","602","Atkinson County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","TFS","TFS","14","44","2","40","7","85","11.8","20","23.5","23.5","349","47.5","122","27.4","182","11.8","174","11.3","TFS","TFS","280","62.8","23","1.6","48","3.1","51","49"
"Enrollment_by_Subgroup_Metrics","2022-23","District","603","Bacon County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","TFS","TFS","23","16","5","57","4","77","17","9","15.9","15.9","347","37.4","129","20.1","346","17","117","5.7","17","17.3","454","70.7","32","1.7","188","9.2","51","49"
"Enrollment_by_Subgroup_Metrics","2022-23","District","604","Baker County","ALL","All Column Values","KK,01,02,03,04,05,06,07,08,09,10,11,12","1","TFS","59","10","5","24","1","100","15.3","5","96.9","96.9","14","10.9","TFS","TFS","44","15.3","TFS","TFS","TFS","TFS","49","52.7","TFS","TFS",,,"54","46"
"Enrollment_by_Subgroup_Metrics","2022-23","District","605","Baldwin County","ALL","All Column Values","KK,01,02,03,04,05,06,07,08,09,10,11,12","1","TFS","65","5","5","23","TFS","89","13.2","2","43.5","43.5","768","36.2","316","24.1","582","13.2","71","1.6","17","6.1","680","51.9","191","4.7","272","6.2","50","50"
"Enrollment_by_Subgroup_Metrics","2022-23","District","606","Banks County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","1","TFS","2","11","4","82","TFS","52","15","6","TFS","TFS","307","23.1","74","8.6","425","15","131","4.6","16","100","514","59.9","16",".6","197","7","52","48"
"Enrollment_by_Subgroup_Metrics","2022-23","District","607","Barrow County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","5","TFS","15","25","6","49","TFS","52","15.4","15","6.9","6.9","1993","30.8","292","6.4","2219","15.4","1489","10.4","135","26.2","2596","57.2","169","1.3","1427","9.9","51","49"
"Enrollment_by_Subgroup_Metrics","2022-23","District","608","Bartow County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","1","TFS","9","17","5","67","TFS","54","14","9","18.2","18.2","769","12.6","590","14.1","1860","14","717","5.4","124","22.5","2221","53.1","85",".7","1897","14.3","51","49"
"Enrollment_by_Subgroup_Metrics","2022-23","District","609","Ben Hill County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","TFS","TFS","43","12","3","41","1","81","11.7","4","68.1","68.1","821","68.1","378","41.5","329","11.7","69","2.5","40","20","490","53.8","76","2.9","209","7.5","51","49"
"Enrollment_by_Subgroup_Metrics","2022-23","District","610","Berrien County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","1","TFS","12","10","5","72","2","64","10.3","3","20.4","20.4","374","28.2","114","12.3","303","10.3","50","1.7","16","11.5","613","66.2","31","1.1","217","7.4","52","48"
