"NATMON_IND","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"10403","Start month of the academic school year (tertiary education)","AUS","Australia","2017","2017",1,,
"10403","Start month of the academic school year (tertiary education)","AUS","Australia","2018","2018",1,,
"10403","Start month of the academic school year (tertiary education)","AUS","Australia","2019","2019",1,,
"10403","Start month of the academic school year (tertiary education)","AUS","Australia","2020","2020",1,,
"10403","Start month of the academic school year (tertiary education)","AUS","Australia","2021","2021",1,,
"10403","Start month of the academic school year (tertiary education)","AUS","Australia","2022","2022",1,,
"10403","Start month of the academic school year (tertiary education)","AUT","Austria","2017","2017",9,,
"10403","Start month of the academic school year (tertiary education)","AUT","Austria","2018","2018",9,,
"10403","Start month of the academic school year (tertiary education)","AUT","Austria","2019","2019",9,,
"10403","Start month of the academic school year (tertiary education)","AUT","Austria","2020","2020",9,,
"10403","Start month of the academic school year (tertiary education)","AUT","Austria","2021","2021",9,,
"10403","Start month of the academic school year (tertiary education)","AUT","Austria","2022","2022",9,,
"10403","Start month of the academic school year (tertiary education)","BEL","Belgium","2017","2017",9,,
"10403","Start month of the academic school year (tertiary education)","BEL","Belgium","2018","2018",9,,
"10403","Start month of the academic school year (tertiary education)","BEL","Belgium","2019","2019",9,,
"10403","Start month of the academic school year (tertiary education)","BEL","Belgium","2020","2020",9,,
"10403","Start month of the academic school year (tertiary education)","BEL","Belgium","2021","2021",9,,
"10403","Start month of the academic school year (tertiary education)","BEL","Belgium","2022","2022",9,,
"10403","Start month of the academic school year (tertiary education)","CAN","Canada","2017","2017",9,,
"10403","Start month of the academic school year (tertiary education)","CAN","Canada","2018","2018",9,,
"10403","Start month of the academic school year (tertiary education)","CAN","Canada","2019","2019",9,,
"10403","Start month of the academic school year (tertiary education)","CAN","Canada","2020","2020",9,,
"10403","Start month of the academic school year (tertiary education)","CAN","Canada","2021","2021",9,,
"10403","Start month of the academic school year (tertiary education)","CAN","Canada","2022","2022",9,,
"10403","Start month of the academic school year (tertiary education)","CZE","Czechia","2017","2017",9,,
"10403","Start month of the academic school year (tertiary education)","CZE","Czechia","2018","2018",9,,
"10403","Start month of the academic school year (tertiary education)","CZE","Czechia","2019","2019",9,,
"10403","Start month of the academic school year (tertiary education)","CZE","Czechia","2020","2020",9,,
"10403","Start month of the academic school year (tertiary education)","CZE","Czechia","2021","2021",9,,
"10403","Start month of the academic school year (tertiary education)","CZE","Czechia","2022","2022",9,,
"10403","Start month of the academic school year (tertiary education)","DNK","Denmark","2017","2017",8,,
"10403","Start month of the academic school year (tertiary education)","DNK","Denmark","2018","2018",8,,
"10403","Start month of the academic school year (tertiary education)","DNK","Denmark","2019","2019",8,,
"10403","Start month of the academic school year (tertiary education)","DNK","Denmark","2020","2020",8,,
"10403","Start month of the academic school year (tertiary education)","DNK","Denmark","2021","2021",8,,
"10403","Start month of the academic school year (tertiary education)","DNK","Denmark","2022","2022",8,,
"10403","Start month of the academic school year (tertiary education)","FIN","Finland","2017","2017",8,,
"10403","Start month of the academic school year (tertiary education)","FIN","Finland","2018","2018",8,,
"10403","Start month of the academic school year (tertiary education)","FIN","Finland","2019","2019",8,,
"10403","Start month of the academic school year (tertiary education)","FIN","Finland","2020","2020",8,,
"10403","Start month of the academic school year (tertiary education)","FIN","Finland","2021","2021",8,,
"10403","Start month of the academic school year (tertiary education)","FIN","Finland","2022","2022",8,,
"10403","Start month of the academic school year (tertiary education)","FRA","France","2017","2017",9,,
"10403","Start month of the academic school year (tertiary education)","FRA","France","2018","2018",9,,
"10403","Start month of the academic school year (tertiary education)","FRA","France","2019","2019",9,,
"10403","Start month of the academic school year (tertiary education)","FRA","France","2020","2020",9,,
"10403","Start month of the academic school year (tertiary education)","FRA","France","2021","2021",9,,
"10403","Start month of the academic school year (tertiary education)","FRA","France","2022","2022",9,,
"10403","Start month of the academic school year (tertiary education)","DEU","Germany","2017","2017",9,,
"10403","Start month of the academic school year (tertiary education)","DEU","Germany","2018","2018",9,,
"10403","Start month of the academic school year (tertiary education)","DEU","Germany","2019","2019",9,,
"10403","Start month of the academic school year (tertiary education)","DEU","Germany","2020","2020",9,,
"10403","Start month of the academic school year (tertiary education)","DEU","Germany","2021","2021",9,,
"10403","Start month of the academic school year (tertiary education)","DEU","Germany","2022","2022",9,,
"10403","Start month of the academic school year (tertiary education)","GRC","Greece","2017","2017",9,,
"10403","Start month of the academic school year (tertiary education)","GRC","Greece","2018","2018",9,,
"10403","Start month of the academic school year (tertiary education)","GRC","Greece","2019","2019",9,,
"10403","Start month of the academic school year (tertiary education)","GRC","Greece","2020","2020",9,,
"10403","Start month of the academic school year (tertiary education)","GRC","Greece","2021","2021",9,,
"10403","Start month of the academic school year (tertiary education)","GRC","Greece","2022","2022",9,,
"10403","Start month of the academic school year (tertiary education)","HUN","Hungary","2017","2017",9,,
"10403","Start month of the academic school year (tertiary education)","HUN","Hungary","2018","2018",9,,
"10403","Start month of the academic school year (tertiary education)","HUN","Hungary","2019","2019",9,,
"10403","Start month of the academic school year (tertiary education)","HUN","Hungary","2020","2020",9,,
"10403","Start month of the academic school year (tertiary education)","HUN","Hungary","2021","2021",9,,
"10403","Start month of the academic school year (tertiary education)","HUN","Hungary","2022","2022",9,,
"10403","Start month of the academic school year (tertiary education)","ISL","Iceland","2017","2017",8,,
"10403","Start month of the academic school year (tertiary education)","ISL","Iceland","2018","2018",8,,
"10403","Start month of the academic school year (tertiary education)","ISL","Iceland","2019","2019",8,,
"10403","Start month of the academic school year (tertiary education)","ISL","Iceland","2020","2020",8,,
"10403","Start month of the academic school year (tertiary education)","ISL","Iceland","2021","2021",8,,
