object_id,nces_sch_id,nces_sys_id,orig_state_id,sys_id,sch_id,shape_length,shape_area,sspi,sys_name,sch_name,cluster,n_stu_19,title_i,grade,star_rtg,asian,native,black,hisp,multi,white,frpl,swd,lep,mobility,ccrpi,climate,student,staff,parent,overall,grd_3_la,grd_3_ma,grd_4_la,grd_4_ma,grd_5_la,grd_5_ma,fiscal_year,sys_sch,system_id,system_name,school_id,school_name,direct_cert_perc,k12_poverty_student_ct,k12_student_count
208,130012000022,1300120,GA-761-1053,761,1053,0.15585807178,0.000651603488114,-1.93078596393457,Atlanta Public Schools,Boyd Elementary School,E,436,N,F,1,0,0,96,3,1,0,86.900002,12,2,32,43.7,74.847,70.82,68.997,84.722,81.9,11.6,20.3,5.7,10.1,5.8,1.4,2024,7611053,761,Atlanta Public Schools,1053,William M.Boyd Elementary School,95.3000030517578,381,400
767,130012000029,1300120,GA-761-1560,761,1560,0.155769625324,0.000735302439936,2.62099811778014,Atlanta Public Schools,Garden Hills Elementary School,E,504,N,B,4,2,0,23,52,3,19,33.900002,11,50,22.3,82.2,87.114,85.395,86.988,88.961,95.5,47.5,57.3,50.1,63.8,40.2,30.5,2024,7611560,761,Atlanta Public Schools,1560,Garden Hills Elementary School,53.5999984741211,229,427
1739,130012000036,1300120,GA-761-1066,761,1066,0.245546812133,0.00149896548235,4.64917099621206,Atlanta Public Schools,Rivers Elementary School,E,760,N,B,4,4,1,30,19,4,41,19.5,10,18,15.2,89.7,81.761,75.139,82.948,87.196,94.4,46.6,51.9,50,56.5,65.7,50,2024,7611066,761,Atlanta Public Schools,1066,E. Rivers Elementary School,36.5,240,657
1098,130012000038,1300120,GA-761-1064,761,1064,0.137109517923,0.000759990826331,-2.25527045155609,Atlanta Public Schools,Kimberly Elementary School,E,453,N,D,2,0,0,95,5,1,0,75.300003,10,4,57.2,61.2,75.667,70.247,75.505,81.25,86.2,9.9,24.7,15.9,10.1,21,17.3,2024,7611064,761,Atlanta Public Schools,1064,L. O. Kimberly Elementary School,85.3000030517578,238,279
978,130012000039,1300120,GA-761-1063,761,1063,0.0883373649196,0.000394169342538,-2.97599192172091,Atlanta Public Schools,Hutchinson Elementary School,E,426,N,C,3,0,0,86,13,1,0,74.199997,9,12,56.4,76.4,76.366,74.561,75.022,79.514,88.5,26.2,21.4,21.5,22.8,27.7,20,2024,7611063,761,Atlanta Public Schools,1063,Emma Hutchinson Elementary School,87.3000030517578,220,252
2273,130012004224,1300120,GA-761-1415,761,1415,0.188096246386,0.000915284594196,-5.44515393193304,Atlanta Public Schools,Woodson Park Academy,E,539,N,F,2,0,0,94,4,1,0,82.599998,9,3,46.4,51.8,73.933,74.297,68.345,79.158,83,7.1,10.6,9.8,8.8,12.6,15.8,2024,7611415,761,Atlanta Public Schools,1415,Woodson Park Academy School,94,825,878
974,130012000043,1300120,GA-761-5562,761,5562,0.140429963937,0.000672661445451,-1.76192607307507,Atlanta Public Schools,Humphries Elementary School,E,280,N,D,3,0,0,89,10,0,0,79.300003,12,8,24.7,68.6,78.55,73.228,74.042,88.38,87.4,25,36.4,7.3,17.1,30.3,4.7,2024,7615562,761,Atlanta Public Schools,5562,Joseph Humphries Elementary School,89.5,214,239
690,130012000045,1300120,GA-761-5566,761,5566,0.0722066987109,0.000264278202794,-2.89697823266522,Atlanta Public Schools,F. L. Stanton Elementary School,E,261,N,D,2,0,0,98,0,1,1,78.199997,11,0,39,68,78.064,70.376,81.897,81.919,86.3,10.8,23.9,12.2,14.2,22.9,2.9,2024,7615566,761,Atlanta Public Schools,5566,F. L. Stanton Elementary School,90.1999969482422,156,173
2058,130012000052,1300120,GA-761-5567,761,5567,0.222107232915,0.000984097336077,0.702115774752731,Atlanta Public Schools,Toomer Elementary School,E,424,N,F,2,1,0,75,1,3,19,54.5,16,1,14.7,58.6,73.892,65.184,72.299,84.195,85.1,28,32.4,22.7,31.9,22.4,8.6,2024,7615567,761,Atlanta Public Schools,5567,Fred A. Toomer Elementary School,64.6999969482422,278,430
590,130012000054,1300120,GA-761-5558,761,5558,0.078483802194,0.00026058641286,-3.64613900430222,Atlanta Public Schools,Dunbar Elementary School,E,380,N,D,2,0,0,95,3,1,1,81.099998,6,1,32.9,61.8,70.339,70.783,66.226,74.008,82.9,12.5,14.3,19.5,32,20.6,3.2,2024,7615558,761,Atlanta Public Schools,5558,Paul L. Dunbar Elementary School,95.5999984741211,218,228
