Year,ISO3,ADM0_EN,ADM0_FR,ADM0_PCODE,ADM1_FR,ADM1_EN,ADM1_PCODE,ADM2_FR,ADM2_EN,ADM2_PCODE,F_TL,M_TL,T_TL,F_00_04,F_05_09,F_10_14,F_15_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65_69,F_70_74,F_75_79,F_80Plus,M_00_04,M_05_09,M_10_14,M_15_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65_69,M_70_74,M_75_79,M_80Plus,T_00_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65_69,T_70_74,T_75_79,T_80Plus
2024,HTI,Haiti,Haïti,HT,Artibonite,Artibonite,HT05,Anse Rouge,Anse Rouge,HT0523,24400,23268,47668,2442,2725,2872,2388,2298,1934,1743,1708,1360,1094,1099,822,720,495,330,200,170,2540,2795,2998,2613,2274,1721,1745,1714,1055,864,732,559,543,490,311,154,160,4982,5520,5870,5001,4572,3655,3488,3422,2415,1958,1831,1381,1263,985,641,354,330
2024,HTI,Haiti,Haïti,HT,Artibonite,Artibonite,HT05,Desdunes,Desdunes,HT0544,19005,18597,37602,2078,1748,1608,1636,1780,1565,1535,1283,1305,995,946,805,673,525,274,135,114,2187,1864,1849,1857,1935,1769,1848,1422,890,575,593,469,481,497,204,96,61,4265,3612,3457,3493,3715,3334,3383,2705,2195,1570,1539,1274,1154,1022,478,231,175
2024,HTI,Haiti,Haïti,HT,Artibonite,Artibonite,HT05,Dessalines,Dessalines,HT0541,93965,91422,185387,11867,10293,8836,7818,8290,7454,7098,6437,5302,4792,4187,3674,2796,2280,1446,715,680,11724,10872,9721,8981,8000,7646,7789,6603,4250,3415,3171,2714,2391,1855,1181,640,469,23591,21165,18557,16799,16290,15100,14887,13040,9552,8207,7358,6388,5187,4135,2627,1355,1149
2024,HTI,Haiti,Haïti,HT,Artibonite,Artibonite,HT05,Ennery,Ennery,HT0512,26574,25955,52529,3219,3045,2671,2421,2275,2077,1870,1969,1434,1205,1097,1028,794,647,356,255,211,3011,2995,2907,2612,2157,1854,1921,1905,1238,1104,1000,901,797,671,392,267,223,6230,6040,5578,5033,4432,3931,3791,3874,2672,2309,2097,1929,1591,1318,748,522,434
2024,HTI,Haiti,Haïti,HT,Artibonite,Artibonite,HT05,Gonaïves,Gonaives,HT0511,191139,174912,366051,18738,18492,19861,23621,23600,18476,15556,12316,9153,8067,6500,5264,4421,3240,1842,1041,951,19033,17857,18794,21863,23393,18478,15205,11617,7212,5291,4308,3506,3077,2427,1443,752,656,37771,36349,38655,45484,46993,36954,30761,23933,16365,13358,10808,8770,7498,5667,3285,1793,1607
2024,HTI,Haiti,Haïti,HT,Artibonite,Artibonite,HT05,Grande Saline,Grande Saline,HT0543,11415,12183,23598,1180,1060,808,819,1103,1028,969,913,767,639,549,486,425,331,203,82,53,1321,1209,951,1114,1242,1055,1245,1089,690,542,418,320,355,315,187,94,36,2501,2269,1759,1933,2345,2083,2214,2002,1457,1181,967,806,780,646,390,176,89
2024,HTI,Haiti,Haïti,HT,Artibonite,Artibonite,HT05,Gros Morne,Gros Morne,HT0521,83274,79534,162808,9001,9618,8764,7773,6934,5582,5383,5887,4624,4442,3711,3400,2683,2373,1519,825,755,8770,9952,9519,8872,7044,5441,5082,4988,3789,3148,2944,2778,2456,2050,1363,754,584,17771,19570,18283,16645,13978,11023,10465,10875,8413,7590,6655,6178,5139,4423,2882,1579,1339
2024,HTI,Haiti,Haïti,HT,Artibonite,Artibonite,HT05,L'Estère,L'Estere,HT0513,22878,21924,44802,2423,2474,2154,2191,2186,1962,1930,1614,1324,1123,1039,850,651,457,237,131,132,2751,2444,2296,2253,2158,2011,1796,1673,1048,785,708,593,528,435,241,111,93,5174,4918,4450,4444,4344,3973,3726,3287,2372,1908,1747,1443,1179,892,478,242,225
2024,HTI,Haiti,Haïti,HT,Artibonite,Artibonite,HT05,La Chapelle,La Chapelle,HT0533,16396,16213,32609,2237,1911,1634,1267,1318,1218,1284,1022,850,735,660,640,555,528,248,158,131,2008,2050,1842,1586,1379,1368,1425,991,710,616,522,474,399,387,241,126,89,4245,3961,3476,2853,2697,2586,2709,2013,1560,1351,1182,1114,954,915,489,284,220
2024,HTI,Haiti,Haïti,HT,Artibonite,Artibonite,HT05,Marmelade,Marmelade,HT0552,20040,19619,39659,2412,2331,2087,1993,1609,1357,1290,1367,1113,1049,837,690,643,545,384,204,129,2463,2541,2311,1976,1735,1409,1292,1373,899,787,717,512,521,433,330,195,125,4875,4872,4398,3969,3344,2766,2582,2740,2012,1836,1554,1202,1164,978,714,399,254
