"DETAIL_LVL_DESC","INSTN_NUMBER","SCHOOL_DSTRCT_CD","LONG_SCHOOL_YEAR","INSTN_NAME","SCHOOL_DSTRCT_NM","GRADES_SERVED_DESC","ENROLL_PERCENT_ASIAN","ENROLL_PERCENT_NATIVE","ENROLL_PERCENT_BLACK","ENROLL_PERCENT_HISPANIC","ENROLL_PERCENT_MULTIRACIAL","ENROLL_PERCENT_WHITE","ENROLL_PERCENT_MIGRANT","ENROLL_PERCENT_ED","ENROLL_PERCENT_SWD","ENROLL_PERCENT_LEP","ENROLL_COUNT_REMEDIAL_GR_6_8","ENROLL_PCT_REMEDIAL_GR_6_8","ENROLL_COUNT_EIP_K_5","ENROLL_PERCENT_EIP_K_5","ENROLL_COUNT_REMEDIAL_GR_9_12","ENROLL_PCT_REMEDIAL_GR_9_12","ENROLL_COUNT_SPECIAL_ED_K12","ENROLL_PCT_SPECIAL_ED_K12","ENROLL_COUNT_ESOL","ENROLL_PCT_ESOL","ENROLL_COUNT_SPECIAL_ED_PK","ENROLL_PCT_SPECIAL_ED_PK","ENROLL_COUNT_VOCATION_9_12","ENROLL_PCT_VOCATION_9_12","ENROLL_COUNT_ALT_PROGRAMS","ENROLL_PCT_ALT_PROGRAMS","ENROLL_COUNT_GIFTED","ENROLL_PCT_GIFTED","ENROLL_PERCENT_MALE","ENROLL_PERCENT_FEMALE"
"School","0103","601","2017-18","Appling County High School","Appling County","09,10,11,12",1,0,21,12,3,63,5,90,11.7,2,,,,,94,9.4,118,11.7,9,0.9,0,0,615,61.2,56,7.6,69,6.9,53,47
"School","0177","601","2017-18","Appling County Elementary School","Appling County","02,03,04,05",1,0,32,20,4,43,9,90,16.4,19,,,145,25,,,95,16.4,71,12.3,0,0,,,0,0,24,4.1,51,49
"School","0195","601","2017-18","Appling County Middle School","Appling County","06,07,08",1,0,23,15,4,57,6,90,12.6,8,233,29.7,,,,,99,12.6,27,3.4,0,0,,,30,3.9,55,7,51,49
"School","0277","601","2017-18","Appling County Primary School","Appling County","PK,KK,01,02",1,0,29,24,4,41,9,90,17.8,21,,,104,21.3,,,87,17.8,98,20,26,16.6,,,0,0,7,1.4,49,51
"School","1050","601","2017-18","Altamaha Elementary School","Appling County","PK,KK,01,02,03,04,05",1,0,7,7,3,82,2,90,17.2,5,,,69,18.5,,,64,17.2,17,4.6,10,20,,,0,0,26,7,50,50
"School","5050","601","2017-18","Fourth District Elementary School","Appling County","PK,KK,01,02,03,04,05",0,0,14,12,3,72,4,91,13.9,10,,,53,29.4,,,25,13.9,13,7.2,2,9.1,,,0,0,12,6.7,56,44
"District","ALL","601","2017-18","All Column Values","Appling County","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",1,0,23,15,3,58,6,90,14.3,10,233,29.7,371,22.9,94,9.4,488,14.3,235,6.9,38,16.6,615,61.2,86,2.7,193,5.7,51,49
"School","0103","602","2017-18","Atkinson County High School","Atkinson County","09,10,11,12",0,0,16,36,2,45,3,80,13.9,4,,,,,125,25.6,68,13.9,11,2.3,0,0,372,76.2,7,1.9,31,6.4,53,47
"School","0111","602","2017-18","Atkinson County Middle School","Atkinson County","06,07,08",0,0,15,38,1,44,4,86,13.5,16,109,30.6,,,,,48,13.5,11,3.1,0,0,,,2,0.6,18,5.1,47,53
"School","0187","602","2017-18","Willacoochee Elementary School","Atkinson County","PK,KK,01,02,03,04,05",0,0,24,32,0,43,9,100,7.9,21,,,66,40.2,,,13,7.9,25,15.2,0,0,,,0,0,2,1.2,47,53
