"DETAIL_LVL_DESC","INSTN_NUMBER","SCHOOL_DSTRCT_CD","LONG_SCHOOL_YEAR","INSTN_NAME","SCHOOL_DSTRCT_NM","GRADES_SERVED_DESC","ENROLL_PERCENT_ASIAN","ENROLL_PERCENT_NATIVE","ENROLL_PERCENT_BLACK","ENROLL_PERCENT_HISPANIC","ENROLL_PERCENT_MULTIRACIAL","ENROLL_PERCENT_WHITE","ENROLL_PERCENT_MIGRANT","ENROLL_PERCENT_ED","ENROLL_PERCENT_SWD","ENROLL_PERCENT_LEP","ENROLL_COUNT_REMEDIAL_GR_6_8","ENROLL_PCT_REMEDIAL_GR_6_8","ENROLL_COUNT_EIP_K_5","ENROLL_PERCENT_EIP_K_5","ENROLL_COUNT_REMEDIAL_GR_9_12","ENROLL_PCT_REMEDIAL_GR_9_12","ENROLL_COUNT_SPECIAL_ED_K12","ENROLL_PCT_SPECIAL_ED_K12","ENROLL_COUNT_ESOL","ENROLL_PCT_ESOL","ENROLL_COUNT_SPECIAL_ED_PK","ENROLL_PCT_SPECIAL_ED_PK","ENROLL_COUNT_VOCATION_9_12","ENROLL_PCT_VOCATION_9_12","ENROLL_COUNT_ALT_PROGRAMS","ENROLL_PCT_ALT_PROGRAMS","ENROLL_COUNT_GIFTED","ENROLL_PCT_GIFTED","ENROLL_PERCENT_MALE","ENROLL_PERCENT_FEMALE"
"School","0103","601","2019-20","Appling County High School","Appling County","09,10,11,12",1,0,21,14,4,61,5,90,12.3,2,,,,,76,7.8,120,12.3,11,1.1,0,0,579,59.2,53,7,59,6,51,49
"School","0177","601","2019-20","Appling County Elementary School","Appling County","02,03,04,05",1,0,28,22,4,44,9,90,17.4,20,,,103,21.1,,,85,17.4,61,12.5,0,0,,,0,0,25,5.1,52,48
"School","0195","601","2019-20","Appling County Middle School","Appling County","06,07,08",1,0,23,18,4,54,6,90,14.9,13,223,26.8,,,,,124,14.9,35,4.2,0,0,,,22,2.6,59,7.1,50,50
"School","0277","601","2019-20","Appling County Primary School","Appling County","PK,KK,01,02",0,0,27,24,4,45,9,90,11.4,20,,,99,18.4,,,61,11.4,101,18.8,26,17.1,,,0,0,11,2,48,52
"School","1050","601","2019-20","Altamaha Elementary School","Appling County","PK,KK,01,02,03,04,05",0,0,7,7,3,83,2,90,14.7,6,,,77,21.3,,,53,14.7,19,5.3,10,20,,,0,0,36,10,50,50
"School","5050","601","2019-20","Fourth District Elementary School","Appling County","PK,KK,01,02,03,04,05",0,0,13,12,5,69,4,90,15.1,10,,,38,26,,,22,15.1,14,9.6,0,0,,,0,0,12,8.2,53,47
"District","ALL","601","2019-20","All Column Values","Appling County","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",1,0,22,17,4,57,6,90,13.9,11,223,26.8,317,20.7,76,7.8,465,13.9,241,7.2,36,16.1,579,59.2,75,2.4,202,6,50,50
"School","0103","602","2019-20","Atkinson County High School","Atkinson County","09,10,11,12",0,0,16,38,1,44,5,80,13.7,6,,,,,102,21.8,64,13.7,19,4.1,0,0,288,61.7,7,2,26,5.6,52,48
"School","0111","602","2019-20","Atkinson County Middle School","Atkinson County","06,07,08",0,0,13,46,2,40,7,86,13.3,22,75,19.1,,,,,52,13.3,22,5.6,0,0,,,3,0.8,13,3.3,55,45
"School","0187","602","2019-20","Willacoochee Elementary School","Atkinson County","PK,KK,01,02,03,04,05",0,0,25,32,0,43,12,89,6.6,22,,,84,50.3,,,11,6.6,25,15,1,4.5,,,0,0,7,4.2,51,49
"School","0190","602","2019-20","Pearson Elementary School","Atkinson County","PK,KK,01,02,03,04,05",0,0,13,45,2,40,8,86,11.1,32,,,210,37.1,,,63,11.1,132,23.3,19,20.4,,,0,0,8,1.4,52,48
"District","ALL","602","2019-20","All Column Values","Atkinson County","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",0,0,15,42,2,41,8,84,11.9,21,75,19.1,294,40.1,102,21.8,190,11.9,198,12.4,20,17.4,288,61.7,10,0.7,54,3.4,53,47
"School","0102","603","2019-20","Bacon County Primary School","Bacon County","PK,KK,01,02",0,0,25,15,5,54,5,85,15.9,9,,,197,41.8,,,75,15.9,44,9.3,12,12.4,,,0,0,18,3.8,54,46
"School","0202","603","2019-20","Bacon County Middle School","Bacon County","06,07,08",0,0,22,15,5,58,5,78,18.4,9,139,26.9,,,,,95,18.4,9,1.7,0,0,,,11,2.1,55,10.6,55,45
