FISCAL_YEAR,SYSTEM_ID,SYSTEM_NAME,direct_cert_perc,K12_POVERTY_STUDENT_CT,K12_STUDENT_COUNT,SCHOOL_YEAR
2024.0,601.0,Appling County,69.0,2233.0,3238.0,
2024.0,602.0,Atkinson County,77.5,1156.0,1491.0,
2024.0,603.0,Bacon County,71.0,1428.0,2010.0,
2024.0,604.0,Baker County,85.9000015258789,243.0,283.0,
2024.0,605.0,Baldwin County,77.80000305175781,3355.0,4313.0,
2024.0,606.0,Banks County,55.70000076293945,1595.0,2861.0,
2024.0,607.0,Barrow County,55.400001525878906,8161.0,14729.0,
2024.0,608.0,Bartow County,56.900001525878906,7734.0,13595.0,
2024.0,609.0,Ben Hill County,74.5,2054.0,2756.0,
2024.0,610.0,Berrien County,65.69999694824219,1949.0,2968.0,
2024.0,611.0,Bibb County,79.9000015258789,16354.0,20462.0,
2024.0,612.0,Bleckley County,58.599998474121094,1443.0,2463.0,
2024.0,613.0,Brantley County,67.4000015258789,2169.0,3220.0,
2024.0,614.0,Brooks County,79.80000305175781,1667.0,2090.0,
2024.0,615.0,Bryan County,29.700000762939453,3003.0,10128.0,
2024.0,616.0,Bulloch County,62.29999923706055,6568.0,10546.0,
2024.0,617.0,Burke County,76.30000305175781,2805.0,3674.0,
2024.0,618.0,Butts County,67.0999984741211,2257.0,3362.0,
2024.0,619.0,Calhoun County,88.4000015258789,365.0,413.0,
2024.0,620.0,Camden County,40.29999923706055,3792.0,9399.0,
2024.0,621.0,Candler County,72.69999694824219,1471.0,2024.0,
2024.0,622.0,Carroll County,56.0,8780.0,15671.0,
2024.0,623.0,Catoosa County,46.29999923706055,4563.0,9865.0,
2024.0,624.0,Charlton County,60.400001525878906,963.0,1594.0,
2024.0,625.0,Savannah-Chatham County,62.0,21184.0,34159.0,
2024.0,626.0,Chattahoochee County,42.900001525878906,396.0,923.0,
2024.0,627.0,Chattooga County,75.69999694824219,1955.0,2581.0,
2024.0,628.0,Cherokee County,32.099998474121094,13245.0,41274.0,
2024.0,629.0,Clarke County,64.0,7380.0,11529.0,
2024.0,630.0,Clay County,88.80000305175781,166.0,187.0,
2024.0,631.0,Clayton County,74.69999694824219,36937.0,49455.0,
2024.0,632.0,Clinch County,71.69999694824219,826.0,1152.0,
2024.0,633.0,Cobb County,38.29999923706055,40343.0,105459.0,
2024.0,634.0,Coffee County,75.30000305175781,5433.0,7216.0,
2024.0,635.0,Colquitt County,75.0999984741211,6266.0,8339.0,
2024.0,636.0,Columbia County,30.799999237060547,8770.0,28504.0,
2024.0,637.0,Cook County,73.30000305175781,2114.0,2883.0,
2024.0,638.0,Coweta County,41.5,9252.0,22307.0,
2024.0,639.0,Crawford County,70.80000305175781,1058.0,1494.0,
2024.0,640.0,Crisp County,79.69999694824219,2570.0,3225.0,
2024.0,641.0,Dade County,49.400001525878906,950.0,1925.0,
2024.0,642.0,Dawson County,46.79999923706055,1843.0,3934.0,
2024.0,643.0,Decatur County,75.0999984741211,3018.0,4019.0,
2024.0,644.0,DeKalb County,60.599998474121094,53530.0,88304.0,
2024.0,645.0,Dodge County,72.5,1891.0,2609.0,
2024.0,646.0,Dooly County,85.19999694824219,892.0,1047.0,
2024.0,647.0,Dougherty County,83.5999984741211,10505.0,12565.0,
2024.0,648.0,Douglas County,59.599998474121094,15253.0,25586.0,
2024.0,649.0,Early County,84.9000015258789,1255.0,1479.0,
2024.0,650.0,Echols County,71.9000015258789,609.0,847.0,
2024.0,651.0,Effingham County,38.400001525878906,5254.0,13680.0,
2024.0,652.0,Elbert County,69.80000305175781,2038.0,2920.0,
2024.0,653.0,Emanuel County,75.0999984741211,2820.0,3757.0,
2024.0,654.0,Evans County,77.30000305175781,1300.0,1681.0,
2024.0,655.0,Fannin County,61.0,1665.0,2729.0,
