Team1,Team2,Trophy,Start_Year,Team2_Team1_Id,Team2_Team1_School,Team2_Team1_Mascot,Team2_Team1_Abbreviation,Team2_Team1_Alt Name1,Team2_Team1_Alt Name2,Team2_Team1_Alt Name3,Team2_Team1_Conference,Team2_Team1_Division,Team2_Team1_Color,Team2_Team1_Alt Color,Team2_Team1_Logos[0],Team2_Team1_Logos[1],Team2_Team1_Twitter,Team2_Team1_Location Venue Id,Team2_Team1_Location Name,Team2_Team1_Location City,Team2_Team1_Location State,Team2_Team1_Location Zip,Team2_Team1_Location Country Code,Team2_Team1_Location Timezone,Team2_Team1_Location Latitude,Team2_Team1_Location Longitude,Team2_Team1_Location Elevation,Team2_Team1_Location Capacity,Team2_Team1_Location Year Constructed,Team2_Team1_Location Grass,Team2_Team1_Location Dome,Team2_Id,Team2_School,Team2_Mascot,Team2_Abbreviation,Team2_Alt Name1,Team2_Alt Name2,Team2_Alt Name3,Team2_Conference,Team2_Division,Team2_Color,Team2_Alt Color,Team2_Logos[0],Team2_Logos[1],Team2_Twitter,Team2_Location Venue Id,Team2_Location Name,Team2_Location City,Team2_Location State,Team2_Location Zip,Team2_Location Country Code,Team2_Location Timezone,Team2_Location Latitude,Team2_Location Longitude,Team2_Location Elevation,Team2_Location Capacity,Team2_Location Year Constructed,Team2_Location Grass,Team2_Location Dome
Michigan,Ohio State,The Game,,130.0,Michigan,Wolverines,MICH,,MICH,Michigan,Big Ten,,#00274c,#ffcb05,http://a.espncdn.com/i/teamlogos/ncaa/500/130.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/130.png,@UMichFootball,3558.0,Michigan Stadium,Ann Arbor,MI,48109.0,US,America/Detroit,42.2658365,-83.7486956,255.5500031,107601.0,1927.0,False,False,194.0,Ohio State,Buckeyes,OSU,,OSU,Ohio State,Big Ten,,#ce1141,#505056,http://a.espncdn.com/i/teamlogos/ncaa/500/194.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/194.png,@OhioStateFB,3861.0,Ohio Stadium,Columbus,OH,43210.0,US,America/New_York,40.0016447,-83.0197266,216.6770325,102780.0,1922.0,False,False
Alabama,Auburn,Iron Bowl,,333.0,Alabama,Crimson Tide,ALA,,ALA,Alabama,SEC,,#9e1632,#ffffff,http://a.espncdn.com/i/teamlogos/ncaa/500/333.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/333.png,@AlabamaFTBL,3657.0,Bryant-Denny Stadium,Tuscaloosa,AL,35487.0,US,America/Chicago,33.2082752,-87.5503836,70.05136108,101821.0,1929.0,True,False,2.0,Auburn,Tigers,AUB,,AUB,Auburn,SEC,,#002b5c,#f26522,http://a.espncdn.com/i/teamlogos/ncaa/500/2.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2.png,@AuburnFootball,3785.0,Jordan-Hare Stadium,Auburn,AL,36849.0,US,America/Chicago,32.6025532,-85.4897479,201.1737976,87451.0,1939.0,True,False
Army,Navy,Army-Navy Game,,349.0,Army,Black Knights,ARMY,,ARMY,Army,American Athletic,,#ce9c00,#231f20,http://a.espncdn.com/i/teamlogos/ncaa/500/349.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/349.png,@ArmyWP_Football,3841.0,Michie Stadium,West Point,NY,10996.0,US,America/New_York,41.3874924,-73.9640891,99.21277618,38000.0,1924.0,False,False,2426.0,Navy,Midshipmen,NAVY,,NAVY,Navy,American Athletic,,#00225b,#b5a67c,http://a.espncdn.com/i/teamlogos/ncaa/500/2426.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2426.png,@NavyFB,3852.0,Navy-Marine Corps Memorial Stadium,Annapolis,MD,21402.0,US,America/New_York,38.9846985,-76.5076335,10.74990082,34000.0,1959.0,False,False
USC,Notre Dame,Jeweled Shillelagh,,30.0,USC,Trojans,USC,,USC,USC,Big Ten,,#9e2237,#ffcc00,http://a.espncdn.com/i/teamlogos/ncaa/500/30.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/30.png,@uscfb,477.0,Los Angeles Memorial Coliseum,Los Angeles,CA,90089.0,US,America/Los_Angeles,34.014167,-118.287778,42.50374222,77500.0,1923.0,True,False,87.0,Notre Dame,Fighting Irish,ND,,ND,Notre Dame,FBS Independents,,#0c2340,#c99700,http://a.espncdn.com/i/teamlogos/ncaa/500/87.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/87.png,@NDFootball,3855.0,Notre Dame Stadium,Notre Dame,IN,46556.0,US,America/Indiana/Indianapolis,41.698378,-86.2339425,222.645401,80795.0,1930.0,False,False
Oklahoma,Texas,Red River Showdown,,201.0,Oklahoma,Sooners,OU,,OU,Oklahoma,SEC,,#a32036,#ffffff,http://a.espncdn.com/i/teamlogos/ncaa/500/201.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/201.png,@OU_Football,3835.0,"Memorial Stadium (Norman, OK)",Norman,OK,73019.0,US,America/Chicago,35.2058537,-97.4423145,355.0962524,86112.0,1925.0,True,False,251.0,Texas,Longhorns,TEX,,TEX,Texas,SEC,,#c15d26,#ffffff,http://a.espncdn.com/i/teamlogos/ncaa/500/251.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/251.png,@TexasFootball,3910.0,DKR-Texas Memorial Stadium,Austin,TX,78712.0,US,America/Chicago,30.2836813,-97.7325345,160.3089447,100119.0,1924.0,False,False
Minnesota,Wisconsin,Paul Bunyan's Axe,,135.0,Minnesota,Golden Gophers,MINN,,MINN,Minnesota,Big Ten,,#5e0a2f,#fab41c,http://a.espncdn.com/i/teamlogos/ncaa/500/135.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/135.png,@GopherFootball,3953.0,Huntington Bank Stadium,Minneapolis,MN,55488.0,US,America/Chicago,44.976525,-93.2245462,254.3902283,50850.0,2009.0,False,False,275.0,Wisconsin,Badgers,WIS,,WIS,Wisconsin,Big Ten,,#c4012f,#ffffff,http://a.espncdn.com/i/teamlogos/ncaa/500/275.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/275.png,@BadgerFootball,347.0,Camp Randall Stadium,Madison,WI,53711.0,US,America/Chicago,43.06994,-89.4126943,263.604126,80321.0,1917.0,False,False
Florida,Georgia,World's Largest Outdoor Cocktail Party,,57.0,Florida,Gators,FLA,,FLA,Florida,SEC,,#0021a5,#fa4616,http://a.espncdn.com/i/teamlogos/ncaa/500/57.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/57.png,@GatorsFB,3634.0,Ben Hill Griffin Stadium,Gainesville,FL,32653.0,US,America/New_York,29.6499357,-82.3485788,44.97250748,88548.0,1930.0,True,False,61.0,Georgia,Bulldogs,UGA,,UGA,Georgia,SEC,,#ba0c2f,#ffffff,http://a.espncdn.com/i/teamlogos/ncaa/500/61.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/61.png,@GeorgiaFootball,3917.0,Sanford Stadium,Athens,GA,30602.0,US,America/New_York,33.9498197,-83.3733813,186.1120758,92746.0,1929.0,True,False
Oregon,Oregon State,Civil War,,2483.0,Oregon,Ducks,ORE,,ORE,Oregon,Big Ten,,#007030,#fee11a,http://a.espncdn.com/i/teamlogos/ncaa/500/2483.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2483.png,@OregonFootball,3626.0,Autzen Stadium,Eugene,OR,97401.0,US,America/Los_Angeles,44.0582712,-123.0684883,127.4198303,54000.0,1967.0,False,False,204.0,Oregon State,Beavers,ORST,,ORST,Oregon St,Pac-12,,#231f20,#d73f09,http://a.espncdn.com/i/teamlogos/ncaa/500/204.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/204.png,@BeaverFootball,3893.0,Reser Stadium,Corvallis,OR,97331.0,US,America/Los_Angeles,44.5594559,-123.2814341,66.90744781,43363.0,1953.0,False,False
Stanford,California,Big Game,,24.0,Stanford,Cardinal,STAN,,STAN,Stanford,ACC,,#8c1515,#ffffff,http://a.espncdn.com/i/teamlogos/ncaa/500/24.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/24.png,@StanfordFball,3940.0,Stanford Stadium,Stanford,CA,94305.0,US,America/Los_Angeles,37.4345556,-122.1611271,18.38425636,50424.0,2006.0,True,False,25.0,California,Golden Bears,CAL,,CAL,California,ACC,,#031522,#ffc423,http://a.espncdn.com/i/teamlogos/ncaa/500/25.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/25.png,@CalFootball,3831.0,California Memorial Stadium,Berkeley,CA,94720.0,US,America/Los_Angeles,37.8710434,-122.2507729,125.3108063,62467.0,1923.0,False,False
Michigan State,Michigan,Paul Bunyan Trophy,,127.0,Michigan State,Spartans,MSU,,MSU,Michigan St,Big Ten,,#18453b,#ffffff,http://a.espncdn.com/i/teamlogos/ncaa/500/127.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/127.png,@MSU_Football,3936.0,Spartan Stadium,East Lansing,MI,48824.0,US,America/Detroit,42.7281474,-84.4848526,254.8794861,75005.0,1923.0,True,False,130.0,Michigan,Wolverines,MICH,,MICH,Michigan,Big Ten,,#00274c,#ffcb05,http://a.espncdn.com/i/teamlogos/ncaa/500/130.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/130.png,@UMichFootball,3558.0,Michigan Stadium,Ann Arbor,MI,48109.0,US,America/Detroit,42.2658365,-83.7486956,255.5500031,107601.0,1927.0,False,False
