NCES District ID,State District ID,District Name,County Name,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Students,Teachers,Schools,Locale Code,Locale,Student Teacher Ratio,Type
1300060,GA-601,Appling County School District,Appling County,249 Blackshear Highway,Baxley,GEORGIA,31513,    ,(912)367-8600,3463.00,256.30,5.00,33,33-Town: Remote,13.51,1-Regular local school district that is NOT a component of a supervisory union
1300090,GA-602,Atkinson County School District,Atkinson County,506 East Roberts Ave.,Pearson,GEORGIA,31642,    ,(912)422-7373,1630.00,119.10,4.00,43,43-Rural: Remote,13.69,1-Regular local school district that is NOT a component of a supervisory union
1300120,GA-761,Atlanta City School District,Fulton County,210 Pryor Rd.,Atlanta,GEORGIA,30335,    ,(404)802-3500,50325.00,3979.90,86.00,11,11-City: Large,12.64,1-Regular local school district that is NOT a component of a supervisory union
1300150,GA-603,Bacon County School District,Bacon County,102 W. 4th Street,Alma,GEORGIA,31510,    ,(912)632-7363,2128.00,162.40,4.00,41,41-Rural: Fringe,13.10,1-Regular local school district that is NOT a component of a supervisory union
1300180,GA-604,Baker County School District,Baker County,260 Hwy 37 SW,Newton,GEORGIA,31770,    ,(229)734-5346,300.00,25.90,2.00,42,42-Rural: Distant,11.58,1-Regular local school district that is NOT a component of a supervisory union
1300210,GA-605,Baldwin County School District,Baldwin County,110 N. ABC Street,Milledgeville,GEORGIA,31061,    ,(478)453-4176,4693.00,344.70,6.00,32,32-Town: Distant,13.61,1-Regular local school district that is NOT a component of a supervisory union
1300240,GA-606,Banks County School District,Banks County,102 Hwy 51 South,Homer,GEORGIA,30547,    ,(706)677-2224,2843.00,211.00,4.00,42,42-Rural: Distant,13.47,1-Regular local school district that is NOT a component of a supervisory union
1300290,GA-607,Barrow County School District,Barrow County,179 West Athens Street,Winder,GEORGIA,30680,    ,(770)867-4527,14882.00,1072.80,16.00,41,41-Rural: Fringe,13.87,1-Regular local school district that is NOT a component of a supervisory union
1300330,GA-608,Bartow County School District,Bartow County,65 Gilreath Road NW,Cartersville,GEORGIA,30120,    ,(770)606-5800,13806.00,931.30,19.00,41,41-Rural: Fringe,14.82,1-Regular local school district that is NOT a component of a supervisory union
1300360,GA-609,Ben Hill County School District,Ben Hill County,509 West Palm Street,Fitzgerald,GEORGIA,31750,    ,(912)426-5500,3003.00,237.20,5.00,41,41-Rural: Fringe,12.66,1-Regular local school district that is NOT a component of a supervisory union
1300390,GA-610,Berrien County School District,Berrien County,810 South Dogwood Drive,Nashville,GEORGIA,31639,    ,(912)686-2081,3074.00,209.00,5.00,41,41-Rural: Fringe,14.71,1-Regular local school district that is NOT a component of a supervisory union
1300420,GA-611,Bibb County School District,Bibb County,484 Mulberry St,Macon,GEORGIA,31201,    ,(478)765-8711,21392.00,1513.40,35.00,12,12-City: Mid-size,14.14,1-Regular local school district that is NOT a component of a supervisory union
1300440,GA-612,Bleckley County School District,Bleckley County,909 N.E Dykes St.,Cochran,GEORGIA,31014,    ,(478)934-2821,2605.00,186.00,5.00,41,41-Rural: Fringe,14.01,1-Regular local school district that is NOT a component of a supervisory union
1300480,GA-613,Brantley County School District,Brantley County,272 School Circle,Nahunta,GEORGIA,31553,    ,(912)462-6176,3403.00,244.40,7.00,42,42-Rural: Distant,13.92,1-Regular local school district that is NOT a component of a supervisory union
1300510,GA-763,Bremen City School District,Haralson County,504 Laurel Street,Bremen,GEORGIA,30110,    ,(770)537-5508,2355.00,143.70,4.00,31,31-Town: Fringe,16.39,1-Regular local school district that is NOT a component of a supervisory union
1300540,GA-614,Brooks County School District,Brooks County,1081 Barwick Road,Quitman,GEORGIA,31643,    ,(229)263-7531,2141.00,158.70,6.00,41,41-Rural: Fringe,13.49,1-Regular local school district that is NOT a component of a supervisory union
1300570,GA-615,Bryan County School District,Bryan County,66 Industrial Blvd.,Pembroke,GEORGIA,31321,    ,(912)851-4000,10221.00,709.20,10.00,41,41-Rural: Fringe,14.41,1-Regular local school district that is NOT a component of a supervisory union
1300600,GA-764,Buford City School District,Gwinnett County,2625 Sawnee Avenue,Buford,GEORGIA,30518,    ,(770)945-5035,5847.00,358.70,5.00,21,21-Suburb: Large,16.30,1-Regular local school district that is NOT a component of a supervisory union
1300630,GA-616,Bulloch County School District,Bulloch County,150 Williams Rd. Suite A,Statesboro,GEORGIA,30458,    ,(912)764-6201,11050.00,795.40,15.00,42,42-Rural: Distant,13.89,1-Regular local school district that is NOT a component of a supervisory union
1300660,GA-617,Burke County School District,Burke County,789 Burke Veterans Parkway,Waynesboro,GEORGIA,30830,    ,(706)554-5101,3990.00,323.80,5.00,32,32-Town: Distant,12.32,1-Regular local school district that is NOT a component of a supervisory union
1300690,GA-618,Butts County School District,Butts County,181 N. Mulberry St.,Jackson,GEORGIA,30233,    ,(770)504-2300,3564.00,234.30,5.00,41,41-Rural: Fringe,15.21,1-Regular local school district that is NOT a component of a supervisory union
1300720,GA-765,Calhoun City School District,Gordon County,334 South Wall Street,Calhoun,GEORGIA,30701,    ,(706)629-2900,4135.00,228.50,5.00,32,32-Town: Distant,18.10,1-Regular local school district that is NOT a component of a supervisory union
1300750,GA-619,Calhoun County School District,Calhoun County,10877 Dickey Street,Morgan,GEORGIA,39866,    ,(229)849-2765,467.00,38.80,3.00,43,43-Rural: Remote,12.04,1-Regular local school district that is NOT a component of a supervisory union
1300780,GA-620,Camden County School District,Camden County,311 South East Street,Kingsland,GEORGIA,31548,    ,(912)729-5687,9523.00,652.60,12.00,32,32-Town: Distant,14.59,1-Regular local school district that is NOT a component of a supervisory union
1300810,GA-621,Candler County School District,Candler County,210 South College Street,Metter,GEORGIA,30439,    ,(912)685-5713,2201.00,143.60,4.00,41,41-Rural: Fringe,15.33,1-Regular local school district that is NOT a component of a supervisory union
