"","College_Name","City","State","Year_Founded","Mascot","Population","F__Black","Latitude","Longitude","primary_color","secondary_color"
"1","Payne Theological Seminary","Wilberforce","OH",1894,"N/A",190,1,39.7153,-83.8848,"#5B2D75","#B57A22"
"2","Selma University","Selma","AL",1878,"Bulldogs",547,0.98,32.4199,-87.0321,NA,NA
"3","Simmons College of Kentucky","Louisville","KY",1879,"Falcons",209,0.98,38.2395,-85.7648,NA,NA
"4","Spelman College","Atlanta","GA",1881,"Jaguar",2207,0.97,33.7452,-84.4114,"#02448D","#A0D1F0"
"5","LeMoyne Owen College","Memphis","TN",1968,"Magician",987,0.97,35.1181,-90.0344,NA,NA
"6","Bennett College","Greensboro","NC",1873,"Belles",780,0.97,36.0679,-79.7792,"#00236C","#337AB7"
"7","Tougaloo College","Tougaloo","MS",1869,"Bulldog",716,0.97,32.4048,-90.1608,"#AD1D20","#002A85"
"8","Virginia University of Lynchburg","Lynchburg","VA",1886,"Hornet",597,0.97,37.3952,-79.1516,"#E4002A","#E4002A"
"9","Wilberforce University","Wilberforce","OH",1856,"Bulldogs",553,0.97,39.7104,-83.8794,"#EFCF0C","#056132"
"10","Voorhees College","Denmark","SC",1897,"Tigers",434,0.97,33.3091,-81.1259,NA,NA
"11","Paine College","Augusta","GA",1882,"Lion",370,0.97,33.4696,-81.9933,"#432C91","#000000"
"12","Interdenominational Theological Center","Atlanta","GA",1958,"Panthers",265,0.97,33.754,-84.4094,"#007953","#C5D5CD"
"13","Morris Brown College","Atlanta","GA",1881,"Wolverines",42,0.97,33.7549,-84.4086,"#4A233A","#FFFFFF"
"14","Clinton College","Rock Hill","SC",1894,"Golden Bears",200,0.96,34.9134,-81.0429,"#000000","#ECCE7B"
"15","Edward Waters University","Jacksonville","FL",1866,"Tiger",769,0.95,30.3437,-81.6837,"#772583","#E87722"
"16","Shorter College","North Little Rock","AR",1886,"Hawk",3702,0.94,34.7592,-92.2604,"#0036A2","#005AFF"
"17","South Carolina State University","Orangeburg","SC",1896,"Bulldogs",2339,0.94,33.4985,-80.8498,"#841A2B",NA
"18","Stillman College","Tuscaloosa","AL",1876,"Tigers",615,0.94,33.1983,-87.5859,"#06255B","#CEB770"
"19","Grambling State University","Grambling","LA",1901,"Tiger",4863,0.93,32.5027,-92.7189,"#000000","#ECAA00"
"20","Morris College","Sumter","SC",1908,"Hornets",1020,0.93,33.938,-80.347,"#012C9B","#F5BE40"
"21","American Baptist University","Nashville","TN",1924,"Blue Healers",152,0.93,36.203,-86.7892,NA,NA
"22","Barber-Scotia College","Concord","NC",1867,"Tiger",120,0.93,35.4067,-80.5858,NA,NA
"23","Virginia State University","Petersburg","VA",1882,"Trojan",5414,0.92,37.2385,-77.4199,"#F36917","#1C4F9C"
"24","Hampton University","Hampton","VA",1868,"Pirates",4619,0.92,37.0299,-79.3452,"#0060A9","#FFFFFF"
"25","Alcorn State University","Lorman","MS",1871,"Bravehawk",3100,0.92,31.8742,-91.1373,"#512D6D","#CC8A00"
"26","Coahoma Community College","Clarksdale","MS",1949,"Tiger",2999,0.92,34.2563,-90.5692,"#570A16","#FFFFFF"
"27","Southern University-Shreveport","Shreveport","LA",1967,"Jaguars",2834,0.92,32.5442,-93.8346,NA,NA
"28","Rust College","Holly Springs","MS",1866,"Bearcats",1064,0.92,34.7765,-89.4476,"#2C3192","#FFFFFF"
"29","Philander Smith College","Little Rock","AR",1877,"Panthers",765,0.92,34.7371,-92.283,"#4A2B7C","#F4861F"
