SCHOOL_YEAR,SYSTEM_ID,SYSTEM_NAME,direct_cert_perc
2014,601,Appling County,40
2014,602,Atkinson County,45
2014,603,Bacon County,39
2014,604,Baker County,61
2014,605,Baldwin County,50
2014,606,Banks County,34
2014,607,Barrow County,30
2014,608,Bartow County,33
2014,609,Ben Hill County,51
2014,610,Berrien County,42
2014,611,Bibb County,57
2014,612,Bleckley County,34
2014,613,Brantley County,40
2014,614,Brooks County,51
2014,615,Bryan County,16
2014,616,Bulloch County,38
2014,617,Burke County,54
2014,618,Butts County,44
2014,619,Calhoun County,67
2014,620,Camden County,27
2014,621,Candler County,44
2014,622,Carroll County,38
2014,623,Catoosa County,26
2014,624,Charlton County,38
2014,625,Chatham County,41
2014,626,Chattahoochee County,29
2014,627,Chattooga County,49
2014,628,Cherokee County,15
2014,629,Clarke County,49
2014,630,Clay County,83
2014,631,Clayton County,51
2014,632,Clinch County,48
2014,633,Cobb County,23
2014,634,Coffee County,46
2014,635,Colquitt County,50
2014,636,Columbia County,16
2014,637,Cook County,44
2014,638,Coweta County,25
2014,639,Crawford County,42
2014,640,Crisp County,53
2014,641,Dade County,30
2014,642,Dawson County,25
2014,643,Decatur County,50
2014,644,DeKalb County,44
2014,645,Dodge County,43
2014,646,Dooly County,64
2014,647,Dougherty County,62
2014,648,Douglas County,33
2014,649,Early County,54
2014,650,Echols County,49
2014,651,Effingham County,21
2014,652,Elbert County,42
2014,653,Emanuel County,51
2014,654,Evans County,51
2014,655,Fannin County,38
2014,656,Fayette County,14
2014,657,Floyd County,34
2014,658,Forsyth County,8
2014,659,Franklin County,38
2014,660,Fulton County,28
2014,661,Gilmer County,35
2014,662,Glascock County,30
2014,663,Glynn County,40
2014,664,Gordon County,35
2014,665,Grady County,46
2014,666,Greene County,50
2014,667,Gwinnett County,24
2014,668,Habersham County,31
2014,669,Hall County,28
2014,670,Hancock County,71
2014,671,Haralson County,44
2014,672,Harris County,18
2014,673,Hart County,36
2014,674,Heard County,41
2014,675,Henry County,28
2014,676,Houston County,32
2014,677,Irwin County,46
2014,678,Jackson County,29
2014,679,Jasper County,45
2014,680,Jeff Davis County,44
2014,681,Jefferson County,56
