SCHOOL_YEAR,SYSTEM_ID,SYSTEM_NAME,SCHOOL_ID,SCHOOL_NAME,direct_cert_perc
2014,601,Appling County,0103,Appling County High School,30
2014,601,Appling County,0177,Appling County Elementary School,47
2014,601,Appling County,0195,Appling County Middle School,37
2014,601,Appling County,0277,Appling County Primary School,54
2014,601,Appling County,1050,Altamaha Elementary School,36
2014,601,Appling County,5050,Fourth District Elementary School,40
2014,602,Atkinson County,0103,Atkinson County High School,33
2014,602,Atkinson County,0111,Atkinson County Middle School,43
2014,602,Atkinson County,0187,Willacoochee Elementary School,58
2014,602,Atkinson County,0190,Pearson Elementary School,49
2014,603,Bacon County,0102,Bacon County Primary School,49
2014,603,Bacon County,0202,Bacon County Middle School,38
2014,603,Bacon County,0302,Bacon County High School,26
2014,603,Bacon County,3050,Bacon County Elementary School,41
2014,604,Baker County,0105,Baker County K12 School,61
2014,605,Baldwin County,0100,Oak Hill MS,51
2014,605,Baldwin County,0104,Eagle Ridge Elementary School,68
2014,605,Baldwin County,0189,Baldwin High School,36
2014,605,Baldwin County,0194,Midway Elementary School,67
2014,605,Baldwin County,0195,Blandy Hills Elementary School,51
2014,605,Baldwin County,0199,Creekside Elementary School,41
2014,606,Banks County,0105,Banks County Middle School,31
2014,606,Banks County,0107,Banks County Elementary School,39
2014,606,Banks County,0199,Banks County High School,26
2014,606,Banks County,0205,Banks County Primary School,44
2014,607,Barrow County,0101,Apalachee High School,23
2014,607,Barrow County,0105,County Line Elementary School,41
2014,607,Barrow County,0106,Haymon-Morris Middle School,27
2014,607,Barrow County,0113,Snodon Preparatory School,30
2014,607,Barrow County,0114,Bear Creek Middle School,34
2014,607,Barrow County,0189,Kennedy Elementary School,42
2014,607,Barrow County,0193,Bramlett Elementary School,21
2014,607,Barrow County,0198,Westside Middle School,31
2014,607,Barrow County,0205,Bethlehem Elementary School,33
2014,607,Barrow County,0289,Russell Middle School,26
2014,607,Barrow County,0298,Yargo Elementary School,22
2014,607,Barrow County,1050,Auburn Elementary School,38
2014,607,Barrow County,3052,Winder-Barrow High School,22
2014,607,Barrow County,4050,Holsenbeck Elementary School,38
2014,607,Barrow County,5050,Statham Elementary School,32
2014,608,Bartow County,0101,Woodland Middle School at Euharlee,27
2014,608,Bartow County,0104,Clear Creek Elementary School,36
2014,608,Bartow County,0105,Adairsville High School,23
2014,608,Bartow County,0106,Pine Log Elementary,38
2014,608,Bartow County,0107,Euharlee Elementary School,32
2014,608,Bartow County,0114,Cass High School,28
2014,608,Bartow County,0115,Cloverleaf Elementary,40
2014,608,Bartow County,0175,White Elementary School,35
2014,608,Bartow County,0177,Adairsville Elementary School,35
2014,608,Bartow County,0186,Mission Road Elementary School,32
2014,608,Bartow County,0190,South Central Middle School,48
2014,608,Bartow County,0195,Cass Middle School,32
2014,608,Bartow County,0196,Allatoona Elementary School,56
2014,608,Bartow County,0198,Woodland High School,23
2014,608,Bartow County,0296,Kingston Elementary School,47
2014,608,Bartow County,0301,Adairsville Middle School,28
2014,608,Bartow County,0377,Hamilton Crossing Elementary School,32
2014,608,Bartow County,0396,Taylorsville Elementary School,34
2014,608,Bartow County,2052,Emerson Elementary School,53
2014,609,Ben Hill County,0111,Ben Hill Elementary School,56
