"LONG_SCHOOL_YEAR","DETAIL_LVL_DESC","SCHOOL_DSTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","GRADES_SERVED_DESC","LABEL_LVL_1_DESC","PROGRAM_TOTAL","PROGRAM_PERCENT","TOTAL_COUNT"
"2019-20","District","601","Appling County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","5 Yr Grad Rate -ALL Students","205","93.18","220"
"2019-20","District","601","Appling County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","5 Yr Grad Rate -Active Duty","TFS","TFS","TFS"
"2019-20","District","601","Appling County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","5 Yr Grad Rate -American Indian/Alaskan","TFS","TFS","TFS"
"2019-20","District","601","Appling County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","5 Yr Grad Rate -Asian/Pacific Islander","TFS","TFS","TFS"
"2019-20","District","601","Appling County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","5 Yr Grad Rate -Black","32","84.21","38"
"2019-20","District","601","Appling County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","5 Yr Grad Rate -Economically Disadvantaged","205","93.18","220"
"2019-20","District","601","Appling County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","5 Yr Grad Rate -Female","99","95.19","104"
"2019-20","District","601","Appling County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","5 Yr Grad Rate -Foster","TFS","TFS","TFS"
"2019-20","District","601","Appling County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","5 Yr Grad Rate -Hispanic","35","100","35"
"2019-20","District","601","Appling County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","5 Yr Grad Rate -Homeless","TFS","TFS","TFS"
"2019-20","District","601","Appling County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","5 Yr Grad Rate -Male","106","91.38","116"
"2019-20","District","601","Appling County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","5 Yr Grad Rate -Migrant","TFS","TFS","TFS"
"2019-20","District","601","Appling County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","5 Yr Grad Rate -Multi-Racial","TFS","TFS","TFS"
"2019-20","District","601","Appling County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","5 Yr Grad Rate -Not Economically Disadvantaged","TFS","TFS","TFS"
"2019-20","District","601","Appling County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","5 Yr Grad Rate -Students With Disability","18","64.29","28"
"2019-20","District","601","Appling County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","5 Yr Grad Rate -Students Without Disability","187","97.4","192"
"2019-20","District","601","Appling County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","5 Yr Grad Rate -White","131","94.24","139"
"2019-20","District","602","Atkinson County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","5 Yr Grad Rate -ALL Students","117","94.35","124"
"2019-20","District","602","Atkinson County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","5 Yr Grad Rate -Active Duty","TFS","TFS","TFS"
"2019-20","District","602","Atkinson County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","5 Yr Grad Rate -American Indian/Alaskan","TFS","TFS","TFS"
"2019-20","District","602","Atkinson County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","5 Yr Grad Rate -Asian/Pacific Islander","TFS","TFS","TFS"
"2019-20","District","602","Atkinson County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","5 Yr Grad Rate -Black","18","94.74","19"
"2019-20","District","602","Atkinson County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","5 Yr Grad Rate -Economically Disadvantaged","117","94.35","124"
