"LONG_SCHOOL_YEAR","DETAIL_LVL_DESC","SCHOOL_DSTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","GRADES_SERVED_DESC","LABEL_LVL_1_DESC","PROGRAM_TOTAL","PROGRAM_PERCENT"
"2014-15","School","644","DeKalb County","2054","Columbia High School","09,10,11,12","7-12 Drop Outs -Female",27,4
"2014-15","School","644","DeKalb County","2054","Columbia High School","09,10,11,12","7-12 Drop Outs -American Indian/Alaskan",,
"2014-15","School","623","Catoosa County","1052","Lakeview-Fort Oglethorpe High School","09,10,11,12","7-12 Drop Outs -Multi-Racial",,
"2014-15","School","656","Fayette County","0398","Fayette County High School","09,10,11,12","7-12 Drop Outs -Hispanic",,
"2014-15","School","611","Bibb County","0307","Price Educational Center","04,05,06,07","7-12 Drop Outs -Economically Disadvantaged",,
"2014-15","School","611","Bibb County","0307","Price Educational Center","04,05,06,07","7-12 Drop Outs -Female",,
"2014-15","District","784","Pelham City","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","7-12 Drop Outs -Multi-Racial",,
"2014-15","District","784","Pelham City","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","7-12 Drop Outs -American Indian/Alaskan",,
"2014-15","District","784","Pelham City","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","7-12 Drop Outs -Hispanic",,
"2014-15","District","737","Tift County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","7-12 Drop Outs -Migrant",,
"2014-15","District","737","Tift County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","7-12 Drop Outs -White",38,2.3
"2014-15","School","667","Gwinnett County","4058","Summerour Middle School","06,07,08","7-12 Drop Outs -Limited English Proficient",,
"2014-15","School","667","Gwinnett County","4058","Summerour Middle School","06,07,08","7-12 Drop Outs -Male",,
"2014-15","School","667","Gwinnett County","4058","Summerour Middle School","06,07,08","7-12 Drop Outs -Asian/Pacific Islander",,
"2014-15","School","631","Clayton County","0191","Lovejoy Middle School","06,07,08","7-12 Drop Outs -Economically Disadvantaged",,
"2014-15","School","631","Clayton County","0191","Lovejoy Middle School","06,07,08","7-12 Drop Outs -Students Without Disability",,
"2014-15","School","631","Clayton County","0191","Lovejoy Middle School","06,07,08","7-12 Drop Outs -Female",,
"2014-15","School","631","Clayton County","0191","Lovejoy Middle School","06,07,08","7-12 Drop Outs -Hispanic",,
"2014-15","School","792","Valdosta City","0103","Valdosta Middle School","06,07,08","7-12 Drop Outs -Migrant",,
"2014-15","School","792","Valdosta City","0103","Valdosta Middle School","06,07,08","7-12 Drop Outs -Female",,
"2014-15","School","792","Valdosta City","0103","Valdosta Middle School","06,07,08","7-12 Drop Outs -White",,
"2014-15","School","619","Calhoun County","0113","Calhoun County High School","09,10,11,12","7-12 Drop Outs -Limited English Proficient",,
"2014-15","School","644","DeKalb County","0176","Redan High School","09,10,11,12","7-12 Drop Outs -Students With Disability",,
