"LONG_SCHOOL_YEAR","DETAIL_LVL_DESC","SCHOOL_DSTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","GRADES_SERVED_DESC","LABEL_LVL_1_DESC","PROGRAM_TOTAL","PROGRAM_PERCENT"
"2015-16","School","644","DeKalb County","2054","Columbia High School","09,10,11,12","7-12 Drop Outs -ALL Students",62,4.5
"2015-16","School","644","DeKalb County","2054","Columbia High School","09,10,11,12","7-12 Drop Outs -Male",46,6.6
"2015-16","School","644","DeKalb County","2054","Columbia High School","09,10,11,12","7-12 Drop Outs -Multi-Racial",,
"2015-16","School","623","Catoosa County","1052","Lakeview-Fort Oglethorpe High School","09,10,11,12","7-12 Drop Outs -Hispanic",,
"2015-16","School","656","Fayette County","0398","Fayette County High School","09,10,11,12","7-12 Drop Outs -Students Without Disability",12,0.9
"2015-16","School","656","Fayette County","0398","Fayette County High School","09,10,11,12","7-12 Drop Outs -White",,
"2015-16","School","611","Bibb County","0307","Price Educational Center","04,05,06,07","7-12 Drop Outs -Not Economically Disadvantaged",,
"2015-16","District","737","Tift County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","7-12 Drop Outs -Migrant",,
"2015-16","District","737","Tift County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","7-12 Drop Outs -Not Economically Disadvantaged",,
"2015-16","District","737","Tift County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","7-12 Drop Outs -Limited English Proficient",,
"2015-16","District","737","Tift County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","7-12 Drop Outs -Hispanic",13,2.1
"2015-16","School","7820613","State Charter Schools- Foothills Charter High School (Madison Campus)","0613","Foothills Charter High School (Madison Campus)","09,10,11,12","7-12 Drop Outs -Migrant",,
"2015-16","School","667","Gwinnett County","4058","Summerour Middle School","06,07,08","7-12 Drop Outs -ALL Students",,
"2015-16","School","667","Gwinnett County","4058","Summerour Middle School","06,07,08","7-12 Drop Outs -Male",,
"2015-16","School","667","Gwinnett County","4058","Summerour Middle School","06,07,08","7-12 Drop Outs -Hispanic",,
"2015-16","School","667","Gwinnett County","4058","Summerour Middle School","06,07,08","7-12 Drop Outs -Black",,
"2015-16","School","631","Clayton County","0191","Lovejoy Middle School","06,07,08","7-12 Drop Outs -Not Economically Disadvantaged",,
"2015-16","School","631","Clayton County","0191","Lovejoy Middle School","06,07,08","7-12 Drop Outs -Male",,
"2015-16","School","667","Gwinnett County","1710","Archer High School","09,10,11,12","7-12 Drop Outs -Female",,
"2015-16","School","667","Gwinnett County","1710","Archer High School","09,10,11,12","7-12 Drop Outs -Male",12,0.9
"2015-16","School","667","Gwinnett County","0187","Meadowcreek High School","09,10,11,12","7-12 Drop Outs -Not Economically Disadvantaged",63,12.9
"2015-16","School","667","Gwinnett County","0187","Meadowcreek High School","09,10,11,12","7-12 Drop Outs -Limited English Proficient",87,12.9
"2015-16","School","667","Gwinnett County","0187","Meadowcreek High School","09,10,11,12","7-12 Drop Outs -White",,
"2015-16","School","667","Gwinnett County","0187","Meadowcreek High School","09,10,11,12","7-12 Drop Outs -Hispanic",197,8.5
"2015-16","School","792","Valdosta City","0103","Valdosta Middle School","06,07,08","7-12 Drop Outs -Not Economically Disadvantaged",,
"2015-16","School","619","Calhoun County","0113","Calhoun County High School","09,10,11,12","7-12 Drop Outs -Asian/Pacific Islander",,
"2015-16","School","644","DeKalb County","0176","Redan High School","09,10,11,12","7-12 Drop Outs -Economically Disadvantaged",31,3.1
"2015-16","School","644","DeKalb County","0176","Redan High School","09,10,11,12","7-12 Drop Outs -American Indian/Alaskan",,
"2015-16","School","625","Chatham County","3062","Low Elementary School","PK,KK,01,02,03,04,05,07,08,09,10","7-12 Drop Outs -Economically Disadvantaged",,
"2015-16","School","625","Chatham County","3062","Low Elementary School","PK,KK,01,02,03,04,05,07,08,09,10","7-12 Drop Outs -White",,
"2015-16","School","610","Berrien County","0194","Berrien Middle School","06,07,08","7-12 Drop Outs -Migrant",,
"2015-16","School","610","Berrien County","0194","Berrien Middle School","06,07,08","7-12 Drop Outs -Students Without Disability",,
"2015-16","School","678","Jackson County","0297","West Jackson Middle School","06,07,08","7-12 Drop Outs -Not Economically Disadvantaged",,
"2015-16","School","678","Jackson County","0297","West Jackson Middle School","06,07,08","7-12 Drop Outs -Female",,
"2015-16","District","772","Dalton City","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","7-12 Drop Outs -White",13,1.6
"2015-16","District","772","Dalton City","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","7-12 Drop Outs -Black",,
"2015-16","School","719","Rabun County","0100","Rabun County Middle School","07,08","7-12 Drop Outs -Female",,
"2015-16","School","667","Gwinnett County","1020","New Life Academy of Excellence Duluth","KK,01,02,03,04,05,06,07,08","7-12 Drop Outs -Economically Disadvantaged",,
"2015-16","School","744","Union County","0108","Union County Middle School","06,07,08","7-12 Drop Outs -ALL Students",,
"2015-16","School","644","DeKalb County","0705","DeKalb PATH Academy Charter School","05,06,07,08","7-12 Drop Outs -Not Economically Disadvantaged",,
"2015-16","School","644","DeKalb County","0705","DeKalb PATH Academy Charter School","05,06,07,08","7-12 Drop Outs -Economically Disadvantaged",,
"2015-16","School","729","Sumter County","0105","Americus Sumter County High South","09,10,11,12","7-12 Drop Outs -ALL Students",15,1.4
"2015-16","School","675","Henry County","0703","Union Grove Middle","06,07,08","7-12 Drop Outs -Economically Disadvantaged",,
"2015-16","School","675","Henry County","0703","Union Grove Middle","06,07,08","7-12 Drop Outs -Limited English Proficient",,
