"LONG_SCHOOL_YEAR","DETAIL_LVL_DESC","SCHOOL_DSTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","GRADES_SERVED_DESC","LABEL_LVL_1_DESC","PROGRAM_TOTAL","PROGRAM_PERCENT"
"2020-21","School","721","Richmond County","2574","Westside High School","PK,09,10,11,12","7-12 Drop Outs -White","TFS","TFS"
"2020-21","School","721","Richmond County","2574","Westside High School","PK,09,10,11,12","7-12 Drop Outs -Asian/Pacific Islander","TFS","TFS"
"2020-21","School","678","Jackson County","0197","East Jackson Middle School","06,07","7-12 Drop Outs -American Indian/Alaskan","TFS","TFS"
"2020-21","School","678","Jackson County","0197","East Jackson Middle School","06,07","7-12 Drop Outs -White","TFS","TFS"
"2020-21","District","7830632","State Charter Schools II- Atlanta Unbound Academy","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","7-12 Drop Outs -Female","TFS","TFS"
"2020-21","District","7830632","State Charter Schools II- Atlanta Unbound Academy","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","7-12 Drop Outs -Students Without Disability","TFS","TFS"
"2020-21","School","7820110","State Charter Schools- Odyssey School","0110","Odyssey Charter School","KK,01,02,03,04,05,06,07,08,09,10,11,12","7-12 Drop Outs -Black","TFS","TFS"
"2020-21","School","7820110","State Charter Schools- Odyssey School","0110","Odyssey Charter School","KK,01,02,03,04,05,06,07,08,09,10,11,12","7-12 Drop Outs -ALL Students","TFS","TFS"
"2020-21","School","692","Lowndes County","1052","Lowndes Middle School","06,07,08","7-12 Drop Outs -Students Without Disability","TFS","TFS"
"2020-21","School","692","Lowndes County","1052","Lowndes Middle School","06,07,08","7-12 Drop Outs -Not Economically Disadvantaged","TFS","TFS"
"2020-21","School","644","DeKalb County","0705","DeKalb PATH Academy Charter School","05,06,07,08","7-12 Drop Outs -ALL Students","TFS","TFS"
"2020-21","School","644","DeKalb County","0705","DeKalb PATH Academy Charter School","05,06,07,08","7-12 Drop Outs -Migrant","TFS","TFS"
"2020-21","School","644","DeKalb County","0705","DeKalb PATH Academy Charter School","05,06,07,08","7-12 Drop Outs -Hispanic","TFS","TFS"
"2020-21","School","644","DeKalb County","0705","DeKalb PATH Academy Charter School","05,06,07,08","7-12 Drop Outs -Students Without Disability","TFS","TFS"
"2020-21","School","691","Long County","0288","Long County Middle School","06,07,08","7-12 Drop Outs -Female","TFS","TFS"
"2020-21","School","691","Long County","0288","Long County Middle School","06,07,08","7-12 Drop Outs -Multi-Racial","TFS","TFS"
"2020-21","School","678","Jackson County","0297","West Jackson Middle School","06,07,08","7-12 Drop Outs -Female","TFS","TFS"
"2020-21","School","747","Walton County","0199","Loganville High School","09,10,11,12","7-12 Drop Outs -Multi-Racial","TFS","TFS"
"2020-21","School","747","Walton County","0199","Loganville High School","09,10,11,12","7-12 Drop Outs -Asian/Pacific Islander","TFS","TFS"
"2020-21","School","747","Walton County","0199","Loganville High School","09,10,11,12","7-12 Drop Outs -Students With Disability","TFS","TFS"
"2020-21","School","747","Walton County","0199","Loganville High School","09,10,11,12","7-12 Drop Outs -Migrant","TFS","TFS"
"2020-21","School","747","Walton County","0199","Loganville High School","09,10,11,12","7-12 Drop Outs -Female","13","1.4"
"2020-21","School","667","Gwinnett County","1210","Couch Middle School","06,07,08","7-12 Drop Outs -Not Economically Disadvantaged","TFS","TFS"
"2020-21","School","721","Richmond County","5566","Laney High School","PK,09,10,11,12","7-12 Drop Outs -Hispanic","TFS","TFS"
"2020-21","School","644","DeKalb County","0597","Miller Grove Middle School","06,07,08","7-12 Drop Outs -American Indian/Alaskan","TFS","TFS"
"2020-21","District","630","Clay County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","7-12 Drop Outs -ALL Students","TFS","TFS"
"2020-21","District","630","Clay County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","7-12 Drop Outs -White","TFS","TFS"
"2020-21","District","630","Clay County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","7-12 Drop Outs -Asian/Pacific Islander","TFS","TFS"
"2020-21","School","679","Jasper County","0108","Jasper County High School","09,10,11,12","7-12 Drop Outs -Multi-Racial","TFS","TFS"
"2020-21","School","679","Jasper County","0108","Jasper County High School","09,10,11,12","7-12 Drop Outs -Not Economically Disadvantaged","TFS","TFS"
"2020-21","School","638","Coweta County","0299","Madras Middle School","06,07,08","7-12 Drop Outs -Not Economically Disadvantaged","TFS","TFS"
"2020-21","School","638","Coweta County","0299","Madras Middle School","06,07,08","7-12 Drop Outs -American Indian/Alaskan","TFS","TFS"
"2020-21","District","689","Liberty County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","7-12 Drop Outs -Not Economically Disadvantaged","TFS","TFS"
"2020-21","District","689","Liberty County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","7-12 Drop Outs -Students Without Disability","66","1.6"
"2020-21","School","603","Bacon County","0302","Bacon County High School","09,10,11,12","7-12 Drop Outs -Students Without Disability","TFS","TFS"
"2020-21","School","608","Bartow County","0105","Adairsville High School","09,10,11,12","7-12 Drop Outs -Students Without Disability","TFS","TFS"
"2020-21","School","608","Bartow County","0105","Adairsville High School","09,10,11,12","7-12 Drop Outs -Multi-Racial","TFS","TFS"
"2020-21","School","608","Bartow County","0105","Adairsville High School","09,10,11,12","7-12 Drop Outs -Migrant","TFS","TFS"
"2020-21","School","685","Lamar County","0175","Lamar County High School","09,10,11,12","7-12 Drop Outs -Migrant","TFS","TFS"
"2020-21","School","761","Atlanta Public Schools","1414","Michael R. Hollis Innovation Academy","PK,KK,01,02,03,04,05,06,07,08","7-12 Drop Outs -Male","TFS","TFS"
"2020-21","School","761","Atlanta Public Schools","1414","Michael R. Hollis Innovation Academy","PK,KK,01,02,03,04,05,06,07,08","7-12 Drop Outs -White","TFS","TFS"
"2020-21","District","685","Lamar County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","7-12 Drop Outs -Multi-Racial","TFS","TFS"
"2020-21","School","625","Savannah-Chatham County","0117","New Hampstead High School","09,10,11,12","7-12 Drop Outs -Hispanic","TFS","TFS"
"2020-21","School","625","Savannah-Chatham County","0117","New Hampstead High School","09,10,11,12","7-12 Drop Outs -ALL Students","TFS","TFS"
"2020-21","District","7830613","State Charter Schools II- Brookhaven Innovation Academy","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","7-12 Drop Outs -Male","TFS","TFS"
"2020-21","District","7830613","State Charter Schools II- Brookhaven Innovation Academy","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","7-12 Drop Outs -Female","TFS","TFS"
"2020-21","District","7830613","State Charter Schools II- Brookhaven Innovation Academy","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","7-12 Drop Outs -Not Economically Disadvantaged","TFS","TFS"
"2020-21","School","644","DeKalb County","0311","Leadership Preparatory Academy","KK,01,02,03,04,05,06,07,08","7-12 Drop Outs -Hispanic","TFS","TFS"
