"LONG_SCHOOL_YEAR","DETAIL_LVL_DESC","SCHOOL_DSTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","GRADES_SERVED_DESC","LABEL_LVL_1_DESC","PROGRAM_TOTAL","PROGRAM_PERCENT"
"2012-13","School","789","Thomasville City","4052","Thomasville High School","09,10,11,12","9-12 Drop Outs -White",,
"2012-13","District","7991894","State Schools- Georgia Academy for the Blind","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","9-12 Drop Outs -Male",,
"2012-13","School","625","Chatham County","5060","Jenkins High School","09,10,11,12","9-12 Drop Outs -American Indian/Alaskan",,
"2012-13","School","628","Cherokee County","0197","Woodstock High School","09,10,11,12","9-12 Drop Outs -Limited English Proficient",,
"2012-13","School","628","Cherokee County","5050","Cherokee High School","09,10,11,12","9-12 Drop Outs -Students Without Disability",72,3.6
"2012-13","School","628","Cherokee County","5050","Cherokee High School","09,10,11,12","9-12 Drop Outs -White",57,3.5
"2012-13","District","631","Clayton County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","9-12 Drop Outs -Not Economically Disadvantaged",207,7.1
"2012-13","District","631","Clayton County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","9-12 Drop Outs -White",55,11.6
"2012-13","District","631","Clayton County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","9-12 Drop Outs -Hispanic",219,9.7
"2012-13","School","631","Clayton County","4058","Morrow High School","09,10,11,12","9-12 Drop Outs -Female",71,7.6
"2012-13","School","631","Clayton County","4058","Morrow High School","09,10,11,12","9-12 Drop Outs -Limited English Proficient",,
"2012-13","School","633","Cobb County","0188","Pope High School","09,10,11,12","9-12 Drop Outs -Multi-Racial",,
"2012-13","School","633","Cobb County","0188","Pope High School","09,10,11,12","9-12 Drop Outs -Hispanic",,
"2012-13","School","636","Columbia County","0183","Harlem High School","09,10,11,12","9-12 Drop Outs -ALL Students",17,2.2
"2012-13","School","636","Columbia County","0183","Harlem High School","09,10,11,12","9-12 Drop Outs -Limited English Proficient",,
"2012-13","School","658","Forsyth County","0214","Lambert High School","09,10,11,12","9-12 Drop Outs -Migrant",,
"2012-13","School","658","Forsyth County","0214","Lambert High School","09,10,11,12","9-12 Drop Outs -ALL Students",,
"2012-13","School","658","Forsyth County","0214","Lambert High School","09,10,11,12","9-12 Drop Outs -Black",,
"2012-13","School","686","Lanier County","0201","Lanier County High School","09,10,11,12","9-12 Drop Outs -Asian/Pacific Islander",,
"2012-13","School","686","Lanier County","0201","Lanier County High School","09,10,11,12","9-12 Drop Outs -American Indian/Alaskan",,
"2012-13","School","715","Polk County","0207","Harpst Academy","03,04,05,06,07,08,09,10,11,12","9-12 Drop Outs -Migrant",,
"2012-13","School","715","Polk County","0207","Harpst Academy","03,04,05,06,07,08,09,10,11,12","9-12 Drop Outs -Economically Disadvantaged",,
"2012-13","School","715","Polk County","0207","Harpst Academy","03,04,05,06,07,08,09,10,11,12","9-12 Drop Outs -Limited English Proficient",,
"2012-13","School","719","Rabun County","0177","Rabun County High School","09,10,11,12","9-12 Drop Outs -Hispanic",,
"2012-13","School","631","Clayton County","1054","Forest Park High School","09,10,11,12","9-12 Drop Outs -Black",88,9.4
"2012-13","District","618","Butts County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","9-12 Drop Outs -Not Economically Disadvantaged",34,3.4
"2012-13","District","618","Butts County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","9-12 Drop Outs -Students With Disability",,
"2012-13","School","707","Newton County","0206","Alcovy High School","09,10,11,12","9-12 Drop Outs -Black",19,1.7
"2012-13","School","707","Newton County","0113","Challenge Charter Academy","06,07,08,09,10,11,12","9-12 Drop Outs -Migrant",,
"2012-13","School","707","Newton County","0113","Challenge Charter Academy","06,07,08,09,10,11,12","9-12 Drop Outs -Black",16,28.6
"2012-13","School","666","Greene County","0401","Greene County High School","09,10,11,12","9-12 Drop Outs -American Indian/Alaskan",,
"2012-13","School","623","Catoosa County","0109","Heritage High School","09,10,11,12","9-12 Drop Outs -American Indian/Alaskan",,
"2012-13","School","623","Catoosa County","0109","Heritage High School","09,10,11,12","9-12 Drop Outs -Economically Disadvantaged",11,2.4
"2012-13","School","623","Catoosa County","0109","Heritage High School","09,10,11,12","9-12 Drop Outs -Students With Disability",,
"2012-13","School","669","Hall County","0189","West Hall High School","09,10,11,12","9-12 Drop Outs -ALL Students",,
"2012-13","School","669","Hall County","0189","West Hall High School","09,10,11,12","9-12 Drop Outs -Multi-Racial",,
