"LONG_SCHOOL_YEAR","DETAIL_LVL_DESC","SCHOOL_DSTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","GRADES_SERVED_DESC","LABEL_LVL_1_DESC","PROGRAM_TOTAL","PROGRAM_PERCENT"
"2018-19","School","616","Bulloch County","0203","Southeast Bulloch High School","PK,09,10,11,12","9-12 Drop Outs -Male",14,2.4
"2018-19","School","616","Bulloch County","0203","Southeast Bulloch High School","PK,09,10,11,12","9-12 Drop Outs -Limited English Proficient",,
"2018-19","School","616","Bulloch County","0203","Southeast Bulloch High School","PK,09,10,11,12","9-12 Drop Outs -Hispanic",,
"2018-19","School","616","Bulloch County","0203","Southeast Bulloch High School","PK,09,10,11,12","9-12 Drop Outs -Female",,
"2018-19","School","616","Bulloch County","0203","Southeast Bulloch High School","PK,09,10,11,12","9-12 Drop Outs -Migrant",,
"2018-19","District","737","Tift County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","9-12 Drop Outs -Migrant",,
"2018-19","District","737","Tift County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","9-12 Drop Outs -Not Economically Disadvantaged",,
"2018-19","District","737","Tift County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","9-12 Drop Outs -Multi-Racial",,
"2018-19","District","737","Tift County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","9-12 Drop Outs -Hispanic",10,2.3
"2018-19","District","619","Calhoun County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","9-12 Drop Outs -Economically Disadvantaged",,
"2018-19","District","619","Calhoun County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","9-12 Drop Outs -American Indian/Alaskan",,
"2018-19","District","619","Calhoun County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","9-12 Drop Outs -Multi-Racial",,
