LONG_SCHOOL_YEAR,SCHOOL_DISTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,SUBGRP_DESC,TEST_CMPNT_TYP_CD,NATIONAL_NUM_TESTED_CNT,STATE_NUM_TESTED_CNT,DSTRCT_NUM_TESTED_CNT,INSTN_NUM_TESTED_CNT,NATIONAL_AVG_SCORE_VAL,STATE_AVG_SCORE_VAL,DSTRCT_AVG_SCORE_VAL,INSTN_AVG_SCORE_VAL
2013-14,601,Appling County,103,Appling County High School,All Students,Combined English Writing,976031,28370,37,37,20.6,20.2,19.4,19.4
2013-14,601,Appling County,103,Appling County High School,All Students,Composite,1845787,44185,59,59,21,20.5,19.4,19.4
2013-14,601,Appling County,103,Appling County High School,All Students,English,1845787,44186,59,59,20.3,19.8,19.2,19.2
2013-14,601,Appling County,103,Appling County High School,All Students,Mathematics,1845787,44187,59,59,20.9,20.1,18.4,18.4
2013-14,601,Appling County,103,Appling County High School,All Students,Reading,1845787,44185,59,59,21.3,21.1,20.2,20.2
2013-14,601,Appling County,103,Appling County High School,All Students,Science,1845787,44185,59,59,20.8,20.4,19.2,19.2
2013-14,601,Appling County,103,Appling County High School,All Students,Writing Subscore,976031,28370,37,37,7.1,7,6.6,6.6
2013-14,602,Atkinson County,103,Atkinson County High School,All Students,Combined English Writing,976031,28370,TFS,TFS,20.6,20.2,,
2013-14,602,Atkinson County,103,Atkinson County High School,All Students,Composite,1845787,44185,19,19,21,20.5,18.3,18.3
2013-14,602,Atkinson County,103,Atkinson County High School,All Students,English,1845787,44186,19,19,20.3,19.8,16.5,16.5
2013-14,602,Atkinson County,103,Atkinson County High School,All Students,Mathematics,1845787,44187,19,19,20.9,20.1,17.1,17.1
2013-14,602,Atkinson County,103,Atkinson County High School,All Students,Reading,1845787,44185,19,19,21.3,21.1,20.4,20.4
2013-14,602,Atkinson County,103,Atkinson County High School,All Students,Science,1845787,44185,19,19,20.8,20.4,19.1,19.1
2013-14,602,Atkinson County,103,Atkinson County High School,All Students,Writing Subscore,976031,28370,TFS,TFS,7.1,7,,
2013-14,603,Bacon County,302,Bacon County High School,All Students,Combined English Writing,976031,28370,TFS,TFS,20.6,20.2,,
2013-14,603,Bacon County,302,Bacon County High School,All Students,Composite,1845787,44185,TFS,TFS,21,20.5,,
2013-14,603,Bacon County,302,Bacon County High School,All Students,English,1845787,44186,TFS,TFS,20.3,19.8,,
2013-14,603,Bacon County,302,Bacon County High School,All Students,Mathematics,1845787,44187,TFS,TFS,20.9,20.1,,
2013-14,603,Bacon County,302,Bacon County High School,All Students,Reading,1845787,44185,TFS,TFS,21.3,21.1,,
2013-14,603,Bacon County,302,Bacon County High School,All Students,Science,1845787,44185,TFS,TFS,20.8,20.4,,
2013-14,603,Bacon County,302,Bacon County High School,All Students,Writing Subscore,976031,28370,TFS,TFS,7.1,7,,
2013-14,604,Baker County,105,Baker County K12 School,All Students,Combined English Writing,976031,28370,TFS,TFS,20.6,20.2,,
2013-14,604,Baker County,105,Baker County K12 School,All Students,Composite,1845787,44185,TFS,TFS,21,20.5,,
2013-14,604,Baker County,105,Baker County K12 School,All Students,English,1845787,44186,TFS,TFS,20.3,19.8,,
2013-14,604,Baker County,105,Baker County K12 School,All Students,Mathematics,1845787,44187,TFS,TFS,20.9,20.1,,
2013-14,604,Baker County,105,Baker County K12 School,All Students,Reading,1845787,44185,TFS,TFS,21.3,21.1,,
2013-14,604,Baker County,105,Baker County K12 School,All Students,Science,1845787,44185,TFS,TFS,20.8,20.4,,
2013-14,604,Baker County,105,Baker County K12 School,All Students,Writing Subscore,976031,28370,TFS,TFS,7.1,7,,
2013-14,605,Baldwin County,189,Baldwin High School,All Students,Combined English Writing,976031,28370,56,56,20.6,20.2,18.2,18.2
2013-14,605,Baldwin County,189,Baldwin High School,All Students,Composite,1845787,44185,99,99,21,20.5,18.3,18.3
2013-14,605,Baldwin County,189,Baldwin High School,All Students,English,1845787,44186,99,99,20.3,19.8,17.3,17.3
2013-14,605,Baldwin County,189,Baldwin High School,All Students,Mathematics,1845787,44187,99,99,20.9,20.1,17.6,17.6
2013-14,605,Baldwin County,189,Baldwin High School,All Students,Reading,1845787,44185,99,99,21.3,21.1,19.1,19.1
2013-14,605,Baldwin County,189,Baldwin High School,All Students,Science,1845787,44185,99,99,20.8,20.4,18.7,18.7
2013-14,605,Baldwin County,189,Baldwin High School,All Students,Writing Subscore,976031,28370,56,56,7.1,7,6.7,6.7
2013-14,606,Banks County,199,Banks County High School,All Students,Combined English Writing,976031,28370,40,40,20.6,20.2,17.9,17.9
2013-14,606,Banks County,199,Banks County High School,All Students,Composite,1845787,44185,61,61,21,20.5,20.6,20.6
2013-14,606,Banks County,199,Banks County High School,All Students,English,1845787,44186,61,61,20.3,19.8,19.7,19.7
2013-14,606,Banks County,199,Banks County High School,All Students,Mathematics,1845787,44187,61,61,20.9,20.1,19.4,19.4
2013-14,606,Banks County,199,Banks County High School,All Students,Reading,1845787,44185,61,61,21.3,21.1,21.7,21.7
2013-14,606,Banks County,199,Banks County High School,All Students,Science,1845787,44185,61,61,20.8,20.4,21.3,21.3
2013-14,606,Banks County,199,Banks County High School,All Students,Writing Subscore,976031,28370,40,40,7.1,7,6.1,6.1
2013-14,607,Barrow County,101,Apalachee High School,All Students,Combined English Writing,976031,28370,210,116,20.6,20.2,18,18.3
2013-14,607,Barrow County,101,Apalachee High School,All Students,Composite,1845787,44185,293,149,21,20.5,18.9,19.2
2013-14,607,Barrow County,101,Apalachee High School,All Students,English,1845787,44186,293,149,20.3,19.8,18.1,18.6
2013-14,607,Barrow County,101,Apalachee High School,All Students,Mathematics,1845787,44187,293,149,20.9,20.1,18.3,18.3
2013-14,607,Barrow County,101,Apalachee High School,All Students,Reading,1845787,44185,293,149,21.3,21.1,19.7,20
2013-14,607,Barrow County,101,Apalachee High School,All Students,Science,1845787,44185,293,149,20.8,20.4,19.2,19.3
2013-14,607,Barrow County,101,Apalachee High School,All Students,Writing Subscore,976031,28370,210,116,7.1,7,6.6,6.7
2013-14,607,Barrow County,113,Snodon Preparatory School,All Students,Combined English Writing,976031,28370,210,TFS,20.6,20.2,18,
2013-14,607,Barrow County,113,Snodon Preparatory School,All Students,Composite,1845787,44185,293,TFS,21,20.5,18.9,
2013-14,607,Barrow County,113,Snodon Preparatory School,All Students,English,1845787,44186,293,TFS,20.3,19.8,18.1,
2013-14,607,Barrow County,113,Snodon Preparatory School,All Students,Mathematics,1845787,44187,293,TFS,20.9,20.1,18.3,
2013-14,607,Barrow County,113,Snodon Preparatory School,All Students,Reading,1845787,44185,293,TFS,21.3,21.1,19.7,
2013-14,607,Barrow County,113,Snodon Preparatory School,All Students,Science,1845787,44185,293,TFS,20.8,20.4,19.2,
2013-14,607,Barrow County,113,Snodon Preparatory School,All Students,Writing Subscore,976031,28370,210,TFS,7.1,7,6.6,
2013-14,607,Barrow County,3052,Winder-Barrow High School,All Students,Combined English Writing,976031,28370,210,93,20.6,20.2,18,17.6
2013-14,607,Barrow County,3052,Winder-Barrow High School,All Students,Composite,1845787,44185,293,143,21,20.5,18.9,18.7
2013-14,607,Barrow County,3052,Winder-Barrow High School,All Students,English,1845787,44186,293,143,20.3,19.8,18.1,17.6
2013-14,607,Barrow County,3052,Winder-Barrow High School,All Students,Mathematics,1845787,44187,293,143,20.9,20.1,18.3,18.2
2013-14,607,Barrow County,3052,Winder-Barrow High School,All Students,Reading,1845787,44185,293,143,21.3,21.1,19.7,19.5
2013-14,607,Barrow County,3052,Winder-Barrow High School,All Students,Science,1845787,44185,293,143,20.8,20.4,19.2,19
2013-14,607,Barrow County,3052,Winder-Barrow High School,All Students,Writing Subscore,976031,28370,210,93,7.1,7,6.6,6.5
2013-14,608,Bartow County,105,Adairsville High School,All Students,Combined English Writing,976031,28370,219,56,20.6,20.2,19.3,20.1
2013-14,608,Bartow County,105,Adairsville High School,All Students,Composite,1845787,44185,369,85,21,20.5,20.1,20.8
2013-14,608,Bartow County,105,Adairsville High School,All Students,English,1845787,44186,369,85,20.3,19.8,19.1,19.5
2013-14,608,Bartow County,105,Adairsville High School,All Students,Mathematics,1845787,44187,369,85,20.9,20.1,19.4,20.2
2013-14,608,Bartow County,105,Adairsville High School,All Students,Reading,1845787,44185,369,85,21.3,21.1,20.8,21.9
2013-14,608,Bartow County,105,Adairsville High School,All Students,Science,1845787,44185,369,85,20.8,20.4,20.4,21.2
2013-14,608,Bartow County,105,Adairsville High School,All Students,Writing Subscore,976031,28370,219,56,7.1,7,6.7,6.8
2013-14,608,Bartow County,114,Cass High School,All Students,Combined English Writing,976031,28370,219,69,20.6,20.2,19.3,18.4
2013-14,608,Bartow County,114,Cass High School,All Students,Composite,1845787,44185,369,123,21,20.5,20.1,19.3
2013-14,608,Bartow County,114,Cass High School,All Students,English,1845787,44186,369,123,20.3,19.8,19.1,18.2
2013-14,608,Bartow County,114,Cass High School,All Students,Mathematics,1845787,44187,369,123,20.9,20.1,19.4,18.8
2013-14,608,Bartow County,114,Cass High School,All Students,Reading,1845787,44185,369,123,21.3,21.1,20.8,20.1
2013-14,608,Bartow County,114,Cass High School,All Students,Science,1845787,44185,369,123,20.8,20.4,20.4,19.8
2013-14,608,Bartow County,114,Cass High School,All Students,Writing Subscore,976031,28370,219,69,7.1,7,6.7,6.4
2013-14,608,Bartow County,198,Woodland High School,All Students,Combined English Writing,976031,28370,219,94,20.6,20.2,19.3,19.4
2013-14,608,Bartow County,198,Woodland High School,All Students,Composite,1845787,44185,369,161,21,20.5,20.1,20.2
2013-14,608,Bartow County,198,Woodland High School,All Students,English,1845787,44186,369,161,20.3,19.8,19.1,19.5
2013-14,608,Bartow County,198,Woodland High School,All Students,Mathematics,1845787,44187,369,161,20.9,20.1,19.4,19.5
2013-14,608,Bartow County,198,Woodland High School,All Students,Reading,1845787,44185,369,161,21.3,21.1,20.8,20.8
2013-14,608,Bartow County,198,Woodland High School,All Students,Science,1845787,44185,369,161,20.8,20.4,20.4,20.4
2013-14,608,Bartow County,198,Woodland High School,All Students,Writing Subscore,976031,28370,219,94,7.1,7,6.7,6.9
2013-14,609,Ben Hill County,291,Fitzgerald High School,All Students,Combined English Writing,976031,28370,12,12,20.6,20.2,18.2,18.2
2013-14,609,Ben Hill County,291,Fitzgerald High School,All Students,Composite,1845787,44185,19,19,21,20.5,19.9,19.9
2013-14,609,Ben Hill County,291,Fitzgerald High School,All Students,English,1845787,44186,19,19,20.3,19.8,18.7,18.7
2013-14,609,Ben Hill County,291,Fitzgerald High School,All Students,Mathematics,1845787,44187,19,19,20.9,20.1,19.7,19.7
2013-14,609,Ben Hill County,291,Fitzgerald High School,All Students,Reading,1845787,44185,19,19,21.3,21.1,21,21
2013-14,609,Ben Hill County,291,Fitzgerald High School,All Students,Science,1845787,44185,19,19,20.8,20.4,19.6,19.6
