LONG_SCHOOL_YEAR,SCHOOL_DISTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,TEST_CMPNT_TYP_NM,NUMBER_OF_STUDENTS_TESTED,NUMBER_TESTS_TAKEN,NOTESTS_3ORHIGHER
2014-15,601,Appling County,103,Appling County High School,ALL Subjects,50,60,31
2014-15,601,Appling County,103,Appling County High School,Biology,TFS,,
2014-15,601,Appling County,103,Appling County High School,Calculus A,TFS,,
2014-15,601,Appling County,103,Appling County High School,Eng. Literature & Comp,12,12,5
2014-15,601,Appling County,103,Appling County High School,Environmental Science,TFS,,
2014-15,601,Appling County,103,Appling County High School,Psychology,20,20,13
2014-15,601,Appling County,103,Appling County High School,Spanish Language,TFS,,
2014-15,601,Appling County,103,Appling County High School,U.S. History,10,10,6
2014-15,601,Appling County,SCHOOL_ALL,SCHOOL_ALL,ALL Subjects,50,60,31
2014-15,601,Appling County,SCHOOL_ALL,SCHOOL_ALL,Biology,TFS,,
2014-15,601,Appling County,SCHOOL_ALL,SCHOOL_ALL,Calculus A,TFS,,
2014-15,601,Appling County,SCHOOL_ALL,SCHOOL_ALL,Eng. Literature & Comp,12,12,5
2014-15,601,Appling County,SCHOOL_ALL,SCHOOL_ALL,Environmental Science,TFS,,
2014-15,601,Appling County,SCHOOL_ALL,SCHOOL_ALL,Psychology,20,20,13
2014-15,601,Appling County,SCHOOL_ALL,SCHOOL_ALL,Spanish Language,TFS,,
2014-15,601,Appling County,SCHOOL_ALL,SCHOOL_ALL,U.S. History,10,10,6
2014-15,602,Atkinson County,103,Atkinson County High School,ALL Subjects,39,47,8
2014-15,602,Atkinson County,103,Atkinson County High School,Biology,16,16,7
2014-15,602,Atkinson County,103,Atkinson County High School,Eng. Literature & Comp,31,31,1
2014-15,602,Atkinson County,SCHOOL_ALL,SCHOOL_ALL,ALL Subjects,39,47,8
2014-15,602,Atkinson County,SCHOOL_ALL,SCHOOL_ALL,Biology,16,16,7
2014-15,602,Atkinson County,SCHOOL_ALL,SCHOOL_ALL,Eng. Literature & Comp,31,31,1
2014-15,603,Bacon County,302,Bacon County High School,ALL Subjects,15,15,2
2014-15,603,Bacon County,302,Bacon County High School,Eng. Language & Comp,TFS,,
2014-15,603,Bacon County,302,Bacon County High School,Eng. Literature & Comp,10,10,
2014-15,603,Bacon County,302,Bacon County High School,Geography: Human,TFS,,
2014-15,603,Bacon County,SCHOOL_ALL,SCHOOL_ALL,ALL Subjects,15,15,2
2014-15,603,Bacon County,SCHOOL_ALL,SCHOOL_ALL,Eng. Language & Comp,TFS,,
2014-15,603,Bacon County,SCHOOL_ALL,SCHOOL_ALL,Eng. Literature & Comp,10,10,
2014-15,603,Bacon County,SCHOOL_ALL,SCHOOL_ALL,Geography: Human,TFS,,
2014-15,605,Baldwin County,189,Baldwin High School,ALL Subjects,77,98,32
2014-15,605,Baldwin County,189,Baldwin High School,Biology,21,21,7
2014-15,605,Baldwin County,189,Baldwin High School,Eng. Language & Comp,12,12,4
2014-15,605,Baldwin County,189,Baldwin High School,Eng. Literature & Comp,TFS,,
2014-15,605,Baldwin County,189,Baldwin High School,Gov. & Pol. U.S.,36,36,8
2014-15,605,Baldwin County,189,Baldwin High School,Music Theory,TFS,,
2014-15,605,Baldwin County,189,Baldwin High School,U.S. History,24,24,11
2014-15,605,Baldwin County,SCHOOL_ALL,SCHOOL_ALL,ALL Subjects,77,98,32
2014-15,605,Baldwin County,SCHOOL_ALL,SCHOOL_ALL,Biology,21,21,7
2014-15,605,Baldwin County,SCHOOL_ALL,SCHOOL_ALL,Eng. Language & Comp,12,12,4
2014-15,605,Baldwin County,SCHOOL_ALL,SCHOOL_ALL,Eng. Literature & Comp,TFS,,
2014-15,605,Baldwin County,SCHOOL_ALL,SCHOOL_ALL,Gov. & Pol. U.S.,36,36,8
2014-15,605,Baldwin County,SCHOOL_ALL,SCHOOL_ALL,Music Theory,TFS,,
2014-15,605,Baldwin County,SCHOOL_ALL,SCHOOL_ALL,U.S. History,24,24,11
2014-15,606,Banks County,199,Banks County High School,ALL Subjects,48,55,26
2014-15,606,Banks County,199,Banks County High School,Biology,TFS,,
2014-15,606,Banks County,199,Banks County High School,Calculus A,TFS,,
2014-15,606,Banks County,199,Banks County High School,Eng. Language & Comp,16,16,5
2014-15,606,Banks County,199,Banks County High School,Geography: Human,TFS,,
2014-15,606,Banks County,199,Banks County High School,Spanish Language,TFS,,
2014-15,606,Banks County,199,Banks County High School,U.S. History,14,14,8
