"LONG_SCHOOL_YEAR","SCHOOL_DISTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","TEST_CMPNT_TYP_NM","NUMBER_OF_STUDENTS_TESTED","NUMBER_TESTS_TAKEN","NOTESTS_3ORHIGHER"
"2017-18","601","Appling County","0103","Appling County High School","ALL Subjects",98,133,70
"2017-18","601","Appling County","0103","Appling County High School","Biology",20,20,11
"2017-18","601","Appling County","0103","Appling County High School","Calculus A",14,14,3
"2017-18","601","Appling County","0103","Appling County High School","Chemistry",1,,
"2017-18","601","Appling County","0103","Appling County High School","Computer Science Principles",20,20,11
"2017-18","601","Appling County","0103","Appling County High School","Economics: Micro",1,,
"2017-18","601","Appling County","0103","Appling County High School","Eng. Language & Comp",1,,
"2017-18","601","Appling County","0103","Appling County High School","Eng. Literature & Comp",3,,
"2017-18","601","Appling County","0103","Appling County High School","Environmental Science",2,,
"2017-18","601","Appling County","0103","Appling County High School","Geography: Human",30,30,19
"2017-18","601","Appling County","0103","Appling County High School","Music Theory",1,,
"2017-18","601","Appling County","0103","Appling County High School","Physics 1",7,,
"2017-18","601","Appling County","0103","Appling County High School","Psychology",23,23,13
"2017-18","601","Appling County","0103","Appling County High School","U.S. History",10,10,7
"2017-18","601","Appling County","SCHOOL_ALL","SCHOOL_ALL","ALL Subjects",98,133,70
"2017-18","601","Appling County","SCHOOL_ALL","SCHOOL_ALL","Biology",20,20,11
"2017-18","601","Appling County","SCHOOL_ALL","SCHOOL_ALL","Calculus A",14,14,3
"2017-18","601","Appling County","SCHOOL_ALL","SCHOOL_ALL","Chemistry",1,,
"2017-18","601","Appling County","SCHOOL_ALL","SCHOOL_ALL","Computer Science Principles",20,20,11
"2017-18","601","Appling County","SCHOOL_ALL","SCHOOL_ALL","Economics: Micro",1,,
"2017-18","601","Appling County","SCHOOL_ALL","SCHOOL_ALL","Eng. Language & Comp",1,,
"2017-18","601","Appling County","SCHOOL_ALL","SCHOOL_ALL","Eng. Literature & Comp",3,,
"2017-18","601","Appling County","SCHOOL_ALL","SCHOOL_ALL","Environmental Science",2,,
"2017-18","601","Appling County","SCHOOL_ALL","SCHOOL_ALL","Geography: Human",30,30,19
"2017-18","601","Appling County","SCHOOL_ALL","SCHOOL_ALL","Music Theory",1,,
"2017-18","601","Appling County","SCHOOL_ALL","SCHOOL_ALL","Physics 1",7,,
"2017-18","601","Appling County","SCHOOL_ALL","SCHOOL_ALL","Psychology",23,23,13
"2017-18","601","Appling County","SCHOOL_ALL","SCHOOL_ALL","U.S. History",10,10,7
"2017-18","602","Atkinson County","0103","Atkinson County High School","ALL Subjects",35,35,1
"2017-18","602","Atkinson County","0103","Atkinson County High School","Eng. Literature & Comp",35,35,1
"2017-18","602","Atkinson County","SCHOOL_ALL","SCHOOL_ALL","ALL Subjects",35,35,1
"2017-18","602","Atkinson County","SCHOOL_ALL","SCHOOL_ALL","Eng. Literature & Comp",35,35,1
"2017-18","603","Bacon County","0302","Bacon County High School","ALL Subjects",3,,
"2017-18","603","Bacon County","0302","Bacon County High School","Art History",1,,
"2017-18","603","Bacon County","0302","Bacon County High School","Eng. Language & Comp",1,,
"2017-18","603","Bacon County","0302","Bacon County High School","Gov. & Pol. U.S.",1,,
"2017-18","603","Bacon County","SCHOOL_ALL","SCHOOL_ALL","ALL Subjects",3,,
"2017-18","603","Bacon County","SCHOOL_ALL","SCHOOL_ALL","Art History",1,,
"2017-18","603","Bacon County","SCHOOL_ALL","SCHOOL_ALL","Eng. Language & Comp",1,,
"2017-18","603","Bacon County","SCHOOL_ALL","SCHOOL_ALL","Gov. & Pol. U.S.",1,,
"2017-18","605","Baldwin County","0189","Baldwin High School","ALL Subjects",63,102,20
"2017-18","605","Baldwin County","0189","Baldwin High School","Art: Studio 2-D Design",2,,
"2017-18","605","Baldwin County","0189","Baldwin High School","Biology",11,11,4
"2017-18","605","Baldwin County","0189","Baldwin High School","Computer Science A",4,,
"2017-18","605","Baldwin County","0189","Baldwin High School","Environmental Science",36,36,5
"2017-18","605","Baldwin County","0189","Baldwin High School","Gov. & Pol. U.S.",32,32,5
"2017-18","605","Baldwin County","0189","Baldwin High School","World History",17,17,4
"2017-18","605","Baldwin County","SCHOOL_ALL","SCHOOL_ALL","ALL Subjects",63,102,20
"2017-18","605","Baldwin County","SCHOOL_ALL","SCHOOL_ALL","Art: Studio 2-D Design",2,,
"2017-18","605","Baldwin County","SCHOOL_ALL","SCHOOL_ALL","Biology",11,11,4
