SysSchoolID,School Name,Composite All Students,Composite Asian-American/Pacific Islander,Composite African-American/Black,Composite Female,Composite Puerto Rican/Cuban/Other Hispanic,Composite Male,Composite American Indian/Alaskan Native,Composite Caucasian-American/White,Composite Mexican-Amierican/Chicano/Latino,English All Students,English Asian-American/Pacific Islander,English African-American/Black,English Female,English Puerto Rican/Cuban/Other Hispanic,English Male,English American Indian/Alaskan Native,English Caucasian-American/White,English Mexican-Amierican/Chicano/Latino,Mathematics All Students,Mathematics Asian-American/Pacific Islander,Mathematics African-American/Black,Mathematics Female,Mathematics Puerto Rican/Cuban/Other Hispanic,Mathematics Male,Mathematics American Indian/Alaskan Native,Mathematics Caucasian-American/White,Mathematics  Mexican-Amierican/Chicano/Latino,Reading All Students,Reading Asian-American/Pacific Islander,Reading African-American/Black,Reading Female,Reading Puerto Rican/Cuban/Other Hispanic,Reading Male,Reading American Indian/Alaskan Native,Reading Caucasian-American/White,Reading  Mexican-Amierican/Chicano/Latino,Science Reasoning All Students,Science Reasoning Asian-American/Pacific Islander,Science Reasoning African-American/Black,Science Reasoning Female,Science Reasoning Puerto Rican/Cuban/Other Hispanic,Science Reasoning Male,Science Reasoning American Indian/Alaskan Native,Science Reasoning Caucasian-American/White,Science Reasoning  Mexican-Amierican/Chicano/Latino,All Students Number Tested,Asian-American/Pacific Islander Number Tested,African-American/Black Number Tested,Female Number Tested,Puerto Rican/Cuban/Other Hispanic Number Tested,Male Number Tested,American Indian/Alaskan Native Number Tested,Caucasian-American/White Number Tested,Mexican-Amierican/Chicano/Latino Number Tested
601:2050,Appling County High School,17.4, , , , , , , , ,16.3, , , , , , , , ,17.6, , , , , , , , ,17.3, , , , , , , , ,17.7, , , , , , , , ,23, , , , , , , , 
601:All,Appling County,17.4, , , , , , , , ,16.3, , , , , , , , ,17.6, , , , , , , , ,17.3, , , , , , , , ,17.7, , , , , , , , ,23, , , , , , , , 
602:103,Atkinson County High School, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, , , , , , , , 
602:All,Atkinson County, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, , , , , , , , 
603:302,Bacon County High School,16.2, , , , , , , , ,14.8, , , , , , , , ,16.2, , , , , , , , ,15.8, , , , , , , , ,17.8, , , , , , , , ,5, , , , , , , , 
603:All,Bacon County,16.2, , , , , , , , ,14.8, , , , , , , , ,16.2, , , , , , , , ,15.8, , , , , , , , ,17.8, , , , , , , , ,5, , , , , , , , 
605:189,Baldwin High School,17.2, , , , , , , , ,16, , , , , , , , ,17.7, , , , , , , , ,16.8, , , , , , , , ,17.9, , , , , , , , ,62, , , , , , , , 
605:All,Baldwin County,17.2, , , , , , , , ,16, , , , , , , , ,17.7, , , , , , , , ,16.8, , , , , , , , ,17.9, , , , , , , , ,62, , , , , , , , 
606:199,Banks County High School,20.1, , , , , , , , ,19.4, , , , , , , , ,18.7, , , , , , , , ,21.4, , , , , , , , ,20.4, , , , , , , , ,25, , , , , , , , 
606:All,Banks County,20.1, , , , , , , , ,19.4, , , , , , , , ,18.7, , , , , , , , ,21.4, , , , , , , , ,20.4, , , , , , , , ,25, , , , , , , , 
607:101,Apalachee High School,17.5, , , , , , , , ,16.9, , , , , , , , ,17, , , , , , , , ,18.4, , , , , , , , ,17.4, , , , , , , , ,24, , , , , , , , 
607:3052,Winder-Barrow High School,18.8, , , , , , , , ,18.7, , , , , , , , ,18.4, , , , , , , , ,19, , , , , , , , ,19, , , , , , , , ,29, , , , , , , , 
607:All,Barrow County,18.2, , , , , , , , ,17.9, , , , , , , , ,17.8, , , , , , , , ,18.7, , , , , , , , ,18.3, , , , , , , , ,53, , , , , , , , 
608:105,Adairsville High School,17.9, , , , , , , , ,16.8, , , , , , , , ,17.6, , , , , , , , ,18.6, , , , , , , , ,18.2, , , , , , , , ,20, , , , , , , , 
608:198,Woodland High School,20.2, , , , , , , , ,19.7, , , , , , , , ,19.5, , , , , , , , ,20.8, , , , , , , , ,20.3, , , , , , , , ,52, , , , , , , , 
608:577,Cass High School,18.1, , , , , , , , ,16.8, , , , , , , , ,18.2, , , , , , , , ,18.1, , , , , , , , ,18.7, , , , , , , , ,34, , , , , , , , 
608:All,Bartow County,19.1, , , , , , , , ,18.2, , , , , , , , ,18.7, , , , , , , , ,19.5, , , , , , , , ,19.4, , , , , , , , ,106, , , , , , , , 
609:291,Fitzgerald High School,17, , , , , , , , ,15.4, , , , , , , , ,16.5, , , , , , , , ,17.5, , , , , , , , ,17.8, , , , , , , , ,24, , , , , , , , 
609:All,Ben Hill County,17, , , , , , , , ,15.4, , , , , , , , ,16.5, , , , , , , , ,17.5, , , , , , , , ,17.8, , , , , , , , ,24, , , , , , , , 
610:101,Berrien High School,17.2, , , , , , , , ,16.1, , , , , , , , ,16.8, , , , , , , , ,17.6, , , , , , , , ,17.6, , , , , , , , ,9, , , , , , , , 
610:All,Berrien County,17.2, , , , , , , , ,16.1, , , , , , , , ,16.8, , , , , , , , ,17.6, , , , , , , , ,17.6, , , , , , , , ,9, , , , , , , , 
611:186,Central High School,18.8, , , , , , , , ,18.4, , , , , , , , ,18.4, , , , , , , , ,19.3, , , , , , , , ,18.7, , , , , , , , ,86, , , , , , , , 
