"LONG_SCHOOL_YEAR","SCHOOL_DISTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","SUBGROUP_NAME","TEST_CMPNT_TYP_NM","NUM_TESTED_CNT","DOES_NOT_MEET_CNT","MEETS_CNT","EXCEEDS_CNT","DOES_NOT_MEET_PERCENT","MEETS_PERCENT","EXCEEDS_PERCENT"
"2010-11","601","Appling County","0109","Baxley Wilderness Institute","All Students","Writing",5,,,,,,
"2010-11","601","Appling County","0195","Appling County Middle School","All Students","Writing",261,75,179,4,28.7,68.6,1.5
"2010-11","601","Appling County","0195","Appling County Middle School","Male","Writing",141,59,78,1,41.8,55.3,0.7
"2010-11","601","Appling County","0195","Appling County Middle School","Female","Writing",120,16,101,3,13.3,84.2,2.5
"2010-11","601","Appling County","0195","Appling County Middle School","Black or African American","Writing",56,25,30,1,44.6,53.6,1.8
"2010-11","601","Appling County","0195","Appling County Middle School","White","Writing",176,42,131,2,23.9,74.4,1.1
"2010-11","601","Appling County","0195","Appling County Middle School","Hispanic","Writing",24,7,14,1,29.2,58.3,4.2
"2010-11","601","Appling County","0195","Appling County Middle School","Students with Disabilities","Writing",38,27,9,0,71.1,23.7,0
"2010-11","601","Appling County","0195","Appling County Middle School","Students without Disabilities","Writing",223,48,170,4,21.5,76.2,1.8
"2010-11","601","Appling County","0195","Appling County Middle School","Not Limited English Proficient","Writing",253,71,176,4,28.1,69.6,1.6
"2010-11","601","Appling County","0195","Appling County Middle School","Economically Disadvantaged","Writing",165,60,101,2,36.4,61.2,1.2
"2010-11","601","Appling County","0195","Appling County Middle School","Not Economically Disadvantaged","Writing",96,15,78,2,15.6,81.3,2.1
"2010-11","601","Appling County","0195","Appling County Middle School","Non-Migrant","Writing",253,71,177,4,28.1,70,1.6
"2010-11","601","Appling County","ALL","ALL","All Students","Writing",266,79,180,4,29.7,67.7,1.5
"2010-11","601","Appling County","ALL","ALL","Male","Writing",146,63,79,1,43.2,54.1,0.7
"2010-11","601","Appling County","ALL","ALL","Female","Writing",120,16,101,3,13.3,84.2,2.5
"2010-11","601","Appling County","ALL","ALL","Black or African American","Writing",61,29,31,1,47.5,50.8,1.6
"2010-11","601","Appling County","ALL","ALL","White","Writing",176,42,131,2,23.9,74.4,1.1
"2010-11","601","Appling County","ALL","ALL","Hispanic","Writing",24,7,14,1,29.2,58.3,4.2
"2010-11","601","Appling County","ALL","ALL","Students with Disabilities","Writing",39,28,9,0,71.8,23.1,0
"2010-11","601","Appling County","ALL","ALL","Students without Disabilities","Writing",227,51,171,4,22.5,75.3,1.8
"2010-11","601","Appling County","ALL","ALL","Not Limited English Proficient","Writing",258,75,177,4,29.1,68.6,1.6
"2010-11","601","Appling County","ALL","ALL","Economically Disadvantaged","Writing",169,63,102,2,37.3,60.4,1.2
"2010-11","601","Appling County","ALL","ALL","Not Economically Disadvantaged","Writing",97,16,78,2,16.5,80.4,2.1
"2010-11","601","Appling County","ALL","ALL","Non-Migrant","Writing",258,75,178,4,29.1,69,1.6
"2010-11","602","Atkinson County","0111","Atkinson County Middle School","All Students","Writing",118,39,76,1,33.1,64.4,0.8
"2010-11","602","Atkinson County","0111","Atkinson County Middle School","Male","Writing",65,27,36,0,41.5,55.4,0
"2010-11","602","Atkinson County","0111","Atkinson County Middle School","Female","Writing",53,12,40,1,22.6,75.5,1.9
"2010-11","602","Atkinson County","0111","Atkinson County Middle School","Black or African American","Writing",29,12,17,0,41.4,58.6,0
"2010-11","602","Atkinson County","0111","Atkinson County Middle School","White","Writing",52,13,36,1,25,69.2,1.9
"2010-11","602","Atkinson County","0111","Atkinson County Middle School","Hispanic","Writing",37,14,23,0,37.8,62.2,0
"2010-11","602","Atkinson County","0111","Atkinson County Middle School","Students with Disabilities","Writing",11,11,0,0,100,0,0
"2010-11","602","Atkinson County","0111","Atkinson County Middle School","Students without Disabilities","Writing",107,28,76,1,26.2,71,0.9
"2010-11","602","Atkinson County","0111","Atkinson County Middle School","Not Limited English Proficient","Writing",113,37,75,1,32.7,66.4,0.9
"2010-11","602","Atkinson County","0111","Atkinson County Middle School","Economically Disadvantaged","Writing",118,39,76,1,33.1,64.4,0.8
"2010-11","602","Atkinson County","0111","Atkinson County Middle School","Non-Migrant","Writing",117,39,76,1,33.3,65,0.9
"2010-11","602","Atkinson County","ALL","ALL","All Students","Writing",118,39,76,1,33.1,64.4,0.8
"2010-11","602","Atkinson County","ALL","ALL","Male","Writing",65,27,36,0,41.5,55.4,0
"2010-11","602","Atkinson County","ALL","ALL","Female","Writing",53,12,40,1,22.6,75.5,1.9
"2010-11","602","Atkinson County","ALL","ALL","Black or African American","Writing",29,12,17,0,41.4,58.6,0
"2010-11","602","Atkinson County","ALL","ALL","White","Writing",52,13,36,1,25,69.2,1.9
"2010-11","602","Atkinson County","ALL","ALL","Hispanic","Writing",37,14,23,0,37.8,62.2,0
"2010-11","602","Atkinson County","ALL","ALL","Students with Disabilities","Writing",11,11,0,0,100,0,0
"2010-11","602","Atkinson County","ALL","ALL","Students without Disabilities","Writing",107,28,76,1,26.2,71,0.9
"2010-11","602","Atkinson County","ALL","ALL","Not Limited English Proficient","Writing",113,37,75,1,32.7,66.4,0.9
"2010-11","602","Atkinson County","ALL","ALL","Economically Disadvantaged","Writing",118,39,76,1,33.1,64.4,0.8
"2010-11","602","Atkinson County","ALL","ALL","Non-Migrant","Writing",117,39,76,1,33.3,65,0.9
"2010-11","603","Bacon County","0202","Bacon County Middle School","All Students","Writing",151,51,99,0,33.8,65.6,0
"2010-11","603","Bacon County","0202","Bacon County Middle School","Male","Writing",73,32,40,0,43.8,54.8,0
"2010-11","603","Bacon County","0202","Bacon County Middle School","Female","Writing",78,19,59,0,24.4,75.6,0
"2010-11","603","Bacon County","0202","Bacon County Middle School","Black or African American","Writing",24,8,16,0,33.3,66.7,0
"2010-11","603","Bacon County","0202","Bacon County Middle School","White","Writing",112,36,76,0,32.1,67.9,0
"2010-11","603","Bacon County","0202","Bacon County Middle School","Hispanic","Writing",11,6,5,0,54.5,45.5,0
"2010-11","603","Bacon County","0202","Bacon County Middle School","Students with Disabilities","Writing",12,11,1,0,91.7,8.3,0
"2010-11","603","Bacon County","0202","Bacon County Middle School","Students without Disabilities","Writing",139,40,98,0,28.8,70.5,0
