SysSchoolID,SchoolName,English Number Tested All Students,English Fail All Students,English Pass All Students,English Pass Plus All Students,English Number Tested Economically Disadvantaged,English Fail Economically Disadvantaged,English Pass Economically Disadvantaged,English Pass Plus Economically Disadvantaged,English Number Tested Migrant,English Fail Migrant,English Pass Migrant,English Pass Plus Migrant,English Number Tested Not Economically Disadv.,English Fail Not Economically Disadv.,English Pass Not Economically Disadv.,English Pass Plus Not Economically Disadv.,English Number Tested Asian,English Fail Asian,English Pass Asian,English Pass Plus Asian,English Number Tested Black,English Fail Black,English Pass Black,English Pass Plus Black,English Number Tested Female,English Fail Female,English Pass Female,English Pass Plus Female,English Number Tested Hispanic,English Fail Hispanic,English Pass Hispanic,English Pass Plus Hispanic,English Number Tested Limited English Proficient,English Fail Limited English Proficient,English Pass Limited English Proficient,English Pass Plus Limited English Proficient,English Number Tested Male,English Fail Male,English Pass Male,English Pass Plus Male,English Number Tested Native Amer/Alaskan Native,English Fail Native Amer/Alaskan Native,English Pass Native Amer/Alaskan Native,English Pass Plus Native Amer/Alaskan Native,English Number Tested Students without Disabilities,English Fail Students without Disabilities,English Pass Students without Disabilities,English Pass Plus Students without Disabilities,English Number Tested Students with Disabilities,English Fail Students with Disabilities,English Pass Students with Disabilities,English Pass Plus Students with Disabilities,English Number Tested Multiracial,English Fail Multiracial,English Pass Multiracial,English Pass Plus Multiracial,English Number Tested White,English Fail White,English Pass White,English Pass Plus White,Mathematics Number Tested All Students,Mathematics Fail All Students,Mathematics Pass All Students,Mathematics Pass Plus All Students,Mathematics Number Tested Economically Disadvantaged,Mathematics Fail Economically Disadvantaged,Mathematics Pass Economically Disadvantaged,Mathematics Pass Plus Economically Disadvantaged,Mathematics Number Tested Migrant,Mathematics Fail Migrant,Mathematics Pass Migrant,Mathematics Pass Plus Migrant,Mathematics Number Tested Not Economically Disadv.,Mathematics Fail Not Economically Disadv.,Mathematics Pass Not Economically Disadv.,Mathematics Pass Plus Not Economically Disadv.,Mathematics Number Tested Asian,Mathematics Fail Asian,Mathematics Pass Asian,Mathematics Pass Plus Asian,Mathematics Number Tested Black,Mathematics Fail Black,Mathematics Pass Black,Mathematics Pass Plus Black,Mathematics Number Tested Female,Mathematics Fail Female,Mathematics Pass Female,Mathematics Pass Plus Female,Mathematics Number Tested Hispanic,Mathematics Fail Hispanic,Mathematics Pass Hispanic,Mathematics Pass Plus Hispanic,Mathematics Number Tested Limited English Proficient,Mathematics Fail Limited English Proficient,Mathematics Pass Limited English Proficient,Mathematics Pass Plus Limited English Proficient,Mathematics Number Tested Male,Mathematics Fail Male,Mathematics Pass Male,Mathematics Pass Plus Male,Mathematics Number Tested Native Amer/Alaskan Native,Mathematics Fail Native Amer/Alaskan Native,Mathematics Pass Native Amer/Alaskan Native,Mathematics Pass Plus Native Amer/Alaskan Native,Mathematics Number Tested Students without Disabilities,Mathematics Fail Students without Disabilities,Mathematics Pass Students without Disabilities,Mathematics Pass Plus Students without Disabilities,Mathematics Number Tested Students with Disabilities,Mathematics Fail Students with Disabilities,Mathematics Pass Students with Disabilities,Mathematics Pass Plus Students with Disabilities,Mathematics Number Tested Multiracial,Mathematics Fail Multiracial,Mathematics Pass Multiracial,Mathematics Pass Plus Multiracial,Mathematics Number Tested White,Mathematics Fail White,Mathematics Pass White,Mathematics Pass Plus White,Science Number Tested All Students,Science Fail All Students,Science Pass All Students,Science Pass Plus All Students,Science Number Tested Economically Disadvantaged,Science Fail Economically Disadvantaged,Science Pass Economically Disadvantaged,Science Pass Plus Economically Disadvantaged,Science Number Tested Migrant,Science Fail Migrant,Science Pass Migrant,Science Pass Plus Migrant,Science Number Tested Not Economically Disadv.,Science Fail Not Economically Disadv.,Science Pass Not Economically Disadv.,Science Pass Plus Not Economically Disadv.,Science Number Tested Asian,Science Fail Asian,Science Pass Asian,Science Pass Plus Asian,Science Number Tested Black,Science Fail Black,Science Pass Black,Science Pass Plus Black,Science Number Tested Female,Science Fail Female,Science Pass Female,Science Pass Plus Female,Science Number Tested Hispanic,Science Fail Hispanic,Science Pass Hispanic,Science Pass Plus Hispanic,Science Number Tested Limited English Proficient,Science Fail Limited English Proficient,Science Pass Limited English Proficient,Science Pass Plus Limited English Proficient,Science Number Tested Male,Science Fail Male,Science Pass Male,Science Pass Plus Male,Science Number Tested Native Amer/Alaskan Native,Science Fail Native Amer/Alaskan Native,Science Pass Native Amer/Alaskan Native,Science Pass Plus Native Amer/Alaskan Native,Science Number Tested Students without Disabilities,Science Fail Students without Disabilities,Science Pass Students without Disabilities,Science Pass Plus Students without Disabilities,Science Number Tested Students with Disabilities,Science Fail Students with Disabilities,Science Pass Students with Disabilities,Science Pass Plus Students with Disabilities,Science Number Tested Multiracial,Science Fail Multiracial,Science Pass Multiracial,Science Pass Plus Multiracial,Science Number Tested White,Science Fail White,Science Pass White,Science Pass Plus White,Social Studies Number Tested All Students,Social Studies Fail All Students,Social Studies Pass All Students,Social Studies Pass Plus All Students,Social Studies Number Tested Economically Disadvantaged,Social Studies Fail Economically Disadvantaged,Social Studies Pass Economically Disadvantaged,Social Studies Pass Plus Economically Disadvantaged,Social Studies Number Tested Migrant,Social Studies Fail Migrant,Social Studies Pass Migrant,Social Studies Pass Plus Migrant,Social Studies Number Tested Not Economically Disadv.,Social Studies Fail Not Economically Disadv.,Social Studies Pass Not Economically Disadv.,Social Studies Pass Plus Not Economically Disadv.,Social Studies Number Tested Asian,Social Studies Fail Asian,Social Studies Pass Asian,Social Studies Pass Plus Asian,Social Studies Number Tested Black,Social Studies Fail Black,Social Studies Pass Black,Social Studies Pass Plus Black,Social Studies Number Tested Female,Social Studies Fail Female,Social Studies Pass Female,Social Studies Pass Plus Female,Social Studies Number Tested Hispanic,Social Studies Fail Hispanic,Social Studies Pass Hispanic,Social Studies Pass Plus Hispanic,Social Studies Number Tested Limited English Proficient,Social Studies Fail Limited English Proficient,Social Studies Pass Limited English Proficient,Social Studies Pass Plus Limited English Proficient,Social Studies Number Tested Male,Social Studies Fail Male,Social Studies Pass Male,Social Studies Pass Plus Male,Social Studies Number Tested Native Amer/Alaskan Native,Social Studies Fail Native Amer/Alaskan Native,Social Studies Pass Native Amer/Alaskan Native,Social Studies Pass Plus Native Amer/Alaskan Native,Social Studies Number Tested Students without Disabilities,Social Studies Fail Students without Disabilities,Social Studies Pass Students without Disabilities,Social Studies Pass Plus Students without Disabilities,Social Studies Number Tested Students with Disabilities,Social Studies Fail Students with Disabilities,Social Studies Pass Students with Disabilities,Social Studies Pass Plus Students with Disabilities,Social Studies Number Tested Multiracial,Social Studies Fail Multiracial,Social Studies Pass Multiracial,Social Studies Pass Plus Multiracial,Social Studies Number Tested White,Social Studies Fail White,Social Studies Pass White,Social Studies Pass Plus White
601:2050,Appling County High School,175,2,38,59,73,3,56,41,3,,,,102,2,25,73,1,,,,50,4,52,44,96,1,39,60,5,,,,3,,,,79,4,38,58,,,,,163,1,36,63,12,17,67,17,1,,,,118,2,30,69,175,9,39,53,73,14,52,34,3,,,,102,5,29,66,1,,,,49,10,61,29,95,11,41,48,5,,,,3,,,,80,6,36,58,,,,,163,4,39,56,12,67,33,0,1,,,,119,8,29,64,175,29,57,15,73,42,51,7,3,,,,102,19,61,21,1,,,,50,46,52,2,96,33,57,9,5,,,,3,,,,79,23,56,22,,,,,163,25,59,16,12,75,25,0,1,,,,118,19,60,20,176,18,51,32,74,26,53,22,4,,,,102,12,49,39,1,,,,49,20,63,16,96,21,52,27,6,,,,4,,,,80,14,49,38,,,,,164,14,52,34,12,67,33,0,1,,,,119,16,45,39
601:ALL,Appling County,175,2,38,59,73,3,56,41,3,,,,102,2,25,73,1,,,,50,4,52,44,96,1,39,60,5,,,,3,,,,79,4,38,58,,,,,163,1,36,63,12,17,67,17,1,,,,118,2,30,69,175,9,39,53,73,14,52,34,3,,,,102,5,29,66,1,,,,49,10,61,29,95,11,41,48,5,,,,3,,,,80,6,36,58,,,,,163,4,39,56,12,67,33,0,1,,,,119,8,29,64,175,29,57,15,73,42,51,7,3,,,,102,19,61,21,1,,,,50,46,52,2,96,33,57,9,5,,,,3,,,,79,23,56,22,,,,,163,25,59,16,12,75,25,0,1,,,,118,19,60,20,176,18,51,32,74,26,53,22,4,,,,102,12,49,39,1,,,,49,20,63,16,96,21,52,27,6,,,,4,,,,80,14,49,38,,,,,164,14,52,34,12,67,33,0,1,,,,119,16,45,39
602:103,Atkinson County High School,90,10,48,42,90,10,48,42,,,,,,,,,1,,,,28,14,61,25,51,6,47,47,4,,,,,,,,39,15,49,36,,,,,80,3,51,46,10,70,20,10,,,,,57,9,39,53,90,18,57,26,90,18,57,26,,,,,,,,,1,,,,28,18,68,14,51,14,63,24,4,,,,,,,,39,23,49,28,,,,,80,10,61,29,10,80,20,0,,,,,57,16,53,32,90,59,36,6,90,59,36,6,,,,,,,,,1,,,,28,82,18,0,51,63,37,0,4,,,,,,,,39,54,33,13,,,,,80,55,39,6,10,90,10,0,,,,,57,46,46,9,90,29,54,17,90,29,54,17,,,,,,,,,1,,,,28,54,39,7,51,31,59,10,4,,,,,,,,39,26,49,26,,,,,80,23,59,19,10,80,20,0,,,,,57,18,60,23
602:ALL,Atkinson County,90,10,48,42,90,10,48,42,,,,,,,,,1,,,,28,14,61,25,51,6,47,47,4,,,,,,,,39,15,49,36,,,,,80,3,51,46,10,70,20,10,,,,,57,9,39,53,90,18,57,26,90,18,57,26,,,,,,,,,1,,,,28,18,68,14,51,14,63,24,4,,,,,,,,39,23,49,28,,,,,80,10,61,29,10,80,20,0,,,,,57,16,53,32,90,59,36,6,90,59,36,6,,,,,,,,,1,,,,28,82,18,0,51,63,37,0,4,,,,,,,,39,54,33,13,,,,,80,55,39,6,10,90,10,0,,,,,57,46,46,9,90,29,54,17,90,29,54,17,,,,,,,,,1,,,,28,54,39,7,51,31,59,10,4,,,,,,,,39,26,49,26,,,,,80,23,59,19,10,80,20,0,,,,,57,18,60,23
603:302,Bacon County High School,88,6,28,66,25,12,48,40,,,,,63,3,21,76,,,,,19,21,42,37,48,2,29,69,,,,,,,,,40,10,28,63,,,,,81,2,26,72,7,,,,,,,,69,1,25,74,88,7,51,42,25,16,56,28,,,,,63,3,49,48,,,,,19,26,47,26,48,2,56,42,,,,,,,,,40,13,45,43,,,,,81,1,53,46,7,,,,,,,,69,1,52,46,88,27,53,19,25,52,36,12,,,,,63,17,60,22,,,,,19,63,26,11,48,31,56,13,,,,,,,,,40,23,50,28,,,,,81,21,58,21,7,,,,,,,,69,17,61,22,88,18,43,39,25,36,44,20,,,,,63,11,43,46,,,,,19,53,32,16,48,21,48,31,,,,,,,,,40,15,38,48,,,,,81,12,46,42,7,,,,,,,,69,9,46,45
603:ALL,Bacon County,88,6,28,66,25,12,48,40,,,,,63,3,21,76,,,,,19,21,42,37,48,2,29,69,,,,,,,,,40,10,28,63,,,,,81,2,26,72,7,,,,,,,,69,1,25,74,88,7,51,42,25,16,56,28,,,,,63,3,49,48,,,,,19,26,47,26,48,2,56,42,,,,,,,,,40,13,45,43,,,,,81,1,53,46,7,,,,,,,,69,1,52,46,88,27,53,19,25,52,36,12,,,,,63,17,60,22,,,,,19,63,26,11,48,31,56,13,,,,,,,,,40,23,50,28,,,,,81,21,58,21,7,,,,,,,,69,17,61,22,88,18,43,39,25,36,44,20,,,,,63,11,43,46,,,,,19,53,32,16,48,21,48,31,,,,,,,,,40,15,38,48,,,,,81,12,46,42,7,,,,,,,,69,9,46,45
605:189,Baldwin High School,273,5,34,60,125,6,44,50,,,,,148,5,26,69,6,,,,176,7,43,50,148,4,29,67,3,,,,3,,,,125,7,41,52,,,,,237,2,30,68,36,31,64,6,2,,,,86,1,17,81,273,9,54,37,125,10,65,25,,,,,148,8,45,47,6,,,,176,12,62,26,148,9,57,34,3,,,,3,,,,125,10,50,40,,,,,237,3,55,41,36,47,47,6,2,,,,86,3,40,57,273,38,48,14,125,51,44,5,,,,,148,27,52,21,6,,,,176,51,44,5,148,42,48,10,3,,,,3,,,,125,34,49,18,,,,,237,31,54,15,36,86,11,3,2,,,,86,13,58,29,272,26,47,26,124,35,48,18,,,,,148,20,47,34,6,,,,177,35,49,16,146,28,49,23,3,,,,3,,,,126,25,44,31,,,,,236,19,52,29,36,75,17,8,2,,,,84,8,44,48
605:ALL,Baldwin County,273,5,34,60,125,6,44,50,,,,,148,5,26,69,6,,,,176,7,43,50,148,4,29,67,3,,,,3,,,,125,7,41,52,,,,,237,2,30,68,36,31,64,6,2,,,,86,1,17,81,273,9,54,37,125,10,65,25,,,,,148,8,45,47,6,,,,176,12,62,26,148,9,57,34,3,,,,3,,,,125,10,50,40,,,,,237,3,55,41,36,47,47,6,2,,,,86,3,40,57,273,38,48,14,125,51,44,5,,,,,148,27,52,21,6,,,,176,51,44,5,148,42,48,10,3,,,,3,,,,125,34,49,18,,,,,237,31,54,15,36,86,11,3,2,,,,86,13,58,29,272,26,47,26,124,35,48,18,,,,,148,20,47,34,6,,,,177,35,49,16,146,28,49,23,3,,,,3,,,,126,25,44,31,,,,,236,19,52,29,36,75,17,8,2,,,,84,8,44,48
606:199,Banks County High School,132,4,36,61,45,11,51,38,,,,,87,0,28,72,4,,,,1,,,,71,0,30,70,8,,,,4,,,,61,8,43,49,,,,,129,4,34,62,3,,,,1,,,,118,3,33,64,133,8,36,56,45,11,49,40,,,,,88,7,30,64,4,,,,1,,,,71,6,37,58,8,,,,4,,,,62,11,35,53,,,,,129,7,36,57,4,,,,1,,,,119,7,38,55,133,26,55,19,45,36,58,7,,,,,88,22,53,25,4,,,,1,,,,71,27,55,18,8,,,,4,,,,62,26,55,19,,,,,129,24,57,19,4,,,,1,,,,119,24,56,20,133,17,44,39,45,31,47,22,,,,,88,9,43,48,4,,,,1,,,,71,11,51,38,8,,,,4,,,,62,23,37,40,,,,,129,15,45,40,4,,,,1,,,,119,14,45,41
606:ALL,Banks County,132,4,36,61,45,11,51,38,,,,,87,0,28,72,4,,,,1,,,,71,0,30,70,8,,,,4,,,,61,8,43,49,,,,,129,4,34,62,3,,,,1,,,,118,3,33,64,133,8,36,56,45,11,49,40,,,,,88,7,30,64,4,,,,1,,,,71,6,37,58,8,,,,4,,,,62,11,35,53,,,,,129,7,36,57,4,,,,1,,,,119,7,38,55,133,26,55,19,45,36,58,7,,,,,88,22,53,25,4,,,,1,,,,71,27,55,18,8,,,,4,,,,62,26,55,19,,,,,129,24,57,19,4,,,,1,,,,119,24,56,20,133,17,44,39,45,31,47,22,,,,,88,9,43,48,4,,,,1,,,,71,11,51,38,8,,,,4,,,,62,23,37,40,,,,,129,15,45,40,4,,,,1,,,,119,14,45,41
