SysSchoolID,SchoolName,English Number Tested All Students,English Fail All Students,English Pass All Students,English Pass Plus All Students,English Number Tested Economically Disadvantaged,English Fail Economically Disadvantaged,English Pass Economically Disadvantaged,English Pass Plus Economically Disadvantaged,English Number Tested Migrant,English Fail Migrant,English Pass Migrant,English Pass Plus Migrant,English Number Tested Not Economically Disadv.,English Fail Not Economically Disadv.,English Pass Not Economically Disadv.,English Pass Plus Not Economically Disadv.,English Number Tested Asian,English Fail Asian,English Pass Asian,English Pass Plus Asian,English Number Tested Black,English Fail Black,English Pass Black,English Pass Plus Black,English Number Tested Female,English Fail Female,English Pass Female,English Pass Plus Female,English Number Tested Hispanic,English Fail Hispanic,English Pass Hispanic,English Pass Plus Hispanic,English Number Tested Limited English Proficient,English Fail Limited English Proficient,English Pass Limited English Proficient,English Pass Plus Limited English Proficient,English Number Tested Male,English Fail Male,English Pass Male,English Pass Plus Male,English Number Tested Native Amer/Alaskan Native,English Fail Native Amer/Alaskan Native,English Pass Native Amer/Alaskan Native,English Pass Plus Native Amer/Alaskan Native,English Number Tested Students without Disabilities,English Fail Students without Disabilities,English Pass Students without Disabilities,English Pass Plus Students without Disabilities,English Number Tested Students with Disabilities,English Fail Students with Disabilities,English Pass Students with Disabilities,English Pass Plus Students with Disabilities,English Number Tested Multiracial,English Fail Multiracial,English Pass Multiracial,English Pass Plus Multiracial,English Number Tested White,English Fail White,English Pass White,English Pass Plus White,Mathematics Number Tested All Students,Mathematics Fail All Students,Mathematics Pass All Students,Mathematics Pass Plus All Students,Mathematics Number Tested Economically Disadvantaged,Mathematics Fail Economically Disadvantaged,Mathematics Pass Economically Disadvantaged,Mathematics Pass Plus Economically Disadvantaged,Mathematics Number Tested Migrant,Mathematics Fail Migrant,Mathematics Pass Migrant,Mathematics Pass Plus Migrant,Mathematics Number Tested Not Economically Disadv.,Mathematics Fail Not Economically Disadv.,Mathematics Pass Not Economically Disadv.,Mathematics Pass Plus Not Economically Disadv.,Mathematics Number Tested Asian,Mathematics Fail Asian,Mathematics Pass Asian,Mathematics Pass Plus Asian,Mathematics Number Tested Black,Mathematics Fail Black,Mathematics Pass Black,Mathematics Pass Plus Black,Mathematics Number Tested Female,Mathematics Fail Female,Mathematics Pass Female,Mathematics Pass Plus Female,Mathematics Number Tested Hispanic,Mathematics Fail Hispanic,Mathematics Pass Hispanic,Mathematics Pass Plus Hispanic,Mathematics Number Tested Limited English Proficient,Mathematics Fail Limited English Proficient,Mathematics Pass Limited English Proficient,Mathematics Pass Plus Limited English Proficient,Mathematics Number Tested Male,Mathematics Fail Male,Mathematics Pass Male,Mathematics Pass Plus Male,Mathematics Number Tested Native Amer/Alaskan Native,Mathematics Fail Native Amer/Alaskan Native,Mathematics Pass Native Amer/Alaskan Native,Mathematics Pass Plus Native Amer/Alaskan Native,Mathematics Number Tested Students without Disabilities,Mathematics Fail Students without Disabilities,Mathematics Pass Students without Disabilities,Mathematics Pass Plus Students without Disabilities,Mathematics Number Tested Students with Disabilities,Mathematics Fail Students with Disabilities,Mathematics Pass Students with Disabilities,Mathematics Pass Plus Students with Disabilities,Mathematics Number Tested Multiracial,Mathematics Fail Multiracial,Mathematics Pass Multiracial,Mathematics Pass Plus Multiracial,Mathematics Number Tested White,Mathematics Fail White,Mathematics Pass White,Mathematics Pass Plus White,Science Number Tested All Students,Science Fail All Students,Science Pass All Students,Science Pass Plus All Students,Science Number Tested Economically Disadvantaged,Science Fail Economically Disadvantaged,Science Pass Economically Disadvantaged,Science Pass Plus Economically Disadvantaged,Science Number Tested Migrant,Science Fail Migrant,Science Pass Migrant,Science Pass Plus Migrant,Science Number Tested Not Economically Disadv.,Science Fail Not Economically Disadv.,Science Pass Not Economically Disadv.,Science Pass Plus Not Economically Disadv.,Science Number Tested Asian,Science Fail Asian,Science Pass Asian,Science Pass Plus Asian,Science Number Tested Black,Science Fail Black,Science Pass Black,Science Pass Plus Black,Science Number Tested Female,Science Fail Female,Science Pass Female,Science Pass Plus Female,Science Number Tested Hispanic,Science Fail Hispanic,Science Pass Hispanic,Science Pass Plus Hispanic,Science Number Tested Limited English Proficient,Science Fail Limited English Proficient,Science Pass Limited English Proficient,Science Pass Plus Limited English Proficient,Science Number Tested Male,Science Fail Male,Science Pass Male,Science Pass Plus Male,Science Number Tested Native Amer/Alaskan Native,Science Fail Native Amer/Alaskan Native,Science Pass Native Amer/Alaskan Native,Science Pass Plus Native Amer/Alaskan Native,Science Number Tested Students without Disabilities,Science Fail Students without Disabilities,Science Pass Students without Disabilities,Science Pass Plus Students without Disabilities,Science Number Tested Students with Disabilities,Science Fail Students with Disabilities,Science Pass Students with Disabilities,Science Pass Plus Students with Disabilities,Science Number Tested Multiracial,Science Fail Multiracial,Science Pass Multiracial,Science Pass Plus Multiracial,Science Number Tested White,Science Fail White,Science Pass White,Science Pass Plus White,Social Studies Number Tested All Students,Social Studies Fail All Students,Social Studies Pass All Students,Social Studies Pass Plus All Students,Social Studies Number Tested Economically Disadvantaged,Social Studies Fail Economically Disadvantaged,Social Studies Pass Economically Disadvantaged,Social Studies Pass Plus Economically Disadvantaged,Social Studies Number Tested Migrant,Social Studies Fail Migrant,Social Studies Pass Migrant,Social Studies Pass Plus Migrant,Social Studies Number Tested Not Economically Disadv.,Social Studies Fail Not Economically Disadv.,Social Studies Pass Not Economically Disadv.,Social Studies Pass Plus Not Economically Disadv.,Social Studies Number Tested Asian,Social Studies Fail Asian,Social Studies Pass Asian,Social Studies Pass Plus Asian,Social Studies Number Tested Black,Social Studies Fail Black,Social Studies Pass Black,Social Studies Pass Plus Black,Social Studies Number Tested Female,Social Studies Fail Female,Social Studies Pass Female,Social Studies Pass Plus Female,Social Studies Number Tested Hispanic,Social Studies Fail Hispanic,Social Studies Pass Hispanic,Social Studies Pass Plus Hispanic,Social Studies Number Tested Limited English Proficient,Social Studies Fail Limited English Proficient,Social Studies Pass Limited English Proficient,Social Studies Pass Plus Limited English Proficient,Social Studies Number Tested Male,Social Studies Fail Male,Social Studies Pass Male,Social Studies Pass Plus Male,Social Studies Number Tested Native Amer/Alaskan Native,Social Studies Fail Native Amer/Alaskan Native,Social Studies Pass Native Amer/Alaskan Native,Social Studies Pass Plus Native Amer/Alaskan Native,Social Studies Number Tested Students without Disabilities,Social Studies Fail Students without Disabilities,Social Studies Pass Students without Disabilities,Social Studies Pass Plus Students without Disabilities,Social Studies Number Tested Students with Disabilities,Social Studies Fail Students with Disabilities,Social Studies Pass Students with Disabilities,Social Studies Pass Plus Students with Disabilities,Social Studies Number Tested Multiracial,Social Studies Fail Multiracial,Social Studies Pass Multiracial,Social Studies Pass Plus Multiracial,Social Studies Number Tested White,Social Studies Fail White,Social Studies Pass White,Social Studies Pass Plus White
601:ALL,Appling County,161,2,34,63,72,1,47,51,3,,,,89,3,24,73,,,,,38,3,50,47,84,1,27,71,8,,,,2,,,,77,4,42,55,,,,,144,2,29,69,17,6,76,18,1,,,,114,3,27,70,159,6,45,49,72,7,57,36,3,,,,87,6,34,60,,,,,38,5,68,26,83,4,46,51,8,,,,2,,,,76,9,43,47,,,,,142,3,45,52,17,35,41,24,1,,,,112,7,37,56,162,26,57,17,73,37,47,16,3,,,,89,17,65,18,,,,,39,41,51,8,85,33,49,18,8,,,,2,,,,77,18,65,17,,,,,145,22,59,19,17,59,35,6,1,,,,114,20,60,20,162,14,51,36,74,16,58,26,3,,,,88,11,44,44,,,,,39,15,64,21,86,12,48,41,8,,,,2,,,,76,16,54,30,,,,,145,8,53,39,17,59,29,12,1,,,,114,12,45,43
601:103,Appling County High School,161,2,34,63,72,1,47,51,3,,,,89,3,24,73,,,,,38,3,50,47,84,1,27,71,8,,,,2,,,,77,4,42,55,,,,,144,2,29,69,17,6,76,18,1,,,,114,3,27,70,159,6,45,49,72,7,57,36,3,,,,87,6,34,60,,,,,38,5,68,26,83,4,46,51,8,,,,2,,,,76,9,43,47,,,,,142,3,45,52,17,35,41,24,1,,,,112,7,37,56,162,26,57,17,73,37,47,16,3,,,,89,17,65,18,,,,,39,41,51,8,85,33,49,18,8,,,,2,,,,77,18,65,17,,,,,145,22,59,19,17,59,35,6,1,,,,114,20,60,20,162,14,51,36,74,16,58,26,3,,,,88,11,44,44,,,,,39,15,64,21,86,12,48,41,8,,,,2,,,,76,16,54,30,,,,,145,8,53,39,17,59,29,12,1,,,,114,12,45,43
602:103,Atkinson County High School,79,6,32,62,79,6,32,62,1,,,,,,,,,,,,19,11,42,47,31,0,23,77,20,10,40,50,2,,,,48,10,38,52,1,,,,71,4,30,66,8,,,,,,,,39,3,23,74,79,16,47,37,79,16,47,37,1,,,,,,,,,,,,19,26,68,5,31,10,52,39,20,25,35,40,2,,,,48,21,44,35,1,,,,71,11,48,41,8,,,,,,,,39,8,41,51,80,48,45,8,80,48,45,8,1,,,,,,,,,,,,19,58,42,0,32,47,47,6,20,65,25,10,2,,,,48,48,44,8,1,,,,72,44,47,8,8,,,,,,,,40,33,57,10,79,23,53,24,79,23,53,24,1,,,,,,,,,,,,19,32,68,0,31,10,61,29,20,30,45,25,2,,,,48,31,48,21,1,,,,71,17,56,27,8,,,,,,,,39,15,49,36
602:ALL,Atkinson County,79,6,32,62,79,6,32,62,1,,,,,,,,,,,,19,11,42,47,31,0,23,77,20,10,40,50,2,,,,48,10,38,52,1,,,,71,4,30,66,8,,,,,,,,39,3,23,74,79,16,47,37,79,16,47,37,1,,,,,,,,,,,,19,26,68,5,31,10,52,39,20,25,35,40,2,,,,48,21,44,35,1,,,,71,11,48,41,8,,,,,,,,39,8,41,51,80,48,45,8,80,48,45,8,1,,,,,,,,,,,,19,58,42,0,32,47,47,6,20,65,25,10,2,,,,48,48,44,8,1,,,,72,44,47,8,8,,,,,,,,40,33,57,10,79,23,53,24,79,23,53,24,1,,,,,,,,,,,,19,32,68,0,31,10,61,29,20,30,45,25,2,,,,48,31,48,21,1,,,,71,17,56,27,8,,,,,,,,39,15,49,36
603:302,Bacon County High School,105,8,41,51,51,12,43,45,1,,,,54,4,39,57,1,,,,20,5,80,15,49,2,35,63,7,,,,1,,,,56,13,46,41,,,,,91,4,38,57,14,29,57,14,4,,,,73,7,33,60,105,12,58,30,51,18,67,16,1,,,,54,7,50,43,1,,,,20,25,70,5,49,8,61,31,7,,,,1,,,,56,16,55,29,,,,,91,5,60,34,14,57,43,0,4,,,,73,10,55,36,105,40,44,16,51,55,33,12,1,,,,54,26,54,20,1,,,,20,75,25,0,49,47,39,14,7,,,,1,,,,56,34,48,18,,,,,91,34,48,18,14,79,14,7,4,,,,73,30,51,19,105,30,44,26,51,37,43,20,1,,,,54,24,44,31,1,,,,20,40,60,0,49,27,49,24,7,,,,1,,,,56,34,39,27,,,,,91,25,46,29,14,64,29,7,4,,,,73,27,40,33
603:ALL,Bacon County,105,8,41,51,51,12,43,45,1,,,,54,4,39,57,1,,,,20,5,80,15,49,2,35,63,7,,,,1,,,,56,13,46,41,,,,,91,4,38,57,14,29,57,14,4,,,,73,7,33,60,105,12,58,30,51,18,67,16,1,,,,54,7,50,43,1,,,,20,25,70,5,49,8,61,31,7,,,,1,,,,56,16,55,29,,,,,91,5,60,34,14,57,43,0,4,,,,73,10,55,36,105,40,44,16,51,55,33,12,1,,,,54,26,54,20,1,,,,20,75,25,0,49,47,39,14,7,,,,1,,,,56,34,48,18,,,,,91,34,48,18,14,79,14,7,4,,,,73,30,51,19,105,30,44,26,51,37,43,20,1,,,,54,24,44,31,1,,,,20,40,60,0,49,27,49,24,7,,,,1,,,,56,34,39,27,,,,,91,25,46,29,14,64,29,7,4,,,,73,27,40,33
605:189,Baldwin High School,235,6,31,63,127,9,41,50,,,,,108,2,20,78,6,,,,152,9,44,47,114,4,33,63,6,,,,1,,,,121,7,30,63,,,,,194,2,26,72,41,22,59,20,4,,,,67,0,7,93,234,11,49,41,126,16,57,27,,,,,108,5,39,56,6,,,,151,15,63,23,113,12,51,37,6,,,,1,,,,121,10,46,44,,,,,194,4,49,46,40,43,45,13,4,,,,67,3,21,76,234,35,48,17,126,47,44,9,,,,,108,20,53,27,6,,,,151,49,44,7,113,39,50,11,6,,,,1,,,,121,31,46,23,,,,,194,26,54,20,40,75,20,5,4,,,,67,7,55,37,234,21,52,27,126,26,56,18,,,,,108,15,47,38,6,,,,151,29,57,14,113,20,56,24,6,,,,1,,,,121,21,48,31,,,,,194,12,57,31,40,65,28,8,4,,,,67,6,39,55
605:ALL,Baldwin County,235,6,31,63,127,9,41,50,,,,,108,2,20,78,6,,,,152,9,44,47,114,4,33,63,6,,,,1,,,,121,7,30,63,,,,,194,2,26,72,41,22,59,20,4,,,,67,0,7,93,234,11,49,41,126,16,57,27,,,,,108,5,39,56,6,,,,151,15,63,23,113,12,51,37,6,,,,1,,,,121,10,46,44,,,,,194,4,49,46,40,43,45,13,4,,,,67,3,21,76,234,35,48,17,126,47,44,9,,,,,108,20,53,27,6,,,,151,49,44,7,113,39,50,11,6,,,,1,,,,121,31,46,23,,,,,194,26,54,20,40,75,20,5,4,,,,67,7,55,37,234,21,52,27,126,26,56,18,,,,,108,15,47,38,6,,,,151,29,57,14,113,20,56,24,6,,,,1,,,,121,21,48,31,,,,,194,12,57,31,40,65,28,8,4,,,,67,6,39,55
606:199,Banks County High School,137,9,25,66,58,14,36,50,,,,,79,6,16,77,5,,,,4,,,,65,6,20,74,7,,,,3,,,,72,13,29,58,,,,,125,6,22,71,12,42,50,8,2,,,,119,8,24,68,137,8,53,39,58,17,53,29,,,,,79,1,53,46,5,,,,4,,,,65,9,62,29,7,,,,3,,,,72,7,46,47,,,,,125,2,56,42,12,67,25,8,2,,,,119,6,54,40,137,25,50,25,58,47,41,12,,,,,79,9,57,34,5,,,,4,,,,65,31,48,22,7,,,,3,,,,72,19,53,28,,,,,125,19,54,27,12,83,17,0,2,,,,119,20,53,27,136,13,51,36,57,21,61,18,,,,,79,6,44,49,5,,,,4,,,,64,16,48,36,7,,,,3,,,,72,10,54,36,,,,,124,9,52,40,12,50,50,0,2,,,,118,8,53,38
606:ALL,Banks County,137,9,25,66,58,14,36,50,,,,,79,6,16,77,5,,,,4,,,,65,6,20,74,7,,,,3,,,,72,13,29,58,,,,,125,6,22,71,12,42,50,8,2,,,,119,8,24,68,137,8,53,39,58,17,53,29,,,,,79,1,53,46,5,,,,4,,,,65,9,62,29,7,,,,3,,,,72,7,46,47,,,,,125,2,56,42,12,67,25,8,2,,,,119,6,54,40,137,25,50,25,58,47,41,12,,,,,79,9,57,34,5,,,,4,,,,65,31,48,22,7,,,,3,,,,72,19,53,28,,,,,125,19,54,27,12,83,17,0,2,,,,119,20,53,27,136,13,51,36,57,21,61,18,,,,,79,6,44,49,5,,,,4,,,,64,16,48,36,7,,,,3,,,,72,10,54,36,,,,,124,9,52,40,12,50,50,0,2,,,,118,8,53,38
