"LONG_SCHOOL_YEAR","SCHOOL_DISTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","SUBGROUP_NAME","TEST_CMPNT_TYP_NM","NUM_TESTED_CNT","DOES_NOT_MEET_CNT","MEETS_CNT","EXCEEDS_CNT","DOES_NOT_MEET_PERCENT","MEETS_PERCENT","EXCEEDS_PERCENT"
"2011-12","601","Appling County","0103","Appling County High School","All Students","Writing",198,18,161,19,9.1,81.3,9.6
"2011-12","601","Appling County","0103","Appling County High School","Male","Writing",103,14,80,9,13.6,77.7,8.7
"2011-12","601","Appling County","0103","Appling County High School","Female","Writing",95,4,81,10,4.2,85.3,10.5
"2011-12","601","Appling County","0103","Appling County High School","Black or African American","Writing",41,6,33,2,14.6,80.5,4.9
"2011-12","601","Appling County","0103","Appling County High School","White","Writing",141,8,119,14,5.7,84.4,9.9
"2011-12","601","Appling County","0103","Appling County High School","Hispanic","Writing",12,3,7,2,25,58.3,16.7
"2011-12","601","Appling County","0103","Appling County High School","Students with Disabilities","Writing",20,9,11,0,45,55,0
"2011-12","601","Appling County","0103","Appling County High School","Students without Disabilities","Writing",178,9,150,19,5.1,84.3,10.7
"2011-12","601","Appling County","0103","Appling County High School","Not Limited English Proficient","Writing",195,16,160,19,8.2,82.1,9.7
"2011-12","601","Appling County","0103","Appling County High School","Economically Disadvantaged","Writing",113,16,91,6,14.2,80.5,5.3
"2011-12","601","Appling County","0103","Appling County High School","Not Economically Disadvantaged","Writing",85,2,70,13,2.4,82.4,15.3
"2011-12","601","Appling County","0103","Appling County High School","Non-Migrant","Writing",195,17,159,19,8.7,81.5,9.7
"2011-12","601","Appling County","0109","Baxley Wilderness Institute","All Students","Writing",1,,,,,,
"2011-12","601","Appling County","ALL","ALL","All Students","Writing",199,18,162,19,9,81.4,9.5
"2011-12","601","Appling County","ALL","ALL","Male","Writing",104,14,81,9,13.5,77.9,8.7
"2011-12","601","Appling County","ALL","ALL","Female","Writing",95,4,81,10,4.2,85.3,10.5
"2011-12","601","Appling County","ALL","ALL","Black or African American","Writing",42,6,34,2,14.3,81,4.8
"2011-12","601","Appling County","ALL","ALL","White","Writing",141,8,119,14,5.7,84.4,9.9
"2011-12","601","Appling County","ALL","ALL","Hispanic","Writing",12,3,7,2,25,58.3,16.7
