"LONG_SCHOOL_YEAR","SCHOOL_DISTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","SUBGROUP_NAME","TEST_CMPNT_TYP_NM","NUM_TESTED_CNT","DOES_NOT_MEET_CNT","MEETS_CNT","EXCEEDS_CNT","DOES_NOT_MEET_PERCENT","MEETS_PERCENT","EXCEEDS_PERCENT"
"2014-15","601","Appling County","0103","Appling County High School","All Students","Writing",238,16,211,11,6.7,88.7,4.6
"2014-15","601","Appling County","0103","Appling County High School","Male","Writing",127,11,112,4,8.7,88.2,3.1
"2014-15","601","Appling County","0103","Appling County High School","Female","Writing",111,5,99,7,4.5,89.2,6.3
"2014-15","601","Appling County","0103","Appling County High School","Black or African American","Writing",55,6,48,1,10.9,87.3,1.8
"2014-15","601","Appling County","0103","Appling County High School","White","Writing",158,10,138,10,6.3,87.3,6.3
"2014-15","601","Appling County","0103","Appling County High School","Hispanic","Writing",21,0,21,0,0,100,0
"2014-15","601","Appling County","0103","Appling County High School","Students with Disabilities","Writing",19,8,11,0,42.1,57.9,0
"2014-15","601","Appling County","0103","Appling County High School","Students without Disabilities","Writing",219,8,200,11,3.7,91.3,5
"2014-15","601","Appling County","0103","Appling County High School","Not Limited English Proficient","Writing",237,16,210,11,6.8,88.6,4.6
"2014-15","601","Appling County","0103","Appling County High School","Economically Disadvantaged","Writing",129,12,114,3,9.3,88.4,2.3
"2014-15","601","Appling County","0103","Appling County High School","Not Economically Disadvantaged","Writing",109,4,97,8,3.7,89,7.3
"2014-15","601","Appling County","0103","Appling County High School","Non-Migrant","Writing",235,16,208,11,6.8,88.5,4.7
"2014-15","601","Appling County","ALL","ALL","All Students","Writing",238,16,211,11,6.7,88.7,4.6
"2014-15","601","Appling County","ALL","ALL","Male","Writing",127,11,112,4,8.7,88.2,3.1
"2014-15","601","Appling County","ALL","ALL","Female","Writing",111,5,99,7,4.5,89.2,6.3
"2014-15","601","Appling County","ALL","ALL","Black or African American","Writing",55,6,48,1,10.9,87.3,1.8
"2014-15","601","Appling County","ALL","ALL","White","Writing",158,10,138,10,6.3,87.3,6.3
"2014-15","601","Appling County","ALL","ALL","Hispanic","Writing",21,0,21,0,0,100,0
"2014-15","601","Appling County","ALL","ALL","Students with Disabilities","Writing",19,8,11,0,42.1,57.9,0
"2014-15","601","Appling County","ALL","ALL","Students without Disabilities","Writing",219,8,200,11,3.7,91.3,5
"2014-15","601","Appling County","ALL","ALL","Not Limited English Proficient","Writing",237,16,210,11,6.8,88.6,4.6
"2014-15","601","Appling County","ALL","ALL","Economically Disadvantaged","Writing",129,12,114,3,9.3,88.4,2.3
"2014-15","601","Appling County","ALL","ALL","Not Economically Disadvantaged","Writing",109,4,97,8,3.7,89,7.3
"2014-15","601","Appling County","ALL","ALL","Non-Migrant","Writing",235,16,208,11,6.8,88.5,4.7
"2014-15","602","Atkinson County","0103","Atkinson County High School","All Students","Writing",102,2,93,7,2,91.2,6.9
"2014-15","602","Atkinson County","0103","Atkinson County High School","Male","Writing",50,1,46,3,2,92,6
"2014-15","602","Atkinson County","0103","Atkinson County High School","Female","Writing",52,1,47,4,1.9,90.4,7.7
"2014-15","602","Atkinson County","0103","Atkinson County High School","Black or African American","Writing",21,0,18,3,0,85.7,14.3
"2014-15","602","Atkinson County","0103","Atkinson County High School","White","Writing",43,1,39,3,2.3,90.7,7
"2014-15","602","Atkinson County","0103","Atkinson County High School","Hispanic","Writing",38,1,36,1,2.6,94.7,2.6
"2014-15","602","Atkinson County","0103","Atkinson County High School","Students without Disabilities","Writing",97,1,89,7,1,91.8,7.2
"2014-15","602","Atkinson County","0103","Atkinson County High School","Not Limited English Proficient","Writing",98,2,89,7,2,90.8,7.1
"2014-15","602","Atkinson County","0103","Atkinson County High School","Economically Disadvantaged","Writing",102,2,93,7,2,91.2,6.9
"2014-15","602","Atkinson County","0103","Atkinson County High School","Non-Migrant","Writing",101,2,92,7,2,91.1,6.9
"2014-15","602","Atkinson County","ALL","ALL","All Students","Writing",102,2,93,7,2,91.2,6.9
"2014-15","602","Atkinson County","ALL","ALL","Male","Writing",50,1,46,3,2,92,6
"2014-15","602","Atkinson County","ALL","ALL","Female","Writing",52,1,47,4,1.9,90.4,7.7
"2014-15","602","Atkinson County","ALL","ALL","Black or African American","Writing",21,0,18,3,0,85.7,14.3
"2014-15","602","Atkinson County","ALL","ALL","White","Writing",43,1,39,3,2.3,90.7,7
"2014-15","602","Atkinson County","ALL","ALL","Hispanic","Writing",38,1,36,1,2.6,94.7,2.6
"2014-15","602","Atkinson County","ALL","ALL","Students without Disabilities","Writing",97,1,89,7,1,91.8,7.2
"2014-15","602","Atkinson County","ALL","ALL","Not Limited English Proficient","Writing",98,2,89,7,2,90.8,7.1
"2014-15","602","Atkinson County","ALL","ALL","Economically Disadvantaged","Writing",102,2,93,7,2,91.2,6.9
"2014-15","602","Atkinson County","ALL","ALL","Non-Migrant","Writing",101,2,92,7,2,91.1,6.9
"2014-15","603","Bacon County","0302","Bacon County High School","All Students","Writing",107,7,99,1,6.5,92.5,0.9
"2014-15","603","Bacon County","0302","Bacon County High School","Male","Writing",51,5,46,0,9.8,90.2,0
"2014-15","603","Bacon County","0302","Bacon County High School","Female","Writing",56,2,53,1,3.6,94.6,1.8
"2014-15","603","Bacon County","0302","Bacon County High School","Black or African American","Writing",14,1,13,0,7.1,92.9,0
"2014-15","603","Bacon County","0302","Bacon County High School","White","Writing",83,5,77,1,6,92.8,1.2
"2014-15","603","Bacon County","0302","Bacon County High School","Students with Disabilities","Writing",10,2,8,0,20,80,0
"2014-15","603","Bacon County","0302","Bacon County High School","Students without Disabilities","Writing",97,5,91,1,5.2,93.8,1
"2014-15","603","Bacon County","0302","Bacon County High School","Not Limited English Proficient","Writing",104,6,97,1,5.8,93.3,1
"2014-15","603","Bacon County","0302","Bacon County High School","Economically Disadvantaged","Writing",59,5,54,0,8.5,91.5,0
"2014-15","603","Bacon County","0302","Bacon County High School","Not Economically Disadvantaged","Writing",48,2,45,1,4.2,93.8,2.1
"2014-15","603","Bacon County","0302","Bacon County High School","Non-Migrant","Writing",106,7,98,1,6.6,92.5,0.9
"2014-15","603","Bacon County","ALL","ALL","All Students","Writing",107,7,99,1,6.5,92.5,0.9
"2014-15","603","Bacon County","ALL","ALL","Male","Writing",51,5,46,0,9.8,90.2,0
"2014-15","603","Bacon County","ALL","ALL","Female","Writing",56,2,53,1,3.6,94.6,1.8
"2014-15","603","Bacon County","ALL","ALL","Black or African American","Writing",14,1,13,0,7.1,92.9,0
"2014-15","603","Bacon County","ALL","ALL","White","Writing",83,5,77,1,6,92.8,1.2
"2014-15","603","Bacon County","ALL","ALL","Students with Disabilities","Writing",10,2,8,0,20,80,0
"2014-15","603","Bacon County","ALL","ALL","Students without Disabilities","Writing",97,5,91,1,5.2,93.8,1
"2014-15","603","Bacon County","ALL","ALL","Not Limited English Proficient","Writing",104,6,97,1,5.8,93.3,1
"2014-15","603","Bacon County","ALL","ALL","Economically Disadvantaged","Writing",59,5,54,0,8.5,91.5,0
"2014-15","603","Bacon County","ALL","ALL","Not Economically Disadvantaged","Writing",48,2,45,1,4.2,93.8,2.1
"2014-15","603","Bacon County","ALL","ALL","Non-Migrant","Writing",106,7,98,1,6.6,92.5,0.9
"2014-15","604","Baker County","0105","Baker County K12 School","All Students","Writing",18,0,17,1,0,94.4,5.6
"2014-15","604","Baker County","0105","Baker County K12 School","Female","Writing",11,0,11,0,0,100,0
"2014-15","604","Baker County","0105","Baker County K12 School","Black or African American","Writing",12,0,12,0,0,100,0
"2014-15","604","Baker County","0105","Baker County K12 School","Students without Disabilities","Writing",15,0,14,1,0,93.3,6.7
"2014-15","604","Baker County","0105","Baker County K12 School","Not Limited English Proficient","Writing",18,0,17,1,0,94.4,5.6
"2014-15","604","Baker County","0105","Baker County K12 School","Economically Disadvantaged","Writing",18,0,17,1,0,94.4,5.6
"2014-15","604","Baker County","0105","Baker County K12 School","Non-Migrant","Writing",18,0,17,1,0,94.4,5.6
"2014-15","604","Baker County","ALL","ALL","All Students","Writing",18,0,17,1,0,94.4,5.6
"2014-15","604","Baker County","ALL","ALL","Female","Writing",11,0,11,0,0,100,0
"2014-15","604","Baker County","ALL","ALL","Black or African American","Writing",12,0,12,0,0,100,0
"2014-15","604","Baker County","ALL","ALL","Students without Disabilities","Writing",15,0,14,1,0,93.3,6.7
"2014-15","604","Baker County","ALL","ALL","Not Limited English Proficient","Writing",18,0,17,1,0,94.4,5.6
"2014-15","604","Baker County","ALL","ALL","Economically Disadvantaged","Writing",18,0,17,1,0,94.4,5.6
"2014-15","604","Baker County","ALL","ALL","Non-Migrant","Writing",18,0,17,1,0,94.4,5.6
"2014-15","605","Baldwin County","0189","Baldwin High School","All Students","Writing",254,8,239,7,3.1,94.1,2.8
"2014-15","605","Baldwin County","0189","Baldwin High School","Male","Writing",109,6,101,2,5.5,92.7,1.8
"2014-15","605","Baldwin County","0189","Baldwin High School","Female","Writing",145,2,138,5,1.4,95.2,3.4
