"SysSchoolID","SchoolName","Graduation Rate All Students","Number Taken All Students","Approximate Class Size All Students","Graduation Rate Asian","Number Taken Asian","Approximate Class Size Asian","Graduation Rate Black","Number Taken Black","Approximate Class Size Black","Graduation Rate Hispanic","Number Taken Hispanic","Approximate Class Size Hispanic","Graduation Rate Native Amer/Alaskan Native","Number Taken Native Amer/Alaskan Native","Approximate Class Size Amer/Alaskan Native","Graduation Rate White","Number Taken White","Approximate Class Size White","Graduation Rate Multiracial","Number Taken Multiracial","Approximate Class Size Multiracial","Graduation Rate Male","Number Taken Male","Approximate Class Size Male","Graduation Rate Female","Number Taken Female","Approximate Class Size Female","Graduation Rate Students with Disabilities","Number Taken Students with Disabilities","Approximate Class Size Students with Disabilities","Graduation Rate Students without Disabilities","Number Taken Students without Disabilities","Approximate Class Size Students without Disabilities","Graduation Rate Limited English Proficient","Number Taken Limited English Proficient","Approximate Class Size Limited English Proficient","Graduation Rate Economically Disadvantaged","Number Taken Economically Disadvantaged","Approximate Class Size Economically Disadvantaged","Graduation Rate Not Economically Disadv","Number Taken Not Economically Disadv","Approximate Class Size Not Economically Disadv","Graduation Rate Migrant","Number Taken Migrant","Approximate Class Size Migrant"
"601:1050","Altamaha Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"601:177","Appling County Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"601:195","Appling County Middle School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"601:2050","Appling County High School","57.6","137","238","","","0","52.3","34","65","","","6","","","0","60","99","165","","","2","57.4","70","122","57.8","67","116","12","3","25","62.9","134","213","","","1","36.8","35","95","71.3","102","143","","","4"
"601:277","Appling County Primary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"601:5050","Fourth District Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"601:ALL","Appling County","57.6","137","238","","","0","52.3","34","65","","","6","","","0","60","99","165","","","2","57.4","70","122","57.8","67","116","12","3","25","62.9","134","213","","","1","36.8","35","95","71.3","102","143","","","4"
"602:103","Atkinson County High School","53.6","60","112","","","0","35.7","10","28","46.7","7","15","","","0","62.3","43","69","","","0","60.3","38","63","44.9","22","49","0","0","11","59.4","60","101","","","2","45.1","41","91","90.5","19","21","","","7"
"602:187","Willacoochee Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"602:190","Pearson Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"602:ALL","Atkinson County","53.6","60","112","","","0","35.7","10","28","46.7","7","15","","","0","62.3","43","69","","","0","60.3","38","63","44.9","22","49","0","0","11","59.4","60","101","","","2","45.1","41","91","90.5","19","21","","","7"
"603:102","Bacon County Primary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"603:202","Bacon County Middle School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"603:302","Bacon County High School","56.3","98","174","","","0","38","19","50","","","4","","","0","64.2","77","120","","","0","55.3","57","103","57.7","41","71","26.7","8","30","62.5","90","144","","","0","35.1","26","74","72","72","100","","","1"
"603:3050","Bacon County Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"603:ALL","Bacon County","56.3","98","174","","","0","38","19","50","","","4","","","0","64.2","77","120","","","0","55.3","57","103","57.7","41","71","26.7","8","30","62.5","90","144","","","0","35.1","26","74","72","72","100","","","1"
"604:182","Baker County Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"604:ALL","Baker County","","","0","","","0","","","0","","","0","","","0","","","0","","","0","","","0","","","0","","","0","","","0","","","0","","","0","","","0","","","0"
"605:100","Oak Hill MS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"605:1052","Davis Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"605:189","Baldwin High School","54.8","205","374","","","9","48.9","108","221","","","2","","","0","60.3","85","141","","","1","48.3","87","180","60.8","118","194","14.7","11","75","64.9","194","299","","","1","56.1","69","123","54.2","136","251","","","0"
"605:194","Midway Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"605:195","Blandy Hills Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"605:199","Creekside Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"605:2054","Southside Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"605:ALL","Baldwin County","54.8","205","374","","","9","48.9","108","221","","","2","","","0","60.3","85","141","","","1","48.3","87","180","60.8","118","194","14.7","11","75","64.9","194","299","","","1","56.1","69","123","54.2","136","251","","","0"
"606:101","Banks County Upper Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"606:189","Banks County Primary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
