"GRADUATION_YEAR","SCHOOL_DISTRCT_CD","DISTRICT","INSTN_NUMBER","SCHOOL_NAME","YR8_CREDENTIAL","YR8_CREDENTIAL_PCT"
2007,"603","Bacon County","0302","Bacon County High School","Associates",26.2
2007,"603","Bacon County","0302","Bacon County High School","Certificate",14.3
2007,"603","Bacon County","0302","Bacon County High School","Bachelors",11.9
2007,"603","Bacon County","0302","Bacon County High School","No Postsecondary Credential/Enrolled",3.6
2007,"603","Bacon County","0302","Bacon County High School","Masters or Higher",2.4
2007,"603","Bacon County","0302","Bacon County High School","No Postsecondary Credential/Not Enrolled",41.7
2007,"605","Baldwin County","0189","Baldwin High School","Certificate",5.3
2007,"605","Baldwin County","0189","Baldwin High School","Masters or Higher",1.4
2007,"605","Baldwin County","0189","Baldwin High School","No Postsecondary Credential/Enrolled",5.3
2007,"605","Baldwin County","0189","Baldwin High School","Bachelors",21.7
2007,"605","Baldwin County","0189","Baldwin High School","No Postsecondary Credential/Not Enrolled",55.1
2007,"605","Baldwin County","0189","Baldwin High School","Associates",11.1
2007,"605","Baldwin County","ALL","All Baldwin County High Schools","No Postsecondary Credential/Not Enrolled",55.1
2007,"605","Baldwin County","ALL","All Baldwin County High Schools","No Postsecondary Credential/Enrolled",5.3
2007,"605","Baldwin County","ALL","All Baldwin County High Schools","Bachelors",21.7
2007,"605","Baldwin County","ALL","All Baldwin County High Schools","Associates",11.1
2007,"605","Baldwin County","ALL","All Baldwin County High Schools","Masters or Higher",1.4
2007,"605","Baldwin County","ALL","All Baldwin County High Schools","Certificate",5.3
2007,"607","Barrow County","3052","Winder-Barrow High School","No Postsecondary Credential/Enrolled",5.4
2007,"607","Barrow County","3052","Winder-Barrow High School","Masters or Higher",5.4
2007,"607","Barrow County","3052","Winder-Barrow High School","No Postsecondary Credential/Not Enrolled",52.5
2007,"607","Barrow County","3052","Winder-Barrow High School","Other Credential",0.4
2007,"607","Barrow County","3052","Winder-Barrow High School","Bachelors",23.3
2007,"607","Barrow County","3052","Winder-Barrow High School","Certificate",3.3
2007,"607","Barrow County","3052","Winder-Barrow High School","Associates",9.6
2007,"607","Barrow County","ALL","All Barrow County High Schools","Other Credential",1.1
2007,"607","Barrow County","ALL","All Barrow County High Schools","Masters or Higher",3.3
2007,"607","Barrow County","ALL","All Barrow County High Schools","No Postsecondary Credential/Enrolled",5.9
2007,"607","Barrow County","ALL","All Barrow County High Schools","No Postsecondary Credential/Not Enrolled",55.3
2007,"607","Barrow County","ALL","All Barrow County High Schools","Certificate",4.3
2007,"607","Barrow County","ALL","All Barrow County High Schools","Associates",10.6
2007,"607","Barrow County","ALL","All Barrow County High Schools","Bachelors",19.5
2007,"608","Bartow County","0198","Woodland High School","Other Credential",0.3
2007,"608","Bartow County","0198","Woodland High School","Bachelors",22.5
2007,"608","Bartow County","0198","Woodland High School","No Postsecondary Credential/Not Enrolled",55.3
2007,"608","Bartow County","0198","Woodland High School","Certificate",1
2007,"608","Bartow County","0198","Woodland High School","No Postsecondary Credential/Enrolled",6.8
2007,"608","Bartow County","0198","Woodland High School","Associates",10.6
2007,"608","Bartow County","0198","Woodland High School","Masters or Higher",3.4
2007,"608","Bartow County","ALL","All Bartow County High Schools","Other Credential",0.6
2007,"608","Bartow County","ALL","All Bartow County High Schools","Associates",10.7
2007,"608","Bartow County","ALL","All Bartow County High Schools","Masters or Higher",2.4
2007,"608","Bartow County","ALL","All Bartow County High Schools","Bachelors",18.3
2007,"608","Bartow County","ALL","All Bartow County High Schools","Certificate",1.9
2007,"608","Bartow County","ALL","All Bartow County High Schools","No Postsecondary Credential/Enrolled",7.9
2007,"608","Bartow County","ALL","All Bartow County High Schools","No Postsecondary Credential/Not Enrolled",58.2
2007,"609","Ben Hill County","0291","Fitzgerald High School","Bachelors",16.1
2007,"609","Ben Hill County","0291","Fitzgerald High School","Masters or Higher",1.9
2007,"609","Ben Hill County","0291","Fitzgerald High School","Associates",16.8
2007,"609","Ben Hill County","0291","Fitzgerald High School","No Postsecondary Credential/Enrolled",3.1
2007,"609","Ben Hill County","0291","Fitzgerald High School","Certificate",11.2
2007,"609","Ben Hill County","0291","Fitzgerald High School","No Postsecondary Credential/Not Enrolled",50.9
2007,"610","Berrien County","ALL","All Berrien County High Schools","Certificate",2.8
2007,"610","Berrien County","ALL","All Berrien County High Schools","Associates",16
