"GRADUATION_YEAR","SCHOOL_DISTRCT_CD","DISTRICT","INSTN_NUMBER","SCHOOL_NAME","GRADUATE_COUNT","LS_ENG_PCT","LS_MATH_PCT"
2007,"601","Appling County","0103","Appling County High School",146,31,28.7
2007,"601","Appling County","ALL","All Appling County High Schools",146,31,28.7
2007,"602","Atkinson County","0103","Atkinson County High School",58,38.7,54.8
2007,"602","Atkinson County","ALL","All Atkinson County High Schools",58,38.7,54.8
2007,"603","Bacon County","0302","Bacon County High School",84,11.8,23.5
2007,"603","Bacon County","ALL","All Bacon County High Schools",84,11.8,23.5
2007,"605","Baldwin County","0189","Baldwin High School",207,27.5,27.5
2007,"605","Baldwin County","ALL","All Baldwin County High Schools",207,27.5,27.5
2007,"606","Banks County","0199","Banks County High School",115,4.3,23.4
2007,"606","Banks County","ALL","All Banks County High Schools",115,4.3,23.4
2007,"607","Barrow County","0101","Apalachee High School",221,26.5,31
2007,"607","Barrow County","3052","Winder-Barrow High School",240,13,22.1
2007,"607","Barrow County","ALL","All Barrow County High Schools",461,19.3,26.2
2007,"608","Bartow County","0105","Adairsville High School",112,3.6,30.4
2007,"608","Bartow County","0198","Woodland High School",293,12.6,18.2
2007,"608","Bartow County","0577","Cass High School",214,15.7,36.1
2007,"608","Bartow County","ALL","All Bartow County High Schools",619,11.7,25.5
2007,"609","Ben Hill County","0291","Fitzgerald High School",161,33.3,37.8
2007,"609","Ben Hill County","ALL","All Ben Hill County High Schools",161,33.3,37.8
2007,"610","Berrien County","0101","Berrien High School",154,13.8,27.6
2007,"610","Berrien County","0106","Berrien Academy Performance Learning Center",27,18.2,54.5
2007,"610","Berrien County","ALL","All Berrien County High Schools",181,14.3,30.6
2007,"611","Bibb County","0186","Central High School",172,20,25.7
2007,"611","Bibb County","0198","Westside High School",289,24.6,32.6
2007,"611","Bibb County","0204","Rutland High School",130,33.3,48.3
2007,"611","Bibb County","0286","Northeast High School",139,47,63.9
2007,"611","Bibb County","0303","William S. Hutchings Career Center",52,36,56
2007,"611","Bibb County","0386","Southwest High School",74,50,61.9
2007,"611","Bibb County","ALL","All Bibb County High Schools",856,31.2,42.2
2007,"612","Bleckley County","0105","Bleckley County High School",125,12.8,30.2
2007,"612","Bleckley County","ALL","All Bleckley County High Schools",125,12.8,30.2
2007,"613","Brantley County","1050","Brantley County High School",148,10.7,9.3
2007,"613","Brantley County","ALL","All Brantley County High Schools",148,10.7,9.3
2007,"614","Brooks County","2050","Brooks County High School",86,25.6,37.2
2007,"614","Brooks County","ALL","All Brooks County High Schools",86,25.6,37.2
2007,"615","Bryan County","0182","Richmond Hill High School",271,4.9,8.7
2007,"615","Bryan County","0502","Bryan County High School",108,13.3,20
2007,"615","Bryan County","ALL","All Bryan County High Schools",379,7,11.5
2007,"616","Bulloch County","2054","Statesboro High School",278,12.8,18.1
2007,"616","Bulloch County","4052","Portal Middle/High School",54,20.6,26.5
2007,"616","Bulloch County","5052","Southeast Bulloch High School",155,7.4,17.9
2007,"616","Bulloch County","ALL","All Bulloch County High Schools",487,12,18.9
2007,"617","Burke County","0288","Burke County High School",166,29.2,50
2007,"617","Burke County","ALL","All Burke County High Schools",166,29.2,50
2007,"618","Butts County","0190","Jackson High School",196,37.6,45
2007,"618","Butts County","ALL","All Butts County High Schools",196,37.6,45
2007,"619","Calhoun County","4050","Calhoun County Middle/High School",36,31.8,27.3
2007,"619","Calhoun County","ALL","All Calhoun County High Schools",36,31.8,27.3
2007,"620","Camden County","0295","Camden County High School",495,8.9,19.7
2007,"620","Camden County","ALL","All Camden County High Schools",495,8.9,19.7
2007,"621","Candler County","0101","Metter High School",59,9.4,18.8
2007,"621","Candler County","ALL","All Candler County High Schools",59,9.4,18.8
2007,"622","Carroll County","0189","Temple High School",97,10,30
2007,"622","Carroll County","0190","Open Campus High School",21,0,10
2007,"622","Carroll County","0276","Mount Zion High School",44,23.8,23.8
2007,"622","Carroll County","2052","Central High School",198,9.2,17.4
2007,"622","Carroll County","3050","Bowdon High School",73,6.5,8.7
2007,"622","Carroll County","5054","Villa Rica High School",194,11.4,26.1
2007,"622","Carroll County","ALL","All Carroll County High Schools",627,10.2,20.7
2007,"623","Catoosa County","1052","Lakeview-Fort Oglethorpe High School",220,10.5,44.7
2007,"623","Catoosa County","4052","Ringgold High School",287,12.3,38.3
2007,"623","Catoosa County","ALL","All Catoosa County High Schools",507,11.6,40.9
2007,"624","Charlton County","0287","Charlton County High School",105,20.9,27.9
2007,"624","Charlton County","ALL","All Charlton County High Schools",105,20.9,27.9
2007,"625","Savannah-Chatham County","0101","Johnson High School",195,22.5,26.1
2007,"625","Savannah-Chatham County","0399","Savannah High School",139,32.3,43.1
2007,"625","Savannah-Chatham County","0499","Savannah Arts Academy",146,1,3.9
2007,"625","Savannah-Chatham County","2052","Beach High School",150,35.9,50
2007,"625","Savannah-Chatham County","3056","Groves High School",188,30.4,24.5
