"GRADUATION_YEAR","SCHOOL_DISTRCT_CD","DISTRICT","INSTN_NUMBER","SCHOOL_NAME","COLLEGE","INSTATE_ENR_RANK"
2007,"601","Appling County","0103","Appling County High School","Abraham Baldwin Agricultural College",3
2007,"601","Appling County","0103","Appling County High School","Altamaha Technical College",2
2007,"601","Appling County","0103","Appling County High School","Georgia Southern University",3
2007,"601","Appling County","0103","Appling County High School","South Georgia State College",1
2007,"601","Appling County","0103","Appling County High School","Waycross College",5
2007,"601","Appling County","ALL","All Appling County High Schools","Abraham Baldwin Agricultural College",3
2007,"601","Appling County","ALL","All Appling County High Schools","Altamaha Technical College",2
2007,"601","Appling County","ALL","All Appling County High Schools","Georgia Southern University",3
2007,"601","Appling County","ALL","All Appling County High Schools","South Georgia State College",1
2007,"601","Appling County","ALL","All Appling County High Schools","Waycross College",5
2007,"602","Atkinson County","0103","Atkinson County High School","Abraham Baldwin Agricultural College",4
2007,"602","Atkinson County","0103","Atkinson County High School","East Central Technical College",2
2007,"602","Atkinson County","0103","Atkinson County High School","Macon State College",5
2007,"602","Atkinson County","0103","Atkinson County High School","Okefenokee Technical College",2
2007,"602","Atkinson County","0103","Atkinson County High School","South Georgia State College",1
2007,"602","Atkinson County","ALL","All Atkinson County High Schools","Abraham Baldwin Agricultural College",4
2007,"602","Atkinson County","ALL","All Atkinson County High Schools","East Central Technical College",2
2007,"602","Atkinson County","ALL","All Atkinson County High Schools","Okefenokee Technical College",2
2007,"602","Atkinson County","ALL","All Atkinson County High Schools","South Georgia State College",1
2007,"602","Atkinson County","ALL","All Atkinson County High Schools","South Georgia Technical College",5
2007,"603","Bacon County","0302","Bacon County High School","Altamaha Technical College",5
2007,"603","Bacon County","0302","Bacon County High School","Okefenokee Technical College",1
2007,"603","Bacon County","0302","Bacon County High School","South Georgia State College",2
2007,"603","Bacon County","0302","Bacon County High School","Valdosta State University",4
2007,"603","Bacon County","0302","Bacon County High School","Waycross College",3
2007,"603","Bacon County","ALL","All Bacon County High Schools","Altamaha Technical College",5
2007,"603","Bacon County","ALL","All Bacon County High Schools","Okefenokee Technical College",1
2007,"603","Bacon County","ALL","All Bacon County High Schools","South Georgia State College",2
2007,"603","Bacon County","ALL","All Bacon County High Schools","Valdosta State University",4
2007,"603","Bacon County","ALL","All Bacon County High Schools","Waycross College",3
2007,"605","Baldwin County","0189","Baldwin High School","Central Georgia Tech College - Macon",1
2007,"605","Baldwin County","0189","Baldwin High School","Georgia College & State University",4
2007,"605","Baldwin County","0189","Baldwin High School","Middle Georgia State University",4
2007,"605","Baldwin County","0189","Baldwin High School","South Georgia State College",3
2007,"605","Baldwin County","0189","Baldwin High School","Valdosta State University",2
2007,"605","Baldwin County","ALL","All Baldwin County High Schools","Central Georgia Tech College - Macon",1
2007,"605","Baldwin County","ALL","All Baldwin County High Schools","Macon State College",4
2007,"605","Baldwin County","ALL","All Baldwin County High Schools","Middle Georgia State University",4
2007,"605","Baldwin County","ALL","All Baldwin County High Schools","South Georgia State College",3
2007,"605","Baldwin County","ALL","All Baldwin County High Schools","Valdosta State University",2
2007,"606","Banks County","0199","Banks County High School","Athens Technical College",4
2007,"606","Banks County","0199","Banks County High School","Gainesville State College",1
2007,"606","Banks County","0199","Banks County High School","North Georgia Technical College",2
2007,"606","Banks County","0199","Banks County High School","Piedmont College",4
2007,"606","Banks County","0199","Banks County High School","University Of Georgia",3
2007,"606","Banks County","ALL","All Banks County High Schools","Brenau University",4
2007,"606","Banks County","ALL","All Banks County High Schools","Gainesville State College",1
