"GRADUATION_YEAR","SCHOOL_DISTRCT_CD","DISTRICT","INSTN_NUMBER","SCHOOL_NAME","COLLEGE","OUT_OF_STATE_ENR_RANK"
2007,"601","Appling County","0103","Appling County High School","Iowa Wesleyan College",1
2007,"601","Appling County","0103","Appling County High School","Lee University",1
2007,"601","Appling County","0103","Appling County High School","Roane State Community College",1
2007,"601","Appling County","0103","Appling County High School","Troy University",1
2007,"601","Appling County","0103","Appling County High School","Tuskegee University",1
2007,"601","Appling County","ALL","All Appling County High Schools","Bethune-Cookman University",1
2007,"601","Appling County","ALL","All Appling County High Schools","Lee University",1
2007,"601","Appling County","ALL","All Appling County High Schools","Roane State Community College",1
2007,"601","Appling County","ALL","All Appling County High Schools","Troy University",1
2007,"601","Appling County","ALL","All Appling County High Schools","Tuskegee University",1
2007,"602","Atkinson County","0103","Atkinson County High School","The University Of Louisiana - Monroe",1
2007,"602","Atkinson County","ALL","All Atkinson County High Schools","The University Of Louisiana - Monroe",1
2007,"603","Bacon County","0302","Bacon County High School","University Of Phoenix",1
2007,"603","Bacon County","0302","Bacon County High School","Valencia College",1
2007,"603","Bacon County","ALL","All Bacon County High Schools","University Of Phoenix",1
2007,"603","Bacon County","ALL","All Bacon County High Schools","Valencia College",1
2007,"605","Baldwin County","0189","Baldwin High School","Essex County College",2
2007,"605","Baldwin County","0189","Baldwin High School","Middle Tennessee State University",2
2007,"605","Baldwin County","0189","Baldwin High School","Southwest Tennessee Community College",2
2007,"605","Baldwin County","0189","Baldwin High School","Tuskegee University",1
2007,"605","Baldwin County","0189","Baldwin High School","Yakima Valley Community College",2
2007,"605","Baldwin County","ALL","All Baldwin County High Schools","Butler Community College",2
2007,"605","Baldwin County","ALL","All Baldwin County High Schools","Essex County College",2
2007,"605","Baldwin County","ALL","All Baldwin County High Schools","Furman University",2
2007,"605","Baldwin County","ALL","All Baldwin County High Schools","Marshall University, Huntington",2
2007,"605","Baldwin County","ALL","All Baldwin County High Schools","Tuskegee University",1
2007,"606","Banks County","0199","Banks County High School","Tidewater Community College",1
2007,"606","Banks County","0199","Banks County High School","University Of Phoenix",1
2007,"606","Banks County","ALL","All Banks County High Schools","Tidewater Community College",1
2007,"606","Banks County","ALL","All Banks County High Schools","University Of Phoenix",1
2007,"607","Barrow County","0101","Apalachee High School","Barton College",2
2007,"607","Barrow County","0101","Apalachee High School","Birmingham-Southern College",1
2007,"607","Barrow County","0101","Apalachee High School","Chattanooga State Community College",2
2007,"607","Barrow County","0101","Apalachee High School","Dean College",2
2007,"607","Barrow County","0101","Apalachee High School","Gardner-Webb University",2
2007,"607","Barrow County","3052","Winder-Barrow High School","Cochise College",2
2007,"607","Barrow County","3052","Winder-Barrow High School","Columbia State Community College",2
2007,"607","Barrow County","3052","Winder-Barrow High School","Hiram College",2
2007,"607","Barrow County","3052","Winder-Barrow High School","The University Of Memphis",2
2007,"607","Barrow County","3052","Winder-Barrow High School","University Of Phoenix",1
2007,"607","Barrow County","ALL","All Barrow County High Schools","Birmingham-Southern College",1
2007,"607","Barrow County","ALL","All Barrow County High Schools","Chattanooga State Community College",1
2007,"607","Barrow County","ALL","All Barrow County High Schools","Columbia State Community College",4
2007,"607","Barrow County","ALL","All Barrow County High Schools","Gardner-Webb University",4
2007,"607","Barrow County","ALL","All Barrow County High Schools","University Of Phoenix",1
2007,"608","Bartow County","0105","Adairsville High School","Chattanooga State Community College",1
2007,"608","Bartow County","0105","Adairsville High School","Fresno City College",1
2007,"608","Bartow County","0105","Adairsville High School","Lee University",1
2007,"608","Bartow County","0105","Adairsville High School","New Mexico State University-Alamogordo",1
2007,"608","Bartow County","0105","Adairsville High School","Western Kentucky University",1
2007,"608","Bartow County","0198","Woodland High School","Bob Jones University",2
2007,"608","Bartow County","0198","Woodland High School","Clark State Community College",2
2007,"608","Bartow County","0198","Woodland High School","Faulkner University",2
2007,"608","Bartow County","0198","Woodland High School","Florida State College At Jacksonville",2
2007,"608","Bartow County","0198","Woodland High School","Jacksonville State University",1
2007,"608","Bartow County","0577","Cass High School","Alabama Southern Community College",2
2007,"608","Bartow County","0577","Cass High School","North Greenville University",2
2007,"608","Bartow County","0577","Cass High School","Troy University",1
2007,"608","Bartow County","0577","Cass High School","University Of Chicago",2
2007,"608","Bartow County","0577","Cass High School","University Of Tennessee Chattanooga",2
2007,"608","Bartow County","ALL","All Bartow County High Schools","Jacksonville State University",1
2007,"608","Bartow County","ALL","All Bartow County High Schools","Mississippi State University",3
2007,"608","Bartow County","ALL","All Bartow County High Schools","Tallahassee Community College",3
2007,"608","Bartow County","ALL","All Bartow County High Schools","Troy University",1
2007,"608","Bartow County","ALL","All Bartow County High Schools","University Of Chicago",3
2007,"609","Ben Hill County","0291","Fitzgerald High School","University Of Pikeville",1
2007,"609","Ben Hill County","ALL","All Ben Hill County High Schools","University Of Pikeville",1
2007,"610","Berrien County","0101","Berrien High School","University Of Phoenix",1
2007,"610","Berrien County","ALL","All Berrien County High Schools","University Of Phoenix",1
2007,"611","Bibb County","0186","Central High School","Dakota College At Bottineau",3
2007,"611","Bibb County","0186","Central High School","Florida A&M University",1
2007,"611","Bibb County","0186","Central High School","Oakland University",3
2007,"611","Bibb County","0186","Central High School","Oklahoma City University",3
2007,"611","Bibb County","0186","Central High School","Tuskegee University",2
2007,"611","Bibb County","0198","Westside High School","Belhaven University",3
2007,"611","Bibb County","0198","Westside High School","Miles College",2
2007,"611","Bibb County","0198","Westside High School","Samford University",3
2007,"611","Bibb County","0198","Westside High School","Tidewater Community College",3
2007,"611","Bibb County","0198","Westside High School","Tuskegee University",1
2007,"611","Bibb County","0204","Rutland High School","Cuny New York City College Of Technolog",1
2007,"611","Bibb County","0204","Rutland High School","Itt Technical Institute",1
2007,"611","Bibb County","0204","Rutland High School","Liberty University",1
2007,"611","Bibb County","0286","Northeast High School","Alabama State University",3
2007,"611","Bibb County","0286","Northeast High School","Benedict College",1
2007,"611","Bibb County","0286","Northeast High School","Miles College",3
2007,"611","Bibb County","0286","Northeast High School","South Carolina State University",1
2007,"611","Bibb County","0286","Northeast High School","Tidewater Community College",3
2007,"611","Bibb County","0386","Southwest High School","Bethune-Cookman University",1
2007,"611","Bibb County","0386","Southwest High School","Iowa Wesleyan College",1
2007,"611","Bibb County","ALL","All Bibb County High Schools","Benedict College",2
2007,"611","Bibb County","ALL","All Bibb County High Schools","Florida A&M University",2
2007,"611","Bibb County","ALL","All Bibb County High Schools","Miles College",4
2007,"611","Bibb County","ALL","All Bibb County High Schools","South Carolina State University",5
2007,"611","Bibb County","ALL","All Bibb County High Schools","Tuskegee University",1
2007,"612","Bleckley County","0105","Bleckley County High School","Auburn University",1
2007,"612","Bleckley County","0105","Bleckley County High School","Brigham Young University - Idaho Fall/W",1
