SysSchoolid,School Name,Retained Total Students,Retained Total American Indian,Retained Percent American Indian,Retained Total Asian,Retained Percent Asian,Retained Total Black,Retained Percent Black,Retained Total Female,Retained Percent Female,Retained Total Hispanic,Retained Percent Hispanic,Retained Total Male,Retained Percent Male,Retained Total Multiracial,Retained Percent Multiracial,Retained Total White,Retained Percent White
601:103,Appling County High School,49,0,0,0,0,13,26.5,19,38.8,Too Few Students,Too Few Students,30,61.2,0,0,33,67.3
601:1050,Altamaha Elementary School,10,0,0,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
601:109,Baxley Wilderness Institute,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601:177,Appling County Elementary School,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601:195,Appling County Middle School,Too Few Students,0,0,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
601:277,Appling County Primary School,28,0,0,0,0,Too Few Students,Too Few Students,11,39.3,Too Few Students,Too Few Students,17,60.7,0,0,15,53.6
601:5050,Fourth District Elementary School,Too Few Students,0,0,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
601:ALL,Appling County,94,0,0,0,0,18,19.1,41,43.6,16,17,53,56.4,0,0,60,63.8
602:103,Atkinson County High School,18,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,11,61.1,0,0,Too Few Students,Too Few Students
602:187,Willacoochee Elementary School,Too Few Students,0,0,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,0,0,0,0
602:190,Pearson Elementary School,31,0,0,0,0,Too Few Students,Too Few Students,17,54.8,18,58.1,14,45.2,0,0,Too Few Students,Too Few Students
602:ALL,Atkinson County,52,0,0,0,0,11,21.2,27,51.9,25,48.1,25,48.1,0,0,16,30.8
603:102,Bacon County Primary School,10,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
603:202,Bacon County Middle School,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
603:302,Bacon County High School,30,0,0,0,0,14,46.7,11,36.7,0,0,19,63.3,0,0,16,53.3
