"SysSchoolID","School Name","Recent Total All Students","Recent Total Asian","Recent Total Black","Recent Total Female","Recent Total Hispanic","Recent Total Male","Recent Total American Indian","Recent TotalO","Recent TotalR","Recent Total White","Recent Verbal All Students","Recent Verbal Asian","Recent Verbal Black","Recent Verbal Female","Recent Verbal Hispanic","Recent Verbal Male","Recent Verbal American Indian","Recent VerbalO","Recent VerbalR","Recent Verbal White","Recent Math All Students","Recent Math Asian","Recent Math Black","Recent Math Female","Recent Math Hispanic","Recent Math Male","Recent Math American Indian","Recent MathO","Recent MathR","Recent Math White","High Total All Students","High Total Asian","High Total Black","High Total Female","High Total Hispanic","High Total Male","High Total American Indian","High TotalO","High TotalR","High Total White","High Verbal All Students","High Verbal  Asian","High Verbal Black","High Verbal Female","High Verbal Hispanic","High Verbal Male","High Verbal American Indian","High VerbalO","High VerbalR","High Verbal White","High Math All Students","High Math Asian","High Math Black","High Math Female","High Math Hispanic","High Math Male","High Math American Indian","High MathO","High MathR","High Math White","Number Taken All Students","Number Taken Asian","Number Taken Black","Number Taken Female","Number Taken Hispanic","Number Taken Male","Number Taken American Indian","Number TakenO","Number TakenR","Number Taken White"
"609:196","Ben Hill County Primary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"615:182","Richmond Hill High School","1042","","901","1026","","1058","","","1038","1060","526","","451","529","","523","","","516","536","516","","451","497","","535","","","523","524","1060","","920","1046","","1074","","","1068","1076","535","","465","539","","531","","","536","543","525","","455","507","","543","","","532","533","176","3","14","88","2","88","1","4","26","126"
"622:190","Open Campus High School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","1","","","","1"
"625:5060","Jenkins High School","961","","869","941","","982","","","1038","1048","483","","443","475","","491","","","506","528","478","","426","466","","491","","","532","520","981","","887","960","","1003","","","1059","1068","491","","449","481","","502","","","517","536","490","","438","478","","502","","","543","533","162","6","80","84","1","78","1","7","16","51"
"631:104","Mundy's Mill High School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","1","","","1","","","",""
"633:1067","Powers Ferry Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"633:5050","Bells Ferry Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"638:199","Poplar Road Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"644:1071","Woodward Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"644:475","Bob Mathis Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"648:103","Yeager Middle School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"654:3050","Claxton Middle School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"658:197","Daves Creek Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"660:397","River Eves Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"666:101","Anita White Carson Middle School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"667:382","Arcado Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"669:5056","Tadmore Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"676:100","Eagle Springs Elementary","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"682:1050","Jenkins County Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"690:ALL","Lincoln County","875","","742","892","","849","","","820","945","444","","371","446","","440","","","428","478","432","","371","446","","410","","","392","467","891","","743","915","","855","","","837","966","449","","371","454","","443","","","429","488","442","","372","461","","412","","","408","478","51","","10","31","","20","1","","10","30"
"700:201","Miller County High School","863","","","889","","815","","","833","913","436","","","456","","399","","","422","461","427","","","434","","416","","","411","452","877","","","903","","828","","","846","920","442","","","460","","408","","","426","465","435","","","443","","420","","","420","456","46","","4","30","","16","","","22","20"
"700:276","Miller County Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"700:ALL","Miller County","863","","","889","","815","","","833","913","436","","","456","","399","","","422","461","427","","","434","","416","","","411","452","877","","","903","","828","","","846","920","442","","","460","","408","","","426","465","435","","","443","","420","","","420","456","46","","4","30","","16","","","22","20"
