SysSchoolID,School Name,Enrollment in Grades Applicable to AYP Grades 1 through 8 and 11,Number of Students Taking the GAA
601:1050,Altamaha Elementary School,265,0
601:177,Appling County Elementary School,507,10
601:195,Appling County Middle School,759,6
601:2050,Appling County High School,197,7
601:277,Appling County Primary School,345,0
601:5050,Fourth District Elementary School,106,0
601:ALL,Appling County,2179,23
602:103,Atkinson County High School,201,2
602:187,Willacoochee Elementary School,244,0
602:190,Pearson Elementary School,665,6
602:ALL,Atkinson County,1110,8
603:102,Bacon County Primary School,294,4
603:202,Bacon County Middle School,438,4
603:302,Bacon County High School,82,2
603:3050,Bacon County Elementary School,420,1
603:ALL,Bacon County,1234,11
604:182,Baker County Elementary School,291,2
604:ALL,Baker County,291,2
605:100,Oak Hill MS,1376,36
605:1052,Davis Elementary School,344,3
605:189,Baldwin High School,300,4
605:194,Midway Elementary School,556,6
605:195,Blandy Hills Elementary School,537,0
605:199,Creekside Elementary School,603,14
605:2054,Southside Elementary School,366,0
605:ALL,Baldwin County,4082,63
606:101,Banks County Upper Elementary School,389,3
606:189,Banks County Primary School,199,0
606:199,Banks County High School,133,3
606:201,Banks County Middle School,642,21
606:2050,Banks County Elementary School,388,3
606:ALL,Banks County,1751,30
607:101,Apalachee High School,237,2
607:1050,Auburn Elementary School,387,2
607:189,Kennedy Elementary School,476,18
607:193,Bramlett Elementary School,623,4
607:198,Westside Middle School,851,7
607:2050,Bethlehem Elementary School,371,0
607:2052,Winder-Barrow Middle School,758,5
607:289,Russell Middle School,758,7
607:298,Yargo Elementary School,527,1
607:3050,County Line Elementary School,409,0
607:3052,Winder-Barrow High School,270,2
607:4050,Holsenbeck Elementary School,553,0
607:5050,Statham Elementary School,540,5
607:ALL,Barrow County,6760,53
608:101,Woodland Middle School at Euharlee,843,1
608:1052,Cloverleaf Elementary School,534,4
608:107,Euharlee Elementary School,651,10
608:175,White Elementary School,527,1
608:177,Adairsville Elementary School,547,0
608:186,Mission Road Elementary School,427,1
608:190,South Central Middle School,722,7
608:195,Cass Middle School,1099,10
608:196,Allatoona Elementary School,475,1
608:198,Woodland High School,266,0
608:2052,Emerson Elementary School,401,0
608:296,Kingston Elementary School,402,0
608:301,Adairsville Middle School,591,0
608:377,Hamilton Crossing Elementary School,596,6
608:396,Taylorsville Elementary School,420,1
608:401,Adairsville High School,136,0
608:4052,Pine Log Elementary School,317,4
608:577,Cass High School,270,5
608:ALL,Bartow County,9224,51
609:1050,Ben Hill County Elementary School,697,12
609:196,Ben Hill County Primary School,502,4
609:291,Fitzgerald High School,185,2
609:296,Ben Hill County Middle School,738,15
609:ALL,Ben Hill County,2122,33
610:101,Berrien High School,184,0
610:194,Berrien Middle School,775,7
610:195,Berrien Elementary School,684,2
610:5050,Berrien Primary School,445,6
610:ALL,Berrien County,2088,15
611:101,Heritage Elementary School,793,8
611:103,Skyview Elementary School,537,16
611:104,Burdell Elementary School,469,0
611:1050,Alexander II Magnet School,379,0
611:1054,Bernd Elementary School,454,0
611:1058,Danforth Primary School,151,0
611:1060,Hamilton Elementary School,309,14
611:1067,Porter Elementary School,377,0
611:1068,Riley Elementary School,381,0
611:1069,Taylor at Tinsley Elementary School,502,6
611:179,Butler Early Childhood Center,59,12
611:183,Burke Elementary School,426,1
611:185,Martin Luther King Elementary School,299,0
611:186,Central High School,267,5
611:191,Brookdale Elementary School,446,7
611:194,Carter Elementary School,524,0
611:197,Weaver Middle School,1055,22
611:198,Westside High,283,0
611:203,Vineville Academy,366,1
611:204,Rutland High School,144,2
611:2052,McEvoy Middle School,789,36
611:2060,Hartley Elementary School,342,1
611:283,Union Elementary School,436,5
611:286,Northeast High School,181,3
611:298,Miller Magnet Middle School,827,1
611:303,William S. Hutchings Career Center,67,0
611:305,Rutland Middle School,993,6
611:3054,Bruce Elementary School,282,0
611:3060,Heard Elementary School,406,0
611:3062,Jones Elementary School,397,0
611:3066,Morgan Elementary School,383,10
611:3067,Ingram/Pye Elementary School,342,0
611:3068,Springdale Elementary School,726,0
611:383,Williams Elementary School,376,16
611:386,Southwest High School,184,0
611:4052,Barden Elementary School,438,0
611:4062,Lane Elementary School,387,1
611:4069,Weir Elementary School,199,0
611:5050,Appling Middle School,588,0
611:5054,Burghard Elementary School,432,0
611:5067,Rice Elementary School,424,0
611:ALL,Bibb County,17420,173
612:1050,Bleckley County Primary School,335,7
612:197,Bleckley County Elementary School,546,3
612:277,Bleckley County Middle School,585,7
612:377,Bleckley County High School,125,2
612:ALL,Bleckley County,1591,19
613:101,Waynesville Elementary School,562,6
613:1050,Brantley County High School,180,1
613:194,Brantley County Middle School,523,11
613:2050,Hoboken Elementary School,397,2
613:294,Nahunta Elementary School,306,10
613:3050,Nahunta Primary School,242,4
613:ALL,Brantley County,2210,34
614:193,Quitman Elementary School,642,6
614:197,Brooks County Middle School,584,1
614:2050,Brooks County High School,136,4
614:393,North Brooks Elementary School,341,0
614:ALL,Brooks County,1703,11
615:101,Dr. George Washington Carver Elementary School,617,4
615:182,Richmond Hill High School,261,0
615:199,Richmond Hill Middle School,922,4
615:202,Richmond Hill Primary School,323,0
615:282,Lanier Primary School,243,2
615:286,Bryan County Elementary School,428,3
615:302,Richmond Hill Elementary School,568,0
615:402,Bryan County Middle School,427,6
615:502,Bryan County High School,104,2
615:ALL,Bryan County,3893,21
616:100,Mill Creek Elementary School,442,18
616:1052,Nevils Elementary School,241,0
616:198,William James Middle School,554,19
616:199,Langston Chapel Elementary School,417,2
616:200,Brooklet Elementary School,379,3
616:2050,Bryant Elementary School,414,0
616:2054,Statesboro High School,298,9
616:299,Langston Chapel Middle School,694,9
616:300,Southeast Bulloch Middle School,666,10
616:3054,Stilson Elementary School,292,1
616:399,Portal Elementary School,285,0
616:4052,Portal Middle/High School,225,3
616:5050,Mattie Lively Elementary School,329,0
616:5052,Southeast Bulloch High School,164,6
616:5054,Sallie Zetterower Elementary School,263,1
616:ALL,Bulloch County,5663,81
617:104,New Blakeney Elementary,892,3
617:188,Burke County Middle School,1142,11
617:196,S G A Elementary School,285,0
617:2056,Waynesboro Primary School,563,8
617:288,Burke County High School,214,2
617:ALL,Burke County,3096,24
618:100,Henderson Middle School,807,6
618:104,Hampton L. Daughtry Elementary School,436,5
618:190,Jackson High School,194,4
618:194,Jackson Elementary School,420,2
618:200,North Mulberry Elementary School,437,3
618:ALL,Butts County,2294,20
619:179,Calhoun County Elementary School,285,1
619:4050,Calhoun County Middle/High School,202,5
619:ALL,Calhoun County,487,6
620:100,Mamie Lou Gross Elementary School,333,17
620:182,Camden Middle School,1305,16
620:187,Crooked River Elementary School,376,0
620:189,Matilda Harris Elementary School,580,0
620:192,Woodbine Elementary School,302,3
620:193,Kingsland Elementary School,392,0
620:195,David L Rainer Elementary School,448,0
620:197,Sugarmill Elementary,344,12
620:295,Camden County High School,555,19
620:3050,Saint Marys Elementary School,389,0
620:395,Saint Marys Middle School,965,6
620:495,Mary Lee Clark Elementary School,545,0
620:ALL,Camden County,6534,73
621:101,Metter High School,110,1
621:102,Metter Middle School,438,13
621:202,Metter Intermediate School,284,2
621:302,Metter Elementary School,428,2
621:ALL,Candler County,1260,18
622:100,Sharp Creek Elementary School,650,0
622:101,Jonesville Middle School,537,2
622:102,Temple Middle School,674,2
622:1054,Temple Elementary School,509,0
622:176,Mount Zion Elementary School,438,2
622:177,Central Middle School,1002,38
622:189,Temple High School,104,0
622:190,Open Campus High School,13,0
622:198,Bay Springs Middle School,1114,11
622:199,Villa Rica Elementary,637,3
622:2050,Bowdon Elementary School,587,2
622:2052,Central High School,220,7
622:276,Mount Zion High School,180,1
622:3050,Bowdon High School,88,0
622:3054,Villa Rica Primary School,429,0
622:377,Roopville Elementary School,264,0
622:477,Whitesburg Elementary School,309,4
622:5050,Central Elementary School,759,18
622:5052,Sand Hill Elementary School,581,3
622:5054,Villa Rica High School,241,0
622:ALL,Carroll County,9336,93
623:100,Ringgold Primary School,420,5
623:102,Battlefield Primary,262,0
623:103,Battlefield Elementary School,390,0
623:1050,Boynton Elementary School,442,13
623:1052,Lakeview-Fort Oglethorpe High School,265,3
623:1054,West Side Elementary School,373,0
623:185,Tiger Creek Elementary School,415,0
623:2552,Lakeview Middle School,1138,1
623:3050,Cloud Springs Elementary School,464,2
623:3052,Ringgold Elementary School,653,4
623:4052,Ringgold High School,297,0
623:5050,Graysville Elementary School,482,3
623:5052,Ringgold Middle School,1334,10
623:ALL,Catoosa County,6935,41
624:199,Folkston Elementary School,516,13
624:287,Charlton County High School,468,3
624:387,Bethune Elementary School,206,1
624:4050,St. George Elementary School,149,0
624:ALL,Charlton County,1339,17
625:100,Tompkins Middle School,480,1
625:101,Johnson High School,214,3
625:1052,Bartow Elementary School,367,3
625:1056,Gadsden Elementary School,522,0
625:1058,Heard Elementary School,428,0
625:1060,Howard Elementary School,539,11
625:1070,White Bluff Elementary School,629,11
625:191,East Broad Street Elementary School,463,0
625:192,Garrison Elementary School,413,1
625:193,Islands Elementary School,578,0
625:194,Georgetown Elementary School,513,6
625:197,Garden City Elementary School,432,0
625:198,Coastal Middle School,863,14
625:199,West Chatham Middle School,970,17
625:200,West Chatham Elementary School,484,2
625:201,DeRenne Middle School,863,0
625:2052,Beach High School,208,8
625:2056,Gould Elementary School,407,0
625:2060,Hubert Middle School,506,1
625:2062,Largo-Tibet Elementary School,464,0
625:2068,Spencer Elementary School,390,0
625:2069,Thunderbolt Elementary School,546,2
625:298,Marshpoint Elementary School,660,24
625:299,Southwest Middle School,946,5
625:300,Southwest Elementary School,572,1
625:301,Myers Middle School,874,16
625:3056,Groves High School,239,7
625:3060,Isle of Hope Elementary School,457,1
625:3062,Low Elementary School,512,11
625:3064,Pooler Elementary School,311,0
625:399,Savannah High School,157,1
625:400,Oglethorpe Academy,319,0
625:4052,Bloomingdale Elementary School,441,1
625:4054,Ellis Elementary School,418,0
625:4056,Haven Elementary School,260,0
625:4058,Hesse Elementary School,441,1
625:4066,Shuman Middle School,751,1
625:4068,Port Wentworth Elementary School,231,0
625:4070,Windsor Forest Elementary School,417,0
625:499,Savannah Arts Academy,133,0
625:5050,Bartlett Middle School,798,20
625:5052,Butler Elementary School,584,28
625:5058,Hodge Elementary School,356,0
625:5060,Jenkins High School,334,12
625:5062,Mercer Middle School,762,1
625:5064,Pulaski Elementary School,328,1
625:5066,Jacob G. Smith Elementary School,310,0
625:5070,Windsor Forest High School,306,12
625:ALL,Chatham County,23196,223
626:101,Chattahoochee County Education Center,259,2
626:201,Chattahoochee County Middle School,155,3
626:ALL,Chattahoochee County,414,5
627:1050,Chattooga High School,150,1
627:2050,Lyerly Elementary School,340,5
627:2052,Summerville Middle School,433,1
627:3050,Menlo Elementary School,331,0
627:3550,North Summerville Elementary School,194,0
627:4050,Pennville Elementary School,216,15
627:5050,Summerville Elementary School,337,0
627:ALL,Chattooga County,2001,22
628:101,Carmel Elementary School,1223,6
628:1050,Ball Ground Elementary School,374,0
628:1052,Clayton Elementary School,337,1
628:1554,Tippens Elementary School,183,0
628:174,Canton Elementary School,482,0
628:176,Etowah High School,396,5
628:177,Little River Elementary School,590,2
628:181,Booth Middle School,1185,7
628:182,Johnston Elementary School,738,3
628:187,Rusk Middle School,1040,8
628:189,Boston Elementary School,617,3
628:190,Mountain Road Elementary School,472,27
628:191,Sequoyah High School,404,5
628:193,Sixes Elementary School,921,7
628:194,Polaris Evening School,31,0
628:196,Bascomb Elementary School,1077,5
628:197,Woodstock High School,419,4
628:198,R. M. Moore Elementary School,422,8
628:199,Holly Springs Elementary School,769,6
628:201,Chapman Intermediate School,1113,1
628:203,Liberty Elementary School,815,18
628:2050,Buffington Elementary School,161,0
628:2052,Free Home Elementary School,254,0
628:2054,Oak Grove Elementary School,599,0
628:287,Teasley Middle School,1193,16
628:291,Ralph Bunche Center,,
628:297,Woodstock Middle School,1240,18
628:3052,Hickory Flat Elementary School,1070,2
628:3054,Woodstock Elementary School,537,3
628:397,Arnold Mill Elementary School,775,0
628:5050,Cherokee High School,409,7
628:5052,Macedonia Elementary School,603,0
