"SysSchoolID","SchoolName","English Number Tested All Students","English Fail All Students","English Pass All Students","English Pass Plus All Students","English Number Tested Economically Disadvantaged","English Fail Economically Disadvantaged","English Pass Economically Disadvantaged","English Pass Plus Economically Disadvantaged","English Number Tested Migrant","English Fail Migrant","English Pass Migrant","English Pass Plus Migrant","English Number Tested Not Economically Disadv.","English Fail Not Economically Disadv.","English Pass Not Economically Disadv.","English Pass Plus Not Economically Disadv.","English Number Tested Asian","English Fail Asian","English Pass Asian","English Pass Plus Asian","English Number Tested Black","English Fail Black","English Pass Black","English Pass Plus Black","English Number Tested Female","English Fail Female","English Pass Female","English Pass Plus Female","English Number Tested Hispanic","English Fail Hispanic","English Pass Hispanic","English Pass Plus Hispanic","English Number Tested Limited English Proficient","English Fail Limited English Proficient","English Pass Limited English Proficient","English Pass Plus Limited English Proficient","English Number Tested Male","English Fail Male","English Pass Male","English Pass Plus Male","English Number Tested Native Amer/Alaskan Native","English Fail Native Amer/Alaskan Native","English Pass Native Amer/Alaskan Native","English Pass Plus Native Amer/Alaskan Native","English Number Tested Students without Disabilities","English Fail Students without Disabilities","English Pass Students without Disabilities","English Pass Plus Students without Disabilities","English Number Tested Students with Disabilities","English Fail Students with Disabilities","English Pass Students with Disabilities","English Pass Plus Students with Disabilities","English Number Tested Multiracial","English Fail Multiracial","English Pass Multiracial","English Pass Plus Multiracial","English Number Tested White","English Fail White","English Pass White","English Pass Plus White","Mathematics Number Tested All Students","Mathematics Fail All Students","Mathematics Pass All Students","Mathematics Pass Plus All Students","Mathematics Number Tested Economically Disadvantaged","Mathematics Fail Economically Disadvantaged","Mathematics Pass Economically Disadvantaged","Mathematics Pass Plus Economically Disadvantaged","Mathematics Number Tested Migrant","Mathematics Fail Migrant","Mathematics Pass Migrant","Mathematics Pass Plus Migrant","Mathematics Number Tested Not Economically Disadv.","Mathematics Fail Not Economically Disadv.","Mathematics Pass Not Economically Disadv.","Mathematics Pass Plus Not Economically Disadv.","Mathematics Number Tested Asian","Mathematics Fail Asian","Mathematics Pass Asian","Mathematics Pass Plus Asian","Mathematics Number Tested Black","Mathematics Fail Black","Mathematics Pass Black","Mathematics Pass Plus Black","Mathematics Number Tested Female","Mathematics Fail Female","Mathematics Pass Female","Mathematics Pass Plus Female","Mathematics Number Tested Hispanic","Mathematics Fail Hispanic","Mathematics Pass Hispanic","Mathematics Pass Plus Hispanic","Mathematics Number Tested Limited English Proficient","Mathematics Fail Limited English Proficient","Mathematics Pass Limited English Proficient","Mathematics Pass Plus Limited English Proficient","Mathematics Number Tested Male","Mathematics Fail Male","Mathematics Pass Male","Mathematics Pass Plus Male","Mathematics Number Tested Native Amer/Alaskan Native","Mathematics Fail Native Amer/Alaskan Native","Mathematics Pass Native Amer/Alaskan Native","Mathematics Pass Plus Native Amer/Alaskan Native","Mathematics Number Tested Students without Disabilities","Mathematics Fail Students without Disabilities","Mathematics Pass Students without Disabilities","Mathematics Pass Plus Students without Disabilities","Mathematics Number Tested Students with Disabilities","Mathematics Fail Students with Disabilities","Mathematics Pass Students with Disabilities","Mathematics Pass Plus Students with Disabilities","Mathematics Number Tested Multiracial","Mathematics Fail Multiracial","Mathematics Pass Multiracial","Mathematics Pass Plus Multiracial","Mathematics Number Tested White","Mathematics Fail White","Mathematics Pass White","Mathematics Pass Plus White","Science Number Tested All Students","Science Fail All Students","Science Pass All Students","Science Pass Plus All Students","Science Number Tested Economically Disadvantaged","Science Fail Economically Disadvantaged","Science Pass Economically Disadvantaged","Science Pass Plus Economically Disadvantaged","Science Number Tested Migrant","Science Fail Migrant","Science Pass Migrant","Science Pass Plus Migrant","Science Number Tested Not Economically Disadv.","Science Fail Not Economically Disadv.","Science Pass Not Economically Disadv.","Science Pass Plus Not Economically Disadv.","Science Number Tested Asian","Science Fail Asian","Science Pass Asian","Science Pass Plus Asian","Science Number Tested Black","Science Fail Black","Science Pass Black","Science Pass Plus Black","Science Number Tested Female","Science Fail Female","Science Pass Female","Science Pass Plus Female","Science Number Tested Hispanic","Science Fail Hispanic","Science Pass Hispanic","Science Pass Plus Hispanic","Science Number Tested Limited English Proficient","Science Fail Limited English Proficient","Science Pass Limited English Proficient","Science Pass Plus Limited English Proficient","Science Number Tested Male","Science Fail Male","Science Pass Male","Science Pass Plus Male","Science Number Tested Native Amer/Alaskan Native","Science Fail Native Amer/Alaskan Native","Science Pass Native Amer/Alaskan Native","Science Pass Plus Native Amer/Alaskan Native","Science Number Tested Students without Disabilities","Science Fail Students without Disabilities","Science Pass Students without Disabilities","Science Pass Plus Students without Disabilities","Science Number Tested Students with Disabilities","Science Fail Students with Disabilities","Science Pass Students with Disabilities","Science Pass Plus Students with Disabilities","Science Number Tested Multiracial","Science Fail Multiracial","Science Pass Multiracial","Science Pass Plus Multiracial","Science Number Tested White","Science Fail White","Science Pass White","Science Pass Plus White","Social Studies Number Tested All Students","Social Studies Fail All Students","Social Studies Pass All Students","Social Studies Pass Plus All Students","Social Studies Number Tested Economically Disadvantaged","Social Studies Fail Economically Disadvantaged","Social Studies Pass Economically Disadvantaged","Social Studies Pass Plus Economically Disadvantaged","Social Studies Number Tested Migrant","Social Studies Fail Migrant","Social Studies Pass Migrant","Social Studies Pass Plus Migrant","Social Studies Number Tested Not Economically Disadv.","Social Studies Fail Not Economically Disadv.","Social Studies Pass Not Economically Disadv.","Social Studies Pass Plus Not Economically Disadv.","Social Studies Number Tested Asian","Social Studies Fail Asian","Social Studies Pass Asian","Social Studies Pass Plus Asian","Social Studies Number Tested Black","Social Studies Fail Black","Social Studies Pass Black","Social Studies Pass Plus Black","Social Studies Number Tested Female","Social Studies Fail Female","Social Studies Pass Female","Social Studies Pass Plus Female","Social Studies Number Tested Hispanic","Social Studies Fail Hispanic","Social Studies Pass Hispanic","Social Studies Pass Plus Hispanic","Social Studies Number Tested Limited English Proficient","Social Studies Fail Limited English Proficient","Social Studies Pass Limited English Proficient","Social Studies Pass Plus Limited English Proficient","Social Studies Number Tested Male","Social Studies Fail Male","Social Studies Pass Male","Social Studies Pass Plus Male","Social Studies Number Tested Native Amer/Alaskan Native","Social Studies Fail Native Amer/Alaskan Native","Social Studies Pass Native Amer/Alaskan Native","Social Studies Pass Plus Native Amer/Alaskan Native","Social Studies Number Tested Students without Disabilities","Social Studies Fail Students without Disabilities","Social Studies Pass Students without Disabilities","Social Studies Pass Plus Students without Disabilities","Social Studies Number Tested Students with Disabilities","Social Studies Fail Students with Disabilities","Social Studies Pass Students with Disabilities","Social Studies Pass Plus Students with Disabilities","Social Studies Number Tested Multiracial","Social Studies Fail Multiracial","Social Studies Pass Multiracial","Social Studies Pass Plus Multiracial","Social Studies Number Tested White","Social Studies Fail White","Social Studies Pass White","Social Studies Pass Plus White"
"601:1050","Altamaha Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"601:177","Appling County Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"601:195","Appling County Middle School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"601:2050","Appling County High School","181","6","30","64","68","12","34","54","4","","","","113","3","28","69","1","","","","54","15","39","46","95","0","32","68","4","","","","1","","","","86","13","29","58","","","","","161","2","29","70","20","40","45","15","","","","","122","2","28","70","181","7","44","49","68","15","49","37","4","","","","113","3","42","56","1","","","","54","19","52","30","95","4","45","51","4","","","","1","","","","86","10","43","47","","","","","161","2","43","54","20","45","50","5","","","","","122","2","41","57","181","29","60","10","68","38","56","6","4","","","","113","24","63","13","1","","","","54","46","50","4","95","27","61","12","4","","","","1","","","","86","31","59","9","","","","","161","24","64","12","20","70","30","0","","","","","122","22","64","14","183","19","55","26","70","27","59","14","4","","","","113","13","53","34","1","","","","56","38","52","11","96","19","55","26","4","","","","1","","","","87","18","55","26","","","","","162","14","57","30","21","57","43","0","","","","","122","11","55","34"
"601:277","Appling County Primary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"601:5050","Fourth District Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"601:ALL","Appling County","181","6","30","64","69","13","33","54","4","","","","113","3","28","69","1","","","","54","15","39","46","95","0","32","68","4","","","","1","","","","86","13","29","58","","","","","161","2","29","70","20","40","45","15","","","","","122","2","28","70","181","7","44","49","68","15","49","37","4","","","","113","3","42","56","1","","","","54","19","52","30","95","4","45","51","4","","","","1","","","","86","10","43","47","","","","","161","2","43","54","20","45","50","5","","","","","122","2","41","57","181","29","60","10","68","38","56","6","4","","","","113","24","63","13","1","","","","54","46","50","4","95","27","61","12","4","","","","1","","","","86","31","59","9","","","","","161","24","64","12","20","70","30","0","","","","","122","22","64","14","183","19","55","26","70","27","59","14","4","","","","113","13","53","34","1","","","","56","38","52","11","96","19","55","26","4","","","","1","","","","87","18","55","26","","","","","162","14","57","30","21","57","43","0","","","","","122","11","55","34"
"602:103","Atkinson County High School","81","12","40","48","58","16","41","43","4","","","","23","4","35","61","","","","","22","23","50","27","38","11","37","53","8","","","","1","","","","43","14","42","44","1","","","","74","5","43","51","7","","","","","","","","50","8","34","58","81","10","58","32","58","12","62","26","4","","","","23","4","48","48","","","","","22","18","73","9","38","11","55","34","8","","","","1","","","","43","9","60","30","1","","","","74","3","62","35","7","","","","","","","","50","8","48","44","81","51","40","10","58","55","36","9","4","","","","23","39","48","13","","","","","22","73","27","0","38","61","32","8","8","","","","1","","","","43","42","47","12","1","","","","74","47","42","11","7","","","","","","","","50","38","48","14","80","31","50","19","58","36","48","16","4","","","","22","18","55","27","","","","","22","50","45","5","38","39","47","13","8","","","","1","","","","42","24","52","24","1","","","","73","26","53","21","7","","","","","","","","49","24","49","27"
"602:187","Willacoochee Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"602:190","Pearson Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
