"SysSchoolID","SchoolName","Number Tested All Students","Fail All Students","Pass All Students","Number Tested Economically Disadvantaged","Fail Economically Disadvantaged","Pass Economically Disadvantaged","Number Tested Migrant","Fail Migrant","Pass Migrant","Number Tested Not Economically Disadv.","Fail Not Economically Disadv.","Pass Not Economically Disadv.","Number Tested Asian","Fail Asian","Pass Asian","Number Tested Black","Fail Black","Pass Black","Number Tested Female","Fail Female","Pass Female","Number Tested Hispanic","Fail Hispanic","Pass Hispanic","Number Tested Limited English Proficient","Fail Limited English Proficient","Pass Limited English Proficient","Number Tested Male","Fail Male","Pass Male","Number Tested Native Amer/Alaskan Native","Fail Native Amer/Alaskan Native","Pass Native Amer/Alaskan Native","Number Tested Students without Disabilities","Fail Students without Disabilities","Pass Students without Disabilities","Number Tested Students with Disabilities","Fail Students with Disabilities","Pass Students with Disabilities","Number Tested Multiracial","Fail Multiracial","Pass Multiracial","Number Tested White","Fail White","Pass White"
"601:2050","Appling County High School","190","19","81","74","28","72","8","","","115","13","87","1","","","60","30","70","97","9","91","6","","","2","","","92","29","71","","","","164","10","90","25","80","20","1","","","121","14","86"
"601:ALL","Appling County","190","19","81","74","28","72","8","","","115","13","87","1","","","60","30","70","97","9","91","6","","","2","","","92","29","71","","","","164","10","90","25","80","20","1","","","121","14","86"
"603:302","Bacon County High School","85","29","71","35","40","60","2","","","48","25","75","","","","13","54","46","42","19","81","2","","","2","","","41","44","56","","","","72","24","76","11","82","18","","","","68","25","75"
"603:ALL","Bacon County","85","29","71","35","40","60","2","","","48","25","75","","","","13","54","46","42","19","81","2","","","2","","","41","44","56","","","","72","24","76","11","82","18","","","","68","25","75"
"605:189","Baldwin High School","270","20","80","123","25","75","","","","149","17","83","5","","","174","26","74","153","18","82","2","","","2","","","119","24","76","","","","234","13","87","38","66","34","1","","","90","10","90"
"605:ALL","Baldwin County","270","20","80","123","25","75","","","","149","17","83","5","","","174","26","74","153","18","82","2","","","2","","","119","24","76","","","","234","13","87","38","66","34","1","","","90","10","90"
"606:199","Banks County High School","137","17","83","46","26","74","","","","87","10","90","4","","","2","","","66","9","91","4","","","1","","","67","22","78","","","","124","10","90","9","","","","","","123","13","87"
"606:ALL","Banks County","137","17","83","46","26","74","","","","87","10","90","4","","","2","","","66","9","91","4","","","1","","","67","22","78","","","","124","10","90","9","","","","","","123","13","87"
"607:101","Apalachee High School","197","17","83","48","29","71","","","","142","12","88","15","13","87","16","19","81","81","6","94","9","","","1","","","109","24","76","","","","162","9","91","28","57","43","4","","","146","16","84"
"607:3052","Winder-Barrow High School","261","7","93","66","12","88","","","","191","5","95","10","","","26","12","88","129","2","98","9","","","","","","128","12","88","","","","229","4","96","28","29","71","2","","","210","6","94"
