"SysSchoolID","SchoolName","Number Tested All Students","Below Target All Students","On Target All Students","Exceeds Target All Students","Number Tested Economically Disadvantaged","Below Target Economically Disadvantaged","On Target Economically Disadvantaged","Exceeds Target Economically Disadvantaged","Number Tested Migrant","Below Target Migrant","On Target Migrant","Exceeds Target Migrant","Number Tested Not Economically Disadv.","Below Target Not Economically Disadv.","On Target Not Economically Disadv.","Exceeds Target Not Economically Disadv.","Number Tested Asian","Below Target Asian","On Target Asian","Exceeds Target Asian","Number Tested Black","Below Target Black","On Target Black","Exceeds Target Black","Number Tested Female","Below Target Female","On Target Female","Exceeds Target Female","Number Tested Hispanic","Below Target Hispanic","On Target Hispanic","Exceeds Target Hispanic","Number Tested Limited English Proficient","Below Target Limited English Proficient","On Target Limited English Proficient","Exceeds Target Limited English Proficient","Number Tested Male","Below Target Male","On Target Male","Exceeds Target Male","Number Tested Native Amer/Alaskan Native","Below Target Native Amer/Alaskan Native","On Target Native Amer/Alaskan Native","Exceeds Target Native Amer/Alaskan Native","Number Tested Students without Disabilities","Below Target Students without Disabilities","On Target Students without Disabilities","Exceeds Target Students without Disabilities","Number Tested Students with Disabilities","Below Target Students with Disabilities","On Target Students with Disabilities","Exceeds Target Students with Disabilities","Number Tested Multiracial","Below Target Multiracial","On Target Multiracial","Exceeds Target Multiracial","Number Tested White","Below Target White","On Target White","Exceeds Target White"
"612:277","Bleckley County Middle School","200","15","74","11","114","21","75","4","1","","","","86","7","72","21","1","","","","54","30","69","2","95","8","78","14","1","","","","2","","","","105","21","70","9","","","","","181","9","79","12","19","74","26","0","","","","","144","10","76","15"
"623:2552","Lakeview Middle School","388","14","78","8","139","18","79","3","","","","","249","12","78","10","9","","","","9","","","","196","9","81","11","6","","","","2","","","","192","20","76","5","1","","","","349","9","83","9","39","62","38","0","1","","","","362","14","78","8"
"629:296","Burney-Harris-Lyons Middle School","204","30","66","4","143","34","64","2","7","","","","61","21","69","10","4","","","","118","26","69","4","111","20","76","5","46","54","46","0","19","84","16","0","93","42","54","4","1","","","","175","25","70","5","29","59","41","0","4","","","","31","16","71","13"
"633:294","Smitha Middle School","452","22","66","12","182","31","66","3","","","","","270","17","66","17","14","7","86","7","232","22","71","7","230","16","69","15","54","44","52","4","18","83","17","0","222","29","63","8","","","","","391","19","68","13","61","43","56","2","15","40","60","0","137","14","62","24"
"638:299","Madras Middle School","285","14","78","8","43","26","67","7","","","","","242","12","80","9","6","","","","32","19","78","3","157","7","80","13","6","","","","","","","","128","22","75","3","","","","","254","9","82","9","31","55","45","0","5","","","","236","13","78","9"
"644:4053","Clarkston High School","14","100","0","0","14","100","0","0","","","","","","","","","4","","","","10","","","","6","","","","","","","","14","100","0","0","8","","","","","","","","14","100","0","0","","","","","","","","","","","",""
"644:4054","Cross Keys High School","30","100","0","0","17","100","0","0","","","","","13","100","0","0","","","","","8","","","","13","100","0","0","21","100","0","0","30","100","0","0","17","100","0","0","","","","","30","100","0","0","","","","","","","","","1","","",""
"644:500","DeKalb Alternative School","36","61","39","0","25","60","40","0","","","","","11","64","36","0","","","","","33","61","39","0","13","46","54","0","2","","","","1","","","","23","70","30","0","","","","","27","48","52","0","9","","","","1","","","","","","",""
"644:501","DeKalb Truancy School","15","80","20","0","12","75","25","0","","","","","3","","","","1","","","","10","","","","4","","","","1","","","","1","","","","11","82","18","0","","","","","9","","","","6","","","","1","","","","2","","",""
"644:5066","DeKalb/Rockdale PsychoEducation Center ","14","86","14","0","14","86","14","0","","","","","","","","","","","","","13","92","8","0","3","","","","","","","","","","","","11","100","0","0","","","","","","","","","14","86","14","0","1","","","","","","",""
"644:597","Miller Grove Middle School","402","17","69","13","225","20","72","8","","","","","177","14","66","20","","","","","391","17","70","13","222","12","71","17","3","","","","5","","","","180","23","68","9","","","","","382","15","70","14","20","50","50","0","4","","","","4","","",""
"644:697","Stone Mountain Middle School","393","23","75","2","249","24","74","2","","","","","144","20","77","3","7","","","","351","22","75","2","212","17","79","3","15","33","67","0","29","48","48","3","181","29","70","1","","","","","358","19","78","3","35","60","40","0","9","","","","11","18","82","0"
"644:797","Henderson Middle School","516","24","67","9","222","36","62","2","","","","","294","15","71","14","46","28","63","9","264","27","70","3","259","17","71","11","57","42","58","0","88","48","49","3","257","31","63","6","","","","","467","22","69","9","49","47","51","2","20","25","65","10","129","9","68","22"
"644:897","Shamrock Middle School","391","16","63","21","127","28","67","6","","","","","264","10","61","29","30","27","70","3","146","25","61","14","188","10","59","31","15","27","73","0","48","29","63","8","203","21","67","12","1","","","","345","11","66","23","46","50","46","4","13","8","77","15","186","6","62","32"
"644:ALL","DeKalb County","7339","25","68","7","4009","32","65","3","","","","","3330","17","72","12","227","26","65","10","5919","25","70","5","3634","17","73","10","376","52","46","2","640","48","48","4","3705","33","63","4","7","","","","6746","21","71","8","593","67","32","1","136","18","73","10","674","8","65","27"
"645:180","Dodge County Middle School","251","24","68","8","13","31","69","0","1","","","","238","23","68","9","","","","","81","28","69","2","131","19","73","8","5","","","","1","","","","120","28","63","8","","","","","227","19","71","9","24","63","38","0","1","","","","164","21","68","10"
"645:ALL","Dodge County","251","24","68","8","13","31","69","0","1","","","","238","23","68","9","","","","","81","28","69","2","131","19","73","8","5","","","","1","","","","120","28","63","8","","","","","227","19","71","9","24","63","38","0","1","","","","164","21","68","10"
"646:204","Dooly County Middle School","119","28","71","1","119","28","71","1","10","","","","","","","","","","","","93","27","73","0","53","21","77","2","12","50","50","0","5","","","","66","33","67","0","","","","","109","24","75","1","10","","","","3","","","","11","18","73","9"
"646:ALL","Dooly County","119","28","71","1","119","28","71","1","10","","","","","","","","","","","","93","27","73","0","53","21","77","2","12","50","50","0","5","","","","66","33","67","0","","","","","109","24","75","1","10","","","","3","","","","11","18","73","9"
"647:101","Albany Middle School","187","35","60","5","187","35","60","5","","","","","","","","","","","","","155","38","58","4","98","33","61","6","2","","","","","","","","89","37","60","3","","","","","155","23","72","6","32","94","6","0","1","","","","29","21","69","10"
