SysSchoolid,School Name,Retained Total Students,Retained Total American Indian,Retained Percent American Indian,Retained Asian,Retained Total Asian,Retained Percent Asian,Retained Black,Retained Total Black,Retained Percent Black,Retained Female,Retained Total Female,Retained Percent Female,Retained Hispanic,Retained Total Hispanic,Retained Percent Hispanic,Retained Male,Retained Total Male,Retained Percent Male,Retained Multiracial,Retained Total Multiracial,Retained Percent Multiracial,Retained White,Retained Total White,Retained Percent White
601:1050,Altamaha Elementary School,12,0,0,12,0,0,12,2,16.7,12,2,16.7,12,1,8.3,12,10,83.3,12,0,0,12,9,75
601:277,Appling County Primary School,9,0,0,9,0,0,9,0,0,9,4,44.4,9,0,0,9,5,55.6,9,0,0,9,9,100
601:5050,Fourth District Elementary School,4,0,0,4,0,0,4,1,25,4,2,50,4,1,25,4,2,50,4,0,0,4,2,50
602:ALL,Atkinson County,100,0,0,100,0,0,100,14,14,100,34,34,100,38,38,100,66,66,100,0,0,100,48,48
603:202,Bacon County Middle School,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,100,1,0,0,1,1,100
603:302,Bacon County High School,50,0,0,50,0,0,50,16,32,50,18,36,50,0,0,50,32,64,50,0,0,50,34,68
603:3050,Bacon County Elementary School,3,0,0,3,0,0,3,1,33.3,3,0,0,3,0,0,3,3,100,3,0,0,3,2,66.7
603:ALL,Bacon County,66,0,0,66,0,0,66,21,31.8,66,24,36.4,66,0,0,66,42,63.6,66,2,3,66,43,65.2
605:100,Oak Hill MS,201,0,0,201,1,0.5,201,135,67.2,201,68,33.8,201,8,4,201,133,66.2,201,2,1,201,55,27.4
605:194,Midway Elementary School,59,0,0,59,0,0,59,40,67.8,59,25,42.4,59,0,0,59,34,57.6,59,0,0,59,19,32.2
605:195,Blandy Hills Elementary School,18,0,0,18,0,0,18,13,72.2,18,8,44.4,18,0,0,18,10,55.6,18,1,5.6,18,4,22.2
605:2054,Southside Elementary School,17,0,0,17,0,0,17,13,76.5,17,6,35.3,17,0,0,17,11,64.7,17,1,5.9,17,3,17.6
606:189,Banks County Primary School,13,0,0,13,0,0,13,0,0,13,5,38.5,13,3,23.1,13,8,61.5,13,0,0,13,10,76.9
606:199,Banks County High School,27,0,0,27,0,0,27,1,3.7,27,10,37,27,3,11.1,27,17,63,27,0,0,27,23,85.2
606:201,Banks County Middle School,15,0,0,15,0,0,15,1,6.7,15,2,13.3,15,1,6.7,15,13,86.7,15,0,0,15,13,86.7
606:ALL,Banks County,62,0,0,62,0,0,62,2,3.2,62,19,30.6,62,8,12.9,62,43,69.4,62,0,0,62,52,83.9
607:1050,Auburn Elementary School,9,0,0,9,2,22.2,9,0,0,9,4,44.4,9,0,0,9,5,55.6,9,0,0,9,7,77.8
607:189,Kennedy Elementary School,27,0,0,27,0,0,27,7,25.9,27,11,40.7,27,3,11.1,27,16,59.3,27,2,7.4,27,15,55.6
607:198,Westside Middle School,13,0,0,13,0,0,13,3,23.1,13,7,53.8,13,0,0,13,6,46.2,13,0,0,13,10,76.9
607:2050,Bethlehem Elementary School,27,0,0,27,3,11.1,27,4,14.8,27,13,48.1,27,2,7.4,27,14,51.9,27,0,0,27,18,66.7
607:2052,Winder-Barrow Middle School,8,0,0,8,0,0,8,3,37.5,8,4,50,8,0,0,8,4,50,8,0,0,8,5,62.5
607:289,Russell Middle School,20,0,0,20,0,0,20,1,5,20,5,25,20,1,5,20,15,75,20,0,0,20,18,90
607:3050,County Line Elementary School,15,0,0,15,0,0,15,0,0,15,8,53.3,15,0,0,15,7,46.7,15,0,0,15,15,100
607:ALL,Barrow County,341,0,0,341,16,4.7,341,69,20.2,341,138,40.5,341,20,5.9,341,203,59.5,341,4,1.2,341,232,68
608:101,Woodland Middle School at Euharlee,3,0,0,3,0,0,3,0,0,3,2,66.7,3,0,0,3,1,33.3,3,0,0,3,3,100
608:1052,Cloverleaf Elementary School,7,0,0,7,0,0,7,1,14.3,7,2,28.6,7,1,14.3,7,5,71.4,7,0,0,7,5,71.4
608:186,Mission Road Elementary School,2,0,0,2,0,0,2,0,0,2,1,50,2,0,0,2,1,50,2,0,0,2,2,100
608:196,Allatoona Elementary School,1,0,0,1,0,0,1,0,0,1,1,100,1,0,0,1,0,0,1,0,0,1,1,100
608:2052,Emerson Elementary School,5,0,0,5,0,0,5,0,0,5,2,40,5,0,0,5,3,60,5,0,0,5,5,100
608:301,Adairsville Middle School,7,0,0,7,0,0,7,1,14.3,7,1,14.3,7,1,14.3,7,6,85.7,7,0,0,7,5,71.4
608:4052,Pine Log Elementary School,6,0,0,6,0,0,6,0,0,6,2,33.3,6,0,0,6,4,66.7,6,0,0,6,6,100
