"LONG_SCHOOL_YEAR","DETAIL_LVL_DESC","SCHOOL_DSTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","GRADES_SERVED_DESC","STUDENT_COUNT_ALL","FIVE_OR_FEWER_PERCENT_ALL","SIX_TO_FIFTEEN_PERCENT_ALL","OVER_15_PERCENT_ALL","STUDENT_COUNT_INDIAN","FIVE_OR_FEWER_PERCENT_INDIAN","SIX_TO_FIFTEEN_PERCENT_INDIAN","OVER_15_PERCENT_INDIAN","STUDENT_COUNT_ASIAN","FIVE_OR_FEWER_PERCENT_ASIAN","SIX_TO_FIFTEEN_PERCENT_ASIAN","OVER_15_PERCENT_ASIAN","STUDENT_COUNT_BLACK","FIVE_OR_FEWER_PERCENT_BLACK","SIX_TO_FIFTEEN_PERCENT_BLACK","OVER_15_PERCENT_BLACK","STUDENT_COUNT_WHITE","FIVE_OR_FEWER_PERCENT_WHITE","SIX_TO_FIFTEEN_PERCENT_WHITE","OVER_15_PERCENT_WHITE","STUDENT_COUNT_HISPANI","FIVE_OR_FEWER_PERCENT_HISPANI","SIX_TO_FIFTEEN_PERCENT_HISPANI","OVER_15_PERCENT_HISPANI","STUDENT_COUNT_MULTI","FIVE_OR_FEWER_PERCENT_MULTI","SIX_TO_FIFTEEN_PERCENT_MULTI","OVER_15_PERCENT_MULTI","STUDENT_COUNT_FEMALE","FIVE_OR_FEWER_PERCENT_FEMALE","SIX_TO_FIFTEEN_PERCENT_FEMALE","OVER_15_PERCENT_FEMALE","STUDENT_COUNT_MALE","FIVE_OR_FEWER_PERCENT_MALE","SIX_TO_FIFTEEN_PERCENT_MALE","OVER_15_PERCENT_MALE","STUDENT_COUNT_SWD","FIVE_OR_FEWER_PERCENT_SWD","SIX_TO_FIFTEEN_PERCENT_SWD","OVER_15_PERCENT_SWD","STUDENT_COUNT_NOT_SWD","FIVE_OR_FEWER_PERCENT_NOT_SWD","SIX_TO_FIFTEEN_PERCENT_NOT_SWD","OVER_15_PERCENT_NOT_SWD","STUDENT_COUNT_ED","FIVE_OR_FEWER_PERCENT_ED","SIX_TO_FIFTEEN_PERCENT_ED","OVER_15_PERCENT_ED","STUDENT_COUNT_NOT_ED","FIVE_OR_FEWER_PERCENT_NOT_ED","SIX_TO_FIFTEEN_PERCENT_NOT_ED","OVER_15_PERCENT_NOT_ED","STUDENT_COUNT_LEP","FIVE_OR_FEWER_PERCENT_LEP","SIX_TO_FIFTEEN_PERCENT_LEP","OVER_15_PERCENT_LEP","STUDENT_COUNT_MIGRANT","FIVE_OR_FEWER_PERCENT_MIGRANT","SIX_TO_FIFTEEN_PERCENT_MIGRANT","OVER_15_PERCENT_MIGRANT","CHRONIC_ABSENT_PERC_ALL","CHRONIC_ABSENT_PERC_INDIAN","CHRONIC_ABSENT_PERC_ASIAN","CHRONIC_ABSENT_PERC_BLACK","CHRONIC_ABSENT_PERC_WHITE","CHRONIC_ABSENT_PERC_HISPANI","CHRONIC_ABSENT_PERC_MULTI","CHRONIC_ABSENT_PERC_FEMALE","CHRONIC_ABSENT_PERC_MALE","CHRONIC_ABSENT_PERC_SWD","CHRONIC_ABSENT_PERC_NOT_SWD","CHRONIC_ABSENT_PERC_ED","CHRONIC_ABSENT_PERC_NOT_ED","CHRONIC_ABSENT_PERC_LEP","CHRONIC_ABSENT_PERC_MIGRANT"
"2010-11","School","601","Appling County","0103","Appling County High School","09,10,11,12",991,27.5,46.3,26.1,0,0,0,0,0,0,0,0,231,45.5,37.2,17.3,648,21.6,49.5,28.9,84,21.4,48.8,29.8,19,26.3,42.1,31.6,441,26.1,45.8,28.1,550,28.7,46.7,24.5,158,29.7,41.1,29.1,833,27.1,47.3,25.6,569,25.8,42.7,31.5,422,29.9,51.2,19,13,30.8,53.8,15.4,13,15.4,61.5,23.1,,0,0,,,,,,,,,,,,
"2010-11","School","601","Appling County","0109","Baxley Wilderness Institute","07,08,09,10,11",76,100,0,0,0,0,0,0,0,0,0,0,58,100,0,0,15,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,100,0,0,14,100,0,0,62,100,0,0,0,0,0,0,75,100,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,0,,,,0,,0,0
"2010-11","School","601","Appling County","0177","Appling County Elementary School","01,03,04,05",545,58.2,36.9,5,0,0,0,0,0,0,0,0,148,75.7,23,1.4,290,43.4,48.6,7.9,85,75.3,24.7,0,12,58.3,25,16.7,263,60.5,34.6,4.9,282,56,39,5,73,47.9,45.2,6.8,472,59.7,35.6,4.7,405,59,35.3,5.7,140,55.7,41.4,2.9,46,80.4,19.6,0,26,76.9,23.1,0,,0,0,,,,,,,,,,,,
"2010-11","School","601","Appling County","0195","Appling County Middle School","06,07,08",820,45.6,42.8,11.6,0,0,0,0,0,0,0,0,180,61.1,32.8,6.1,526,37.3,48.9,13.9,95,62.1,27.4,10.5,11,36.4,63.6,0,385,46,42.1,11.9,435,45.3,43.4,11.3,136,39,46.3,14.7,684,46.9,42.1,11,522,45.4,39.3,15.3,298,46,49,5,30,73.3,20,6.7,27,48.1,37,14.8,,0,0,,,,,,,,,,,,
"2010-11","School","601","Appling County","0277","Appling County Primary School","PK,KK,01,02",804,48.9,41.7,9.5,0,0,0,0,0,0,0,0,246,56.5,37.4,6.1,381,40.2,46.7,13.1,138,58,36.2,5.8,29,55.2,37.9,6.9,398,48.2,42.2,9.5,406,49.5,41.1,9.4,128,43,43,14.1,676,50,41.4,8.6,628,48.7,40.8,10.5,176,49.4,44.9,5.7,76,61.8,34.2,3.9,43,53.5,39.5,7,,0,0,,,,,,,,,,,,
"2010-11","School","601","Appling County","1050","Altamaha Elementary School","PK,KK,01,02,03,04,05",457,47,44.4,8.5,0,0,0,0,0,0,0,0,22,36.4,54.5,9.1,386,46.4,44.6,9.1,37,54.1,43.2,2.7,10,70,20,10,226,47.3,44.2,8.4,231,46.8,44.6,8.7,53,47.2,47.2,5.7,404,47,44.1,8.9,271,42.4,46.5,11.1,186,53.8,41.4,4.8,10,70,30,0,16,56.3,43.8,0,,0,0,,,,,,,,,,,,
"2010-11","School","601","Appling County","5050","Fourth District Elementary School","PK,KK,01,02,03,04,05",155,58.7,38.7,2.6,0,0,0,0,0,0,0,0,19,78.9,21.1,0,114,56.1,40.4,3.5,12,50,50,0,10,60,40,0,76,59.2,38.2,2.6,79,58.2,39.2,2.5,17,70.6,29.4,0,138,57.2,39.9,2.9,85,58.8,38.8,2.4,70,58.6,38.6,2.9,0,0,0,0,0,0,0,0,,0,0,,,,,,,,,,,0,0
"2010-11","District","601","Appling County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",3848,45.2,41.8,13,0,0,0,0,34,64.7,29.4,5.9,904,60.5,31.7,7.7,2360,37,47.2,15.8,452,54.9,35.4,9.7,92,50,38,12,1789,44.4,42,13.5,2059,45.8,41.6,12.5,579,41.6,42.5,15.9,3269,45.8,41.7,12.5,2481,44.1,40.5,15.3,1367,47.1,44.1,8.8,180,65.6,30.6,3.9,128,52.3,39.8,7.8,,0,,,,,,,,,,,,,
"2010-11","School","602","Atkinson County","0103","Atkinson County High School","09,10,11,12",466,57.1,30.9,12,0,0,0,0,0,0,0,0,77,54.5,37.7,7.8,235,54,34,11.9,147,63.3,22.4,14.3,0,0,0,0,240,57.9,28.8,13.3,226,56.2,33.2,10.6,50,40,32,28,416,59.1,30.8,10.1,466,57.1,30.9,12,0,0,0,0,25,48,32,20,10,60,40,0,,0,0,,,,0,,,,,,0,,
"2010-11","School","602","Atkinson County","0111","Atkinson County Middle School","06,07,08",413,60.5,33.9,5.6,0,0,0,0,0,0,0,0,80,80,20,0,204,45.6,45.6,8.8,128,71.9,24.2,3.9,0,0,0,0,196,59.7,34.7,5.6,217,61.3,33.2,5.5,58,44.8,48.3,6.9,355,63.1,31.5,5.4,413,60.5,33.9,5.6,0,0,0,0,20,75,25,0,0,0,0,0,,0,0,,,,0,,,,,,0,,0
