"LONG_SCHOOL_YEAR","DETAIL_LVL_DESC","SCHOOL_DSTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","GRADES_SERVED_DESC","STUDENT_COUNT_ALL","FIVE_OR_FEWER_PERCENT_ALL","SIX_TO_FIFTEEN_PERCENT_ALL","OVER_15_PERCENT_ALL","STUDENT_COUNT_INDIAN","FIVE_OR_FEWER_PERCENT_INDIAN","SIX_TO_FIFTEEN_PERCENT_INDIAN","OVER_15_PERCENT_INDIAN","STUDENT_COUNT_ASIAN","FIVE_OR_FEWER_PERCENT_ASIAN","SIX_TO_FIFTEEN_PERCENT_ASIAN","OVER_15_PERCENT_ASIAN","STUDENT_COUNT_BLACK","FIVE_OR_FEWER_PERCENT_BLACK","SIX_TO_FIFTEEN_PERCENT_BLACK","OVER_15_PERCENT_BLACK","STUDENT_COUNT_WHITE","FIVE_OR_FEWER_PERCENT_WHITE","SIX_TO_FIFTEEN_PERCENT_WHITE","OVER_15_PERCENT_WHITE","STUDENT_COUNT_HISPANI","FIVE_OR_FEWER_PERCENT_HISPANI","SIX_TO_FIFTEEN_PERCENT_HISPANI","OVER_15_PERCENT_HISPANI","STUDENT_COUNT_MULTI","FIVE_OR_FEWER_PERCENT_MULTI","SIX_TO_FIFTEEN_PERCENT_MULTI","OVER_15_PERCENT_MULTI","STUDENT_COUNT_FEMALE","FIVE_OR_FEWER_PERCENT_FEMALE","SIX_TO_FIFTEEN_PERCENT_FEMALE","OVER_15_PERCENT_FEMALE","STUDENT_COUNT_MALE","FIVE_OR_FEWER_PERCENT_MALE","SIX_TO_FIFTEEN_PERCENT_MALE","OVER_15_PERCENT_MALE","STUDENT_COUNT_SWD","FIVE_OR_FEWER_PERCENT_SWD","SIX_TO_FIFTEEN_PERCENT_SWD","OVER_15_PERCENT_SWD","STUDENT_COUNT_NOT_SWD","FIVE_OR_FEWER_PERCENT_NOT_SWD","SIX_TO_FIFTEEN_PERCENT_NOT_SWD","OVER_15_PERCENT_NOT_SWD","STUDENT_COUNT_ED","FIVE_OR_FEWER_PERCENT_ED","SIX_TO_FIFTEEN_PERCENT_ED","OVER_15_PERCENT_ED","STUDENT_COUNT_NOT_ED","FIVE_OR_FEWER_PERCENT_NOT_ED","SIX_TO_FIFTEEN_PERCENT_NOT_ED","OVER_15_PERCENT_NOT_ED","STUDENT_COUNT_LEP","FIVE_OR_FEWER_PERCENT_LEP","SIX_TO_FIFTEEN_PERCENT_LEP","OVER_15_PERCENT_LEP","STUDENT_COUNT_MIGRANT","FIVE_OR_FEWER_PERCENT_MIGRANT","SIX_TO_FIFTEEN_PERCENT_MIGRANT","OVER_15_PERCENT_MIGRANT"
"2012-13","School","601","Appling County","0103","Appling County High School","09,10,11,12",1055,37.2,44.2,18.7,0,0,0,0,0,0,0,0,245,50.2,34.3,15.5,700,31.4,48.4,20.1,90,46.7,38.9,14.4,14,28.6,42.9,28.6,482,34.2,46.7,19.1,573,39.6,42.1,18.3,158,37.3,39.2,23.4,897,37.1,45,17.8,566,35.7,41.5,22.8,489,38.9,47.2,13.9,14,57.1,21.4,21.4,26,38.5,42.3,19.2
"2012-13","School","601","Appling County","0177","Appling County Elementary School","02,03,04,05",570,66,30.4,3.7,0,0,0,0,0,0,0,0,168,77.4,20.2,2.4,295,57.6,37.3,5.1,86,70.9,29.1,0,15,66.7,26.7,6.7,272,64.3,32.4,3.3,298,67.4,28.5,4,88,62.5,31.8,5.7,482,66.6,30.1,3.3,421,64.6,31.1,4.3,149,69.8,28.2,2,34,73.5,26.5,0,32,68.8,31.3,0
"2012-13","School","601","Appling County","0195","Appling County Middle School","06,07,08",803,50.7,38.9,10.5,0,0,0,0,0,0,0,0,173,71.1,21.4,7.5,504,41.1,47.2,11.7,98,65.3,28.6,6.1,18,38.9,33.3,27.8,377,48.3,41.9,9.8,426,52.8,36.2,11,106,41.5,40.6,17.9,697,52.1,38.6,9.3,527,48.4,39.1,12.5,276,55.1,38.4,6.5,20,60,35,5,40,67.5,22.5,10
"2012-13","School","601","Appling County","0277","Appling County Primary School","PK,KK,01,02",654,52.6,38.7,8.7,0,0,0,0,0,0,0,0,191,56,38.7,5.2,306,46.7,41.5,11.8,122,60.7,33.6,5.7,30,56.7,30,13.3,333,52.9,39.3,7.8,321,52.3,38,9.7,89,47.2,41.6,11.2,565,53.5,38.2,8.3,497,49.3,41,9.7,157,63.1,31.2,5.7,107,60.7,34.6,4.7,45,66.7,31.1,2.2
"2012-13","School","601","Appling County","1050","Altamaha Elementary School","PK,KK,01,02,03,04,05",353,49.6,41.9,8.5,0,0,0,0,0,0,0,0,11,27.3,72.7,0,315,49.5,41.3,9.2,19,57.9,36.8,5.3,0,0,0,0,184,51.1,41.8,7.1,169,47.9,42,10.1,42,50,47.6,2.4,311,49.5,41.2,9.3,194,47.9,44.8,7.2,159,51.6,38.4,10.1,12,66.7,33.3,0,0,0,0,0
"2012-13","School","601","Appling County","5050","Fourth District Elementary School","PK,KK,01,02,03,04,05",152,53.9,40.1,5.9,0,0,0,0,0,0,0,0,14,85.7,14.3,0,119,47.9,45.4,6.7,12,58.3,33.3,8.3,0,0,0,0,76,51.3,40.8,7.9,76,56.6,39.5,3.9,17,35.3,64.7,0,135,56.3,37,6.7,73,45.2,46.6,8.2,79,62,34.2,3.8,0,0,0,0,0,0,0,0
"2012-13","District","601","Appling County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",3587,49.5,39.4,11.1,0,0,0,0,25,68,24,8,802,62.1,29.8,8.1,2239,42.6,44.6,12.9,427,60.7,32.8,6.6,91,52.7,31.9,15.4,1724,48.2,41.2,10.6,1863,50.7,37.7,11.5,500,45.4,40.2,14.4,3087,50.2,39.3,10.6,2278,48.3,39.4,12.3,1309,51.6,39.4,8.9,192,63,31.8,5.2,157,61.1,31.8,7
"2012-13","School","602","Atkinson County","0103","Atkinson County High School","09,10,11,12",499,60.1,27.3,12.6,0,0,0,0,0,0,0,0,100,68,21,11,235,52.8,32.8,14.5,159,66,23.3,10.7,0,0,0,0,238,63.9,25.2,10.9,261,56.7,29.1,14.2,51,29.4,39.2,31.4,448,63.6,25.9,10.5,499,60.1,27.3,12.6,0,0,0,0,14,57.1,42.9,0,14,71.4,28.6,0
"2012-13","School","602","Atkinson County","0111","Atkinson County Middle School","06,07,08",411,59.6,34.8,5.6,0,0,0,0,0,0,0,0,73,76.7,23.3,0,202,49.5,41.1,9.4,130,65.4,31.5,3.1,0,0,0,0,203,64.5,30,5.4,208,54.8,39.4,5.8,73,49.3,37,13.7,338,61.8,34.3,3.8,411,59.6,34.8,5.6,0,0,0,0,23,65.2,34.8,0,11,45.5,45.5,9.1
"2012-13","School","602","Atkinson County","0187","Willacoochee Elementary School","PK,KK,01,02,03,04,05",235,77,20,3,0,0,0,0,0,0,0,0,51,76.5,19.6,3.9,110,70.9,29.1,0,68,85.3,7.4,7.4,0,0,0,0,129,74.4,22.5,3.1,106,80.2,17,2.8,40,77.5,20,2.5,195,76.9,20,3.1,235,77,20,3,0,0,0,0,25,76,8,16,16,100,0,0
