"LONG_SCHOOL_YEAR","DETAIL_LVL_DESC","SCHOOL_DSTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","GRADES_SERVED_DESC","STUDENT_COUNT_ALL","FIVE_OR_FEWER_PERCENT_ALL","SIX_TO_FIFTEEN_PERCENT_ALL","OVER_15_PERCENT_ALL","STUDENT_COUNT_INDIAN","FIVE_OR_FEWER_PERCENT_INDIAN","SIX_TO_FIFTEEN_PERCENT_INDIAN","OVER_15_PERCENT_INDIAN","STUDENT_COUNT_ASIAN","FIVE_OR_FEWER_PERCENT_ASIAN","SIX_TO_FIFTEEN_PERCENT_ASIAN","OVER_15_PERCENT_ASIAN","STUDENT_COUNT_BLACK","FIVE_OR_FEWER_PERCENT_BLACK","SIX_TO_FIFTEEN_PERCENT_BLACK","OVER_15_PERCENT_BLACK","STUDENT_COUNT_WHITE","FIVE_OR_FEWER_PERCENT_WHITE","SIX_TO_FIFTEEN_PERCENT_WHITE","OVER_15_PERCENT_WHITE","STUDENT_COUNT_HISPANI","FIVE_OR_FEWER_PERCENT_HISPANI","SIX_TO_FIFTEEN_PERCENT_HISPANI","OVER_15_PERCENT_HISPANI","STUDENT_COUNT_MULTI","FIVE_OR_FEWER_PERCENT_MULTI","SIX_TO_FIFTEEN_PERCENT_MULTI","OVER_15_PERCENT_MULTI","STUDENT_COUNT_FEMALE","FIVE_OR_FEWER_PERCENT_FEMALE","SIX_TO_FIFTEEN_PERCENT_FEMALE","OVER_15_PERCENT_FEMALE","STUDENT_COUNT_MALE","FIVE_OR_FEWER_PERCENT_MALE","SIX_TO_FIFTEEN_PERCENT_MALE","OVER_15_PERCENT_MALE","STUDENT_COUNT_SWD","FIVE_OR_FEWER_PERCENT_SWD","SIX_TO_FIFTEEN_PERCENT_SWD","OVER_15_PERCENT_SWD","STUDENT_COUNT_NOT_SWD","FIVE_OR_FEWER_PERCENT_NOT_SWD","SIX_TO_FIFTEEN_PERCENT_NOT_SWD","OVER_15_PERCENT_NOT_SWD","STUDENT_COUNT_ED","FIVE_OR_FEWER_PERCENT_ED","SIX_TO_FIFTEEN_PERCENT_ED","OVER_15_PERCENT_ED","STUDENT_COUNT_NOT_ED","FIVE_OR_FEWER_PERCENT_NOT_ED","SIX_TO_FIFTEEN_PERCENT_NOT_ED","OVER_15_PERCENT_NOT_ED","STUDENT_COUNT_LEP","FIVE_OR_FEWER_PERCENT_LEP","SIX_TO_FIFTEEN_PERCENT_LEP","OVER_15_PERCENT_LEP","STUDENT_COUNT_MIGRANT","FIVE_OR_FEWER_PERCENT_MIGRANT","SIX_TO_FIFTEEN_PERCENT_MIGRANT","OVER_15_PERCENT_MIGRANT"
"2013-14","School","601","Appling County","0103","Appling County High School","09,10,11,12",1065,21.5,59.1,19.4,0,0,0,0,0,0,0,0,243,28,55.6,16.5,684,17,62,21.1,109,33,48.6,18.3,20,25,65,10,495,18.4,62,19.6,570,24.2,56.5,19.3,160,20,50.6,29.4,905,21.8,60.6,17.7,562,20.8,54.8,24.4,503,22.3,63.8,13.9,16,50,31.3,18.8,40,32.5,45,22.5
"2013-14","School","601","Appling County","0177","Appling County Elementary School","02,03,04,05",613,68.4,28.2,3.4,0,0,0,0,0,0,0,0,193,78.8,18.7,2.6,294,60.5,35.7,3.7,99,75.8,20.2,4,21,57.1,38.1,4.8,307,67.4,29.6,2.9,306,69.3,26.8,3.9,88,61.4,31.8,6.8,525,69.5,27.6,2.9,444,68.5,27.7,3.8,169,68,29.6,2.4,51,80.4,17.6,2,37,75.7,21.6,2.7
"2013-14","School","601","Appling County","0195","Appling County Middle School","06,07,08",809,48.3,41.7,10,0,0,0,0,0,0,0,0,173,68.2,27.7,4,510,41.4,46.3,12.4,101,54.5,39.6,5.9,19,26.3,52.6,21.1,375,46.4,44,9.6,434,50,39.6,10.4,98,45.9,43.9,10.2,711,48.7,41.4,10,517,46.2,42.6,11.2,292,52.1,40.1,7.9,14,50,42.9,7.1,36,55.6,36.1,8.3
"2013-14","School","601","Appling County","0277","Appling County Primary School","PK,KK,01,02",678,53.2,37.6,9.1,0,0,0,0,0,0,0,0,202,56.9,36.6,6.4,319,45.1,42.3,12.5,129,64.3,31.8,3.9,23,65.2,21.7,13,338,55,37.6,7.4,340,51.5,37.6,10.9,82,39,47.6,13.4,596,55.2,36.2,8.6,542,52.4,38,9.6,136,56.6,36,7.4,123,66.7,29.3,4.1,55,74.5,23.6,1.8
"2013-14","School","601","Appling County","1050","Altamaha Elementary School","PK,KK,01,02,03,04,05",348,49.1,43.1,7.8,0,0,0,0,0,0,0,0,16,62.5,37.5,0,303,47.9,43.6,8.6,21,57.1,38.1,4.8,0,0,0,0,187,46,46.5,7.5,161,52.8,39.1,8.1,46,63,37,0,302,47,44,8.9,225,44.4,46.2,9.3,123,57.7,37.4,4.9,13,61.5,38.5,0,0,0,0,0
"2013-14","School","601","Appling County","5050","Fourth District Elementary School","PK,KK,01,02,03,04,05",153,52.9,38.6,8.5,0,0,0,0,0,0,0,0,13,76.9,23.1,0,124,51.6,39.5,8.9,10,50,40,10,0,0,0,0,80,51.3,41.3,7.5,73,54.8,35.6,9.6,17,47.1,41.2,11.8,136,53.7,38.2,8.1,0,0,0,0,152,52.6,38.8,8.6,0,0,0,0,0,0,0,0
"2013-14","District","601","Appling County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",3666,45.1,43.7,11.2,0,0,0,0,24,54.2,41.7,4.2,840,56.3,36,7.7,2234,38.4,48.4,13.2,469,56.7,35.4,7.9,96,43.8,44.8,11.5,1782,44.1,45.5,10.5,1884,46,42.1,11.9,491,40.7,43.8,15.5,3175,45.7,43.7,10.6,2291,45.6,41.9,12.4,1375,44.1,46.7,9.2,221,67,28.5,4.5,178,59,32,9
"2013-14","School","602","Atkinson County","0103","Atkinson County High School","09,10,11,12",492,55.5,29.9,14.6,0,0,0,0,0,0,0,0,99,60.6,29.3,10.1,229,45.4,37.1,17.5,160,66.9,20.6,12.5,0,0,0,0,249,61,23.3,15.7,243,49.8,36.6,13.6,63,27,47.6,25.4,429,59.7,27.3,13.1,492,55.5,29.9,14.6,0,0,0,0,17,70.6,17.6,11.8,0,0,0,0
"2013-14","School","602","Atkinson County","0111","Atkinson County Middle School","06,07,08",441,66.7,28.6,4.8,0,0,0,0,0,0,0,0,75,78.7,20,1.3,207,53.6,38.2,8.2,151,78.1,19.9,2,0,0,0,0,211,64.5,29.9,5.7,230,68.7,27.4,3.9,74,67.6,25.7,6.8,367,66.5,29.2,4.4,441,66.7,28.6,4.8,0,0,0,0,20,75,20,5,11,27.3,63.6,9.1
"2013-14","School","602","Atkinson County","0187","Willacoochee Elementary School","PK,KK,01,02,03,04,05",247,67.2,26.3,6.5,0,0,0,0,0,0,0,0,64,59.4,35.9,4.7,110,60.9,28.2,10.9,70,82.9,15.7,1.4,0,0,0,0,134,58.2,33.6,8.2,113,77.9,17.7,4.4,41,63.4,24.4,12.2,206,68,26.7,5.3,247,67.2,26.3,6.5,0,0,0,0,30,83.3,13.3,3.3,10,90,10,0
"2013-14","School","602","Atkinson County","0190","Pearson Elementary School","PK,KK,01,02,03,04,05",624,64.4,30.9,4.6,0,0,0,0,0,0,0,0,87,73.6,25.3,1.1,282,55,37.9,7.1,244,72.5,24.6,2.9,10,50,40,10,297,66.7,27.6,5.7,327,62.4,33.9,3.7,86,55.8,34.9,9.3,538,65.8,30.3,3.9,624,64.4,30.9,4.6,0,0,0,0,148,75,23,2,16,62.5,37.5,0
"2013-14","District","602","Atkinson County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",1804,62.9,29.4,7.6,0,0,0,0,0,0,0,0,325,68,27.4,4.6,828,52.8,36.5,10.7,625,73.6,21.4,5,25,64,24,12,891,63.3,27.8,8.9,913,62.5,31,6.5,264,53.4,33.7,12.9,1540,64.5,28.7,6.8,1804,62.9,29.4,7.6,0,0,0,0,215,75.8,20.9,3.3,46,54.3,34.8,10.9
