"LONG_SCHOOL_YEAR","DETAIL_LVL_DESC","SCHOOL_DSTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","GRADES_SERVED_DESC","STUDENT_COUNT_ALL","FIVE_OR_FEWER_PERCENT_ALL","SIX_TO_FIFTEEN_PERCENT_ALL","OVER_15_PERCENT_ALL","STUDENT_COUNT_INDIAN","FIVE_OR_FEWER_PERCENT_INDIAN","SIX_TO_FIFTEEN_PERCENT_INDIAN","OVER_15_PERCENT_INDIAN","STUDENT_COUNT_ASIAN","FIVE_OR_FEWER_PERCENT_ASIAN","SIX_TO_FIFTEEN_PERCENT_ASIAN","OVER_15_PERCENT_ASIAN","STUDENT_COUNT_BLACK","FIVE_OR_FEWER_PERCENT_BLACK","SIX_TO_FIFTEEN_PERCENT_BLACK","OVER_15_PERCENT_BLACK","STUDENT_COUNT_WHITE","FIVE_OR_FEWER_PERCENT_WHITE","SIX_TO_FIFTEEN_PERCENT_WHITE","OVER_15_PERCENT_WHITE","STUDENT_COUNT_HISPANI","FIVE_OR_FEWER_PERCENT_HISPANI","SIX_TO_FIFTEEN_PERCENT_HISPANI","OVER_15_PERCENT_HISPANI","STUDENT_COUNT_MULTI","FIVE_OR_FEWER_PERCENT_MULTI","SIX_TO_FIFTEEN_PERCENT_MULTI","OVER_15_PERCENT_MULTI","STUDENT_COUNT_FEMALE","FIVE_OR_FEWER_PERCENT_FEMALE","SIX_TO_FIFTEEN_PERCENT_FEMALE","OVER_15_PERCENT_FEMALE","STUDENT_COUNT_MALE","FIVE_OR_FEWER_PERCENT_MALE","SIX_TO_FIFTEEN_PERCENT_MALE","OVER_15_PERCENT_MALE","STUDENT_COUNT_SWD","FIVE_OR_FEWER_PERCENT_SWD","SIX_TO_FIFTEEN_PERCENT_SWD","OVER_15_PERCENT_SWD","STUDENT_COUNT_NOT_SWD","FIVE_OR_FEWER_PERCENT_NOT_SWD","SIX_TO_FIFTEEN_PERCENT_NOT_SWD","OVER_15_PERCENT_NOT_SWD","STUDENT_COUNT_ED","FIVE_OR_FEWER_PERCENT_ED","SIX_TO_FIFTEEN_PERCENT_ED","OVER_15_PERCENT_ED","STUDENT_COUNT_NOT_ED","FIVE_OR_FEWER_PERCENT_NOT_ED","SIX_TO_FIFTEEN_PERCENT_NOT_ED","OVER_15_PERCENT_NOT_ED","STUDENT_COUNT_LEP","FIVE_OR_FEWER_PERCENT_LEP","SIX_TO_FIFTEEN_PERCENT_LEP","OVER_15_PERCENT_LEP","STUDENT_COUNT_MIGRANT","FIVE_OR_FEWER_PERCENT_MIGRANT","SIX_TO_FIFTEEN_PERCENT_MIGRANT","OVER_15_PERCENT_MIGRANT"
"2016-17","School","601","Appling County","0103","Appling County High School","09,10,11,12",1040,43.4,35.8,20.9,0,0,0,0,0,0,0,0,215,56.3,27.4,16.3,648,40.3,38.9,20.8,140,37.9,33.6,28.6,29,41.4,37.9,20.7,478,39.3,37.7,23,562,46.8,34.2,19,137,44.5,26.3,29.2,903,43.2,37.2,19.6,684,41.5,33.3,25.1,356,46.9,40.4,12.6,20,35,25,40,49,36.7,24.5,38.8
"2016-17","School","601","Appling County","0177","Appling County Elementary School","02,03,04,05",635,52.8,40.2,7.1,0,0,0,0,0,0,0,0,184,61.4,33.7,4.9,286,42.3,48.6,9.1,131,64.1,30.5,5.3,28,50,39.3,10.7,312,57.7,35.6,6.7,323,48,44.6,7.4,100,44,42,14,535,54.4,39.8,5.8,528,52.7,40,7.4,107,53.3,41.1,5.6,112,64.3,32.1,3.6,54,66.7,29.6,3.7
"2016-17","School","601","Appling County","0195","Appling County Middle School","06,07,08",824,49.9,38.5,11.7,0,0,0,0,0,0,0,0,185,69.2,25.9,4.9,498,42.4,42.8,14.9,107,51.4,39.3,9.3,28,46.4,42.9,10.7,420,45.5,42.6,11.9,404,54.5,34.2,11.4,106,42.5,39.6,17.9,718,51,38.3,10.7,614,47.6,38.3,14.2,210,56.7,39,4.3,22,45.5,54.5,0,43,48.8,39.5,11.6
"2016-17","School","601","Appling County","0277","Appling County Primary School","PK,KK,01,02",568,45.2,45.4,9.3,0,0,0,0,0,0,0,0,158,50.6,44.9,4.4,250,42.8,44.4,12.8,126,46,46.8,7.1,30,33.3,50,16.7,275,46.2,42.5,11.3,293,44.4,48.1,7.5,116,41.4,45.7,12.9,452,46.2,45.4,8.4,480,45.4,44,10.6,88,44.3,53.4,2.3,109,47.7,44,8.3,54,46.3,46.3,7.4
"2016-17","School","601","Appling County","1050","Altamaha Elementary School","PK,KK,01,02,03,04,05",386,48.7,43.3,8,0,0,0,0,0,0,0,0,33,54.5,42.4,3,313,47.3,44.4,8.3,29,62.1,37.9,0,10,30,30,40,193,48.7,42.5,8.8,193,48.7,44,7.3,65,43.1,50.8,6.2,321,49.8,41.7,8.4,278,45.7,45.7,8.6,108,56.5,37,6.5,20,60,40,0,0,0,0,0
"2016-17","School","601","Appling County","5050","Fourth District Elementary School","PK,KK,01,02,03,04,05",207,40.6,50.2,9.2,0,0,0,0,0,0,0,0,21,76.2,23.8,0,150,37.3,52,10.7,25,28,60,12,11,45.5,54.5,0,96,34.4,59.4,6.3,111,45.9,42.3,11.7,34,52.9,38.2,8.8,173,38.2,52.6,9.2,197,39.1,51.3,9.6,10,70,30,0,19,31.6,57.9,10.5,0,0,0,0
"2016-17","District","601","Appling County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",3660,47.2,40.2,12.6,0,0,0,0,22,63.6,31.8,4.5,796,59.8,32.5,7.7,2145,42.1,43.4,14.4,558,49.3,38.4,12.4,136,41.9,42.6,15.4,1774,45.8,40.9,13.2,1886,48.4,39.6,12,558,43.7,39.2,17,3102,47.8,40.4,11.8,2781,45.9,40,14.1,879,51.2,41,7.8,302,52.6,39.7,7.6,210,49,36.2,14.8
"2016-17","School","602","Atkinson County","0103","Atkinson County High School","09,10,11,12",509,62.1,29.1,8.8,0,0,0,0,0,0,0,0,92,69.6,19.6,10.9,228,52.6,35.1,12.3,177,71.2,25.4,3.4,12,50,41.7,8.3,250,64.4,28.4,7.2,259,59.8,29.7,10.4,65,55.4,35.4,9.2,444,63.1,28.2,8.8,509,62.1,29.1,8.8,0,0,0,0,22,72.7,27.3,0,14,64.3,35.7,0
"2016-17","School","602","Atkinson County","0111","Atkinson County Middle School","06,07,08",394,47.5,44.9,7.6,0,0,0,0,0,0,0,0,64,60.9,34.4,4.7,193,32.6,57.5,9.8,126,61.9,33.3,4.8,0,0,0,0,189,46,47.1,6.9,205,48.8,42.9,8.3,63,41.3,46,12.7,331,48.6,44.7,6.6,394,47.5,44.9,7.6,0,0,0,0,24,66.7,33.3,0,15,60,33.3,6.7
"2016-17","School","602","Atkinson County","0187","Willacoochee Elementary School","PK,KK,01,02,03,04,05",208,60.1,34.6,5.3,0,0,0,0,0,0,0,0,45,53.3,44.4,2.2,91,52.7,38.5,8.8,70,72.9,24.3,2.9,0,0,0,0,109,53.2,40.4,6.4,99,67.7,28.3,4,20,40,50,10,188,62.2,33,4.8,208,60.1,34.6,5.3,0,0,0,0,42,71.4,26.2,2.4,28,71.4,28.6,0
