"LONG_SCHOOL_YEAR","DETAIL_LVL_DESC","SCHOOL_DSTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","GRADES_SERVED_DESC","STUDENT_COUNT_ALL","FIVE_OR_FEWER_PERCENT_ALL","SIX_TO_FIFTEEN_PERCENT_ALL","OVER_15_PERCENT_ALL","STUDENT_COUNT_INDIAN","FIVE_OR_FEWER_PERCENT_INDIAN","SIX_TO_FIFTEEN_PERCENT_INDIAN","OVER_15_PERCENT_INDIAN","STUDENT_COUNT_ASIAN","FIVE_OR_FEWER_PERCENT_ASIAN","SIX_TO_FIFTEEN_PERCENT_ASIAN","OVER_15_PERCENT_ASIAN","STUDENT_COUNT_BLACK","FIVE_OR_FEWER_PERCENT_BLACK","SIX_TO_FIFTEEN_PERCENT_BLACK","OVER_15_PERCENT_BLACK","STUDENT_COUNT_WHITE","FIVE_OR_FEWER_PERCENT_WHITE","SIX_TO_FIFTEEN_PERCENT_WHITE","OVER_15_PERCENT_WHITE","STUDENT_COUNT_HISPANI","FIVE_OR_FEWER_PERCENT_HISPANI","SIX_TO_FIFTEEN_PERCENT_HISPANI","OVER_15_PERCENT_HISPANI","STUDENT_COUNT_MULTI","FIVE_OR_FEWER_PERCENT_MULTI","SIX_TO_FIFTEEN_PERCENT_MULTI","OVER_15_PERCENT_MULTI","STUDENT_COUNT_FEMALE","FIVE_OR_FEWER_PERCENT_FEMALE","SIX_TO_FIFTEEN_PERCENT_FEMALE","OVER_15_PERCENT_FEMALE","STUDENT_COUNT_MALE","FIVE_OR_FEWER_PERCENT_MALE","SIX_TO_FIFTEEN_PERCENT_MALE","OVER_15_PERCENT_MALE","STUDENT_COUNT_SWD","FIVE_OR_FEWER_PERCENT_SWD","SIX_TO_FIFTEEN_PERCENT_SWD","OVER_15_PERCENT_SWD","STUDENT_COUNT_NOT_SWD","FIVE_OR_FEWER_PERCENT_NOT_SWD","SIX_TO_FIFTEEN_PERCENT_NOT_SWD","OVER_15_PERCENT_NOT_SWD","STUDENT_COUNT_ED","FIVE_OR_FEWER_PERCENT_ED","SIX_TO_FIFTEEN_PERCENT_ED","OVER_15_PERCENT_ED","STUDENT_COUNT_NOT_ED","FIVE_OR_FEWER_PERCENT_NOT_ED","SIX_TO_FIFTEEN_PERCENT_NOT_ED","OVER_15_PERCENT_NOT_ED","STUDENT_COUNT_LEP","FIVE_OR_FEWER_PERCENT_LEP","SIX_TO_FIFTEEN_PERCENT_LEP","OVER_15_PERCENT_LEP","STUDENT_COUNT_MIGRANT","FIVE_OR_FEWER_PERCENT_MIGRANT","SIX_TO_FIFTEEN_PERCENT_MIGRANT","OVER_15_PERCENT_MIGRANT","CHRONIC_ABSENT_PERC_ALL","CHRONIC_ABSENT_PERC_INDIAN","CHRONIC_ABSENT_PERC_ASIAN","CHRONIC_ABSENT_PERC_BLACK","CHRONIC_ABSENT_PERC_WHITE","CHRONIC_ABSENT_PERC_HISPANI","CHRONIC_ABSENT_PERC_MULTI","CHRONIC_ABSENT_PERC_FEMALE","CHRONIC_ABSENT_PERC_MALE","CHRONIC_ABSENT_PERC_SWD","CHRONIC_ABSENT_PERC_NOT_SWD","CHRONIC_ABSENT_PERC_ED","CHRONIC_ABSENT_PERC_NOT_ED","CHRONIC_ABSENT_PERC_LEP","CHRONIC_ABSENT_PERC_MIGRANT"
"2017-18","School","601","Appling County","0103","Appling County High School","09,10,11,12",1051,38,44.2,17.8,0,0,0,0,10,50,50,0,221,55.7,31.7,12.7,660,32.9,48,19.1,131,37.4,42.7,19.8,28,17.9,57.1,25,497,31.4,51.5,17.1,554,43.9,37.7,18.4,132,44.7,33.3,22,919,37,45.8,17.2,1051,38,44.2,17.8,0,0,0,0,16,31.3,37.5,31.3,52,34.6,44.2,21.2,19,0,0,15.4,20.2,19.1,28.6,20.3,17.9,24.2,18.3,19,0,31.3,23.1
"2017-18","School","601","Appling County","0177","Appling County Elementary School","02,03,04,05",622,52.7,38.4,8.8,0,0,0,0,0,0,0,0,198,58.6,35.9,5.6,271,44.6,41.7,13.7,122,60.7,36.1,3.3,27,51.9,37,11.1,312,54.2,37.8,8,310,51.3,39,9.7,116,41.4,44,14.7,506,55.3,37.2,7.5,622,52.7,38.4,8.8,0,0,0,0,113,60.2,36.3,3.5,54,61.1,37,1.9,10,0,0,6.1,16.2,2.5,11.1,10.3,9.7,16.4,8.5,10,0,2.7,0
"2017-18","School","601","Appling County","0195","Appling County Middle School","06,07,08",818,50.4,38.8,10.9,0,0,0,0,0,0,0,0,193,72,21.8,6.2,463,40.6,46,13.4,123,57.7,33.3,8.9,31,29,58.1,12.9,399,46.4,41.6,12,419,54.2,36,9.8,105,50.5,36.2,13.3,713,50.4,39.1,10.5,818,50.4,38.8,10.9,0,0,0,0,66,72.7,21.2,6.1,49,49,40.8,10.2,10.4,0,0,6.2,12.5,7.3,19.4,9.8,11,16.2,9.5,10.4,0,4.5,10.2
"2017-18","School","601","Appling County","0277","Appling County Primary School","PK,KK,01,02",536,45.5,44.4,10.1,0,0,0,0,0,0,0,0,158,56.3,39.2,4.4,222,36.5,48.6,14.9,124,47.6,44.4,8.1,28,46.4,39.3,14.3,274,45.6,42.7,11.7,262,45.4,46.2,8.4,102,33.3,52,14.7,434,48.4,42.6,9,536,45.5,44.4,10.1,0,0,0,0,108,47.2,46.3,6.5,46,45.7,47.8,6.5,10.4,0,0,4.4,14.9,8.1,17.9,11.7,9.2,14.7,9.4,10.4,0,7.4,2.2
"2017-18","School","601","Appling County","1050","Altamaha Elementary School","PK,KK,01,02,03,04,05",388,45.1,46.4,8.5,0,0,0,0,0,0,0,0,29,31,69,0,319,46.1,44.5,9.4,26,73.1,26.9,0,12,0,75,25,193,44.6,45.6,9.8,195,45.6,47.2,7.2,77,45.5,44.2,10.4,311,45,46.9,8,388,45.1,46.4,8.5,0,0,0,0,20,75,25,0,0,0,0,0,6.4,0,0,0,7.5,3.8,0,6.2,6.7,10.4,5.5,6.4,0,0,0
"2017-18","School","601","Appling County","5050","Fourth District Elementary School","PK,KK,01,02,03,04,05",198,47,42.9,10.1,0,0,0,0,0,0,0,0,28,75,17.9,7.1,137,42.3,48.9,8.8,23,30.4,43.5,26.1,10,70,30,0,88,47.7,42,10.2,110,46.4,43.6,10,29,55.2,41.4,3.4,169,45.6,43.2,11.2,198,47,42.9,10.1,0,0,0,0,17,35.3,41.2,23.5,0,0,0,0,11.6,0,0,3.6,11.7,21.7,10,13.6,10,10.3,11.8,11.6,0,17.6,0
"2017-18","District","601","Appling County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",3613,45.7,42.2,12.1,0,0,0,0,27,55.6,44.4,0,827,60.1,32.6,7.3,2072,39.2,46.3,14.5,549,50.8,38.8,10.4,136,35.3,49.3,15.4,1763,43.3,44.4,12.4,1850,48,40.1,11.9,561,43.7,41.4,15,3052,46.1,42.3,11.6,3613,45.7,42.2,12.1,0,0,0,0,340,56.8,36.2,7.1,214,48.1,41.1,10.7,12.5,0,3.7,8,14.9,9.7,16.9,12.9,12.1,16.8,11.7,12.5,0,6.5,9.3
"2017-18","School","602","Atkinson County","0103","Atkinson County High School","09,10,11,12",506,67,26.1,6.9,0,0,0,0,0,0,0,0,85,76.5,15.3,8.2,234,56.8,35,8.1,178,75.3,19.7,5.1,0,0,0,0,235,66.4,26,7.7,271,67.5,26.2,6.3,70,62.9,27.1,10,436,67.7,25.9,6.4,506,67,26.1,6.9,0,0,0,0,19,78.9,15.8,5.3,14,78.6,21.4,0,8.3,0,0,9.4,10.7,5.1,0,6.8,9.6,10,8,8.3,0,0,0
"2017-18","School","602","Atkinson County","0111","Atkinson County Middle School","06,07,08",379,57.8,35.1,7.1,0,0,0,0,0,0,0,0,62,62.9,27.4,9.7,169,45,48.5,6.5,142,71.1,22.5,6.3,0,0,0,0,196,60.2,31.1,8.7,183,55.2,39.3,5.5,52,44.2,40.4,15.4,327,59.9,34.3,5.8,379,57.8,35.1,7.1,0,0,0,0,58,62.1,31,6.9,16,68.8,31.3,0,6.9,0,0,11.3,7.7,3.5,0,8.2,5.5,13.5,5.8,6.9,0,3.4,0
"2017-18","School","602","Atkinson County","0187","Willacoochee Elementary School","PK,KK,01,02,03,04,05",199,60.3,29.6,10.1,0,0,0,0,0,0,0,0,46,58.7,32.6,8.7,91,53.8,34.1,12.1,62,71,21,8.1,0,0,0,0,104,53.8,35.6,10.6,95,67.4,23.2,9.5,15,46.7,40,13.3,184,61.4,28.8,9.8,199,60.3,29.6,10.1,0,0,0,0,40,65,30,5,17,64.7,35.3,0,12.6,0,0,6.5,15.4,12.9,0,16.3,8.4,13.3,12.5,12.6,0,5,11.8
"2017-18","School","602","Atkinson County","0190","Pearson Elementary School","PK,KK,01,02,03,04,05",627,56.8,34.1,9.1,0,0,0,0,0,0,0,0,91,67,28.6,4.4,248,48.4,42.3,9.3,270,62.2,29.3,8.5,18,38.9,22.2,38.9,307,55.7,34.2,10.1,320,57.8,34.1,8.1,85,42.4,41.2,16.5,542,59,33,7.9,627,56.8,34.1,9.1,0,0,0,0,194,66,27.8,6.2,34,67.6,20.6,11.8,7.5,0,0,3.3,7.7,7,33.3,8.1,6.9,14.1,6.5,7.5,0,6.2,5.9
"2017-18","District","602","Atkinson County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",1711,60.4,31.4,8.1,0,0,0,0,0,0,0,0,284,67.6,25,7.4,742,50.9,40.4,8.6,652,68.6,24.4,7.1,32,50,25,25,842,59.5,31.4,9.1,869,61.3,31.5,7.1,222,49.5,36.5,14,1489,62.1,30.7,7.3,1711,60.4,31.4,8.1,0,0,0,0,311,65.9,28,6.1,81,69.1,25.9,4.9,8.2,0,0,7.4,9.6,6.3,21.9,8.8,7.6,12.6,7.5,8.2,0,5.1,4.9
