"SCHOOL_YEAR","SYSTEM_ID","SYSTEM_NAME","SCHOOL_ID","SCHOOL_NAME","NEW_ELL_STUDENTS_COUNT"
"2011","601","Appling County","0195","Appling County Middle School",1
"2011","601","Appling County","0277","Appling County Primary School",1
"2011","601","Appling County","1050","Altamaha Elementary School",1
"2011","601","Appling County","ALL","All Schools",3
"2011","602","Atkinson County","0111","Atkinson County Middle School",2
"2011","602","Atkinson County","ALL","All Schools",2
"2011","603","Bacon County","0202","Bacon County Middle School",1
"2011","603","Bacon County","ALL","All Schools",1
"2011","605","Baldwin County","0100","Oak Hill MS",2
"2011","605","Baldwin County","0189","Baldwin High School",1
"2011","605","Baldwin County","0195","Blandy Hills Elementary School",1
"2011","605","Baldwin County","ALL","All Schools",4
"2011","606","Banks County","0105","Banks County Middle School",1
"2011","606","Banks County","0205","Banks County Primary School",1
"2011","606","Banks County","ALL","All Schools",2
"2011","607","Barrow County","0101","Apalachee High School",1
"2011","607","Barrow County","0105","County Line Elementary School",1
"2011","607","Barrow County","0106","Haymon-Morris Middle School",3
"2011","607","Barrow County","ALL","All Schools",5
"2011","608","Bartow County","0104","Clear Creek Elementary School",1
"2011","608","Bartow County","0175","White Elementary School",2
"2011","608","Bartow County","0177","Adairsville Elementary School",2
"2011","608","Bartow County","0186","Mission Road Elementary School",1
"2011","608","Bartow County","0190","South Central Middle School",1
"2011","608","Bartow County","0195","Cass Middle School",1
"2011","608","Bartow County","0301","Adairsville Middle School",2
"2011","608","Bartow County","0377","Hamilton Crossing Elementary School",4
"2011","608","Bartow County","ALL","All Schools",14
"2011","611","Bibb County","0205","Howard Middle School",2
"2011","611","Bibb County","0605","Heritage Elementary School",1
"2011","611","Bibb County","0905","Morgan Elementary School",2
"2011","611","Bibb County","1067","Porter Elementary School",2
"2011","611","Bibb County","1105","Springdale Elementary School",3
"2011","611","Bibb County","ALL","All Schools",10
"2011","613","Brantley County","2050","Hoboken Elementary School",1
"2011","613","Brantley County","ALL","All Schools",1
"2011","614","Brooks County","0193","Quitman Elementary School",1
"2011","614","Brooks County","ALL","All Schools",1
"2011","615","Bryan County","0101","Dr. George Washington Carver Elementary School",1
"2011","615","Bryan County","0302","Richmond Hill Elementary School",2
"2011","615","Bryan County","ALL","All Schools",3
"2011","616","Bulloch County","0299","Langston Chapel Middle School",3
"2011","616","Bulloch County","5054","Sallie Zetterower Elementary School",3
"2011","616","Bulloch County","ALL","All Schools",6
"2011","620","Camden County","0187","Crooked River Elementary School",1
"2011","620","Camden County","ALL","All Schools",1
"2011","622","Carroll County","0100","Sharp Creek Elementary School",1
"2011","622","Carroll County","0102","Temple Middle School",1
"2011","622","Carroll County","0177","Central Middle School",1
"2011","622","Carroll County","0705","Villa Rica Elementary School",1
"2011","622","Carroll County","5050","Central Elementary School",3
"2011","622","Carroll County","5052","Sand Hill Elementary School",1
"2011","622","Carroll County","ALL","All Schools",8
"2011","623","Catoosa County","0205","Heritage Middle School",1
"2011","623","Catoosa County","1050","Boynton Elementary School",1
"2011","623","Catoosa County","5052","Ringgold Middle School",1
"2011","623","Catoosa County","ALL","All Schools",3
"2011","625","Savannah-Chatham County","0199","West Chatham Middle School",9
"2011","625","Savannah-Chatham County","0301","Myers Middle School",1
"2011","625","Savannah-Chatham County","1060","Howard Elementary School",6
"2011","625","Savannah-Chatham County","4068","Port Wentworth Elementary School",4
"2011","625","Savannah-Chatham County","4070","Windsor Forest Elementary School",9
"2011","625","Savannah-Chatham County","5066","Jacob G. Smith Elementary School",1
"2011","625","Savannah-Chatham County","ALL","All Schools",30
"2011","626","Chattahoochee County","0206","Chattahoochee County High School",5
"2011","626","Chattahoochee County","ALL","All Schools",5
"2011","628","Cherokee County","0101","Carmel Elementary School",6
"2011","628","Cherokee County","0104","Woodstock Elementary School",3
"2011","628","Cherokee County","0108","Avery Elementary School",1
"2011","628","Cherokee County","0113","Mill Creek Middle School",3
"2011","628","Cherokee County","0181","Booth Middle School",1
"2011","628","Cherokee County","0187","Rusk Middle School",1
"2011","628","Cherokee County","0191","Sequoyah High School",1
"2011","628","Cherokee County","0197","Woodstock High School",1
"2011","628","Cherokee County","0201","Chapman Intermediate School",2
"2011","628","Cherokee County","0203","Liberty Elementary School",1
"2011","628","Cherokee County","0205","Freedom Middle School",1
"2011","628","Cherokee County","0297","Woodstock Middle School",2
"2011","628","Cherokee County","0309","Little River Elem.",3
"2011","628","Cherokee County","0409","Canton Elementary",1
