"SCHOOL_YEAR","SYSTEM_ID","SYSTEM_NAME","SCHOOL_ID","SCHOOL_NAME","NEW_ELL_STUDENTS_COUNT"
"2016","602","Atkinson County","0111","Atkinson County Middle School",3
"2016","602","Atkinson County","0187","Willacoochee Elementary School",2
"2016","602","Atkinson County","0190","Pearson Elementary School",3
"2016","602","Atkinson County","ALL","All Schools",8
"2016","603","Bacon County","0102","Bacon County Primary School",2
"2016","603","Bacon County","ALL","All Schools",2
"2016","605","Baldwin County","0100","Oak Hill MS",2
"2016","605","Baldwin County","0195","Blandy Hills Elementary School",1
"2016","605","Baldwin County","ALL","All Schools",3
"2016","606","Banks County","0105","Banks County Middle School",1
"2016","606","Banks County","0107","Banks County Elementary School",1
"2016","606","Banks County","0205","Banks County Primary School",1
"2016","606","Banks County","ALL","All Schools",3
"2016","607","Barrow County","0105","County Line Elementary School",3
"2016","607","Barrow County","0106","Haymon-Morris Middle School",4
"2016","607","Barrow County","0114","Bear Creek Middle School",2
"2016","607","Barrow County","0193","Bramlett Elementary School",3
"2016","607","Barrow County","0198","Westside Middle School",3
"2016","607","Barrow County","0289","Russell Middle School",2
"2016","607","Barrow County","0298","Yargo Elementary School",3
"2016","607","Barrow County","4050","Holsenbeck Elementary School",3
"2016","607","Barrow County","5050","Statham Elementary School",2
"2016","607","Barrow County","ALL","All Schools",25
"2016","608","Bartow County","0107","Euharlee Elementary School",1
"2016","608","Bartow County","0115","Cloverleaf Elementary",1
"2016","608","Bartow County","0175","White Elementary School",2
"2016","608","Bartow County","0186","Mission Road Elementary School",2
"2016","608","Bartow County","0195","Cass Middle School",3
"2016","608","Bartow County","0196","Allatoona Elementary School",2
"2016","608","Bartow County","0396","Taylorsville Elementary School",1
"2016","608","Bartow County","ALL","All Schools",12
"2016","609","Ben Hill County","0111","Ben Hill Elementary School",1
"2016","609","Ben Hill County","0296","Ben Hill County Middle School",1
"2016","609","Ben Hill County","ALL","All Schools",2
"2016","611","Bibb County","0117","Academy For Classical Education",2
"2016","611","Bibb County","0205","Howard Middle School",7
"2016","611","Bibb County","0305","Rutland Middle School",3
"2016","611","Bibb County","0505","Weaver Middle School",5
"2016","611","Bibb County","0605","Heritage Elementary School",3
"2016","611","Bibb County","0905","Morgan Elementary School",2
"2016","611","Bibb County","1067","Porter Elementary School",1
"2016","611","Bibb County","1105","Springdale Elementary School",1
"2016","611","Bibb County","1205","Carter Elementary School",3
"2016","611","Bibb County","1307","Southfield Elementary School",1
"2016","611","Bibb County","5050","Appling Middle School",1
"2016","611","Bibb County","ALL","All Schools",29
"2016","613","Brantley County","0194","Brantley County Middle School",1
"2016","613","Brantley County","ALL","All Schools",1
"2016","614","Brooks County","0193","Quitman Elementary School",1
"2016","614","Brooks County","0197","Brooks County Middle School",2
"2016","614","Brooks County","ALL","All Schools",3
"2016","615","Bryan County","0101","Dr. George Washington Carver Elementary School",4
"2016","615","Bryan County","0199","Richmond Hill Middle School",7
"2016","615","Bryan County","0302","Richmond Hill Elementary School",4
"2016","615","Bryan County","0503","McAllister Elementary School",1
"2016","615","Bryan County","ALL","All Schools",16
"2016","616","Bulloch County","0100","Mill Creek Elementary School",4
"2016","616","Bulloch County","0198","William James Middle School",2
"2016","616","Bulloch County","0199","Langston Chapel Elementary School",2
"2016","616","Bulloch County","0299","Langston Chapel Middle School",1
"2016","616","Bulloch County","2050","Julia P. Bryant Elementary School",1
"2016","616","Bulloch County","5054","Sallie Zetterower Elementary School",7
"2016","616","Bulloch County","ALL","All Schools",17
"2016","617","Burke County","0188","Burke County Middle School",1
"2016","617","Burke County","ALL","All Schools",1
"2016","618","Butts County","0111","Jackson Elementary School",1
"2016","618","Butts County","ALL","All Schools",1
"2016","620","Camden County","0100","Mamie Lou Gross Elementary School",1
"2016","620","Camden County","0189","Matilda Harris Elementary School",2
"2016","620","Camden County","ALL","All Schools",3
"2016","622","Carroll County","0100","Sharp Creek Elementary School",1
"2016","622","Carroll County","0198","Bay Springs Middle School",1
"2016","622","Carroll County","ALL","All Schools",2
"2016","623","Catoosa County","0100","Ringgold Primary School",2
"2016","623","Catoosa County","0102","Battlefield Primary",2
"2016","623","Catoosa County","0205","Heritage Middle School",1
"2016","623","Catoosa County","1054","West Side Elementary School",1
"2016","623","Catoosa County","5050","Graysville Elementary School",2
"2016","623","Catoosa County","5052","Ringgold Middle School",1
"2016","623","Catoosa County","ALL","All Schools",9
"2016","625","Chatham County","0191","East Broad Street School",1
"2016","625","Chatham County","0197","Garden City Elementary School",1
"2016","625","Chatham County","0199","West Chatham Middle School",3
"2016","625","Chatham County","0211","Godley Station School",2
"2016","625","Chatham County","0300","Southwest Elementary School",2
"2016","625","Chatham County","0301","Myers Middle School ",1
"2016","625","Chatham County","0311","Coastal Middle School",1
"2016","625","Chatham County","0511","Shuman Elementary School",1
"2016","625","Chatham County","1060","Howard Elementary School",10
"2016","625","Chatham County","2056","Gould Elementary School",3
"2016","625","Chatham County","4058","Hesse School",5
"2016","625","Chatham County","5052","Butler Elementary School",1
"2016","625","Chatham County","5062","Mercer Middle School",5
"2016","625","Chatham County","ALL","All Schools",36
"2016","627","Chattooga County","0106","Leroy Massey Elementary School",1
"2016","627","Chattooga County","ALL","All Schools",1
"2016","628","Cherokee County","0101","Carmel Elementary School",4
"2016","628","Cherokee County","0104","Woodstock Elementary School",6
"2016","628","Cherokee County","0105","William G. Hasty, Sr. Elementary School",9
"2016","628","Cherokee County","0108","Avery Elementary School",1
"2016","628","Cherokee County","0113","Mill Creek Middle School",7
"2016","628","Cherokee County","0116","Indian Knoll Elementary",6
"2016","628","Cherokee County","0181","E. T. Booth Middle School",4
"2016","628","Cherokee County","0182","Johnston Elementary School",2
"2016","628","Cherokee County","0187","Rusk Middle School",7
