"SCHOOL_YEAR","SYSTEM_ID","SYSTEM_NAME","SCHOOL_ID","SCHOOL_NAME","NEW_ELL_STUDENTS_COUNT"
"2012","602","Atkinson County","0111","Atkinson County Middle School",1
"2012","602","Atkinson County","ALL","All Schools",1
"2012","605","Baldwin County","0100","Oak Hill MS",2
"2012","605","Baldwin County","0195","Blandy Hills Elementary School",1
"2012","605","Baldwin County","0199","Creekside Elementary School",1
"2012","605","Baldwin County","ALL","All Schools",4
"2012","607","Barrow County","0106","Haymon-Morris Middle School",1
"2012","607","Barrow County","0205","Bethlehem Elementary School",1
"2012","607","Barrow County","0298","Yargo Elementary School",1
"2012","607","Barrow County","ALL","All Schools",3
"2012","608","Bartow County","0175","White Elementary School",1
"2012","608","Bartow County","0177","Adairsville Elementary School",1
"2012","608","Bartow County","0186","Mission Road Elementary School",1
"2012","608","Bartow County","0196","Allatoona Elementary School",1
"2012","608","Bartow County","0301","Adairsville Middle School",1
"2012","608","Bartow County","0377","Hamilton Crossing Elementary School",2
"2012","608","Bartow County","1052","Cloverleaf Elementary School",2
"2012","608","Bartow County","ALL","All Schools",9
"2012","611","Bibb County","0205","Howard Middle School",5
"2012","611","Bibb County","1105","Springdale Elementary School",4
"2012","611","Bibb County","1205","Carter Elementary School",2
"2012","611","Bibb County","3060","Heard Elementary School",1
"2012","611","Bibb County","ALL","All Schools",12
"2012","614","Brooks County","0193","Quitman Elementary School",1
"2012","614","Brooks County","ALL","All Schools",1
"2012","615","Bryan County","0199","Richmond Hill Middle School",1
"2012","615","Bryan County","0302","Richmond Hill Elementary School",1
"2012","615","Bryan County","ALL","All Schools",2
"2012","616","Bulloch County","0100","Mill Creek Elementary School",12
"2012","616","Bulloch County","0199","Langston Chapel Elementary School",14
"2012","616","Bulloch County","0299","Langston Chapel Middle School",24
"2012","616","Bulloch County","5054","Sallie Zetterower Elementary School",3
"2012","616","Bulloch County","ALL","All Schools",53
"2012","618","Butts County","0100","Henderson Middle School",1
"2012","618","Butts County","0111","New Jackson Elementary School",1
"2012","618","Butts County","ALL","All Schools",2
"2012","620","Camden County","0105","Saint Marys Middle School",1
"2012","620","Camden County","0187","Crooked River Elementary School",1
"2012","620","Camden County","ALL","All Schools",2
"2012","621","Candler County","0102","Metter Middle School",1
"2012","621","Candler County","ALL","All Schools",1
"2012","622","Carroll County","0101","Bowdon Middle School",1
"2012","622","Carroll County","0198","Bay Springs Middle School",1
"2012","622","Carroll County","2050","Bowdon Elementary School",4
"2012","622","Carroll County","5050","Central Elementary School",1
"2012","622","Carroll County","ALL","All Schools",7
"2012","623","Catoosa County","3050","Cloud Springs Elementary School",1
"2012","623","Catoosa County","ALL","All Schools",1
"2012","625","Chatham County","0199","West Chatham Middle School",12
"2012","625","Chatham County","0211","Godley Station School",1
"2012","625","Chatham County","1060","Howard Elementary School",3
"2012","625","Chatham County","1070","White Bluff Elementary School",1
"2012","625","Chatham County","4058","Hesse School",4
"2012","625","Chatham County","4068","Port Wentworth Elementary School",7
"2012","625","Chatham County","4070","Windsor Forest Elementary School",3
"2012","625","Chatham County","ALL","All Schools",31
"2012","628","Cherokee County","0101","Carmel Elementary School",4
"2012","628","Cherokee County","0104","Woodstock Elementary School",1
"2012","628","Cherokee County","0105","William G. Hasty, Sr. Elementary School",1
"2012","628","Cherokee County","0113","Mill Creek Middle School",1
"2012","628","Cherokee County","0181","Booth Middle School",1
"2012","628","Cherokee County","0189","Boston Elementary School",2
"2012","628","Cherokee County","0193","Sixes Elementary School",2
"2012","628","Cherokee County","0198","R. M. Moore Elementary School",1
"2012","628","Cherokee County","0201","Chapman Intermediate School",2
"2012","628","Cherokee County","0203","Liberty Elementary School",1
"2012","628","Cherokee County","0205","Freedom Middle School",1
"2012","628","Cherokee County","0287","Teasley Middle School",2
"2012","628","Cherokee County","0297","Woodstock Middle School",2
"2012","628","Cherokee County","0305","Creekland Middle School",2
"2012","628","Cherokee County","0309","Little River Elem.",4
"2012","628","Cherokee County","0397","Arnold Mill Elementary School",2
"2012","628","Cherokee County","0409","Canton Elementary",1
"2012","628","Cherokee County","0505","Free Home Elementary School",1
"2012","628","Cherokee County","0509","J. Knox Elementary",1
"2012","628","Cherokee County","2054","Oak Grove Elementary School",1
"2012","628","Cherokee County","ALL","All Schools",33
"2012","629","Clarke County","0105","Alps Road Elementary School",1
"2012","629","Clarke County","0178","Timothy Elementary School",2
"2012","629","Clarke County","0205","Gaines Elementary School",1
"2012","629","Clarke County","0296","Burney-Harris-Lyons Middle School",4
"2012","629","Clarke County","2056","Barnett Shoals Elementary School",5
"2012","629","Clarke County","3056","Barrow Elementary School",5
"2012","629","Clarke County","3058","Fowler Drive Elementary School",1
"2012","629","Clarke County","4060","Oglethorpe Avenue Elementary School",6
"2012","629","Clarke County","5058","Hilsman Middle School",4
"2012","629","Clarke County","ALL","All Schools",29
"2012","630","Clay County","0204","Clay County Elementary",1
"2012","630","Clay County","ALL","All Schools",1
"2012","631","Clayton County","0100","M. D. Roberts Middle School",1
"2012","631","Clayton County","0105","Thurgood Marshall Elementary School",1
"2012","631","Clayton County","0106","Jonesboro Middle School",3
"2012","631","Clayton County","0117","Morrow Middle School",2
"2012","631","Clayton County","0174","Mundys Mill Middle School",2
"2012","631","Clayton County","0175","Brown Elementary School",1
"2012","631","Clayton County","0176","Mount Zion Elementary School",1
"2012","631","Clayton County","0181","Pointe South Elementary School",1
"2012","631","Clayton County","0191","Lovejoy Middle School",1
"2012","631","Clayton County","0195","River's Edge Elementary School",1
"2012","631","Clayton County","0197","Kendrick Middle School",2
"2012","631","Clayton County","0200","Roberta T. Smith Elementary School",2
"2012","631","Clayton County","0203","Harper Elementary School",1
"2012","631","Clayton County","0204","Martin Luther King, Jr. Elementary School",2
"2012","631","Clayton County","0207","Rex Mill Middle School",1
"2012","631","Clayton County","0276","Oliver Elementary School",1
"2012","631","Clayton County","0277","Pointe South Middle School",1
"2012","631","Clayton County","0304","James Jackson Elementary School",1
"2012","631","Clayton County","0305","Kemp Elem School",1
"2012","631","Clayton County","1052","East Clayton Elementary School",1
"2012","631","Clayton County","1058","Lee Street Elementary School",2
"2012","631","Clayton County","1062","Tara Elementary School",1
"2012","631","Clayton County","1550","Arnold Elementary School",2
"2012","631","Clayton County","2054","Forest Park Middle School",1
"2012","631","Clayton County","2058","Morrow Elementary School",1
"2012","631","Clayton County","3050","Babb Middle School",3
"2012","631","Clayton County","4056","Lake City Elementary School",3
"2012","631","Clayton County","5054","Huie Elementary School",4
"2012","631","Clayton County","5056","William M. McGarrah Elementary School",1
"2012","631","Clayton County","ALL","All Schools",45
"2012","633","Cobb County","0104","Bullard Elementary School",1
"2012","633","Cobb County","0114","East Side Elementary School",9
"2012","633","Cobb County","0181","Tritt Elementary School",2
"2012","633","Cobb County","0184","McCleskey Middle School",2
"2012","633","Cobb County","0187","Keheley Elementary School",2
"2012","633","Cobb County","0189","Baker Elementary School",3
"2012","633","Cobb County","0194","Hayes Elementary School",1
"2012","633","Cobb County","0198","Chalker Elementary School",2
"2012","633","Cobb County","0199","Nickajack Elementary School",3
"2012","633","Cobb County","0202","Lindley Middle School",1
"2012","633","Cobb County","0204","Pitner Elementary School",2
"2012","633","Cobb County","0273","Kincaid Elementary School",2
"2012","633","Cobb County","0275","Dodgen Middle School",4
"2012","633","Cobb County","0278","Mount Bethel Elementary School",1
"2012","633","Cobb County","0280","Pine Mountain Middle School",2
"2012","633","Cobb County","0281","Dickerson Middle School",10
"2012","633","Cobb County","0287","Lewis Elementary School",1
"2012","633","Cobb County","0288","Mountain View Elementary School",5
"2012","633","Cobb County","0290","Campbell Middle School",8
"2012","633","Cobb County","0291","Shallowford Falls Elementary School",1
"2012","633","Cobb County","0294","Smitha Middle School",7
"2012","633","Cobb County","0297","Frey Elementary School",3
"2012","633","Cobb County","0298","Cheatham Hill Elementary School",1
"2012","633","Cobb County","0302","Acworth Intermediate School",3
"2012","633","Cobb County","0375","Murdock Elementary School",5
"2012","633","Cobb County","0378","Rocky Mount Elementary School",3
"2012","633","Cobb County","0388","Davis Elementary School",2
"2012","633","Cobb County","0389","Simpson Middle School",3
"2012","633","Cobb County","0394","Hightower Trail Middle School",1
"2012","633","Cobb County","0398","Sanders Elementary School",2
"2012","633","Cobb County","0399","Blackwell Elementary School",1
"2012","633","Cobb County","0402","Austell Intermediate School",1
"2012","633","Cobb County","0404","Kennesaw Elem School",1
"2012","633","Cobb County","0407","Barber Middle School",1
"2012","633","Cobb County","0478","Sope Creek Elementary School",13
"2012","633","Cobb County","0491","Timber Ridge Elementary School",1
"2012","633","Cobb County","0504","Big Shanty Elementary School",3
"2012","633","Cobb County","0507","McClure Middle School",1
"2012","633","Cobb County","0602","Palmer Middle School",1
"2012","633","Cobb County","1056","East Cobb Middle School",7
"2012","633","Cobb County","1060","Garrett Middle School",7
"2012","633","Cobb County","1066","Norton Park Elementary School",1
"2012","633","Cobb County","1067","Powers Ferry Elementary School",5
"2012","633","Cobb County","1068","Sky View Elementary School",2
"2012","633","Cobb County","2050","Argyle Elementary School",5
"2012","633","Cobb County","2054","Clarkdale Elementary School",1
"2012","633","Cobb County","2560","Griffin Middle School",1
"2012","633","Cobb County","3058","Fair Oaks Elementary School",5
"2012","633","Cobb County","3060","Harmony-Leland Elementary School",1
"2012","633","Cobb County","3062","LaBelle Elementary School",1
"2012","633","Cobb County","3064","Milford Elementary School",5
"2012","633","Cobb County","3556","Compton Elementary School",2
"2012","633","Cobb County","4050","Awtrey Middle School",5
"2012","633","Cobb County","4056","Daniell Middle School",3
"2012","633","Cobb County","4068","Teasley Elementary School",5
"2012","633","Cobb County","4560","Hollydale Elementary School",1
"2012","633","Cobb County","5050","Bells Ferry Elementary School",4
"2012","633","Cobb County","5052","Brumby Elementary School",6
"2012","633","Cobb County","5058","Floyd Middle School",1
"2012","633","Cobb County","5067","Sedalia Park Elementary School",5
"2012","633","Cobb County","5068","Eastvalley Elementary School",2
"2012","633","Cobb County","ALL","All Schools",190
"2012","634","Coffee County","0108","Coffee Middle School",5
"2012","634","Coffee County","0282","Eastside Elementary School",2
"2012","634","Coffee County","3052","West Green Elementary School",1
"2012","634","Coffee County","5050","Westside Elementary School",1
"2012","634","Coffee County","ALL","All Schools",9
"2012","635","Colquitt County","0111","Willie J. Williams Middle School",2
"2012","635","Colquitt County","4050","Cox Elementary School",1
"2012","635","Colquitt County","ALL","All Schools",3
"2012","636","Columbia County","0102","Lewiston Elementary School",1
"2012","636","Columbia County","0103","Grovetown Middle School",1
"2012","636","Columbia County","0106","River Ridge Elementary",2
"2012","636","Columbia County","0107","Evans Middle School",3
"2012","636","Columbia County","0186","Evans Elementary School",1
"2012","636","Columbia County","0188","Blue Ridge Elementary School",1
"2012","636","Columbia County","0192","Stevens Creek Elementary School",3
"2012","636","Columbia County","0193","Riverside Middle School",1
"2012","636","Columbia County","0212","Baker Place Elementary School",1
"2012","636","Columbia County","0283","Harlem Middle School",1
"2012","636","Columbia County","0290","Lakeside Middle School",2
"2012","636","Columbia County","0397","Euchee Creek Elementary School",2
"2012","636","Columbia County","2052","Martinez Elementary School",1
"2012","636","Columbia County","5050","Grovetown Elementary School",3
"2012","636","Columbia County","5052","South Columbia Elementary School",1
"2012","636","Columbia County","ALL","All Schools",24
"2012","638","Coweta County","0103","Willis Road Elementary",1
"2012","638","Coweta County","0192","Newnan Crossing Elementary School",2
"2012","638","Coweta County","0195","Jefferson Parkway Elementary School",1
"2012","638","Coweta County","0395","Arnall Middle School",2
"2012","638","Coweta County","1054","Ruth Hill Elementary School",1
"2012","638","Coweta County","1056","Evans Middle School",1
"2012","638","Coweta County","3054","Moreland Elementary School",4
"2012","638","Coweta County","ALL","All Schools",12
"2012","644","DeKalb County","0102","Wynbrooke Elementary School",2
"2012","644","DeKalb County","0107","Flat Rock Elementary School",3
"2012","644","DeKalb County","0173","Vanderlyn Elementary School",8
"2012","644","DeKalb County","0181","Eldridge L. Miller Elementary School",1
"2012","644","DeKalb County","0188","Panola Way Elementary School",2
"2012","644","DeKalb County","0189","Peachtree Middle School",9
"2012","644","DeKalb County","0191","Browns Mill Elementary School",1
"2012","644","DeKalb County","0201","Freedom Middle School",58
"2012","644","DeKalb County","0203","Lithonia Middle School",1
"2012","644","DeKalb County","0205","Redan Middle School",2
