"FISCAL_YEAR","SYSTEM_ID","SYSTEM_NAME","EL_EXIT_COUNT","EL_STUDENT_COUNT","EL_EXIT_RATE"
2021,"601","Appling County","22","267",8.2
2021,"602","Atkinson County","24","186",12.9
2021,"603","Bacon County","TFS","87",9.2
2021,"604","Baker County","TFS","17",0
2021,"605","Baldwin County","TFS","70",11.4
2021,"606","Banks County","TFS","113",5.3
2021,"607","Barrow County","133","1259",10.6
2021,"608","Bartow County","117","743",15.7
2021,"609","Ben Hill County","15","85",17.6
2021,"610","Berrien County","TFS","51",7.8
2021,"611","Bibb County","41","563",7.3
2021,"612","Bleckley County","TFS","TFS",0
2021,"613","Brantley County","TFS","14",7.1
2021,"614","Brooks County","TFS","106",1.9
2021,"615","Bryan County","21","148",14.2
2021,"616","Bulloch County","38","221",17.2
2021,"617","Burke County","TFS","38",5.3
2021,"618","Butts County","TFS","17",5.9
2021,"619","Calhoun County","TFS","10",0
2021,"620","Camden County","TFS","67",4.5
2021,"621","Candler County","TFS","68",0
2021,"622","Carroll County","43","393",10.9
2021,"623","Catoosa County","11","137",8
2021,"624","Charlton County","TFS","TFS",0
2021,"625","Savannah-Chatham County","77","1709",4.5
2021,"626","Chattahoochee County","TFS","TFS",0
2021,"627","Chattooga County","TFS","35",17.1
2021,"628","Cherokee County","292","3147",9.3
2021,"629","Clarke County","56","1370",4.1
2021,"630","Clay County","TFS","TFS",0
2021,"631","Clayton County","79","5328",1.5
2021,"632","Clinch County","TFS","34",0
2021,"633","Cobb County","616","11529",5.3
2021,"634","Coffee County","64","557",11.5
2021,"635","Colquitt County","74","1451",5.1
2021,"636","Columbia County","58","587",9.9
2021,"637","Cook County","TFS","146",2.7
2021,"638","Coweta County","75","583",12.9
2021,"639","Crawford County","TFS","12",8.3
2021,"640","Crisp County","TFS","84",9.5
2021,"641","Dade County","TFS","18",11.1
2021,"642","Dawson County","14","124",11.3
2021,"643","Decatur County","27","161",16.8
2021,"644","DeKalb County","327","14420",2.3
2021,"645","Dodge County","TFS","68",4.4
2021,"646","Dooly County","TFS","108",3.7
2021,"647","Dougherty County","17","221",7.7
2021,"648","Douglas County","162","1562",10.4
2021,"649","Early County","TFS","TFS",0
2021,"650","Echols County","15","143",10.5
2021,"651","Effingham County","24","222",10.8
2021,"652","Elbert County","TFS","71",11.3
2021,"653","Emanuel County","17","106",16
2021,"654","Evans County","24","211",11.4
2021,"655","Fannin County","TFS","50",12
2021,"656","Fayette County","118","810",14.6
2021,"657","Floyd County","35","335",10.4
2021,"658","Forsyth County","617","3628",17
2021,"659","Franklin County","15","138",10.9
2021,"660","Fulton County","780","6152",12.7
2021,"661","Gilmer County","43","619",6.9
2021,"662","Glascock County","TFS","TFS",0
2021,"663","Glynn County","114","810",14.1
2021,"664","Gordon County","33","345",9.6
2021,"665","Grady County","55","532",10.3
2021,"666","Greene County","12","147",8.2
2021,"667","Gwinnett County","2177","29015",7.5
2021,"668","Habersham County","112","891",12.6
2021,"669","Hall County","513","5450",9.4
2021,"670","Hancock County","TFS","TFS",0
2021,"671","Haralson County","TFS","17",5.9
