SCHOOL_YEAR,DETAIL_LEVEL,SCHOOL_DSTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,SUBJECT_CODE,TOTAL_STUDENTS_TESTED,STUDENTS_WITH_LEXILE,LEXILE_ON_OR_ABOVE_MIDPOINT,NO_LEXILE_SCORE,AVG_LEXILE_SCORE
2016,District Level,601,Appling County,All,All,9th Grade Literature and Composition,276,276,166,TFS,1198.1
2016,District Level,601,Appling County,All,All,American Literature and Composition,225,225,114,TFS,1282.5
2016,District Level,602,Atkinson County,All,All,9th Grade Literature and Composition,130,129,70,TFS,1173.4
2016,District Level,602,Atkinson County,All,All,American Literature and Composition,103,103,49,TFS,1256.7
2016,District Level,603,Bacon County,All,All,9th Grade Literature and Composition,176,176,82,TFS,1138.7
2016,District Level,603,Bacon County,All,All,American Literature and Composition,134,134,64,TFS,1265.9
2016,District Level,604,Baker County,All,All,9th Grade Literature and Composition,28,28,16,TFS,1143.8
2016,District Level,604,Baker County,All,All,American Literature and Composition,21,21,10,TFS,1263.3
2016,District Level,605,Baldwin County,All,All,9th Grade Literature and Composition,403,403,203,TFS,1157
2016,District Level,605,Baldwin County,All,All,American Literature and Composition,322,322,126,TFS,1232.5
2016,District Level,606,Banks County,All,All,9th Grade Literature and Composition,222,222,151,TFS,1238.3
2016,District Level,606,Banks County,All,All,American Literature and Composition,230,230,132,TFS,1303.7
2016,District Level,607,Barrow County,All,All,9th Grade Literature and Composition,1042,1039,644,TFS,1205.3
2016,District Level,607,Barrow County,All,All,American Literature and Composition,826,825,443,TFS,1308.2
2016,District Level,608,Bartow County,All,All,9th Grade Literature and Composition,1204,1204,673,TFS,1180.4
2016,District Level,608,Bartow County,All,All,American Literature and Composition,1004,1004,503,TFS,1277.5
2016,District Level,609,Ben Hill County,All,All,9th Grade Literature and Composition,244,244,123,TFS,1164.7
2016,District Level,609,Ben Hill County,All,All,American Literature and Composition,215,215,87,TFS,1202.6
2016,District Level,610,Berrien County,All,All,9th Grade Literature and Composition,243,243,152,TFS,1216.8
2016,District Level,610,Berrien County,All,All,American Literature and Composition,239,239,169,TFS,1392.2
2016,District Level,611,Bibb County,All,All,9th Grade Literature and Composition,1780,1777,815,TFS,1131.4
2016,District Level,611,Bibb County,All,All,American Literature and Composition,1371,1365,535,TFS,1188.6
2016,District Level,612,Bleckley County,All,All,9th Grade Literature and Composition,181,180,129,TFS,1275
2016,District Level,612,Bleckley County,All,All,American Literature and Composition,172,172,107,TFS,1336
2016,District Level,613,Brantley County,All,All,9th Grade Literature and Composition,238,238,147,TFS,1228.1
2016,District Level,613,Brantley County,All,All,American Literature and Composition,227,227,124,TFS,1321.1
2016,District Level,614,Brooks County,All,All,9th Grade Literature and Composition,141,141,90,TFS,1208.7
2016,District Level,614,Brooks County,All,All,American Literature and Composition,117,117,55,TFS,1255
2016,District Level,615,Bryan County,All,All,9th Grade Literature and Composition,747,747,519,TFS,1248.9
2016,District Level,615,Bryan County,All,All,American Literature and Composition,625,624,413,TFS,1387
2016,District Level,616,Bulloch County,All,All,9th Grade Literature and Composition,755,754,474,TFS,1217
2016,District Level,616,Bulloch County,All,All,American Literature and Composition,655,655,367,TFS,1311.5
2016,District Level,617,Burke County,All,All,9th Grade Literature and Composition,324,324,168,TFS,1150.8
2016,District Level,617,Burke County,All,All,American Literature and Composition,249,249,105,TFS,1241.1
2016,District Level,618,Butts County,All,All,9th Grade Literature and Composition,284,284,148,TFS,1169.2
2016,District Level,618,Butts County,All,All,American Literature and Composition,277,277,111,TFS,1209.7
2016,District Level,619,Calhoun County,All,All,9th Grade Literature and Composition,58,58,26,TFS,1131.2
2016,District Level,619,Calhoun County,All,All,American Literature and Composition,40,40,19,TFS,1289.8
2016,District Level,620,Camden County,All,All,9th Grade Literature and Composition,676,676,487,TFS,1273.3
2016,District Level,620,Camden County,All,All,American Literature and Composition,601,601,409,TFS,1380.4
2016,District Level,621,Candler County,All,All,9th Grade Literature and Composition,138,138,81,TFS,1206.5
2016,District Level,621,Candler County,All,All,American Literature and Composition,132,132,71,TFS,1286.7
2016,District Level,622,Carroll County,All,All,9th Grade Literature and Composition,1164,1164,686,TFS,1200.9
2016,District Level,622,Carroll County,All,All,American Literature and Composition,968,968,569,TFS,1322.3
2016,District Level,623,Catoosa County,All,All,9th Grade Literature and Composition,860,860,544,TFS,1213.5
2016,District Level,623,Catoosa County,All,All,American Literature and Composition,822,822,480,TFS,1311.1
2016,District Level,624,Charlton County,All,All,9th Grade Literature and Composition,145,145,82,TFS,1174.3
2016,District Level,624,Charlton County,All,All,American Literature and Composition,113,113,64,TFS,1296.7
2016,District Level,625,Savannah-Chatham County,All,All,9th Grade Literature and Composition,2758,2742,1578,16,1193.5
2016,District Level,625,Savannah-Chatham County,All,All,American Literature and Composition,2206,2196,1063,10,1270.8
2016,District Level,626,Chattahoochee County,All,All,9th Grade Literature and Composition,112,112,54,TFS,1148.8
2016,District Level,626,Chattahoochee County,All,All,American Literature and Composition,104,104,59,TFS,1279.5
2016,District Level,627,Chattooga County,All,All,9th Grade Literature and Composition,192,192,109,TFS,1166.5
2016,District Level,627,Chattooga County,All,All,American Literature and Composition,197,197,74,TFS,1194.8
2016,District Level,628,Cherokee County,All,All,9th Grade Literature and Composition,3426,3422,2649,TFS,1302.7
2016,District Level,628,Cherokee County,All,All,American Literature and Composition,3031,3030,2301,TFS,1441.6
2016,District Level,629,Clarke County,All,All,9th Grade Literature and Composition,885,884,427,TFS,1153
2016,District Level,629,Clarke County,All,All,American Literature and Composition,674,674,302,TFS,1241.9
2016,District Level,630,Clay County,All,All,9th Grade Literature and Composition,11,11,TFS,TFS,1110
2016,District Level,631,Clayton County,All,All,9th Grade Literature and Composition,4242,4241,2169,TFS,1155.3
2016,District Level,631,Clayton County,All,All,American Literature and Composition,3446,3444,1669,TFS,1256.2
2016,District Level,632,Clinch County,All,All,9th Grade Literature and Composition,103,103,58,TFS,1177.6
2016,District Level,632,Clinch County,All,All,American Literature and Composition,75,75,41,TFS,1287.1
2016,District Level,633,Cobb County,All,All,9th Grade Literature and Composition,9452,9418,6856,34,1287.8
2016,District Level,633,Cobb County,All,All,American Literature and Composition,8256,8231,5738,26,1408.9
2016,District Level,634,Coffee County,All,All,9th Grade Literature and Composition,578,578,309,TFS,1179.8
2016,District Level,634,Coffee County,All,All,American Literature and Composition,468,468,216,TFS,1246.4
2016,District Level,635,Colquitt County,All,All,9th Grade Literature and Composition,671,671,338,TFS,1164.4
2016,District Level,635,Colquitt County,All,All,American Literature and Composition,545,545,263,TFS,1259.7
2016,District Level,636,Columbia County,All,All,9th Grade Literature and Composition,2202,2198,1704,TFS,1303.9
2016,District Level,636,Columbia County,All,All,American Literature and Composition,1870,1870,1412,TFS,1433.1
2016,District Level,637,Cook County,All,All,9th Grade Literature and Composition,242,242,130,TFS,1171.2
2016,District Level,637,Cook County,All,All,American Literature and Composition,246,246,130,TFS,1275.7
2016,District Level,638,Coweta County,All,All,9th Grade Literature and Composition,1948,1945,1291,TFS,1234.2
2016,District Level,638,Coweta County,All,All,American Literature and Composition,1620,1617,1078,TFS,1374.1
2016,District Level,639,Crawford County,All,All,9th Grade Literature and Composition,132,131,56,TFS,1094.5
2016,District Level,639,Crawford County,All,All,American Literature and Composition,107,107,53,TFS,1256.4
2016,District Level,640,Crisp County,All,All,9th Grade Literature and Composition,296,296,148,TFS,1159.5
2016,District Level,640,Crisp County,All,All,American Literature and Composition,281,280,112,TFS,1221.8
2016,District Level,641,Dade County,All,All,9th Grade Literature and Composition,164,164,87,TFS,1179.4
2016,District Level,641,Dade County,All,All,American Literature and Composition,165,164,81,TFS,1241.2
2016,District Level,642,Dawson County,All,All,9th Grade Literature and Composition,278,278,185,TFS,1236
2016,District Level,642,Dawson County,All,All,American Literature and Composition,244,244,165,TFS,1382.7
2016,District Level,643,Decatur County,All,All,9th Grade Literature and Composition,462,462,225,TFS,1139.2
2016,District Level,643,Decatur County,All,All,American Literature and Composition,116,116,59,TFS,1257.9
2016,District Level,644,DeKalb County,All,All,9th Grade Literature and Composition,8006,7849,4209,157,1173.5
2016,District Level,644,DeKalb County,All,All,American Literature and Composition,6555,6470,3468,86,1299.9
2016,District Level,645,Dodge County,All,All,9th Grade Literature and Composition,223,223,128,TFS,1185
2016,District Level,645,Dodge County,All,All,American Literature and Composition,186,186,97,TFS,1279.2
2016,District Level,646,Dooly County,All,All,9th Grade Literature and Composition,120,120,35,TFS,1017.3
2016,District Level,646,Dooly County,All,All,American Literature and Composition,89,89,15,TFS,1039.5
2016,District Level,647,Dougherty County,All,All,9th Grade Literature and Composition,1178,1178,464,TFS,1102.8
2016,District Level,647,Dougherty County,All,All,American Literature and Composition,971,971,335,TFS,1173.3
2016,District Level,648,Douglas County,All,All,9th Grade Literature and Composition,2316,2313,1420,TFS,1209.3
2016,District Level,648,Douglas County,All,All,American Literature and Composition,2057,2056,1248,TFS,1330.1
2016,District Level,649,Early County,All,All,9th Grade Literature and Composition,152,152,75,TFS,1165
2016,District Level,649,Early County,All,All,American Literature and Composition,145,145,54,TFS,1187.1
2016,District Level,650,Echols County,All,All,9th Grade Literature and Composition,74,74,46,TFS,1209.4
2016,District Level,650,Echols County,All,All,American Literature and Composition,54,54,28,TFS,1269.1
2016,District Level,651,Effingham County,All,All,9th Grade Literature and Composition,937,936,718,TFS,1299.2
2016,District Level,651,Effingham County,All,All,American Literature and Composition,825,823,611,TFS,1417.7
