"SCHOOL_YEAR","DETAIL_LEVEL","SCHOOL_DSTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","SUBJECT_CODE","TOTAL_STUDENTS_TESTED","STUDENTS_WITH_LEXILE","LEXILE_ON_OR_ABOVE_MIDPOINT","NO_LEXILE_SCORE","AVG_LEXILE_SCORE"
2021,"District Level","601","Appling County","All","All","American Literature and Composition","221","221","86","TFS","1215.2"
2021,"District Level","602","Atkinson County","All","All","American Literature and Composition","101","101","55","TFS","1272.1"
2021,"District Level","603","Bacon County","All","All","American Literature and Composition","101","101","22","TFS","1146.6"
2021,"District Level","604","Baker County","All","All","American Literature and Composition","18","18","TFS","TFS","1157.5"
2021,"District Level","605","Baldwin County","All","All","American Literature and Composition","218","218","67","TFS","1171.1"
2021,"District Level","606","Banks County","All","All","American Literature and Composition","149","149","66","TFS","1228.1"
2021,"District Level","607","Barrow County","All","All","American Literature and Composition","651","651","302","TFS","1245.2"
2021,"District Level","608","Bartow County","All","All","9th Grade Literature and Composition","TFS","TFS","TFS","TFS","TFS"
2021,"District Level","608","Bartow County","All","All","American Literature and Composition","804","804","315","TFS","1208.8"
2021,"District Level","609","Ben Hill County","All","All","American Literature and Composition","145","145","36","TFS","1145"
2021,"District Level","610","Berrien County","All","All","American Literature and Composition","209","209","109","TFS","1303.1"
2021,"District Level","611","Bibb County","All","All","American Literature and Composition","390","389","37","TFS","978.4"
2021,"District Level","612","Bleckley County","All","All","American Literature and Composition","91","91","36","TFS","1198"
2021,"District Level","613","Brantley County","All","All","American Literature and Composition","220","220","112","TFS","1265.4"
2021,"District Level","614","Brooks County","All","All","American Literature and Composition","90","90","13","TFS","1023.7"
2021,"District Level","615","Bryan County","All","All","American Literature and Composition","730","730","483","TFS","1358.1"
2021,"District Level","616","Bulloch County","All","All","9th Grade Literature and Composition","TFS","TFS","TFS","TFS","TFS"
2021,"District Level","616","Bulloch County","All","All","American Literature and Composition","369","369","127","TFS","1168.8"
2021,"District Level","617","Burke County","All","All","9th Grade Literature and Composition","TFS","TFS","TFS","TFS","TFS"
2021,"District Level","617","Burke County","All","All","American Literature and Composition","254","254","87","TFS","1186.2"
2021,"District Level","618","Butts County","All","All","American Literature and Composition","175","175","84","TFS","1253.9"
2021,"District Level","619","Calhoun County","All","All","American Literature and Composition","14","14","TFS","TFS","940.7"
2021,"District Level","620","Camden County","All","All","American Literature and Composition","427","427","254","TFS","1323.3"
2021,"District Level","621","Candler County","All","All","American Literature and Composition","148","148","60","TFS","1244.9"
2021,"District Level","622","Carroll County","All","All","American Literature and Composition","742","742","326","TFS","1224"
2021,"District Level","623","Catoosa County","All","All","9th Grade Literature and Composition","TFS","TFS","TFS","TFS","TFS"
2021,"District Level","623","Catoosa County","All","All","American Literature and Composition","575","574","235","TFS","1206.9"
2021,"District Level","624","Charlton County","All","All","American Literature and Composition","105","105","49","TFS","1266"
2021,"District Level","625","Savannah-Chatham County","All","All","American Literature and Composition","1118","1118","414","TFS","1194.9"
2021,"District Level","626","Chattahoochee County","All","All","American Literature and Composition","57","57","16","TFS","1162.5"
2021,"District Level","627","Chattooga County","All","All","American Literature and Composition","105","105","34","TFS","1193.5"
2021,"District Level","628","Cherokee County","All","All","9th Grade Literature and Composition","TFS","TFS","TFS","TFS","TFS"
2021,"District Level","628","Cherokee County","All","All","American Literature and Composition","2268","2267","1273","TFS","1294.7"
2021,"District Level","629","Clarke County","All","All","American Literature and Composition","17","17","TFS","TFS","1086.5"
2021,"District Level","631","Clayton County","All","All","9th Grade Literature and Composition","TFS","TFS","TFS","TFS","TFS"
2021,"District Level","631","Clayton County","All","All","American Literature and Composition","1883","1883","566","TFS","1151"
2021,"District Level","632","Clinch County","All","All","American Literature and Composition","68","68","19","TFS","1183.7"
2021,"District Level","633","Cobb County","All","All","9th Grade Literature and Composition","TFS","TFS","TFS","TFS","TFS"
2021,"District Level","633","Cobb County","All","All","American Literature and Composition","4288","4248","2042","44","1253.2"
2021,"District Level","634","Coffee County","All","All","American Literature and Composition","432","432","227","TFS","1285.8"
2021,"District Level","635","Colquitt County","All","All","American Literature and Composition","417","417","111","TFS","1085"
2021,"District Level","636","Columbia County","All","All","American Literature and Composition","1183","1182","541","TFS","1230.2"
2021,"District Level","637","Cook County","All","All","American Literature and Composition","214","214","98","TFS","1267.4"
2021,"District Level","638","Coweta County","All","All","American Literature and Composition","1120","1117","572","TFS","1262.1"
2021,"District Level","639","Crawford County","All","All","American Literature and Composition","56","56","13","TFS","1146.3"
2021,"District Level","640","Crisp County","All","All","American Literature and Composition","175","175","46","TFS","1130"
2021,"District Level","641","Dade County","All","All","American Literature and Composition","87","87","28","TFS","1147.3"
2021,"District Level","642","Dawson County","All","All","American Literature and Composition","282","282","124","TFS","1222.7"
2021,"District Level","643","Decatur County","All","All","American Literature and Composition","284","284","79","TFS","1139.3"
2021,"District Level","644","DeKalb County","All","All","9th Grade Literature and Composition","TFS","TFS","TFS","TFS","TFS"
2021,"District Level","644","DeKalb County","All","All","American Literature and Composition","2903","2903","1000","11","1154.4"
2021,"District Level","645","Dodge County","All","All","American Literature and Composition","171","171","69","TFS","1188.2"
2021,"District Level","646","Dooly County","All","All","American Literature and Composition","61","61","TFS","TFS","1017.5"
2021,"District Level","647","Dougherty County","All","All","American Literature and Composition","194","194","35","TFS","1056.2"
2021,"District Level","648","Douglas County","All","All","9th Grade Literature and Composition","TFS","TFS","TFS","TFS","TFS"
2021,"District Level","648","Douglas County","All","All","American Literature and Composition","1156","1155","516","TFS","1230.4"
2021,"District Level","649","Early County","All","All","American Literature and Composition","78","78","13","TFS","1090.4"
2021,"District Level","650","Echols County","All","All","American Literature and Composition","48","48","19","TFS","1226"
2021,"District Level","651","Effingham County","All","All","9th Grade Literature and Composition","TFS","TFS","TFS","TFS","TFS"
2021,"District Level","651","Effingham County","All","All","American Literature and Composition","612","612","247","TFS","1224"
2021,"District Level","652","Elbert County","All","All","9th Grade Literature and Composition","TFS","TFS","TFS","TFS","TFS"
2021,"District Level","652","Elbert County","All","All","American Literature and Composition","129","129","24","TFS","1088.3"
2021,"District Level","653","Emanuel County","All","All","American Literature and Composition","200","200","71","TFS","1204.2"
2021,"District Level","654","Evans County","All","All","American Literature and Composition","97","97","39","TFS","1225.7"
2021,"District Level","655","Fannin County","All","All","American Literature and Composition","193","193","104","TFS","1300.7"
2021,"District Level","656","Fayette County","All","All","9th Grade Literature and Composition","TFS","TFS","TFS","TFS","TFS"
2021,"District Level","656","Fayette County","All","All","American Literature and Composition","1000","1000","653","TFS","1338.5"
2021,"District Level","657","Floyd County","All","All","American Literature and Composition","526","526","229","TFS","1204.3"
2021,"District Level","658","Forsyth County","All","All","9th Grade Literature and Composition","TFS","TFS","TFS","TFS","TFS"
2021,"District Level","658","Forsyth County","All","All","American Literature and Composition","827","827","496","TFS","1280.2"
2021,"District Level","659","Franklin County","All","All","American Literature and Composition","251","251","107","TFS","1221"
2021,"District Level","660","Fulton County","All","All","9th Grade Literature and Composition","11","11","TFS","TFS","1358.6"
2021,"District Level","660","Fulton County","All","All","American Literature and Composition","357","357","125","TFS","1131.7"
2021,"District Level","661","Gilmer County","All","All","American Literature and Composition","290","290","155","TFS","1277.4"
2021,"District Level","662","Glascock County","All","All","American Literature and Composition","41","41","24","TFS","1315.6"
2021,"District Level","663","Glynn County","All","All","American Literature and Composition","685","685","358","TFS","1290.6"
2021,"District Level","664","Gordon County","All","All","American Literature and Composition","425","425","213","TFS","1263.9"
2021,"District Level","665","Grady County","All","All","American Literature and Composition","260","260","76","TFS","1137"
2021,"District Level","666","Greene County","All","All","American Literature and Composition","95","95","20","TFS","1113.7"
2021,"District Level","667","Gwinnett County","All","All","9th Grade Literature and Composition","TFS","TFS","TFS","TFS","TFS"
2021,"District Level","667","Gwinnett County","All","All","American Literature and Composition","4405","4398","1660","32","1142.9"
2021,"District Level","668","Habersham County","All","All","American Literature and Composition","435","434","218","TFS","1278.1"
2021,"District Level","669","Hall County","All","All","9th Grade Literature and Composition","TFS","TFS","TFS","TFS","TFS"
2021,"District Level","669","Hall County","All","All","American Literature and Composition","1487","1485","585","TFS","1191.9"
2021,"District Level","670","Hancock County","All","All","American Literature and Composition","44","44","13","TFS","1182.5"
2021,"District Level","671","Haralson County","All","All","American Literature and Composition","198","198","104","TFS","1280.5"
2021,"District Level","672","Harris County","All","All","American Literature and Composition","397","397","223","TFS","1304.5"
2021,"District Level","673","Hart County","All","All","9th Grade Literature and Composition","TFS","TFS","TFS","TFS","TFS"
2021,"District Level","673","Hart County","All","All","American Literature and Composition","174","174","44","TFS","1134"
2021,"District Level","674","Heard County","All","All","American Literature and Composition","154","154","87","TFS","1306.5"
2021,"District Level","675","Henry County","All","All","9th Grade Literature and Composition","TFS","TFS","TFS","TFS","TFS"
2021,"District Level","675","Henry County","All","All","American Literature and Composition","1679","1679","695","TFS","1220.2"
2021,"District Level","676","Houston County","All","All","9th Grade Literature and Composition","TFS","TFS","TFS","TFS","TFS"
2021,"District Level","676","Houston County","All","All","American Literature and Composition","1053","1052","484","TFS","1239.8"
2021,"District Level","677","Irwin County","All","All","American Literature and Composition","84","84","40","TFS","1265.2"
2021,"District Level","678","Jackson County","All","All","American Literature and Composition","310","310","111","TFS","1186.7"
2021,"District Level","679","Jasper County","All","All","American Literature and Composition","129","129","75","TFS","1309.9"
2021,"District Level","680","Jeff Davis County","All","All","American Literature and Composition","151","151","41","TFS","1167.7"
2021,"District Level","681","Jefferson County","All","All","American Literature and Composition","159","159","41","TFS","1112.3"
2021,"District Level","682","Jenkins County","All","All","American Literature and Composition","59","59","18","TFS","1157.5"
2021,"District Level","683","Johnson County","All","All","American Literature and Composition","44","44","14","TFS","1173.2"
2021,"District Level","684","Jones County","All","All","American Literature and Composition","330","330","140","TFS","1241"
2021,"District Level","685","Lamar County","All","All","American Literature and Composition","146","146","49","TFS","1110.4"
2021,"District Level","686","Lanier County","All","All","American Literature and Composition","96","96","30","TFS","1134.5"
2021,"District Level","687","Laurens County","All","All","American Literature and Composition","349","349","128","TFS","1175.8"
2021,"District Level","688","Lee County","All","All","American Literature and Composition","258","258","89","TFS","1161.9"
2021,"District Level","689","Liberty County","All","All","9th Grade Literature and Composition","TFS","TFS","TFS","TFS","TFS"
2021,"District Level","689","Liberty County","All","All","American Literature and Composition","518","518","240","TFS","1249.8"
2021,"District Level","690","Lincoln County","All","All","American Literature and Composition","68","68","17","TFS","1121.3"
2021,"District Level","691","Long County","All","All","American Literature and Composition","95","95","37","TFS","1161.3"
2021,"District Level","692","Lowndes County","All","All","American Literature and Composition","704","704","438","TFS","1347.6"
2021,"District Level","693","Lumpkin County","All","All","American Literature and Composition","222","222","117","TFS","1291.9"
2021,"District Level","694","Macon County","All","All","American Literature and Composition","52","52","TFS","TFS","1029.2"
2021,"District Level","695","Madison County","All","All","American Literature and Composition","221","221","115","TFS","1272.3"
2021,"District Level","696","Marion County","All","All","American Literature and Composition","41","41","TFS","TFS","1153.8"
2021,"District Level","697","McDuffie County","All","All","American Literature and Composition","194","194","62","TFS","1170.1"
2021,"District Level","698","McIntosh County","All","All","American Literature and Composition","63","63","40","TFS","1320.2"
2021,"District Level","699","Meriwether County","All","All","American Literature and Composition","140","140","47","TFS","1156.7"
2021,"District Level","700","Miller County","All","All","American Literature and Composition","47","47","14","TFS","1161"
2021,"District Level","701","Mitchell County","All","All","American Literature and Composition","35","35","TFS","TFS","1014.7"
2021,"District Level","702","Monroe County","All","All","9th Grade Literature and Composition","TFS","TFS","TFS","TFS","TFS"
2021,"District Level","702","Monroe County","All","All","American Literature and Composition","225","225","152","TFS","1358.6"
2021,"District Level","703","Montgomery County","All","All","American Literature and Composition","69","69","31","TFS","1254.4"
2021,"District Level","704","Morgan County","All","All","American Literature and Composition","129","129","54","TFS","1257.9"
2021,"District Level","705","Murray County","All","All","American Literature and Composition","436","436","207","TFS","1234"
2021,"District Level","706","Muscogee County","All","All","American Literature and Composition","707","706","223","TFS","1123.4"
2021,"District Level","707","Newton County","All","All","American Literature and Composition","371","371","85","TFS","1080.9"
2021,"District Level","708","Oconee County","All","All","American Literature and Composition","410","408","264","TFS","1356.1"
2021,"District Level","709","Oglethorpe County","All","All","American Literature and Composition","108","108","46","TFS","1233.1"
2021,"District Level","710","Paulding County","All","All","9th Grade Literature and Composition","TFS","TFS","TFS","TFS","TFS"
2021,"District Level","710","Paulding County","All","All","American Literature and Composition","1604","1604","767","TFS","1239.5"
2021,"District Level","711","Peach County","All","All","American Literature and Composition","191","191","60","TFS","1171.1"
2021,"District Level","712","Pickens County","All","All","American Literature and Composition","229","229","97","TFS","1214.6"
2021,"District Level","713","Pierce County","All","All","American Literature and Composition","220","220","158","TFS","1395.1"
2021,"District Level","714","Pike County","All","All","American Literature and Composition","131","131","21","TFS","1061.2"
2021,"District Level","715","Polk County","All","All","American Literature and Composition","375","375","119","TFS","1161.7"
2021,"District Level","716","Pulaski County","All","All","American Literature and Composition","58","58","32","TFS","1325.3"
2021,"District Level","717","Putnam County","All","All","American Literature and Composition","154","154","62","TFS","1237.7"
2021,"District Level","718","Quitman County","All","All","American Literature and Composition","20","20","TFS","TFS","1223.3"
2021,"District Level","719","Rabun County","All","All","American Literature and Composition","150","150","96","TFS","1323.2"
2021,"District Level","720","Randolph County","All","All","American Literature and Composition","15","15","TFS","TFS","1048.3"
2021,"District Level","721","Richmond County","All","All","American Literature and Composition","863","863","219","TFS","1094.8"
2021,"District Level","722","Rockdale County","All","All","American Literature and Composition","177","177","43","TFS","1065.3"
2021,"District Level","723","Schley County","All","All","American Literature and Composition","84","84","44","TFS","1250.1"
2021,"District Level","724","Screven County","All","All","American Literature and Composition","90","90","46","TFS","1270.4"
2021,"District Level","725","Seminole County","All","All","American Literature and Composition","67","67","21","TFS","1171.4"
2021,"District Level","726","Griffin-Spalding County","All","All","9th Grade Literature and Composition","TFS","TFS","TFS","TFS","TFS"
2021,"District Level","726","Griffin-Spalding County","All","All","American Literature and Composition","522","522","170","TFS","1172.7"
2021,"District Level","727","Stephens County","All","All","American Literature and Composition","234","234","106","TFS","1246.3"
2021,"District Level","728","Stewart County","All","All","American Literature and Composition","23","23","14","TFS","1310.2"
2021,"District Level","729","Sumter County","All","All","American Literature and Composition","135","135","29","TFS","1052"
