"SCHOOL_YEAR","DETAIL_LEVEL","SCHOOL_DSTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","ACDMC_LVL_CD","TOTAL_STUDENTS_TESTED","STUDENTS_WITH_LEXILE","LEXILE_ON_OR_ABOVE_MIDPOINT","NO_LEXILE_SCORE","AVG_LEXILE_SCORE"
2016,"District Level","601","Appling County","All","All","03",269,269,87,0,601.1
2016,"District Level","601","Appling County","All","All","04",264,264,80,0,729.1
2016,"District Level","601","Appling County","All","All","05",260,260,118,0,900
2016,"District Level","601","Appling County","All","All","06",255,255,94,0,930.7
2016,"District Level","601","Appling County","All","All","07",247,247,157,0,1094.3
2016,"District Level","601","Appling County","All","All","08",245,245,138,0,1112.4
2016,"District Level","602","Atkinson County","All","All","03",122,122,61,0,664.4
2016,"District Level","602","Atkinson County","All","All","04",125,125,46,0,787.4
2016,"District Level","602","Atkinson County","All","All","05",113,112,47,1,910
2016,"District Level","602","Atkinson County","All","All","06",107,105,56,2,1006
2016,"District Level","602","Atkinson County","All","All","07",124,123,73,1,1063.8
2016,"District Level","602","Atkinson County","All","All","08",147,147,89,0,1134.4
2016,"District Level","603","Bacon County","All","All","03",156,154,51,2,602
2016,"District Level","603","Bacon County","All","All","04",178,177,70,1,769.7
2016,"District Level","603","Bacon County","All","All","05",150,149,77,1,930
2016,"District Level","603","Bacon County","All","All","06",153,152,80,1,1010
2016,"District Level","603","Bacon County","All","All","07",165,165,103,0,1088.5
2016,"District Level","603","Bacon County","All","All","08",133,133,85,0,1153.5
2016,"District Level","604","Baker County","All","All","03",24,24,7,0,596.3
2016,"District Level","604","Baker County","All","All","04",26,26,9,0,725.2
2016,"District Level","604","Baker County","All","All","05",27,27,7,0,828.1
2016,"District Level","604","Baker County","All","All","06",19,19,6,0,897.6
2016,"District Level","604","Baker County","All","All","07",28,28,13,0,1015.5
2016,"District Level","604","Baker County","All","All","08",19,19,8,0,1046.8
2016,"District Level","605","Baldwin County","All","All","03",512,512,161,0,590.7
2016,"District Level","605","Baldwin County","All","All","04",467,467,115,0,692.3
2016,"District Level","605","Baldwin County","All","All","05",487,484,173,3,880.4
2016,"District Level","605","Baldwin County","All","All","06",370,370,98,0,885.1
2016,"District Level","605","Baldwin County","All","All","07",346,345,141,1,999.8
2016,"District Level","605","Baldwin County","All","All","08",352,350,148,2,1058.6
2016,"District Level","606","Banks County","All","All","03",206,205,108,1,691.2
2016,"District Level","606","Banks County","All","All","04",211,211,111,0,852.2
2016,"District Level","606","Banks County","All","All","05",214,214,118,0,959.6
2016,"District Level","606","Banks County","All","All","06",206,206,114,0,1010.5
2016,"District Level","606","Banks County","All","All","07",210,209,154,1,1141
2016,"District Level","606","Banks County","All","All","08",238,236,146,2,1157
2016,"District Level","607","Barrow County","All","All","03",1083,1079,509,4,663.3
2016,"District Level","607","Barrow County","All","All","04",1063,1061,518,2,818.6
2016,"District Level","607","Barrow County","All","All","05",1068,1064,561,4,933.2
2016,"District Level","607","Barrow County","All","All","06",1012,1008,434,4,967.9
2016,"District Level","607","Barrow County","All","All","07",961,957,604,4,1096.3
2016,"District Level","607","Barrow County","All","All","08",968,965,596,3,1141.3
2016,"District Level","608","Bartow County","All","All","03",1047,1044,490,7,654.4
2016,"District Level","608","Bartow County","All","All","04",1000,999,414,1,786.2
2016,"District Level","608","Bartow County","All","All","05",1002,1000,486,2,919.6
2016,"District Level","608","Bartow County","All","All","06",1034,1032,428,2,955.5
2016,"District Level","608","Bartow County","All","All","07",1035,1035,631,0,1084.4
2016,"District Level","608","Bartow County","All","All","08",990,989,600,1,1144.7
2016,"District Level","609","Ben Hill County","All","All","03",271,271,114,1,637.4
2016,"District Level","609","Ben Hill County","All","All","04",234,233,91,1,788.8
2016,"District Level","609","Ben Hill County","All","All","05",209,209,92,0,898.5
2016,"District Level","609","Ben Hill County","All","All","06",213,212,91,1,946.9
2016,"District Level","609","Ben Hill County","All","All","07",221,219,126,2,1064.1
2016,"District Level","609","Ben Hill County","All","All","08",214,214,107,0,1099.4
2016,"District Level","610","Berrien County","All","All","03",256,256,146,0,706
2016,"District Level","610","Berrien County","All","All","04",222,220,117,2,847.2
2016,"District Level","610","Berrien County","All","All","05",249,249,141,0,964
2016,"District Level","610","Berrien County","All","All","06",246,246,135,0,1012.8
2016,"District Level","610","Berrien County","All","All","07",214,214,153,0,1116
2016,"District Level","610","Berrien County","All","All","08",210,210,133,0,1169.2
2016,"District Level","611","Bibb County","All","All","03",2012,2000,621,19,558.5
2016,"District Level","611","Bibb County","All","All","04",1886,1883,589,4,717.8
2016,"District Level","611","Bibb County","All","All","05",1805,1798,617,7,855.2
2016,"District Level","611","Bibb County","All","All","06",1743,1721,427,22,868
2016,"District Level","611","Bibb County","All","All","07",1700,1689,760,11,1006.3
2016,"District Level","611","Bibb County","All","All","08",1676,1660,714,16,1067.2
2016,"District Level","612","Bleckley County","All","All","03",191,191,79,0,644.4
2016,"District Level","612","Bleckley County","All","All","04",174,174,88,0,844.3
2016,"District Level","612","Bleckley County","All","All","05",158,158,97,0,985.3
2016,"District Level","612","Bleckley County","All","All","06",174,174,103,0,1022.9
2016,"District Level","612","Bleckley County","All","All","07",159,159,103,0,1134.6
2016,"District Level","612","Bleckley County","All","All","08",188,188,124,0,1182.8
2016,"District Level","613","Brantley County","All","All","03",230,229,126,1,695.2
2016,"District Level","613","Brantley County","All","All","04",248,248,132,0,844.1
2016,"District Level","613","Brantley County","All","All","05",231,231,115,0,910.6
2016,"District Level","613","Brantley County","All","All","06",261,261,135,0,1015.1
2016,"District Level","613","Brantley County","All","All","07",245,244,149,1,1080.2
2016,"District Level","613","Brantley County","All","All","08",255,254,168,1,1182.8
2016,"District Level","614","Brooks County","All","All","03",181,180,54,2,563.5
