"SCHOOL_YEAR","DETAIL_LEVEL","SCHOOL_DSTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","ACDMC_LVL_CD","TOTAL_STUDENTS_TESTED","STUDENTS_WITH_LEXILE","LEXILE_ON_OR_ABOVE_MIDPOINT","NO_LEXILE_SCORE","AVG_LEXILE_SCORE"
2021,"District Level","601","Appling County","All","All","03","264","263","94","TFS","601.2"
2021,"District Level","601","Appling County","All","All","04","198","196","62","TFS","775.6"
2021,"District Level","601","Appling County","All","All","05","242","242","120","TFS","911.8"
2021,"District Level","601","Appling County","All","All","06","252","251","99","TFS","937.8"
2021,"District Level","601","Appling County","All","All","07","262","262","129","TFS","1059.1"
2021,"District Level","601","Appling County","All","All","08","239","239","111","TFS","1099.7"
2021,"District Level","602","Atkinson County","All","All","03","90","90","42","TFS","649.3"
2021,"District Level","602","Atkinson County","All","All","04","108","108","32","TFS","751.6"
2021,"District Level","602","Atkinson County","All","All","05","107","107","45","TFS","893.3"
2021,"District Level","602","Atkinson County","All","All","06","115","115","48","TFS","962.3"
2021,"District Level","602","Atkinson County","All","All","07","114","114","53","TFS","1044.3"
2021,"District Level","602","Atkinson County","All","All","08","107","107","62","TFS","1163"
2021,"District Level","603","Bacon County","All","All","03","145","145","65","TFS","647.3"
2021,"District Level","603","Bacon County","All","All","04","139","139","77","TFS","854.9"
2021,"District Level","603","Bacon County","All","All","05","144","144","93","TFS","976.2"
2021,"District Level","603","Bacon County","All","All","06","149","149","53","TFS","916.3"
2021,"District Level","603","Bacon County","All","All","07","190","190","102","TFS","1064"
2021,"District Level","603","Bacon County","All","All","08","149","149","85","TFS","1132.3"
2021,"District Level","604","Baker County","All","All","03","22","22","TFS","TFS","457"
2021,"District Level","604","Baker County","All","All","04","17","17","TFS","TFS","743.5"
2021,"District Level","604","Baker County","All","All","05","16","16","TFS","TFS","841.3"
2021,"District Level","604","Baker County","All","All","06","22","22","TFS","TFS","876.8"
2021,"District Level","604","Baker County","All","All","07","21","21","TFS","TFS","986.4"
2021,"District Level","604","Baker County","All","All","08","16","16","TFS","TFS","923.8"
2021,"District Level","605","Baldwin County","All","All","03","293","291","46","TFS","468.3"
2021,"District Level","605","Baldwin County","All","All","04","286","283","66","TFS","673.9"
2021,"District Level","605","Baldwin County","All","All","05","269","266","79","TFS","824.6"
2021,"District Level","605","Baldwin County","All","All","06","290","285","81","TFS","871"
2021,"District Level","605","Baldwin County","All","All","07","273","258","101","15","998.8"
2021,"District Level","605","Baldwin County","All","All","08","306","291","109","15","1030.5"
2021,"District Level","606","Banks County","All","All","03","186","186","82","TFS","629.3"
2021,"District Level","606","Banks County","All","All","04","186","186","70","TFS","784.1"
2021,"District Level","606","Banks County","All","All","05","186","186","97","TFS","922.8"
2021,"District Level","606","Banks County","All","All","06","203","203","97","TFS","972"
2021,"District Level","606","Banks County","All","All","07","209","209","118","TFS","1076.7"
2021,"District Level","606","Banks County","All","All","08","227","225","122","TFS","1116.5"
2021,"District Level","607","Barrow County","All","All","03","994","991","363","TFS","600.7"
2021,"District Level","607","Barrow County","All","All","04","911","910","338","TFS","778.6"
2021,"District Level","607","Barrow County","All","All","05","936","934","471","TFS","912.1"
2021,"District Level","607","Barrow County","All","All","06","1038","1009","404","29","934.1"
2021,"District Level","607","Barrow County","All","All","07","943","931","471","12","1056.8"
2021,"District Level","607","Barrow County","All","All","08","1021","954","523","67","1124"
2021,"District Level","608","Bartow County","All","All","03","933","931","364","TFS","601.7"
2021,"District Level","608","Bartow County","All","All","04","921","920","315","TFS","762.8"
2021,"District Level","608","Bartow County","All","All","05","911","911","487","TFS","920"
2021,"District Level","608","Bartow County","All","All","06","909","907","375","TFS","944.6"
2021,"District Level","608","Bartow County","All","All","07","973","972","478","TFS","1061.5"
2021,"District Level","608","Bartow County","All","All","08","1045","957","520","88","1119.4"
2021,"District Level","609","Ben Hill County","All","All","03","177","177","61","TFS","582.4"
2021,"District Level","609","Ben Hill County","All","All","04","228","225","68","TFS","748.2"
2021,"District Level","609","Ben Hill County","All","All","05","201","201","78","TFS","851.2"
2021,"District Level","609","Ben Hill County","All","All","06","238","238","73","TFS","884.1"
2021,"District Level","609","Ben Hill County","All","All","07","235","234","93","TFS","1013.6"
2021,"District Level","609","Ben Hill County","All","All","08","242","242","103","TFS","1065.2"
2021,"District Level","610","Berrien County","All","All","03","219","219","105","TFS","661.1"
2021,"District Level","610","Berrien County","All","All","04","199","199","89","TFS","827.6"
2021,"District Level","610","Berrien County","All","All","05","223","222","141","TFS","959.1"
2021,"District Level","610","Berrien County","All","All","06","218","218","96","TFS","952.4"
2021,"District Level","610","Berrien County","All","All","07","235","235","140","TFS","1098.9"
2021,"District Level","610","Berrien County","All","All","08","249","248","153","TFS","1159"
2021,"District Level","611","Bibb County","All","All","03","1328","1326","280","10","495.3"
2021,"District Level","611","Bibb County","All","All","04","1252","1248","258","TFS","675.5"
2021,"District Level","611","Bibb County","All","All","05","1186","1184","402","TFS","833.4"
2021,"District Level","611","Bibb County","All","All","06","1098","1070","255","28","843.6"
2021,"District Level","611","Bibb County","All","All","07","950","933","298","17","962.8"
2021,"District Level","611","Bibb County","All","All","08","902","846","334","56","1031.3"
2021,"District Level","612","Bleckley County","All","All","03","166","166","74","TFS","653.2"
2021,"District Level","612","Bleckley County","All","All","04","174","174","99","TFS","868.2"
2021,"District Level","612","Bleckley County","All","All","05","175","175","96","TFS","938.3"
2021,"District Level","612","Bleckley County","All","All","06","188","188","91","TFS","993.4"
2021,"District Level","612","Bleckley County","All","All","07","187","187","108","TFS","1098.3"
2021,"District Level","612","Bleckley County","All","All","08","174","174","120","TFS","1211.7"
2021,"District Level","613","Brantley County","All","All","03","234","233","115","TFS","662.3"
2021,"District Level","613","Brantley County","All","All","04","247","247","110","TFS","803.8"
2021,"District Level","613","Brantley County","All","All","05","243","243","150","TFS","955.5"
2021,"District Level","613","Brantley County","All","All","06","270","270","150","TFS","1008"
2021,"District Level","613","Brantley County","All","All","07","233","233","122","TFS","1077.5"
2021,"District Level","613","Brantley County","All","All","08","235","235","148","TFS","1153.8"
2021,"District Level","614","Brooks County","All","All","03","158","158","26","TFS","493.2"
2021,"District Level","614","Brooks County","All","All","04","148","148","19","TFS","622.6"
2021,"District Level","614","Brooks County","All","All","05","166","165","53","TFS","834.5"
2021,"District Level","614","Brooks County","All","All","06","138","138","26","TFS","828.4"
2021,"District Level","614","Brooks County","All","All","07","139","137","44","TFS","956.7"
2021,"District Level","614","Brooks County","All","All","08","150","148","63","TFS","1040.8"
2021,"District Level","615","Bryan County","All","All","03","715","714","389","TFS","687.1"
2021,"District Level","615","Bryan County","All","All","04","661","661","359","TFS","861.2"
2021,"District Level","615","Bryan County","All","All","05","708","707","484","TFS","996.5"
2021,"District Level","615","Bryan County","All","All","06","743","742","464","TFS","1046.4"
2021,"District Level","615","Bryan County","All","All","07","789","788","544","TFS","1168.1"
2021,"District Level","615","Bryan County","All","All","08","741","734","549","TFS","1231.7"
2021,"District Level","616","Bulloch County","All","All","03","693","693","299","TFS","620.9"
2021,"District Level","616","Bulloch County","All","All","04","713","713","231","TFS","764.5"
2021,"District Level","616","Bulloch County","All","All","05","702","700","372","TFS","918.2"
2021,"District Level","616","Bulloch County","All","All","06","665","663","253","TFS","921.9"
2021,"District Level","616","Bulloch County","All","All","07","695","693","348","TFS","1062"
2021,"District Level","616","Bulloch County","All","All","08","702","693","378","TFS","1132.2"
2021,"District Level","617","Burke County","All","All","03","219","219","56","TFS","534"
2021,"District Level","617","Burke County","All","All","04","239","239","60","TFS","704.4"
2021,"District Level","617","Burke County","All","All","05","221","221","68","TFS","842.6"
2021,"District Level","617","Burke County","All","All","06","250","250","73","TFS","864"
2021,"District Level","617","Burke County","All","All","07","253","252","97","TFS","991.8"
2021,"District Level","617","Burke County","All","All","08","259","243","119","16","1091.9"
2021,"District Level","618","Butts County","All","All","03","240","240","83","TFS","583.5"
2021,"District Level","618","Butts County","All","All","04","218","218","55","TFS","731.6"
2021,"District Level","618","Butts County","All","All","05","235","235","102","TFS","872"
2021,"District Level","618","Butts County","All","All","06","223","223","79","TFS","919.1"
2021,"District Level","618","Butts County","All","All","07","238","238","127","TFS","1063"
2021,"District Level","618","Butts County","All","All","08","263","263","137","TFS","1108.6"
2021,"District Level","619","Calhoun County","All","All","03","32","32","TFS","TFS","415.3"
2021,"District Level","619","Calhoun County","All","All","04","27","27","TFS","TFS","510.9"
2021,"District Level","619","Calhoun County","All","All","05","38","37","TFS","TFS","758.6"
2021,"District Level","619","Calhoun County","All","All","06","26","26","TFS","TFS","813.8"
2021,"District Level","619","Calhoun County","All","All","07","36","32","TFS","TFS","939.8"
2021,"District Level","619","Calhoun County","All","All","08","45","44","10","TFS","908.1"
2021,"District Level","620","Camden County","All","All","03","633","633","352","TFS","701.6"
2021,"District Level","620","Camden County","All","All","04","582","582","319","TFS","875.5"
2021,"District Level","620","Camden County","All","All","05","648","647","450","TFS","998.5"
2021,"District Level","620","Camden County","All","All","06","589","589","372","TFS","1048.6"
2021,"District Level","620","Camden County","All","All","07","594","594","416","TFS","1163"
2021,"District Level","620","Camden County","All","All","08","583","555","418","28","1241.2"
2021,"District Level","621","Candler County","All","All","03","158","158","43","TFS","531.1"
2021,"District Level","621","Candler County","All","All","04","168","167","46","TFS","714.6"
2021,"District Level","621","Candler County","All","All","05","143","143","63","TFS","884.6"
2021,"District Level","621","Candler County","All","All","06","154","154","50","TFS","878.9"
2021,"District Level","621","Candler County","All","All","07","170","170","74","TFS","1027.9"
2021,"District Level","621","Candler County","All","All","08","175","175","92","TFS","1100.5"
2021,"District Level","622","Carroll County","All","All","03","1024","1023","492","TFS","651.3"
2021,"District Level","622","Carroll County","All","All","04","1033","1032","426","TFS","802.1"
2021,"District Level","622","Carroll County","All","All","05","1056","1055","618","TFS","944.5"
2021,"District Level","622","Carroll County","All","All","06","1076","1071","516","TFS","974.4"
2021,"District Level","622","Carroll County","All","All","07","1113","1109","617","TFS","1086.3"
2021,"District Level","622","Carroll County","All","All","08","1043","1040","632","TFS","1162"
2021,"District Level","623","Catoosa County","All","All","03","648","648","278","TFS","630.4"
2021,"District Level","623","Catoosa County","All","All","04","636","635","276","TFS","805.4"
2021,"District Level","623","Catoosa County","All","All","05","653","653","405","TFS","957.7"
2021,"District Level","623","Catoosa County","All","All","06","697","695","369","TFS","993.5"
2021,"District Level","623","Catoosa County","All","All","07","680","675","403","TFS","1101"
2021,"District Level","623","Catoosa County","All","All","08","718","715","458","TFS","1174.7"
2021,"District Level","624","Charlton County","All","All","03","123","123","66","TFS","665.2"
2021,"District Level","624","Charlton County","All","All","04","115","115","36","TFS","747.8"
2021,"District Level","624","Charlton County","All","All","05","114","114","57","TFS","919.8"
2021,"District Level","624","Charlton County","All","All","06","129","129","49","TFS","912.4"
2021,"District Level","624","Charlton County","All","All","07","122","122","63","TFS","1067.3"
2021,"District Level","624","Charlton County","All","All","08","98","98","49","TFS","1107.4"
2021,"District Level","625","Savannah-Chatham County","All","All","03","1279","1265","397","19","553.2"
