"LONG_SCHOOL_YEAR","SCHOOL_DSTRCT_NM","INSTN_NAME","LABEL_LVL_3_DESC","LABEL_LVL_2_DESC","FTE","INEXPERIENCED_FTE","INEXPERIENCED_FTE_PCT"
"2017-18","Appling County","Altamaha Elementary School","Leaders","Not Applicable",1,0,0
"2017-18","Appling County","Altamaha Elementary School","Teachers","Total",29.2,5,17
"2017-18","Appling County","Appling County Elementary School","Leaders","Not Applicable",2,0,0
"2017-18","Appling County","Appling County Elementary School","Teachers","Total",43.9,11,25
"2017-18","Appling County","Appling County High School","Leaders","Not Applicable",2,0,0
"2017-18","Appling County","Appling County High School","Teachers","Total",70.9,26.3,37
"2017-18","Appling County","Appling County Middle School","Leaders","Not Applicable",2,1,50
"2017-18","Appling County","Appling County Middle School","Teachers","Total",56.1,21,37
"2017-18","Appling County","Appling County Primary School","Leaders","Not Applicable",2,1,50
"2017-18","Appling County","Appling County Primary School","Teachers","Total",57,21,37
"2017-18","Appling County","Appling County- All Schools","Leaders","Total",10,3,30
"2017-18","Appling County","Appling County- All Schools","Teachers","Total",273.1,89.3,33
"2017-18","Appling County","Fourth District Elementary School","Leaders","Not Applicable",1,1,100
"2017-18","Appling County","Fourth District Elementary School","Teachers","Total",16.3,6,37
"2017-18","Atkinson County","Atkinson County High School","Leaders","Not Applicable",2.1,1,48
"2017-18","Atkinson County","Atkinson County High School","Teachers","Total",31.7,12.3,39
"2017-18","Atkinson County","Atkinson County Middle School","Leaders","Not Applicable",2.2,0,0
"2017-18","Atkinson County","Atkinson County Middle School","Teachers","Total",26,11.9,46
"2017-18","Atkinson County","Atkinson County- All Schools","Leaders","High Poverty",3.2,2.1,66
"2017-18","Atkinson County","Atkinson County- All Schools","Leaders","Total",7.5,3.1,42
"2017-18","Atkinson County","Atkinson County- All Schools","Teachers","High Poverty",65,10,15
"2017-18","Atkinson County","Atkinson County- All Schools","Teachers","Total",121.8,33.2,27
"2017-18","Atkinson County","Pearson Elementary School","Leaders","High Poverty",2.1,2.1,100
"2017-18","Atkinson County","Pearson Elementary School","Teachers","High Poverty",47.3,8,17
"2017-18","Atkinson County","Pearson Elementary School","Teachers","Total",47.3,8,17
"2017-18","Atkinson County","Willacoochee Elementary School","Leaders","High Poverty",1.1,0,0
"2017-18","Atkinson County","Willacoochee Elementary School","Teachers","High Poverty",15.5,1.2,8
"2017-18","Atkinson County","Willacoochee Elementary School","Teachers","Total",15.5,1.2,8
"2017-18","Atlanta Public Schools","APS-Forrest Hills Academy","Leaders","High Poverty",4,2,50
"2017-18","Atlanta Public Schools","APS-Forrest Hills Academy","Teachers","High Poverty",49.2,36.2,74
"2017-18","Atlanta Public Schools","APS-Forrest Hills Academy","Teachers","Total",49.2,36.2,74
"2017-18","Atlanta Public Schools","Atlanta Classical Academy","Leaders","Low Poverty",3,2,67
"2017-18","Atlanta Public Schools","Atlanta Classical Academy","Teachers","Low Poverty",52,37,71
"2017-18","Atlanta Public Schools","Atlanta Classical Academy","Teachers","Total",52,37,71
"2017-18","Atlanta Public Schools","Atlanta Neighborhood Charter - Elementary","Leaders","Low Poverty",2,0,0
"2017-18","Atlanta Public Schools","Atlanta Neighborhood Charter - Elementary","Teachers","Low Poverty",35.1,16.1,46
"2017-18","Atlanta Public Schools","Atlanta Neighborhood Charter - Elementary","Teachers","Total",35.1,16.1,46
"2017-18","Atlanta Public Schools","Atlanta Neighborhood Charter - Middle","Leaders","Low Poverty",2,1,50
"2017-18","Atlanta Public Schools","Atlanta Neighborhood Charter - Middle","Teachers","Low Poverty",28,17,61
"2017-18","Atlanta Public Schools","Atlanta Neighborhood Charter - Middle","Teachers","Total",28,17,61
"2017-18","Atlanta Public Schools","Atlanta Public Schools- All Schools","Leaders","High Poverty",201,86.5,43
"2017-18","Atlanta Public Schools","Atlanta Public Schools- All Schools","Leaders","Low Poverty",49,23,47
"2017-18","Atlanta Public Schools","Atlanta Public Schools- All Schools","Leaders","Total",267,118.5,44
"2017-18","Atlanta Public Schools","Atlanta Public Schools- All Schools","Teachers","High Poverty",2946.2,1623.2,55
"2017-18","Atlanta Public Schools","Atlanta Public Schools- All Schools","Teachers","Low Poverty",1003,417.9,42
"2017-18","Atlanta Public Schools","Atlanta Public Schools- All Schools","Teachers","Total",4210.3,2187.6,52
"2017-18","Atlanta Public Schools","B.E.S.T Academy","Leaders","High Poverty",4,1,25
"2017-18","Atlanta Public Schools","B.E.S.T Academy","Teachers","High Poverty",58.5,32.5,56
"2017-18","Atlanta Public Schools","B.E.S.T Academy","Teachers","Total",58.5,32.5,56
"2017-18","Atlanta Public Schools","Barack and Michelle Obama Academy","Leaders","High Poverty",2,0,0
"2017-18","Atlanta Public Schools","Barack and Michelle Obama Academy","Teachers","High Poverty",26,16.5,63
"2017-18","Atlanta Public Schools","Barack and Michelle Obama Academy","Teachers","Total",26,16.5,63
"2017-18","Atlanta Public Schools","Bazoline E. Usher/Collier Heights Elmentary School","Leaders","High Poverty",2,0,0
"2017-18","Atlanta Public Schools","Bazoline E. Usher/Collier Heights Elmentary School","Teachers","High Poverty",36.7,16.5,45
"2017-18","Atlanta Public Schools","Bazoline E. Usher/Collier Heights Elmentary School","Teachers","Total",36.7,16.5,45
"2017-18","Atlanta Public Schools","Beecher Hills Elementary School","Leaders","High Poverty",2,0.5,25
"2017-18","Atlanta Public Schools","Beecher Hills Elementary School","Teachers","High Poverty",33.5,10.6,32
"2017-18","Atlanta Public Schools","Beecher Hills Elementary School","Teachers","Total",33.5,10.6,32
"2017-18","Atlanta Public Schools","Benteen Elementary School","Leaders","High Poverty",2,0,0
"2017-18","Atlanta Public Schools","Benteen Elementary School","Teachers","High Poverty",27.6,18.1,66
"2017-18","Atlanta Public Schools","Benteen Elementary School","Teachers","Total",27.6,18.1,66
"2017-18","Atlanta Public Schools","Bolton Academy","Leaders","Not Applicable",2,1,50
"2017-18","Atlanta Public Schools","Bolton Academy","Teachers","Total",50,26,52
"2017-18","Atlanta Public Schools","Booker T. Washington High School","Leaders","High Poverty",5,0,0
"2017-18","Atlanta Public Schools","Booker T. Washington High School","Teachers","High Poverty",83.8,53,63
"2017-18","Atlanta Public Schools","Booker T. Washington High School","Teachers","Total",83.8,53,63
"2017-18","Atlanta Public Schools","Boyd Elementary School","Leaders","High Poverty",2,2,100
"2017-18","Atlanta Public Schools","Boyd Elementary School","Teachers","High Poverty",39.2,24.2,62
"2017-18","Atlanta Public Schools","Boyd Elementary School","Teachers","Total",39.2,24.2,62
"2017-18","Atlanta Public Schools","Brandon Elementary School","Leaders","Low Poverty",3,1,33
"2017-18","Atlanta Public Schools","Brandon Elementary School","Teachers","Low Poverty",67,21,31
"2017-18","Atlanta Public Schools","Brandon Elementary School","Teachers","Total",67,21,31
"2017-18","Atlanta Public Schools","Brown Middle School","Leaders","High Poverty",4,0,0
"2017-18","Atlanta Public Schools","Brown Middle School","Teachers","High Poverty",44.1,29.2,66
"2017-18","Atlanta Public Schools","Brown Middle School","Teachers","Total",44.1,29.2,66
"2017-18","Atlanta Public Schools","Bunche Middle School","Leaders","High Poverty",4,0,0
"2017-18","Atlanta Public Schools","Bunche Middle School","Teachers","High Poverty",54.1,28.1,52
"2017-18","Atlanta Public Schools","Bunche Middle School","Teachers","Total",54.1,28.1,52
"2017-18","Atlanta Public Schools","Burgess-Peterson Elementary School","Leaders","High Poverty",2,1,50
"2017-18","Atlanta Public Schools","Burgess-Peterson Elementary School","Teachers","High Poverty",45.8,17.2,37
"2017-18","Atlanta Public Schools","Burgess-Peterson Elementary School","Teachers","Total",45.8,17.2,37
"2017-18","Atlanta Public Schools","Carver High School","Leaders","High Poverty",4,3,75
"2017-18","Atlanta Public Schools","Carver High School","Teachers","High Poverty",72.7,52,71
"2017-18","Atlanta Public Schools","Carver High School","Teachers","Total",72.7,52,71
"2017-18","Atlanta Public Schools","Cascade Elementary School","Leaders","High Poverty",2,1,50
"2017-18","Atlanta Public Schools","Cascade Elementary School","Teachers","High Poverty",37.7,14.5,38
"2017-18","Atlanta Public Schools","Cascade Elementary School","Teachers","Total",37.7,14.5,38
"2017-18","Atlanta Public Schools","Centennial Academy","Leaders","High Poverty",5,3,60
"2017-18","Atlanta Public Schools","Centennial Academy","Teachers","High Poverty",71,42,59
"2017-18","Atlanta Public Schools","Centennial Academy","Teachers","Total",71,42,59
"2017-18","Atlanta Public Schools","Charles Drew Charter School JA/SA","Leaders","Not Applicable",4,1,25
"2017-18","Atlanta Public Schools","Charles Drew Charter School JA/SA","Teachers","Total",88.5,64,72
"2017-18","Atlanta Public Schools","Charles R. Drew Charter School","Leaders","Low Poverty",3,2,67
"2017-18","Atlanta Public Schools","Charles R. Drew Charter School","Teachers","Low Poverty",82,34,41
"2017-18","Atlanta Public Schools","Charles R. Drew Charter School","Teachers","Total",82,34,41
"2017-18","Atlanta Public Schools","Cleveland Elementary School","Leaders","High Poverty",2,1,50
"2017-18","Atlanta Public Schools","Cleveland Elementary School","Teachers","High Poverty",32.8,10.6,32
"2017-18","Atlanta Public Schools","Cleveland Elementary School","Teachers","Total",32.8,10.6,32
"2017-18","Atlanta Public Schools","Continental Colony Elementary School","Leaders","High Poverty",2,2,100
"2017-18","Atlanta Public Schools","Continental Colony Elementary School","Teachers","High Poverty",36.4,17.2,47
"2017-18","Atlanta Public Schools","Continental Colony Elementary School","Teachers","Total",36.4,17.2,47
"2017-18","Atlanta Public Schools","Corretta Scott King Womens' Leadership Academy","Leaders","High Poverty",4,1,25
"2017-18","Atlanta Public Schools","Corretta Scott King Womens' Leadership Academy","Teachers","High Poverty",65.9,38.5,58
"2017-18","Atlanta Public Schools","Corretta Scott King Womens' Leadership Academy","Teachers","Total",65.9,38.5,58
"2017-18","Atlanta Public Schools","Crim High School","Leaders","High Poverty",3,0,0
"2017-18","Atlanta Public Schools","Crim High School","Teachers","High Poverty",36.8,24,65
"2017-18","Atlanta Public Schools","Crim High School","Teachers","Total",36.8,24,65
"2017-18","Atlanta Public Schools","Deerwood Academy School","Leaders","High Poverty",3,2,67
"2017-18","Atlanta Public Schools","Deerwood Academy School","Teachers","High Poverty",55.5,31.5,57
"2017-18","Atlanta Public Schools","Deerwood Academy School","Teachers","Total",55.5,31.5,57
"2017-18","Atlanta Public Schools","Dobbs Elementary School","Leaders","High Poverty",2,0,0
"2017-18","Atlanta Public Schools","Dobbs Elementary School","Teachers","High Poverty",35.2,7,20
"2017-18","Atlanta Public Schools","Dobbs Elementary School","Teachers","Total",35.2,7,20
"2017-18","Atlanta Public Schools","Douglass High School","Leaders","High Poverty",4.5,2,44
"2017-18","Atlanta Public Schools","Douglass High School","Teachers","High Poverty",83.8,52,62
"2017-18","Atlanta Public Schools","Douglass High School","Teachers","Total",83.8,52,62
"2017-18","Atlanta Public Schools","Dunbar Elementary School","Leaders","High Poverty",2,1,50
"2017-18","Atlanta Public Schools","Dunbar Elementary School","Teachers","High Poverty",30.5,15.1,50
"2017-18","Atlanta Public Schools","Dunbar Elementary School","Teachers","Total",30.5,15.1,50
"2017-18","Atlanta Public Schools","Early College High School at Carver","Leaders","High Poverty",2.9,1,34
"2017-18","Atlanta Public Schools","Early College High School at Carver","Teachers","High Poverty",45.4,26.9,59
"2017-18","Atlanta Public Schools","Early College High School at Carver","Teachers","Total",45.4,26.9,59
"2017-18","Atlanta Public Schools","F. L. Stanton Elementary School","Leaders","High Poverty",2,0,0
"2017-18","Atlanta Public Schools","F. L. Stanton Elementary School","Teachers","High Poverty",26.5,14.5,55
"2017-18","Atlanta Public Schools","F. L. Stanton Elementary School","Teachers","Total",26.5,14.5,55
"2017-18","Atlanta Public Schools","Fain Elementary School","Leaders","High Poverty",2,1,50
"2017-18","Atlanta Public Schools","Fain Elementary School","Teachers","High Poverty",35.8,25.5,71
"2017-18","Atlanta Public Schools","Fain Elementary School","Teachers","Total",35.8,25.5,71
"2017-18","Atlanta Public Schools","Fickett Elementary School","Leaders","High Poverty",2,0,0
"2017-18","Atlanta Public Schools","Fickett Elementary School","Teachers","High Poverty",43.1,16.3,38
"2017-18","Atlanta Public Schools","Fickett Elementary School","Teachers","Total",43.1,16.3,38
"2017-18","Atlanta Public Schools","Finch Elementary","Leaders","High Poverty",3,2,67
"2017-18","Atlanta Public Schools","Finch Elementary","Teachers","High Poverty",42.4,20,47
"2017-18","Atlanta Public Schools","Finch Elementary","Teachers","Total",42.4,20,47
"2017-18","Atlanta Public Schools","Garden Hills Elementary School","Leaders","Not Applicable",2,1,50
"2017-18","Atlanta Public Schools","Garden Hills Elementary School","Teachers","Total",43.5,12.5,29
"2017-18","Atlanta Public Schools","Gideons Elementary School","Leaders","High Poverty",4,4,100
"2017-18","Atlanta Public Schools","Gideons Elementary School","Teachers","High Poverty",63,56,89
"2017-18","Atlanta Public Schools","Gideons Elementary School","Teachers","Total",63,56,89
"2017-18","Atlanta Public Schools","Grady High School","Leaders","Low Poverty",6,0,0
"2017-18","Atlanta Public Schools","Grady High School","Teachers","Low Poverty",128.7,63.5,49
"2017-18","Atlanta Public Schools","Grady High School","Teachers","Total",128.7,63.5,49
"2017-18","Atlanta Public Schools","Harper-Archer Middle School","Leaders","High Poverty",3,0,0
"2017-18","Atlanta Public Schools","Harper-Archer Middle School","Teachers","High Poverty",40.6,26,64
"2017-18","Atlanta Public Schools","Harper-Archer Middle School","Teachers","Total",40.6,26,64
"2017-18","Atlanta Public Schools","Heritage Academy Elementary","Leaders","High Poverty",2,1,50
"2017-18","Atlanta Public Schools","Heritage Academy Elementary","Teachers","High Poverty",42.2,26,62
"2017-18","Atlanta Public Schools","Heritage Academy Elementary","Teachers","Total",42.2,26,62
"2017-18","Atlanta Public Schools","Hillside Conant School","Leaders","High Poverty",2,0,0
"2017-18","Atlanta Public Schools","Hillside Conant School","Teachers","High Poverty",17,13,76
"2017-18","Atlanta Public Schools","Hillside Conant School","Teachers","Total",17,13,76
"2017-18","Atlanta Public Schools","Humphries Elementary School","Leaders","High Poverty",2,1,50
"2017-18","Atlanta Public Schools","Humphries Elementary School","Teachers","High Poverty",27.1,10,37
"2017-18","Atlanta Public Schools","Humphries Elementary School","Teachers","Total",27.1,10,37
"2017-18","Atlanta Public Schools","Hutchinson Elementary School","Leaders","High Poverty",2,0,0
"2017-18","Atlanta Public Schools","Hutchinson Elementary School","Teachers","High Poverty",41,19,46
"2017-18","Atlanta Public Schools","Hutchinson Elementary School","Teachers","Total",41,19,46
"2017-18","Atlanta Public Schools","Inman Middle School","Leaders","Low Poverty",4,2,50
"2017-18","Atlanta Public Schools","Inman Middle School","Teachers","Low Poverty",76,35,46
"2017-18","Atlanta Public Schools","Inman Middle School","Teachers","Total",76,35,46
"2017-18","Atlanta Public Schools","Jackson Elementary School","Leaders","Low Poverty",2,2,100
"2017-18","Atlanta Public Schools","Jackson Elementary School","Teachers","Low Poverty",54.8,19.8,36
"2017-18","Atlanta Public Schools","Jackson Elementary School","Teachers","Total",54.8,19.8,36
"2017-18","Atlanta Public Schools","John Lewis Invictus Academy","Leaders","High Poverty",2,1,50
"2017-18","Atlanta Public Schools","John Lewis Invictus Academy","Teachers","High Poverty",18.9,17,90
"2017-18","Atlanta Public Schools","John Lewis Invictus Academy","Teachers","Total",18.9,17,90
"2017-18","Atlanta Public Schools","KIPP Atlanta Collegiate","Leaders","High Poverty",5,4,80
"2017-18","Atlanta Public Schools","KIPP Atlanta Collegiate","Teachers","High Poverty",88,70,80
"2017-18","Atlanta Public Schools","KIPP Atlanta Collegiate","Teachers","Total",88,70,80
"2017-18","Atlanta Public Schools","KIPP Strive Primary","Leaders","High Poverty",4,3,75
"2017-18","Atlanta Public Schools","KIPP Strive Primary","Teachers","High Poverty",34,26,76
"2017-18","Atlanta Public Schools","KIPP Strive Primary","Teachers","Total",34,26,76
"2017-18","Atlanta Public Schools","KIPP VISION","Leaders","High Poverty",3,3,100
"2017-18","Atlanta Public Schools","KIPP VISION","Teachers","High Poverty",27,26,96
"2017-18","Atlanta Public Schools","KIPP VISION","Teachers","Total",27,26,96
"2017-18","Atlanta Public Schools","KIPP Vision Primary","Leaders","High Poverty",4,3,75
"2017-18","Atlanta Public Schools","KIPP Vision Primary","Teachers","High Poverty",30.3,24.3,80
"2017-18","Atlanta Public Schools","KIPP Vision Primary","Teachers","Total",30.3,24.3,80
"2017-18","Atlanta Public Schools","KIPP West Atlanta Young Scholars Academy","Leaders","High Poverty",3,2,67
"2017-18","Atlanta Public Schools","KIPP West Atlanta Young Scholars Academy","Teachers","High Poverty",30,21,70
"2017-18","Atlanta Public Schools","KIPP West Atlanta Young Scholars Academy","Teachers","Total",30,21,70
"2017-18","Atlanta Public Schools","Kimberly Elementary School","Leaders","High Poverty",2,1,50
"2017-18","Atlanta Public Schools","Kimberly Elementary School","Teachers","High Poverty",38,24,63
"2017-18","Atlanta Public Schools","Kimberly Elementary School","Teachers","Total",38,24,63
"2017-18","Atlanta Public Schools","Kindezi","Leaders","High Poverty",4.5,3.5,78
"2017-18","Atlanta Public Schools","Kindezi","Teachers","High Poverty",59,42,71
"2017-18","Atlanta Public Schools","Kindezi","Teachers","Total",59,42,71
"2017-18","Atlanta Public Schools","Kindezi Old 4th Ward","Leaders","High Poverty",5,5,100
"2017-18","Atlanta Public Schools","Kindezi Old 4th Ward","Teachers","High Poverty",78,74,95
"2017-18","Atlanta Public Schools","Kindezi Old 4th Ward","Teachers","Total",78,74,95
