"LONG_SCHOOL_YEAR","SCHOOL_DSTRCT_NM","INSTN_NAME","LABEL_LVL_3_DESC","LABEL_LVL_2_DESC","FTE","OUTOFFIELD_FTE","OUTOFFIELD_FTE_PCT"
"2017-18","Appling County","Altamaha Elementary School","Teachers","Total",29.2,3.3,11
"2017-18","Appling County","Appling County Elementary School","Teachers","Total",43.9,2.5,6
"2017-18","Appling County","Appling County High School","Teachers","Total",70.9,7,10
"2017-18","Appling County","Appling County Middle School","Teachers","Total",56.1,3.4,6
"2017-18","Appling County","Appling County Primary School","Teachers","Total",57,11.5,20
"2017-18","Appling County","Appling County- All Schools","Teachers","Total",273.1,27.1,10
"2017-18","Appling County","Fourth District Elementary School","Teachers","Total",16.3,0.2,1
"2017-18","Atkinson County","Atkinson County High School","Teachers","Total",31.7,6,19
"2017-18","Atkinson County","Atkinson County Middle School","Teachers","Total",26,5.2,20
"2017-18","Atkinson County","Atkinson County- All Schools","Teachers","High Poverty",65,4,6
"2017-18","Atkinson County","Atkinson County- All Schools","Teachers","Total",121.8,14.5,12
"2017-18","Atkinson County","Pearson Elementary School","Teachers","High Poverty",47.3,1.8,4
"2017-18","Atkinson County","Pearson Elementary School","Teachers","Total",47.3,1.8,4
"2017-18","Atkinson County","Willacoochee Elementary School","Teachers","High Poverty",15.5,2.2,14
"2017-18","Atkinson County","Willacoochee Elementary School","Teachers","Total",15.5,2.2,14
"2017-18","Atlanta Public Schools","APS-Forrest Hills Academy","Teachers","High Poverty",49.2,10.8,22
"2017-18","Atlanta Public Schools","APS-Forrest Hills Academy","Teachers","Total",49.2,10.8,22
"2017-18","Atlanta Public Schools","Atlanta Classical Academy","Teachers","Low Poverty",52,15.6,30
"2017-18","Atlanta Public Schools","Atlanta Classical Academy","Teachers","Total",52,15.6,30
"2017-18","Atlanta Public Schools","Atlanta Neighborhood Charter - Elementary","Teachers","Low Poverty",35.1,13,37
"2017-18","Atlanta Public Schools","Atlanta Neighborhood Charter - Elementary","Teachers","Total",35.1,13,37
"2017-18","Atlanta Public Schools","Atlanta Neighborhood Charter - Middle","Teachers","Low Poverty",28,10.7,38
"2017-18","Atlanta Public Schools","Atlanta Neighborhood Charter - Middle","Teachers","Total",28,10.7,38
"2017-18","Atlanta Public Schools","Atlanta Public Schools- All Schools","Teachers","High Poverty",2946.2,569.3,19
"2017-18","Atlanta Public Schools","Atlanta Public Schools- All Schools","Teachers","Low Poverty",1003,173.6,17
"2017-18","Atlanta Public Schools","Atlanta Public Schools- All Schools","Teachers","Total",4210.3,812,19
"2017-18","Atlanta Public Schools","B.E.S.T Academy","Teachers","High Poverty",58.5,7.2,12
"2017-18","Atlanta Public Schools","B.E.S.T Academy","Teachers","Total",58.5,7.2,12
"2017-18","Atlanta Public Schools","Barack and Michelle Obama Academy","Teachers","High Poverty",26,2,8
"2017-18","Atlanta Public Schools","Barack and Michelle Obama Academy","Teachers","Total",26,2,8
"2017-18","Atlanta Public Schools","Bazoline E. Usher/Collier Heights Elmentary School","Teachers","High Poverty",36.7,6.2,17
"2017-18","Atlanta Public Schools","Bazoline E. Usher/Collier Heights Elmentary School","Teachers","Total",36.7,6.2,17
"2017-18","Atlanta Public Schools","Beecher Hills Elementary School","Teachers","High Poverty",33.5,4.8,14
"2017-18","Atlanta Public Schools","Beecher Hills Elementary School","Teachers","Total",33.5,4.8,14
"2017-18","Atlanta Public Schools","Benteen Elementary School","Teachers","High Poverty",27.6,5.7,21
"2017-18","Atlanta Public Schools","Benteen Elementary School","Teachers","Total",27.6,5.7,21
"2017-18","Atlanta Public Schools","Bolton Academy","Teachers","Total",50,6.6,13
"2017-18","Atlanta Public Schools","Booker T. Washington High School","Teachers","High Poverty",83.8,16.3,19
"2017-18","Atlanta Public Schools","Booker T. Washington High School","Teachers","Total",83.8,16.3,19
"2017-18","Atlanta Public Schools","Boyd Elementary School","Teachers","High Poverty",39.2,4.4,11
"2017-18","Atlanta Public Schools","Boyd Elementary School","Teachers","Total",39.2,4.4,11
"2017-18","Atlanta Public Schools","Brandon Elementary School","Teachers","Low Poverty",67,0.5,1
"2017-18","Atlanta Public Schools","Brandon Elementary School","Teachers","Total",67,0.5,1
"2017-18","Atlanta Public Schools","Brown Middle School","Teachers","High Poverty",44.1,7.7,18
"2017-18","Atlanta Public Schools","Brown Middle School","Teachers","Total",44.1,7.7,18
"2017-18","Atlanta Public Schools","Bunche Middle School","Teachers","High Poverty",54.1,18,33
"2017-18","Atlanta Public Schools","Bunche Middle School","Teachers","Total",54.1,18,33
"2017-18","Atlanta Public Schools","Burgess-Peterson Elementary School","Teachers","High Poverty",45.8,6.9,15
"2017-18","Atlanta Public Schools","Burgess-Peterson Elementary School","Teachers","Total",45.8,6.9,15
"2017-18","Atlanta Public Schools","Carver High School","Teachers","High Poverty",72.7,15.6,21
"2017-18","Atlanta Public Schools","Carver High School","Teachers","Total",72.7,15.6,21
"2017-18","Atlanta Public Schools","Cascade Elementary School","Teachers","High Poverty",37.7,3.4,9
"2017-18","Atlanta Public Schools","Cascade Elementary School","Teachers","Total",37.7,3.4,9
"2017-18","Atlanta Public Schools","Centennial Academy","Teachers","High Poverty",71,19.3,27
"2017-18","Atlanta Public Schools","Centennial Academy","Teachers","Total",71,19.3,27
"2017-18","Atlanta Public Schools","Charles Drew Charter School JA/SA","Teachers","Total",88.5,22.4,25
"2017-18","Atlanta Public Schools","Charles R. Drew Charter School","Teachers","Low Poverty",82,11.9,15
"2017-18","Atlanta Public Schools","Charles R. Drew Charter School","Teachers","Total",82,11.9,15
"2017-18","Atlanta Public Schools","Cleveland Elementary School","Teachers","High Poverty",32.8,4,12
