"DETAIL_LVL_DESC","INSTN_NUMBER","SCHOOL_DSTRCT_CD","LONG_SCHOOL_YEAR","INSTN_NAME","SCHOOL_DSTRCT_NM","GRADES_SERVED_DESC","ENROLL_PERCENT_ASIAN","ENROLL_PERCENT_NATIVE","ENROLL_PERCENT_BLACK","ENROLL_PERCENT_HISPANIC","ENROLL_PERCENT_MULTIRACIAL","ENROLL_PERCENT_WHITE","ENROLL_PERCENT_MIGRANT","ENROLL_PERCENT_ED","ENROLL_PERCENT_SWD","ENROLL_PERCENT_LEP","ENROLL_COUNT_REMEDIAL_GR_6_8","ENROLL_PCT_REMEDIAL_GR_6_8","ENROLL_COUNT_EIP_K_5","ENROLL_PERCENT_EIP_K_5","ENROLL_COUNT_REMEDIAL_GR_9_12","ENROLL_PCT_REMEDIAL_GR_9_12","ENROLL_COUNT_SPECIAL_ED_K12","ENROLL_PCT_SPECIAL_ED_K12","ENROLL_COUNT_ESOL","ENROLL_PCT_ESOL","ENROLL_COUNT_SPECIAL_ED_PK","ENROLL_PCT_SPECIAL_ED_PK","ENROLL_COUNT_VOCATION_9_12","ENROLL_PCT_VOCATION_9_12","ENROLL_COUNT_ALT_PROGRAMS","ENROLL_PCT_ALT_PROGRAMS","ENROLL_COUNT_GIFTED","ENROLL_PCT_GIFTED","ENROLL_PERCENT_MALE","ENROLL_PERCENT_FEMALE"
"School","0103","601","2010-11","Appling County High School","Appling County","09,10,11,12",1,0,23,8,2,66,1,59,15,,,,,,83,8.8,141,15,3,0.3,0,0,565,60.2,717,2.9,65,6.9,55,45
"School","0109","601","2010-11","Baxley Wilderness Institute","Appling County","07,08,09,10",0,0,79,4,0,18,0,100,21.4,0,,,,,,,6,21.4,0,0,0,0,7,36.8,22,0,,,100,0
"School","0177","601","2010-11","Appling County Elementary School","Appling County","01,03,04,05",2,0,27,15,2,54,5,75,13,,,,41,7.9,,,68,13,11,2.1,0,0,,,526,0,19,3.6,52,48
"School","0195","601","2010-11","Appling County Middle School","Appling County","06,07,08",1,0,22,11,1,64,3,63,15.7,,109,14.1,,,,,122,15.7,13,1.7,0,0,0,0,788,2.3,68,8.8,53,47
"School","0277","601","2010-11","Appling County Primary School","Appling County","PK,KK,01,02",1,0,32,17,3,48,5,80,12.1,,,,167,27.8,,,73,12.1,58,9.7,27,4.5,,,592,0,,,49,51
"School","1050","601","2010-11","Altamaha Elementary School","Appling County","PK,KK,01,02,03,04,05",0,0,3,6,2,89,4,61,10.1,,,,52,14.1,,,37,10.1,10,2.7,0,0,,,362,0,17,4.6,52,48
"School","5050","601","2010-11","Fourth District Elementary School","Appling County","PK,KK,01,02,03,04,05",0,0,7,8,7,78,2,56,7.6,,,,25,21,,,9,7.6,3,2.5,0,0,,,115,0,9,7.6,52,48
"District","ALL","601","2010-11","All Column Values","Appling County","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",1,0,23,11,2,63,3,67,13.6,5,109,13.9,285,17.7,83,8.7,456,13.6,98,2.9,27,0.8,572,59.7,3122,1.2,178,5.3,53,47
"School","0103","602","2010-11","Atkinson County High School","Atkinson County","09,10,11,12",0,0,16,34,0,49,2,57,10.9,,,,,,48,10.9,48,10.9,10,2.3,0,0,330,74.8,326,2.5,51,11.6,48,52
"School","0111","602","2010-11","Atkinson County Middle School","Atkinson County","06,07,08",0,0,20,32,0,47,2,75,12.8,,76,20.2,,,,,48,12.8,12,3.2,0,0,,,383,1.3,31,8.2,51,49
