"DETAIL_LVL_DESC","INSTN_NUMBER","SCHOOL_DSTRCT_CD","LONG_SCHOOL_YEAR","INSTN_NAME","SCHOOL_DSTRCT_NM","GRADES_SERVED_DESC","ENROLL_PERCENT_ASIAN","ENROLL_PERCENT_NATIVE","ENROLL_PERCENT_BLACK","ENROLL_PERCENT_HISPANIC","ENROLL_PERCENT_MULTIRACIAL","ENROLL_PERCENT_WHITE","ENROLL_PERCENT_MIGRANT","ENROLL_PERCENT_ED","ENROLL_PERCENT_SWD","ENROLL_PERCENT_LEP","ENROLL_COUNT_REMEDIAL_GR_6_8","ENROLL_PCT_REMEDIAL_GR_6_8","ENROLL_COUNT_EIP_K_5","ENROLL_PERCENT_EIP_K_5","ENROLL_COUNT_REMEDIAL_GR_9_12","ENROLL_PCT_REMEDIAL_GR_9_12","ENROLL_COUNT_SPECIAL_ED_K12","ENROLL_PCT_SPECIAL_ED_K12","ENROLL_COUNT_ESOL","ENROLL_PCT_ESOL","ENROLL_COUNT_SPECIAL_ED_PK","ENROLL_PCT_SPECIAL_ED_PK","ENROLL_COUNT_VOCATION_9_12","ENROLL_PCT_VOCATION_9_12","ENROLL_COUNT_ALT_PROGRAMS","ENROLL_PCT_ALT_PROGRAMS","ENROLL_COUNT_GIFTED","ENROLL_PCT_GIFTED"
"School","0103","601","2014-15","Appling County High School","Appling County","09,10,11,12",1,0,22,11,2,64,4,59,12.7,2,,,,,54,5.4,127,12.7,13,1.3,0,0,607,60.5,68,6.8,68,6.8
"School","0177","601","2014-15","Appling County Elementary School","Appling County","02,03,04,05",1,0,29,19,4,47,7,76,12.8,14,,,87,14.8,,,75,12.8,51,8.7,0,0,,,0,0,12,2
"School","0195","601","2014-15","Appling County Middle School","Appling County","06,07,08",1,0,22,12,4,62,4,65,11.2,1,264,34.2,,,,,86,11.2,11,1.4,0,0,,,17,2.2,54,7
"School","0277","601","2014-15","Appling County Primary School","Appling County","PK,KK,01,02",0,0,30,22,3,45,9,80,13.4,20,,,130,21.6,,,81,13.4,116,19.2,23,14.4,,,0,0,2,0.3
"School","1050","601","2014-15","Altamaha Elementary School","Appling County","PK,KK,01,02,03,04,05",0,0,6,6,2,86,2,61,13.2,4,,,69,20.3,,,45,13.2,14,4.1,7,14,,,0,0,21,6.2
"School","5050","601","2014-15","Fourth District Elementary School","Appling County","PK,KK,01,02,03,04,05",0,0,9,9,5,78,5,65,8.6,4,,,51,33.6,,,13,8.6,4,2.6,1,4.5,,,0,0,3,2
"District","ALL","601","2014-15","All Column Values","Appling County","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",1,0,22,14,3,60,5,67,12.4,7,264,34.2,337,20,54,5.4,427,12.4,209,6,31,13.4,607,60.5,85,2.5,160,4.6
"School","0103","602","2014-15","Atkinson County High School","Atkinson County","09,10,11,12",0,0,20,32,1,47,0,80,13.3,3,,,,,114,26.2,58,13.3,5,1.1,0,0,299,68.7,18,4.1,33,7.6
"School","0111","602","2014-15","Atkinson County Middle School","Atkinson County","06,07,08",0,0,15,35,1,49,2,86,17.3,3,114,29,,,,,68,17.3,7,1.8,0,0,,,5,1.3,25,6.4
"School","0187","602","2014-15","Willacoochee Elementary School","Atkinson County","PK,KK,01,02,03,04,05",0,0,29,32,2,37,5,97,14.7,12,,,68,35.8,,,28,14.7,19,10,2,10,,,0,0,2,1.1
"School","0190","602","2014-15","Pearson Elementary School","Atkinson County","PK,KK,01,02,03,04,05",0,0,13,41,2,44,5,94,11.2,25,,,186,32.6,,,64,11.2,120,21,0,0,,,0,0,12,2.1
"District","ALL","602","2014-15","All Column Values","Atkinson County","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",0,0,17,36,1,45,3,89,13.7,12,114,29,254,33.4,114,26.2,218,13.7,151,9.5,2,1.9,299,68.7,23,1.4,72,4.5
"School","0102","603","2014-15","Bacon County Primary School","Bacon County","PK,KK,01,02",0,0,24,14,6,56,5,76,17.9,14,,,167,32.2,,,93,17.9,51,9.8,17,16.7,,,0,0,21,4
"School","0202","603","2014-15","Bacon County Middle School","Bacon County","06,07,08",0,0,19,10,3,68,2,62,9.8,5,173,37.6,,,,,45,9.8,6,1.3,0,0,,,8,1.7,68,14.8
"School","0302","603","2014-15","Bacon County High School","Bacon County","09,10,11,12",1,0,17,6,2,74,1,56,13.9,2,,,,,0,0,78,13.9,5,0.9,0,0,447,79.8,9,1.6,72,12.9
"School","3050","603","2014-15","Bacon County Elementary School","Bacon County","03,04,05",0,0,24,12,3,61,4,69,17.5,10,,,106,21.8,,,85,17.5,20,4.1,0,0,,,0,0,34,7
"District","ALL","603","2014-15","All Column Values","Bacon County","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",0,0,21,11,3,65,3,65,14.9,8,173,37.6,273,27.1,0,0,301,14.9,82,4,17,16.7,447,79.8,17,0.8,195,9.6
"School","0105","604","2014-15","Baker County K12 School","Baker County","KK,01,02,03,04,05,06,07,08,09,10,11,12",14,0,68,10,4,4,1,100,14.6,0,76,93.8,31,20.3,1,1.3,46,14.6,0,0,3,15,51,63.8,4,1.3,5,1.6
"District","ALL","604","2014-15","All Column Values","Baker County","KK,01,02,03,04,05,06,07,08,09,10,11,12",14,0,68,10,4,4,1,100,14.6,0,76,93.8,31,20.3,1,1.3,46,14.6,0,0,3,15,51,63.8,4,1.3,5,1.6
"School","0100","605","2014-15","Oak Hill MS","Baldwin County","06,07,08",1,0,69,2,3,25,0,89,11.6,0,342,30.4,,,,,131,11.6,2,0.2,0,0,,,86,7.6,75,6.7
"School","0104","605","2014-15","Eagle Ridge Elementary School","Baldwin County","KK,01,02,03,04,05",0,0,80,0,4,16,0,94,9.4,0,,,182,22.8,,,75,9.4,0,0,23,29.5,,,0,0,28,3.5
"School","0189","605","2014-15","Baldwin High School","Baldwin County","09,10,11,12",1,0,68,3,3,26,0,83,13.5,0,,,,,168,13.1,172,13.5,4,0.3,0,0,638,49.9,215,16.8,129,10.1
"School","0194","605","2014-15","Midway Elementary School","Baldwin County","KK,01,02,03,04,05",0,0,64,1,5,30,0,93,11,0,,,154,27.2,,,62,11,0,0,0,0,,,1,0.2,20,3.5
"School","0195","605","2014-15","Blandy Hills Elementary School","Baldwin County","KK,01,02,03,04,05",1,0,60,3,4,32,0,90,8.5,3,,,140,18,,,66,8.5,21,2.7,0,0,,,4,0.5,46,5.9
"School","0199","605","2014-15","Creekside Elementary School","Baldwin County","KK,01,02,03,04,05",3,0,47,5,3,43,0,86,8.6,2,,,201,21.5,,,80,8.6,12,1.3,0,0,,,0,0,82,8.8
"District","ALL","605","2014-15","All Column Values","Baldwin County","KK,01,02,03,04,05,06,07,08,09,10,11,12",1,0,65,2,3,28,0,88,10.7,1,342,30.4,677,22,168,13.1,586,10.7,39,0.7,23,29.5,638,49.9,306,5.6,380,6.9
"School","0105","606","2014-15","Banks County Middle School","Banks County","06,07,08",1,0,2,7,2,88,0,67,14.9,2,69,10,,,,,103,14.9,6,0.9,0,0,,,1,0.1,78,11.3
"School","0107","606","2014-15","Banks County Elementary School","Banks County","03,04,05",0,0,2,8,2,87,0,71,14.8,6,,,59,9.6,,,91,14.8,17,2.8,0,0,,,0,0,49,8
"School","0199","606","2014-15","Banks County High School","Banks County","09,10,11,12",1,0,2,8,2,86,0,58,14.6,3,,,,,65,7.3,130,14.6,10,1.1,0,0,661,74.1,2,0.2,65,7.3
"School","0205","606","2014-15","Banks County Primary School","Banks County","PK,KK,01,02",0,0,1,8,4,87,0,73,16.6,7,,,135,21.8,,,103,16.6,47,7.6,24,96,,,0,0,15,2.4
"District","ALL","606","2014-15","All Column Values","Banks County","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",1,0,2,8,2,87,0,66,15.2,4,69,10,194,15.7,65,7.3,427,15.2,80,2.8,24,96,661,74.1,3,0.1,207,7.4
"School","0101","607","2014-15","Apalachee High School","Barrow County","09,10,11,12",5,0,13,15,3,64,0,56,12.3,4,,,,,238,14.4,202,12.3,35,2.1,0,0,993,60.3,5,0.3,198,12
"School","0105","607","2014-15","County Line Elementary School","Barrow County","PK,KK,01,02,03,04,05",3,0,11,20,5,60,0,68,13,17,,,242,27.8,,,113,13,126,14.5,7,14.6,,,0,0,66,7.6
"School","0106","607","2014-15","Haymon-Morris Middle School","Barrow County","06,07,08",3,0,13,16,4,63,0,58,11.6,7,55,7.7,,,,,83,11.6,23,3.2,0,0,,,3,0.4,99,13.8
"School","0113","607","2014-15","College and Career Preparatory Academy","Barrow County","09,10,11,12",4,0,18,6,2,69,1,75,21.3,3,,,,,40,19.8,43,21.3,2,1,0,0,85,42.1,5,2.5,,
"School","0114","607","2014-15","Bear Creek Middle School","Barrow County","06,07,08",5,1,18,14,5,57,1,62,14.1,5,69,9.1,,,,,107,14.1,18,2.4,0,0,,,10,1.3,103,13.5
"School","0189","607","2014-15","Kennedy Elementary School","Barrow County","PK,KK,01,02,03,04,05",2,0,18,17,7,56,0,73,15.3,14,,,177,23.5,,,115,15.3,78,10.3,23,37.7,,,0,0,47,6.2
"School","0193","607","2014-15","Bramlett Elementary School","Barrow County","PK,KK,01,02,03,04,05",10,0,5,12,3,69,0,44,9.3,14,,,250,36.4,,,64,9.3,77,11.2,4,9.1,,,0,0,55,8
"School","0198","607","2014-15","Westside Middle School","Barrow County","06,07,08",3,0,12,18,6,60,0,65,14.2,5,87,12.8,,,,,96,14.2,18,2.7,0,0,,,7,1,77,11.4
"School","0205","607","2014-15","Bethlehem Elementary School","Barrow County","PK,KK,01,02,03,04,05",3,0,12,17,4,64,0,61,12.9,16,,,239,29.7,,,104,12.9,87,10.8,6,13,,,0,0,44,5.5
"School","0289","607","2014-15","Russell Middle School","Barrow County","06,07,08",8,0,9,15,5,63,0,57,11.5,6,79,10.2,,,,,89,11.5,32,4.1,0,0,,,3,0.4,84,10.9
"School","0298","607","2014-15","Yargo Elementary School","Barrow County","PK,KK,01,02,03,04,05",4,1,13,14,5,64,0,50,11.1,13,,,222,29.1,,,85,11.1,78,10.2,13,25,,,0,0,56,7.3
"School","1050","607","2014-15","Auburn Elementary School","Barrow County","PK,KK,01,02,03,04,05",6,0,6,14,6,68,0,65,10.2,13,,,245,33.4,,,75,10.2,82,11.2,19,31.1,,,1,0.1,25,3.4
"School","3052","607","2014-15","Winder-Barrow High School","Barrow County","09,10,11,12",6,1,14,13,5,62,0,52,11.7,4,,,,,86,4.8,209,11.7,30,1.7,0,0,1131,63.3,5,0.3,172,9.6
