LONG_SCHOOL_YEAR,SCHOOL_DISTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,SUBGROUP_NAME,TEST_CMPNT_TYP_NM,NUM_TESTED_CNT,Level1_CNT,Level2_CNT,Level3_CNT,Level4_CNT,Level1_PERCENT,Level2_PERCENT,Level3_PERCENT,Level4_PERCENT
2018-19,601,Appling County,103,Appling County High School,All Students,English Language Arts,1,,,,,,,,
2018-19,601,Appling County,103,Appling County High School,All Students,Mathematics,1,,,,,,,,
2018-19,601,Appling County,103,Appling County High School,All Students,Science,1,,,,,,,,
2018-19,601,Appling County,103,Appling County High School,All Students,Social Studies,1,,,,,,,,
2018-19,601,Appling County,177,Appling County Elementary School,All Students,English Language Arts,16,2,4,9,1,12.5,25,56.3,6.3
2018-19,601,Appling County,177,Appling County Elementary School,All Students,Mathematics,16,3,5,5,3,18.8,31.3,31.3,18.8
2018-19,601,Appling County,177,Appling County Elementary School,All Students,Science,9,,,,,,,,
2018-19,601,Appling County,177,Appling County Elementary School,All Students,Social Studies,9,,,,,,,,
2018-19,601,Appling County,177,Appling County Elementary School,Male,English Language Arts,12,2,2,7,1,16.7,16.7,58.3,8.3
2018-19,601,Appling County,177,Appling County Elementary School,Male,Mathematics,12,3,3,3,3,25,25,25,25
2018-19,601,Appling County,177,Appling County Elementary School,Students with Disabilities,English Language Arts,16,2,4,9,1,12.5,25,56.3,6.3
2018-19,601,Appling County,177,Appling County Elementary School,Students with Disabilities,Mathematics,16,3,5,5,3,18.8,31.3,31.3,18.8
2018-19,601,Appling County,177,Appling County Elementary School,Not Limited English Proficient,English Language Arts,13,2,4,7,0,15.4,30.8,53.8,0
2018-19,601,Appling County,177,Appling County Elementary School,Not Limited English Proficient,Mathematics,13,3,4,4,2,23.1,30.8,30.8,15.4
2018-19,601,Appling County,177,Appling County Elementary School,Economically Disadvantaged,English Language Arts,16,2,4,9,1,12.5,25,56.3,6.3
2018-19,601,Appling County,177,Appling County Elementary School,Economically Disadvantaged,Mathematics,16,3,5,5,3,18.8,31.3,31.3,18.8
2018-19,601,Appling County,177,Appling County Elementary School,Non-Migrant,English Language Arts,15,2,4,9,0,13.3,26.7,60,0
2018-19,601,Appling County,177,Appling County Elementary School,Non-Migrant,Mathematics,15,3,5,5,2,20,33.3,33.3,13.3
2018-19,601,Appling County,195,Appling County Middle School,All Students,English Language Arts,12,0,1,9,2,0,8.3,75,16.7
2018-19,601,Appling County,195,Appling County Middle School,All Students,Mathematics,11,0,3,7,1,0,27.3,63.6,9.1
2018-19,601,Appling County,195,Appling County Middle School,All Students,Science,8,,,,,,,,
2018-19,601,Appling County,195,Appling County Middle School,All Students,Social Studies,8,,,,,,,,
2018-19,601,Appling County,195,Appling County Middle School,Male,English Language Arts,10,0,0,8,2,0,0,80,20
2018-19,601,Appling County,195,Appling County Middle School,Students with Disabilities,English Language Arts,12,0,1,9,2,0,8.3,75,16.7
2018-19,601,Appling County,195,Appling County Middle School,Students with Disabilities,Mathematics,11,0,3,7,1,0,27.3,63.6,9.1
2018-19,601,Appling County,195,Appling County Middle School,Not Limited English Proficient,English Language Arts,12,0,1,9,2,0,8.3,75,16.7
