"LONG_SCHOOL_YEAR","SCHOOL_DISTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","SUBGROUP_NAME","TEST_CMPNT_TYP_NM","NUM_TESTED_CNT","LIMITED_CNT","PARTIAL_CNT","ADEQUATE_CNT","THUROUGH_CNT","LIMITED_PERCENT","PARTIAL_PERCENT","ADEQUATE_PERCENT","THUROUGH_PERCENT"
"2017-18","601","Appling County","0103","Appling County High School","All Students","English Language Arts",1,,,,,,,,
"2017-18","601","Appling County","0103","Appling County High School","All Students","Mathematics",1,,,,,,,,
"2017-18","601","Appling County","0103","Appling County High School","All Students","Science",1,,,,,,,,
"2017-18","601","Appling County","0103","Appling County High School","All Students","Social Studies",1,,,,,,,,
"2017-18","601","Appling County","0177","Appling County Elementary School","All Students","English Language Arts",16,0,0,16,0,0,0,100,
"2017-18","601","Appling County","0177","Appling County Elementary School","All Students","Mathematics",16,0,1,15,0,0,6.3,93.8,
"2017-18","601","Appling County","0177","Appling County Elementary School","All Students","Science",6,,,,,,,,
"2017-18","601","Appling County","0177","Appling County Elementary School","All Students","Social Studies",6,,,,,,,,
"2017-18","601","Appling County","0177","Appling County Elementary School","Male","English Language Arts",11,0,0,11,0,0,0,100,
"2017-18","601","Appling County","0177","Appling County Elementary School","Male","Mathematics",11,0,1,10,0,0,9.1,90.9,
"2017-18","601","Appling County","0177","Appling County Elementary School","Students with Disabilities","English Language Arts",16,0,0,16,0,0,0,100,
"2017-18","601","Appling County","0177","Appling County Elementary School","Students with Disabilities","Mathematics",16,0,1,15,0,0,6.3,93.8,
"2017-18","601","Appling County","0177","Appling County Elementary School","Not Limited English Proficient","English Language Arts",15,0,0,15,0,0,0,100,
"2017-18","601","Appling County","0177","Appling County Elementary School","Not Limited English Proficient","Mathematics",15,0,0,15,0,0,0,100,
"2017-18","601","Appling County","0177","Appling County Elementary School","Economically Disadvantaged","English Language Arts",16,0,0,16,0,0,0,100,
"2017-18","601","Appling County","0177","Appling County Elementary School","Economically Disadvantaged","Mathematics",16,0,1,15,0,0,6.3,93.8,
"2017-18","601","Appling County","0177","Appling County Elementary School","Non-Migrant","English Language Arts",16,0,0,16,0,0,0,100,
"2017-18","601","Appling County","0177","Appling County Elementary School","Non-Migrant","Mathematics",16,0,1,15,0,0,6.3,93.8,
"2017-18","601","Appling County","0195","Appling County Middle School","All Students","English Language Arts",13,4,9,0,0,30.8,69.2,0,
"2017-18","601","Appling County","0195","Appling County Middle School","All Students","Mathematics",13,4,9,0,0,30.8,69.2,0,
"2017-18","601","Appling County","0195","Appling County Middle School","All Students","Science",3,,,,,,,,
"2017-18","601","Appling County","0195","Appling County Middle School","All Students","Social Studies",3,,,,,,,,
"2017-18","601","Appling County","0195","Appling County Middle School","Male","English Language Arts",10,4,6,0,0,40,60,0,
"2017-18","601","Appling County","0195","Appling County Middle School","Male","Mathematics",10,4,6,0,0,40,60,0,
"2017-18","601","Appling County","0195","Appling County Middle School","Students with Disabilities","English Language Arts",13,4,9,0,0,30.8,69.2,0,
"2017-18","601","Appling County","0195","Appling County Middle School","Students with Disabilities","Mathematics",13,4,9,0,0,30.8,69.2,0,
"2017-18","601","Appling County","0195","Appling County Middle School","Not Limited English Proficient","English Language Arts",12,4,8,0,0,33.3,66.7,0,
"2017-18","601","Appling County","0195","Appling County Middle School","Not Limited English Proficient","Mathematics",12,4,8,0,0,33.3,66.7,0,
"2017-18","601","Appling County","0195","Appling County Middle School","Economically Disadvantaged","English Language Arts",13,4,9,0,0,30.8,69.2,0,
"2017-18","601","Appling County","0195","Appling County Middle School","Economically Disadvantaged","Mathematics",13,4,9,0,0,30.8,69.2,0,
