LONG_SCHOOL_YEAR,SCHOOL_DSTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,LABEL_SORT_ORDER,COMPLETER_TYPE,LABEL_LVL_1_DESC,LABEL_LVL_5_CD,PROGRAM_TOTAL,PROGRAM_PERCENT
2010-11,601,Appling County,103,Appling County High School,1,Graduates,Diplomas with Both College Prep. & Voc.,Male,,
2010-11,601,Appling County,103,Appling County High School,1,Graduates,Diplomas with Both College Prep. & Voc.,Female,,
2010-11,601,Appling County,103,Appling County High School,1,Graduates,Diplomas with Both College Prep. & Voc.,Total,,
2010-11,601,Appling County,103,Appling County High School,1,Graduates,Diplomas with Both College Prep. & Voc.,Black,,
2010-11,601,Appling County,103,Appling County High School,1,Graduates,Diplomas with Both College Prep. & Voc.,White,,
2010-11,601,Appling County,103,Appling County High School,1,Graduates,Diplomas with Both College Prep. & Voc.,Hispanic,,
2010-11,601,Appling County,103,Appling County High School,1,Graduates,Diplomas with Both College Prep. & Voc.,Asian,,
2010-11,601,Appling County,103,Appling County High School,1,Graduates,Diplomas with Both College Prep. & Voc.,Multi,,
2010-11,601,Appling County,103,Appling County High School,1,Graduates,Diplomas with Both College Prep. & Voc.,Native American/ Alaskan Native,,
2010-11,601,Appling County,103,Appling County High School,2,Graduates,Diplomas with College Prep Endorsements,Male,39,38.2
2010-11,601,Appling County,103,Appling County High School,2,Graduates,Diplomas with College Prep Endorsements,Female,63,61.8
2010-11,601,Appling County,103,Appling County High School,2,Graduates,Diplomas with College Prep Endorsements,Total,102,100
2010-11,601,Appling County,103,Appling County High School,2,Graduates,Diplomas with College Prep Endorsements,Black,23,22.5
2010-11,601,Appling County,103,Appling County High School,2,Graduates,Diplomas with College Prep Endorsements,White,67,65.7
2010-11,601,Appling County,103,Appling County High School,2,Graduates,Diplomas with College Prep Endorsements,Hispanic,TFS,6.9
2010-11,601,Appling County,103,Appling County High School,2,Graduates,Diplomas with College Prep Endorsements,Asian,TFS,0
2010-11,601,Appling County,103,Appling County High School,2,Graduates,Diplomas with College Prep Endorsements,Multi,TFS,4.9
2010-11,601,Appling County,103,Appling County High School,2,Graduates,Diplomas with College Prep Endorsements,Native American/ Alaskan Native,TFS,0
2010-11,601,Appling County,103,Appling County High School,3,Graduates,Diplomas with Vocational Endorsements,Male,35,58.3
2010-11,601,Appling County,103,Appling County High School,3,Graduates,Diplomas with Vocational Endorsements,Female,25,41.7
2010-11,601,Appling County,103,Appling County High School,3,Graduates,Diplomas with Vocational Endorsements,Total,60,100
2010-11,601,Appling County,103,Appling County High School,3,Graduates,Diplomas with Vocational Endorsements,Black,15,25
2010-11,601,Appling County,103,Appling County High School,3,Graduates,Diplomas with Vocational Endorsements,White,39,65
2010-11,601,Appling County,103,Appling County High School,3,Graduates,Diplomas with Vocational Endorsements,Hispanic,TFS,8.3
2010-11,601,Appling County,103,Appling County High School,3,Graduates,Diplomas with Vocational Endorsements,Asian,TFS,0
2010-11,601,Appling County,103,Appling County High School,3,Graduates,Diplomas with Vocational Endorsements,Multi,TFS,1.7
2010-11,601,Appling County,103,Appling County High School,3,Graduates,Diplomas with Vocational Endorsements,Native American/ Alaskan Native,TFS,0
2010-11,601,Appling County,103,Appling County High School,4,Other Completers,Special Education Diplomas,Male,,
2010-11,601,Appling County,103,Appling County High School,4,Other Completers,Special Education Diplomas,Female,,
2010-11,601,Appling County,103,Appling County High School,4,Other Completers,Special Education Diplomas,Total,TFS,100
2010-11,601,Appling County,103,Appling County High School,4,Other Completers,Special Education Diplomas,Black,,
2010-11,601,Appling County,103,Appling County High School,4,Other Completers,Special Education Diplomas,White,,
2010-11,601,Appling County,103,Appling County High School,4,Other Completers,Special Education Diplomas,Hispanic,,
2010-11,601,Appling County,103,Appling County High School,4,Other Completers,Special Education Diplomas,Asian,,
2010-11,601,Appling County,103,Appling County High School,4,Other Completers,Special Education Diplomas,Multi,,
2010-11,601,Appling County,103,Appling County High School,4,Other Completers,Special Education Diplomas,Native American/ Alaskan Native,,
2010-11,601,Appling County,103,Appling County High School,5,Other Completers,Certificates Of Attendance,Male,,
2010-11,601,Appling County,103,Appling County High School,5,Other Completers,Certificates Of Attendance,Female,,
2010-11,601,Appling County,103,Appling County High School,5,Other Completers,Certificates Of Attendance,Total,,
2010-11,601,Appling County,103,Appling County High School,5,Other Completers,Certificates Of Attendance,Black,,
2010-11,601,Appling County,103,Appling County High School,5,Other Completers,Certificates Of Attendance,White,,
2010-11,601,Appling County,103,Appling County High School,5,Other Completers,Certificates Of Attendance,Hispanic,,
2010-11,601,Appling County,103,Appling County High School,5,Other Completers,Certificates Of Attendance,Asian,,
2010-11,601,Appling County,103,Appling County High School,5,Other Completers,Certificates Of Attendance,Multi,,
2010-11,601,Appling County,103,Appling County High School,5,Other Completers,Certificates Of Attendance,Native American/ Alaskan Native,,
2010-11,601,Appling County,ALL,All Column Values,1,Graduates,Diplomas with Both College Prep. & Voc.,Male,,
2010-11,601,Appling County,ALL,All Column Values,1,Graduates,Diplomas with Both College Prep. & Voc.,Female,,
2010-11,601,Appling County,ALL,All Column Values,1,Graduates,Diplomas with Both College Prep. & Voc.,Total,,
2010-11,601,Appling County,ALL,All Column Values,1,Graduates,Diplomas with Both College Prep. & Voc.,Black,,
2010-11,601,Appling County,ALL,All Column Values,1,Graduates,Diplomas with Both College Prep. & Voc.,White,,
2010-11,601,Appling County,ALL,All Column Values,1,Graduates,Diplomas with Both College Prep. & Voc.,Hispanic,,
2010-11,601,Appling County,ALL,All Column Values,1,Graduates,Diplomas with Both College Prep. & Voc.,Asian,,
2010-11,601,Appling County,ALL,All Column Values,1,Graduates,Diplomas with Both College Prep. & Voc.,Multi,,
2010-11,601,Appling County,ALL,All Column Values,1,Graduates,Diplomas with Both College Prep. & Voc.,Native American/ Alaskan Native,,
2010-11,601,Appling County,ALL,All Column Values,2,Graduates,Diplomas with College Prep Endorsements,Male,39,38.2
2010-11,601,Appling County,ALL,All Column Values,2,Graduates,Diplomas with College Prep Endorsements,Female,63,61.8
2010-11,601,Appling County,ALL,All Column Values,2,Graduates,Diplomas with College Prep Endorsements,Total,102,100
2010-11,601,Appling County,ALL,All Column Values,2,Graduates,Diplomas with College Prep Endorsements,Black,23,22.5
2010-11,601,Appling County,ALL,All Column Values,2,Graduates,Diplomas with College Prep Endorsements,White,67,65.7
2010-11,601,Appling County,ALL,All Column Values,2,Graduates,Diplomas with College Prep Endorsements,Hispanic,TFS,6.9
2010-11,601,Appling County,ALL,All Column Values,2,Graduates,Diplomas with College Prep Endorsements,Asian,TFS,0
2010-11,601,Appling County,ALL,All Column Values,2,Graduates,Diplomas with College Prep Endorsements,Multi,TFS,4.9
2010-11,601,Appling County,ALL,All Column Values,2,Graduates,Diplomas with College Prep Endorsements,Native American/ Alaskan Native,TFS,0
2010-11,601,Appling County,ALL,All Column Values,3,Graduates,Diplomas with Vocational Endorsements,Male,35,58.3
2010-11,601,Appling County,ALL,All Column Values,3,Graduates,Diplomas with Vocational Endorsements,Female,25,41.7
2010-11,601,Appling County,ALL,All Column Values,3,Graduates,Diplomas with Vocational Endorsements,Total,60,100
2010-11,601,Appling County,ALL,All Column Values,3,Graduates,Diplomas with Vocational Endorsements,Black,15,25
2010-11,601,Appling County,ALL,All Column Values,3,Graduates,Diplomas with Vocational Endorsements,White,39,65
2010-11,601,Appling County,ALL,All Column Values,3,Graduates,Diplomas with Vocational Endorsements,Hispanic,TFS,8.3
2010-11,601,Appling County,ALL,All Column Values,3,Graduates,Diplomas with Vocational Endorsements,Asian,TFS,0
2010-11,601,Appling County,ALL,All Column Values,3,Graduates,Diplomas with Vocational Endorsements,Multi,TFS,1.7
2010-11,601,Appling County,ALL,All Column Values,3,Graduates,Diplomas with Vocational Endorsements,Native American/ Alaskan Native,TFS,0
2010-11,601,Appling County,ALL,All Column Values,4,Other Completers,Special Education Diplomas,Male,,
2010-11,601,Appling County,ALL,All Column Values,4,Other Completers,Special Education Diplomas,Female,,
2010-11,601,Appling County,ALL,All Column Values,4,Other Completers,Special Education Diplomas,Total,TFS,100
2010-11,601,Appling County,ALL,All Column Values,4,Other Completers,Special Education Diplomas,Black,,
2010-11,601,Appling County,ALL,All Column Values,4,Other Completers,Special Education Diplomas,White,,
2010-11,601,Appling County,ALL,All Column Values,4,Other Completers,Special Education Diplomas,Hispanic,,
2010-11,601,Appling County,ALL,All Column Values,4,Other Completers,Special Education Diplomas,Asian,,
2010-11,601,Appling County,ALL,All Column Values,4,Other Completers,Special Education Diplomas,Multi,,
2010-11,601,Appling County,ALL,All Column Values,4,Other Completers,Special Education Diplomas,Native American/ Alaskan Native,,
2010-11,601,Appling County,ALL,All Column Values,5,Other Completers,Certificates Of Attendance,Male,,
2010-11,601,Appling County,ALL,All Column Values,5,Other Completers,Certificates Of Attendance,Female,,
2010-11,601,Appling County,ALL,All Column Values,5,Other Completers,Certificates Of Attendance,Total,,
2010-11,601,Appling County,ALL,All Column Values,5,Other Completers,Certificates Of Attendance,Black,,
2010-11,601,Appling County,ALL,All Column Values,5,Other Completers,Certificates Of Attendance,White,,
2010-11,601,Appling County,ALL,All Column Values,5,Other Completers,Certificates Of Attendance,Hispanic,,
2010-11,601,Appling County,ALL,All Column Values,5,Other Completers,Certificates Of Attendance,Asian,,
2010-11,601,Appling County,ALL,All Column Values,5,Other Completers,Certificates Of Attendance,Multi,,
2010-11,601,Appling County,ALL,All Column Values,5,Other Completers,Certificates Of Attendance,Native American/ Alaskan Native,,
2010-11,602,Atkinson County,103,Atkinson County High School,1,Graduates,Diplomas with Both College Prep. & Voc.,Male,TFS,26.5
2010-11,602,Atkinson County,103,Atkinson County High School,1,Graduates,Diplomas with Both College Prep. & Voc.,Female,25,73.5
2010-11,602,Atkinson County,103,Atkinson County High School,1,Graduates,Diplomas with Both College Prep. & Voc.,Total,34,100
2010-11,602,Atkinson County,103,Atkinson County High School,1,Graduates,Diplomas with Both College Prep. & Voc.,Black,TFS,23.5
2010-11,602,Atkinson County,103,Atkinson County High School,1,Graduates,Diplomas with Both College Prep. & Voc.,White,17,50
2010-11,602,Atkinson County,103,Atkinson County High School,1,Graduates,Diplomas with Both College Prep. & Voc.,Hispanic,TFS,26.5
2010-11,602,Atkinson County,103,Atkinson County High School,1,Graduates,Diplomas with Both College Prep. & Voc.,Asian,TFS,0
2010-11,602,Atkinson County,103,Atkinson County High School,1,Graduates,Diplomas with Both College Prep. & Voc.,Multi,TFS,0
2010-11,602,Atkinson County,103,Atkinson County High School,1,Graduates,Diplomas with Both College Prep. & Voc.,Native American/ Alaskan Native,TFS,0
2010-11,602,Atkinson County,103,Atkinson County High School,2,Graduates,Diplomas with College Prep Endorsements,Male,TFS,8.3
2010-11,602,Atkinson County,103,Atkinson County High School,2,Graduates,Diplomas with College Prep Endorsements,Female,11,91.7
2010-11,602,Atkinson County,103,Atkinson County High School,2,Graduates,Diplomas with College Prep Endorsements,Total,12,100
2010-11,602,Atkinson County,103,Atkinson County High School,2,Graduates,Diplomas with College Prep Endorsements,Black,TFS,8.3
2010-11,602,Atkinson County,103,Atkinson County High School,2,Graduates,Diplomas with College Prep Endorsements,White,TFS,58.3
2010-11,602,Atkinson County,103,Atkinson County High School,2,Graduates,Diplomas with College Prep Endorsements,Hispanic,TFS,25
2010-11,602,Atkinson County,103,Atkinson County High School,2,Graduates,Diplomas with College Prep Endorsements,Asian,TFS,0
2010-11,602,Atkinson County,103,Atkinson County High School,2,Graduates,Diplomas with College Prep Endorsements,Multi,TFS,8.3
2010-11,602,Atkinson County,103,Atkinson County High School,2,Graduates,Diplomas with College Prep Endorsements,Native American/ Alaskan Native,TFS,0
2010-11,602,Atkinson County,103,Atkinson County High School,3,Graduates,Diplomas with Vocational Endorsements,Male,25,61
2010-11,602,Atkinson County,103,Atkinson County High School,3,Graduates,Diplomas with Vocational Endorsements,Female,16,39
2010-11,602,Atkinson County,103,Atkinson County High School,3,Graduates,Diplomas with Vocational Endorsements,Total,41,100
2010-11,602,Atkinson County,103,Atkinson County High School,3,Graduates,Diplomas with Vocational Endorsements,Black,TFS,17.1
2010-11,602,Atkinson County,103,Atkinson County High School,3,Graduates,Diplomas with Vocational Endorsements,White,26,63.4
2010-11,602,Atkinson County,103,Atkinson County High School,3,Graduates,Diplomas with Vocational Endorsements,Hispanic,TFS,17.1
2010-11,602,Atkinson County,103,Atkinson County High School,3,Graduates,Diplomas with Vocational Endorsements,Asian,TFS,2.4
2010-11,602,Atkinson County,103,Atkinson County High School,3,Graduates,Diplomas with Vocational Endorsements,Multi,TFS,0
2010-11,602,Atkinson County,103,Atkinson County High School,3,Graduates,Diplomas with Vocational Endorsements,Native American/ Alaskan Native,TFS,0
2010-11,602,Atkinson County,103,Atkinson County High School,4,Other Completers,Special Education Diplomas,Male,TFS,60
2010-11,602,Atkinson County,103,Atkinson County High School,4,Other Completers,Special Education Diplomas,Female,TFS,40
2010-11,602,Atkinson County,103,Atkinson County High School,4,Other Completers,Special Education Diplomas,Total,10,100
2010-11,602,Atkinson County,103,Atkinson County High School,4,Other Completers,Special Education Diplomas,Black,TFS,20
2010-11,602,Atkinson County,103,Atkinson County High School,4,Other Completers,Special Education Diplomas,White,TFS,40
2010-11,602,Atkinson County,103,Atkinson County High School,4,Other Completers,Special Education Diplomas,Hispanic,TFS,40
2010-11,602,Atkinson County,103,Atkinson County High School,4,Other Completers,Special Education Diplomas,Asian,TFS,0
2010-11,602,Atkinson County,103,Atkinson County High School,4,Other Completers,Special Education Diplomas,Multi,TFS,0
2010-11,602,Atkinson County,103,Atkinson County High School,4,Other Completers,Special Education Diplomas,Native American/ Alaskan Native,TFS,0
2010-11,602,Atkinson County,103,Atkinson County High School,5,Other Completers,Certificates Of Attendance,Male,,
2010-11,602,Atkinson County,103,Atkinson County High School,5,Other Completers,Certificates Of Attendance,Female,,
2010-11,602,Atkinson County,103,Atkinson County High School,5,Other Completers,Certificates Of Attendance,Total,,
2010-11,602,Atkinson County,103,Atkinson County High School,5,Other Completers,Certificates Of Attendance,Black,,
2010-11,602,Atkinson County,103,Atkinson County High School,5,Other Completers,Certificates Of Attendance,White,,
2010-11,602,Atkinson County,103,Atkinson County High School,5,Other Completers,Certificates Of Attendance,Hispanic,,
2010-11,602,Atkinson County,103,Atkinson County High School,5,Other Completers,Certificates Of Attendance,Asian,,
2010-11,602,Atkinson County,103,Atkinson County High School,5,Other Completers,Certificates Of Attendance,Multi,,
2010-11,602,Atkinson County,103,Atkinson County High School,5,Other Completers,Certificates Of Attendance,Native American/ Alaskan Native,,
2010-11,602,Atkinson County,ALL,All Column Values,1,Graduates,Diplomas with Both College Prep. & Voc.,Male,TFS,26.5
2010-11,602,Atkinson County,ALL,All Column Values,1,Graduates,Diplomas with Both College Prep. & Voc.,Female,25,73.5
2010-11,602,Atkinson County,ALL,All Column Values,1,Graduates,Diplomas with Both College Prep. & Voc.,Total,34,100
2010-11,602,Atkinson County,ALL,All Column Values,1,Graduates,Diplomas with Both College Prep. & Voc.,Black,TFS,23.5
2010-11,602,Atkinson County,ALL,All Column Values,1,Graduates,Diplomas with Both College Prep. & Voc.,White,17,50
2010-11,602,Atkinson County,ALL,All Column Values,1,Graduates,Diplomas with Both College Prep. & Voc.,Hispanic,TFS,26.5
2010-11,602,Atkinson County,ALL,All Column Values,1,Graduates,Diplomas with Both College Prep. & Voc.,Asian,TFS,0
2010-11,602,Atkinson County,ALL,All Column Values,1,Graduates,Diplomas with Both College Prep. & Voc.,Multi,TFS,0
2010-11,602,Atkinson County,ALL,All Column Values,1,Graduates,Diplomas with Both College Prep. & Voc.,Native American/ Alaskan Native,TFS,0
2010-11,602,Atkinson County,ALL,All Column Values,2,Graduates,Diplomas with College Prep Endorsements,Male,TFS,8.3
2010-11,602,Atkinson County,ALL,All Column Values,2,Graduates,Diplomas with College Prep Endorsements,Female,11,91.7
2010-11,602,Atkinson County,ALL,All Column Values,2,Graduates,Diplomas with College Prep Endorsements,Total,12,100
2010-11,602,Atkinson County,ALL,All Column Values,2,Graduates,Diplomas with College Prep Endorsements,Black,TFS,8.3
2010-11,602,Atkinson County,ALL,All Column Values,2,Graduates,Diplomas with College Prep Endorsements,White,TFS,58.3
2010-11,602,Atkinson County,ALL,All Column Values,2,Graduates,Diplomas with College Prep Endorsements,Hispanic,TFS,25
2010-11,602,Atkinson County,ALL,All Column Values,2,Graduates,Diplomas with College Prep Endorsements,Asian,TFS,0
2010-11,602,Atkinson County,ALL,All Column Values,2,Graduates,Diplomas with College Prep Endorsements,Multi,TFS,8.3
2010-11,602,Atkinson County,ALL,All Column Values,2,Graduates,Diplomas with College Prep Endorsements,Native American/ Alaskan Native,TFS,0
2010-11,602,Atkinson County,ALL,All Column Values,3,Graduates,Diplomas with Vocational Endorsements,Male,25,61
2010-11,602,Atkinson County,ALL,All Column Values,3,Graduates,Diplomas with Vocational Endorsements,Female,16,39
2010-11,602,Atkinson County,ALL,All Column Values,3,Graduates,Diplomas with Vocational Endorsements,Total,41,100
2010-11,602,Atkinson County,ALL,All Column Values,3,Graduates,Diplomas with Vocational Endorsements,Black,TFS,17.1
2010-11,602,Atkinson County,ALL,All Column Values,3,Graduates,Diplomas with Vocational Endorsements,White,26,63.4
2010-11,602,Atkinson County,ALL,All Column Values,3,Graduates,Diplomas with Vocational Endorsements,Hispanic,TFS,17.1
2010-11,602,Atkinson County,ALL,All Column Values,3,Graduates,Diplomas with Vocational Endorsements,Asian,TFS,2.4
2010-11,602,Atkinson County,ALL,All Column Values,3,Graduates,Diplomas with Vocational Endorsements,Multi,TFS,0
2010-11,602,Atkinson County,ALL,All Column Values,3,Graduates,Diplomas with Vocational Endorsements,Native American/ Alaskan Native,TFS,0
2010-11,602,Atkinson County,ALL,All Column Values,4,Other Completers,Special Education Diplomas,Male,TFS,60
2010-11,602,Atkinson County,ALL,All Column Values,4,Other Completers,Special Education Diplomas,Female,TFS,40
2010-11,602,Atkinson County,ALL,All Column Values,4,Other Completers,Special Education Diplomas,Total,10,100
2010-11,602,Atkinson County,ALL,All Column Values,4,Other Completers,Special Education Diplomas,Black,TFS,20
2010-11,602,Atkinson County,ALL,All Column Values,4,Other Completers,Special Education Diplomas,White,TFS,40
2010-11,602,Atkinson County,ALL,All Column Values,4,Other Completers,Special Education Diplomas,Hispanic,TFS,40
2010-11,602,Atkinson County,ALL,All Column Values,4,Other Completers,Special Education Diplomas,Asian,TFS,0
2010-11,602,Atkinson County,ALL,All Column Values,4,Other Completers,Special Education Diplomas,Multi,TFS,0
2010-11,602,Atkinson County,ALL,All Column Values,4,Other Completers,Special Education Diplomas,Native American/ Alaskan Native,TFS,0
2010-11,602,Atkinson County,ALL,All Column Values,5,Other Completers,Certificates Of Attendance,Male,,
2010-11,602,Atkinson County,ALL,All Column Values,5,Other Completers,Certificates Of Attendance,Female,,
2010-11,602,Atkinson County,ALL,All Column Values,5,Other Completers,Certificates Of Attendance,Total,,
2010-11,602,Atkinson County,ALL,All Column Values,5,Other Completers,Certificates Of Attendance,Black,,
2010-11,602,Atkinson County,ALL,All Column Values,5,Other Completers,Certificates Of Attendance,White,,
2010-11,602,Atkinson County,ALL,All Column Values,5,Other Completers,Certificates Of Attendance,Hispanic,,
2010-11,602,Atkinson County,ALL,All Column Values,5,Other Completers,Certificates Of Attendance,Asian,,
2010-11,602,Atkinson County,ALL,All Column Values,5,Other Completers,Certificates Of Attendance,Multi,,
2010-11,602,Atkinson County,ALL,All Column Values,5,Other Completers,Certificates Of Attendance,Native American/ Alaskan Native,,
2010-11,603,Bacon County,302,Bacon County High School,1,Graduates,Diplomas with Both College Prep. & Voc.,Male,29,53.7
2010-11,603,Bacon County,302,Bacon County High School,1,Graduates,Diplomas with Both College Prep. & Voc.,Female,25,46.3
2010-11,603,Bacon County,302,Bacon County High School,1,Graduates,Diplomas with Both College Prep. & Voc.,Total,54,100
2010-11,603,Bacon County,302,Bacon County High School,1,Graduates,Diplomas with Both College Prep. & Voc.,Black,TFS,14.8
2010-11,603,Bacon County,302,Bacon County High School,1,Graduates,Diplomas with Both College Prep. & Voc.,White,42,77.8
2010-11,603,Bacon County,302,Bacon County High School,1,Graduates,Diplomas with Both College Prep. & Voc.,Hispanic,TFS,3.7
2010-11,603,Bacon County,302,Bacon County High School,1,Graduates,Diplomas with Both College Prep. & Voc.,Asian,TFS,0
2010-11,603,Bacon County,302,Bacon County High School,1,Graduates,Diplomas with Both College Prep. & Voc.,Multi,TFS,3.7
2010-11,603,Bacon County,302,Bacon County High School,1,Graduates,Diplomas with Both College Prep. & Voc.,Native American/ Alaskan Native,TFS,0
2010-11,603,Bacon County,302,Bacon County High School,2,Graduates,Diplomas with College Prep Endorsements,Male,,
2010-11,603,Bacon County,302,Bacon County High School,2,Graduates,Diplomas with College Prep Endorsements,Female,,
2010-11,603,Bacon County,302,Bacon County High School,2,Graduates,Diplomas with College Prep Endorsements,Total,,
2010-11,603,Bacon County,302,Bacon County High School,2,Graduates,Diplomas with College Prep Endorsements,Black,,
2010-11,603,Bacon County,302,Bacon County High School,2,Graduates,Diplomas with College Prep Endorsements,White,,
2010-11,603,Bacon County,302,Bacon County High School,2,Graduates,Diplomas with College Prep Endorsements,Hispanic,,
2010-11,603,Bacon County,302,Bacon County High School,2,Graduates,Diplomas with College Prep Endorsements,Asian,,
2010-11,603,Bacon County,302,Bacon County High School,2,Graduates,Diplomas with College Prep Endorsements,Multi,,
2010-11,603,Bacon County,302,Bacon County High School,2,Graduates,Diplomas with College Prep Endorsements,Native American/ Alaskan Native,,
2010-11,603,Bacon County,302,Bacon County High School,3,Graduates,Diplomas with Vocational Endorsements,Male,22,51.2
