"LONG_SCHOOL_YEAR","SCHOOL_DISTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","NUMBER_OF_GRADUATES","HOPE_ELIGIBLE","HOPE_ELIGIBLE_PCT"
"2013-14","601","Appling County","0103","Appling County High School",206,109,52.91
"2013-14","601","Appling County","ALL","All Schools",206,109,52.91
"2013-14","602","Atkinson County","0103","Atkinson County High School",107,47,43.93
"2013-14","602","Atkinson County","ALL","All Schools",107,47,43.93
"2013-14","603","Bacon County","0302","Bacon County High School",82,28,34.15
"2013-14","603","Bacon County","ALL","All Schools",82,28,34.15
"2013-14","604","Baker County","0105","Baker County K12 School",14,5,35.71
"2013-14","604","Baker County","ALL","All Schools",14,5,35.71
"2013-14","605","Baldwin County","0189","Baldwin High School",233,64,27.47
"2013-14","605","Baldwin County","ALL","All Schools",233,64,27.47
"2013-14","606","Banks County","0199","Banks County High School",169,100,59.17
"2013-14","606","Banks County","ALL","All Schools",169,100,59.17
"2013-14","607","Barrow County","0101","Apalachee High School",291,142,48.8
"2013-14","607","Barrow County","0113","Snodon Preparatory School",47,7,14.89
"2013-14","607","Barrow County","3052","Winder-Barrow High School",341,188,55.13
"2013-14","607","Barrow County","ALL","All Schools",679,337,49.63
"2013-14","608","Bartow County","0105","Adairsville High School",179,67,37.43
"2013-14","608","Bartow County","0114","Cass High School",257,90,35.02
"2013-14","608","Bartow County","0198","Woodland High School",317,139,43.85
"2013-14","608","Bartow County","ALL","All Schools",753,296,39.31
"2013-14","609","Ben Hill County","0291","Fitzgerald High School",130,52,40
"2013-14","609","Ben Hill County","ALL","All Schools",130,52,40
"2013-14","610","Berrien County","0101","Berrien High School",135,56,41.48
"2013-14","610","Berrien County","0106","Berrien Academy Performance Learning Center",,,
"2013-14","610","Berrien County","ALL","All Schools",141,56,39.72
"2013-14","611","Bibb County","0105","Howard High School",197,76,38.58
"2013-14","611","Bibb County","0186","Central High School",155,60,38.71
"2013-14","611","Bibb County","0198","Westside High School",169,49,28.99
"2013-14","611","Bibb County","0204","Rutland High School",191,82,42.93
"2013-14","611","Bibb County","0286","Northeast High School",114,31,27.19
"2013-14","611","Bibb County","0303","William S. Hutchings Career Center",43,14,32.56
"2013-14","611","Bibb County","0386","Southwest High School",120,37,30.83
"2013-14","611","Bibb County","ALL","All Schools",989,349,35.29
"2013-14","612","Bleckley County","0105","Bleckley County High School",140,66,47.14
"2013-14","612","Bleckley County","ALL","All Schools",140,66,47.14
"2013-14","613","Brantley County","1050","Brantley County High School",179,87,48.6
"2013-14","613","Brantley County","ALL","All Schools",179,87,48.6
"2013-14","614","Brooks County","0110","Brooks County High School",114,39,34.21
"2013-14","614","Brooks County","ALL","All Schools",114,39,34.21
"2013-14","615","Bryan County","0182","Richmond Hill High School",357,186,52.1
"2013-14","615","Bryan County","0502","Bryan County High School",97,51,52.58
"2013-14","615","Bryan County","ALL","All Schools",454,237,52.2
