LONG_SCHOOL_YEAR,SCHOOL_DISTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,NUMBER_OF_GRADUATES,HOPE_ELIGIBLE,HOPE_ELIGIBLE_PCT
2016-17,601,Appling County,103,Appling County High School,198,74,37.37
2016-17,601,Appling County,ALL,All Schools,198,74,37.37
2016-17,602,Atkinson County,103,Atkinson County High School,97,57,58.76
2016-17,602,Atkinson County,ALL,All Schools,97,57,58.76
2016-17,603,Bacon County,302,Bacon County High School,118,54,45.76
2016-17,603,Bacon County,ALL,All Schools,118,54,45.76
2016-17,604,Baker County,105,Baker County K12 School,18,TFS,50
2016-17,604,Baker County,ALL,All Schools,18,TFS,50
2016-17,605,Baldwin County,189,Baldwin High School,271,66,24.35
2016-17,605,Baldwin County,ALL,All Schools,271,66,24.35
2016-17,606,Banks County,199,Banks County High School,209,101,48.33
2016-17,606,Banks County,ALL,All Schools,209,101,48.33
2016-17,607,Barrow County,101,Apalachee High School,337,156,46.29
2016-17,607,Barrow County,3052,Winder-Barrow High School,387,157,40.57
2016-17,607,Barrow County,ALL,All Schools,724,313,43.23
2016-17,608,Bartow County,105,Adairsville High School,202,84,41.58
2016-17,608,Bartow County,114,Cass High School,360,162,45
2016-17,608,Bartow County,198,Woodland High School,324,151,46.6
2016-17,608,Bartow County,ALL,All Schools,886,397,44.81
2016-17,609,Ben Hill County,291,Fitzgerald High School,175,47,26.86
2016-17,609,Ben Hill County,ALL,All Schools,175,47,26.86
2016-17,610,Berrien County,101,Berrien High School,162,63,38.89
2016-17,610,Berrien County,106,Berrien Academy Performance Learning Center,11,TFS,9.09
2016-17,610,Berrien County,ALL,All Schools,173,64,36.99
2016-17,611,Bibb County,105,Howard High School,262,83,31.68
2016-17,611,Bibb County,186,Central High School,237,68,28.69
2016-17,611,Bibb County,198,Westside High School,233,49,21.03
2016-17,611,Bibb County,204,Rutland High School,218,81,37.16
2016-17,611,Bibb County,286,Northeast High School,149,43,28.86
2016-17,611,Bibb County,386,Southwest High School,186,37,19.89
2016-17,611,Bibb County,ALL,All Schools,1285,361,28.09
2016-17,612,Bleckley County,105,Bleckley County High School,152,67,44.08
2016-17,612,Bleckley County,115,Bleckley County Success Academy,13,,
2016-17,612,Bleckley County,ALL,All Schools,165,67,40.61
2016-17,613,Brantley County,1050,Brantley County High School,217,74,34.1
2016-17,613,Brantley County,ALL,All Schools,217,74,34.1
2016-17,614,Brooks County,110,Brooks County High School,97,24,24.74
2016-17,614,Brooks County,ALL,All Schools,97,24,24.74
2016-17,615,Bryan County,182,Richmond Hill High School,435,210,48.28
2016-17,615,Bryan County,502,Bryan County High School,138,50,36.23
2016-17,615,Bryan County,ALL,All Schools,573,260,45.38
2016-17,616,Bulloch County,203,Southeast Bulloch High School,217,91,41.94
2016-17,616,Bulloch County,2054,Statesboro High School,324,157,48.46
2016-17,616,Bulloch County,4052,Portal Middle/High School,56,31,55.36
2016-17,616,Bulloch County,ALL,All Schools,597,279,46.73
2016-17,617,Burke County,288,Burke County High School,240,67,27.92
2016-17,617,Burke County,ALL,All Schools,240,67,27.92
2016-17,618,Butts County,190,Jackson High School,233,116,49.79
2016-17,618,Butts County,ALL,All Schools,233,116,49.79
2016-17,619,Calhoun County,113,Calhoun County High School,43,15,34.88
2016-17,619,Calhoun County,ALL,All Schools,43,15,34.88
2016-17,620,Camden County,295,Camden County High School,520,228,43.85
2016-17,620,Camden County,ALL,All Schools,520,228,43.85
2016-17,621,Candler County,101,Metter High School,115,51,44.35
2016-17,621,Candler County,ALL,All Schools,115,51,44.35
2016-17,622,Carroll County,189,Temple High School,144,45,31.25
2016-17,622,Carroll County,212,Mt. Zion High School,114,56,49.12
2016-17,622,Carroll County,2052,Central High School,261,146,55.94
2016-17,622,Carroll County,3050,Bowdon High School,101,61,60.4
2016-17,622,Carroll County,5054,Villa Rica High School,319,136,42.63
2016-17,622,Carroll County,ALL,All Schools,939,444,47.28
2016-17,623,Catoosa County,109,Heritage High School,279,148,53.05
2016-17,623,Catoosa County,1052,Lakeview-Fort Oglethorpe High School,201,61,30.35
2016-17,623,Catoosa County,4052,Ringgold High School,225,124,55.11
2016-17,623,Catoosa County,ALL,All Schools,705,333,47.23
2016-17,624,Charlton County,287,Charlton County High School,77,35,45.45
2016-17,624,Charlton County,ALL,All Schools,77,35,45.45
2016-17,625,Savannah-Chatham County,101,Johnson High School,187,42,22.46
2016-17,625,Savannah-Chatham County,115,Woodville-Tompkins Technical and Career High School,99,39,39.39
2016-17,625,Savannah-Chatham County,117,New Hampstead High School,333,89,26.73
2016-17,625,Savannah-Chatham County,210,The School of Liberal Studies at Savannah High,109,TFS,7.34
2016-17,625,Savannah-Chatham County,411,Islands High School,217,87,40.09
2016-17,625,Savannah-Chatham County,499,Savannah Arts Academy,213,176,82.63
2016-17,625,Savannah-Chatham County,513,Savannah Early College High School,30,20,66.67
2016-17,625,Savannah-Chatham County,2052,Beach High School,181,25,13.81
2016-17,625,Savannah-Chatham County,3056,Groves High School,107,19,17.76
2016-17,625,Savannah-Chatham County,5060,Jenkins High School,196,51,26.02
2016-17,625,Savannah-Chatham County,5070,Windsor Forest High School,193,34,17.62
2016-17,625,Savannah-Chatham County,ALL,All Schools,1865,590,31.64
2016-17,626,Chattahoochee County,206,Chattahoochee County High School,88,37,42.05
2016-17,626,Chattahoochee County,ALL,All Schools,88,37,42.05
2016-17,627,Chattooga County,111,Chattooga Academy,,,
2016-17,627,Chattooga County,1050,Chattooga High School,211,78,36.97
2016-17,627,Chattooga County,ALL,All Schools,215,78,36.28
2016-17,628,Cherokee County,106,Creekview High School,431,257,59.63
2016-17,628,Cherokee County,115,River Ridge High School,388,234,60.31
2016-17,628,Cherokee County,176,Etowah High School,582,338,58.08
2016-17,628,Cherokee County,191,Sequoyah High School,397,212,53.4
2016-17,628,Cherokee County,197,Woodstock High School,478,270,56.49
2016-17,628,Cherokee County,5050,Cherokee High School,460,227,49.35
2016-17,628,Cherokee County,ALL,All Schools,2736,1538,56.21
2016-17,629,Clarke County,102,Cedar Shoals High School,253,91,35.97
2016-17,629,Clarke County,104,Classic City High School,43,,
2016-17,629,Clarke County,5556,Clarke Central High School,246,80,32.52
2016-17,629,Clarke County,ALL,All Schools,542,171,31.55
2016-17,631,Clayton County,104,Mundy's Mill High School,328,83,25.3
2016-17,631,Clayton County,114,Elite Scholars Academy School,59,37,62.71
2016-17,631,Clayton County,115,Charles R. Drew High School,242,65,26.86
2016-17,631,Clayton County,190,Lovejoy High School,349,110,31.52
2016-17,631,Clayton County,215,Martha Ellen Stilwell School for the Performing Arts,100,59,59
2016-17,631,Clayton County,290,Mount Zion High School,245,37,15.1
2016-17,631,Clayton County,377,Riverdale High School,273,63,23.08
2016-17,631,Clayton County,1054,Forest Park High School,319,79,24.76
2016-17,631,Clayton County,1056,Jonesboro High School,260,66,25.38
2016-17,631,Clayton County,2052,North Clayton High School,157,37,23.57
2016-17,631,Clayton County,4058,Morrow High School,368,91,24.73
2016-17,631,Clayton County,ALL,All Schools,2700,727,26.93
2016-17,632,Clinch County,1050,Clinch County High School,73,34,46.58
