"School Year","Data Reporting Level","School District Code","School District Name","School Code","School Name","Grades Served","Total Enrolled","Total Retained","Number of Asians","Percentage of Asians","Number of American Indian","Percentage of American Indian","Number of Black","Percentage of Black","Number of Hispanic","Percentage of Hispanic","Number of MultiRacial","Percentage of MultiRacial","Number of White","Percentage of White","Number of Male","Percentage of Male","Number of Female","Percentage of Female"
"2012-13","School","601","Appling County","0103","Appling County High School","09,10,11,12",996,"27","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","17","63","20","74","Too Few Students","Too Few Students"
"2012-13","School","601","Appling County","0177","Appling County Elementary School","02,03,04,05",533,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2012-13","School","601","Appling County","0195","Appling County Middle School","06,07,08",748,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2012-13","School","601","Appling County","0277","Appling County Primary School","PK,KK,01,02",597,"23","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","10","44","11","48","12","52"
"2012-13","School","601","Appling County","1050","Altamaha Elementary School","PK,KK,01,02,03,04,05",324,"10","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","10","100","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2012-13","School","601","Appling County","5050","Fourth District Elementary School","PK,KK,01,02,03,04,05",122,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2012-13","District","601","Appling County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",3334,"62","Too Few Students","Too Few Students","Too Few Students","Too Few Students","16","26","Too Few Students","Too Few Students","Too Few Students","Too Few Students","39","63","36","58","26","42"
"2012-13","School","602","Atkinson County","0103","Atkinson County High School","09,10,11,12",468,"18","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","16","89","Too Few Students","Too Few Students"
"2012-13","School","602","Atkinson County","0111","Atkinson County Middle School","06,07,08",375,"10","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2012-13","School","602","Atkinson County","0187","Willacoochee Elementary School","PK,KK,01,02,03,04,05",209,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2012-13","School","602","Atkinson County","0190","Pearson Elementary School","PK,KK,01,02,03,04,05",590,"14","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","11","79","Too Few Students","Too Few Students"
"2012-13","District","602","Atkinson County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",1642,"50","Too Few Students","Too Few Students","Too Few Students","Too Few Students","13","26","19","38","Too Few Students","Too Few Students","18","36","36","72","14","28"
"2012-13","School","603","Bacon County","0102","Bacon County Primary School","PK,KK,01,02",489,"17","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","10","59","Too Few Students","Too Few Students"
"2012-13","School","603","Bacon County","0202","Bacon County Middle School","06,07,08",476,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2012-13","School","603","Bacon County","0302","Bacon County High School","09,10,11,12",520,"25","Too Few Students","Too Few Students","Too Few Students","Too Few Students","10","40","Too Few Students","Too Few Students","Too Few Students","Too Few Students","12","48","13","52","12","48"
"2012-13","School","603","Bacon County","3050","Bacon County Elementary School","03,04,05",438,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2012-13","District","603","Bacon County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",1923,"48","Too Few Students","Too Few Students","Too Few Students","Too Few Students","16","33","11","23","Too Few Students","Too Few Students","19","40","27","56","21","44"
"2012-13","School","604","Baker County","0105","Baker County K12 School","KK,01,02,03,04,05,06,07,08,09,10,11,12",311,"20","Too Few Students","Too Few Students","Too Few Students","Too Few Students","19","95","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","12","60","Too Few Students","Too Few Students"
"2012-13","District","604","Baker County","ALL","All Column Values","KK,01,02,03,04,05,06,07,08,09,10,11,12",311,"20","Too Few Students","Too Few Students","Too Few Students","Too Few Students","19","95","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","12","60","Too Few Students","Too Few Students"
"2012-13","School","605","Baldwin County","0100","Oak Hill MS","06,07,08",1203,"32","Too Few Students","Too Few Students","Too Few Students","Too Few Students","24","75","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","14","44","18","56"
"2012-13","School","605","Baldwin County","0104","Eagle Ridge Elementary School","KK,01,02,03,04,05",803,"37","Too Few Students","Too Few Students","Too Few Students","Too Few Students","32","87","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","26","70","11","30"
"2012-13","School","605","Baldwin County","0189","Baldwin High School","09,10,11,12",1295,"109","Too Few Students","Too Few Students","Too Few Students","Too Few Students","83","76","Too Few Students","Too Few Students","Too Few Students","Too Few Students","21","19","68","62","41","38"
"2012-13","School","605","Baldwin County","0194","Midway Elementary School","KK,01,02,03,04,05",563,"34","Too Few Students","Too Few Students","Too Few Students","Too Few Students","18","53","Too Few Students","Too Few Students","Too Few Students","Too Few Students","15","44","20","59","14","41"
"2012-13","School","605","Baldwin County","0195","Blandy Hills Elementary School","KK,01,02,03,04,05",790,"21","Too Few Students","Too Few Students","Too Few Students","Too Few Students","19","91","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","12","57","Too Few Students","Too Few Students"
"2012-13","School","605","Baldwin County","0199","Creekside Elementary School","KK,01,02,03,04,05",907,"36","Too Few Students","Too Few Students","Too Few Students","Too Few Students","29","81","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","19","53","17","47"
"2012-13","District","605","Baldwin County","ALL","All Column Values","KK,01,02,03,04,05,06,07,08,09,10,11,12",5561,"269","Too Few Students","Too Few Students","Too Few Students","Too Few Students","205","76","Too Few Students","Too Few Students","Too Few Students","Too Few Students","53","20","159","59","110","41"
