"School Year","Data Reporting Level","School District Code","School District Name","School Code","School Name","Grades Served","Total Enrolled","Total Retained","Number of Asians","Percentage of Asians","Number of American Indian","Percentage of American Indian","Number of Black","Percentage of Black","Number of Hispanic","Percentage of Hispanic","Number of MultiRacial","Percentage of MultiRacial","Number of White","Percentage of White","Number of Male","Percentage of Male","Number of Female","Percentage of Female"
"2013-14","School","601","Appling County","0103","Appling County High School","09,10,11,12",1005,"25","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","14","56","22","88","Too Few Students","Too Few Students"
"2013-14","School","601","Appling County","0177","Appling County Elementary School","02,03,04,05",550,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2013-14","School","601","Appling County","0195","Appling County Middle School","06,07,08",756,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2013-14","School","601","Appling County","0277","Appling County Primary School","PK,KK,01,02",615,"37","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","19","51","22","60","15","41"
"2013-14","School","601","Appling County","1050","Altamaha Elementary School","PK,KK,01,02,03,04,05",327,"16","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","11","69","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2013-14","School","601","Appling County","5050","Fourth District Elementary School","PK,KK,01,02,03,04,05",136,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2013-14","District","601","Appling County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",3389,"87","Too Few Students","Too Few Students","Too Few Students","Too Few Students","19","22","15","17","Too Few Students","Too Few Students","50","58","60","69","27","31"
"2013-14","School","602","Atkinson County","0103","Atkinson County High School","09,10,11,12",465,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2013-14","School","602","Atkinson County","0111","Atkinson County Middle School","06,07,08",403,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2013-14","School","602","Atkinson County","0187","Willacoochee Elementary School","PK,KK,01,02,03,04,05",214,"14","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2013-14","School","602","Atkinson County","0190","Pearson Elementary School","PK,KK,01,02,03,04,05",564,"14","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","10","71","Too Few Students","Too Few Students","Too Few Students","Too Few Students","10","71","Too Few Students","Too Few Students"
"2013-14","District","602","Atkinson County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",1646,"40","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","19","48","Too Few Students","Too Few Students","18","45","24","60","16","40"
"2013-14","School","603","Bacon County","0102","Bacon County Primary School","PK,KK,01,02",540,"24","Too Few Students","Too Few Students","Too Few Students","Too Few Students","11","46","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","14","58","10","42"
"2013-14","School","603","Bacon County","0202","Bacon County Middle School","06,07,08",468,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2013-14","School","603","Bacon County","0302","Bacon County High School","09,10,11,12",533,"28","Too Few Students","Too Few Students","Too Few Students","Too Few Students","11","39","Too Few Students","Too Few Students","Too Few Students","Too Few Students","13","46","14","50","14","50"
"2013-14","School","603","Bacon County","3050","Bacon County Elementary School","03,04,05",449,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2013-14","District","603","Bacon County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",1990,"54","Too Few Students","Too Few Students","Too Few Students","Too Few Students","23","43","Too Few Students","Too Few Students","Too Few Students","Too Few Students","22","41","29","54","25","46"
"2013-14","School","604","Baker County","0105","Baker County K12 School","KK,01,02,03,04,05,06,07,08,09,10,11,12",319,"21","Too Few Students","Too Few Students","Too Few Students","Too Few Students","19","91","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","10","48","11","52"
"2013-14","District","604","Baker County","ALL","All Column Values","KK,01,02,03,04,05,06,07,08,09,10,11,12",319,"21","Too Few Students","Too Few Students","Too Few Students","Too Few Students","19","91","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","10","48","11","52"
"2013-14","School","605","Baldwin County","0100","Oak Hill MS","06,07,08",1161,"38","Too Few Students","Too Few Students","Too Few Students","Too Few Students","30","79","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","21","55","17","45"
"2013-14","School","605","Baldwin County","0104","Eagle Ridge Elementary School","KK,01,02,03,04,05",846,"29","Too Few Students","Too Few Students","Too Few Students","Too Few Students","24","83","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","21","72","Too Few Students","Too Few Students"
"2013-14","School","605","Baldwin County","0189","Baldwin High School","09,10,11,12",1349,"130","Too Few Students","Too Few Students","Too Few Students","Too Few Students","94","72","Too Few Students","Too Few Students","Too Few Students","Too Few Students","32","25","79","61","51","39"
"2013-14","School","605","Baldwin County","0194","Midway Elementary School","KK,01,02,03,04,05",562,"13","Too Few Students","Too Few Students","Too Few Students","Too Few Students","10","77","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2013-14","School","605","Baldwin County","0195","Blandy Hills Elementary School","KK,01,02,03,04,05",765,"18","Too Few Students","Too Few Students","Too Few Students","Too Few Students","13","72","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","12","67","Too Few Students","Too Few Students"
"2013-14","School","605","Baldwin County","0199","Creekside Elementary School","KK,01,02,03,04,05",894,"30","Too Few Students","Too Few Students","Too Few Students","Too Few Students","14","47","Too Few Students","Too Few Students","Too Few Students","Too Few Students","14","47","20","67","10","33"
"2013-14","District","605","Baldwin County","ALL","All Column Values","KK,01,02,03,04,05,06,07,08,09,10,11,12",5577,"258","Too Few Students","Too Few Students","Too Few Students","Too Few Students","185","72","Too Few Students","Too Few Students","Too Few Students","Too Few Students","61","24","161","62","97","38"
