"School Year","Data Reporting Level","School District Code","School District Name","School Code","School Name","Grades Served","Total Enrolled","Total Retained","Number of Asians","Percentage of Asians","Number of American Indian","Percentage of American Indian","Number of Black","Percentage of Black","Number of Hispanic","Percentage of Hispanic","Number of MultiRacial","Percentage of MultiRacial","Number of White","Percentage of White","Number of Male","Percentage of Male","Number of Female","Percentage of Female"
"2018-19","School","601","Appling County","0103","Appling County High School","09,10,11,12",970,"47","Too Few Students","Too Few Students","Too Few Students","Too Few Students","15","32","Too Few Students","Too Few Students","Too Few Students","Too Few Students","22","47","35","75","12","26"
"2018-19","School","601","Appling County","0177","Appling County Elementary School","02,03,04,05",551,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2018-19","School","601","Appling County","0195","Appling County Middle School","06,07,08",795,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2018-19","School","601","Appling County","0277","Appling County Primary School","PK,KK,01,02",516,"22","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","12","55","10","46"
"2018-19","School","601","Appling County","1050","Altamaha Elementary School","PK,KK,01,02,03,04,05",378,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2018-19","School","601","Appling County","5050","Fourth District Elementary School","PK,KK,01,02,03,04,05",152,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2018-19","District","601","Appling County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",3362,"87","Too Few Students","Too Few Students","Too Few Students","Too Few Students","22","25","19","22","Too Few Students","Too Few Students","40","46","56","64","31","36"
"2018-19","School","602","Atkinson County","0103","Atkinson County High School","09,10,11,12",478,"20","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","13","65","17","85","Too Few Students","Too Few Students"
"2018-19","School","602","Atkinson County","0111","Atkinson County Middle School","06,07,08",374,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2018-19","School","602","Atkinson County","0187","Willacoochee Elementary School","PK,KK,01,02,03,04,05",162,"12","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2018-19","School","602","Atkinson County","0190","Pearson Elementary School","PK,KK,01,02,03,04,05",569,"17","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","11","65","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","10","59"
"2018-19","District","602","Atkinson County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",1583,"51","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","22","43","Too Few Students","Too Few Students","24","47","33","65","18","35"
"2018-19","School","603","Bacon County","0102","Bacon County Primary School","PK,KK,01,02",468,"22","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","12","55","18","82","Too Few Students","Too Few Students"
"2018-19","School","603","Bacon County","0202","Bacon County Middle School","06,07,08",494,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2018-19","School","603","Bacon County","0302","Bacon County High School","09,10,11,12",591,"29","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","13","45","24","83","Too Few Students","Too Few Students"
"2018-19","School","603","Bacon County","3050","Bacon County Elementary School","03,04,05",495,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2018-19","District","603","Bacon County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",2048,"56","Too Few Students","Too Few Students","Too Few Students","Too Few Students","12","21","13","23","Too Few Students","Too Few Students","28","50","46","82","10","18"
"2018-19","School","604","Baker County","0105","Baker County K12 School","KK,01,02,03,04,05,06,07,08,09,10,11,12",271,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2018-19","District","604","Baker County","ALL","All Column Values","KK,01,02,03,04,05,06,07,08,09,10,11,12",271,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2018-19","School","605","Baldwin County","0100","Oak Hill MS","06,07,08",1162,"52","Too Few Students","Too Few Students","Too Few Students","Too Few Students","36","69","Too Few Students","Too Few Students","Too Few Students","Too Few Students","12","23","33","64","19","37"
